product,review_id,rating,title,date,text
Smart Stainless Kitchen Sink Nano Ceramic Coating 75x45cm Waterfall Mixer Shaddad 3 System Balqorma Strainer Vegetable Basket Cup Sink Drain Set Black,R35627U9VG5TAN,4.0,اشتريته ١١ الف وتم خفض السعر لنصف شي غريب ؟؟,12 May 2024,المنتج نفس الصورة وصل
Smart Stainless Kitchen Sink Nano Ceramic Coating 75x45cm Waterfall Mixer Shaddad 3 System Balqorma Strainer Vegetable Basket Cup Sink Drain Set Black,RBLLTLQNGAAEB,2.0,مش احسن جودة,8 February 2025,وصلات ضعيفة جدا و الخامة مش احسن حاجة
Kroscro Black Stainless Steel Smart Kitchen Sink - Multifunctional 3 in 1 Farmhouse Utility Sink With Accessories and Faucet (31.5 * 17.7in),R2CA3MVAPZUI1N,,,16 March 2025,"Love my new sink it’s perfect and sturdy
Read more"
Kroscro Black Stainless Steel Smart Kitchen Sink - Multifunctional 3 in 1 Farmhouse Utility Sink With Accessories and Faucet (31.5 * 17.7in),R3LPB38UUUZA5U,,,20 July 2025,"this is the worst built sink i have ever seen.all parts of it are made of the cheapest material and it leaks.i have installed many sinks and this is very poorly made
Read more"
Kroscro Black Stainless Steel Smart Kitchen Sink - Multifunctional 3 in 1 Farmhouse Utility Sink With Accessories and Faucet (31.5 * 17.7in),R36GIQQWSYVAKT,,,6 September 2023,"We had a professional plumber install it for us when we redid our kitchen. The hoses they provided are cheap so he replaced them with better ones and installed our garbage disposal, and reverse osmosis with no issues. Love the waterfall feature for the cleaning the veggies.Follow up review, well 6 month later the black stainless is peeling and it looks terrible. There is no contact information to the maker for a warranty replacement. Don't waste your money on this sink...
Read more"
Kroscro Black Stainless Steel Smart Kitchen Sink - Multifunctional 3 in 1 Farmhouse Utility Sink With Accessories and Faucet (31.5 * 17.7in),R34V9KWCN9CCWW,,,30 June 2024,"This product is very poor quality, the paint peels off and I have even bruised myself due to the paint peeling off and leaving a rough texture exposed
Read more"
Kroscro Black Stainless Steel Smart Kitchen Sink - Multifunctional 3 in 1 Farmhouse Utility Sink With Accessories and Faucet (31.5 * 17.7in),R2599XIRUT4ML7,,,16 January 2024,"Love this sink.  Unfortunately less than3 months of use and the paint is chipping off in 3 places.  If they would include a small bottle  of the paint that would be helpful.  Also it seems like the plumbing they included with it very small meaning the sink clogs a lot.  However I do love this sink and get lots of compliments on it
Read more"
"Smart Kitchen Sink with Digital Display,Nano 304 Stainless Steel Kitchen Sink with Flying Rain, Pull-Out Faucet, Pressurized Cup Washer",R8NFAG6XPWLF2,5.0,خامه ممتازه جدا,9 May 2024,بجد فخم جدا والتغليف روعه ، مكنتش متخيل انه بالجمال ده وكمت خايف ليطلع غير الى فى الصوره ، بجد شكرا
"Smart Kitchen Sink with Digital Display,Nano 304 Stainless Steel Kitchen Sink with Flying Rain, Pull-Out Faucet, Pressurized Cup Washer",R68MIFOW9FISR,1.0,سئ جدا 😡,9 January 2025,المنتج ناقص حاجات كتير زي المسامير والجلده الي عند مكان الي بيغسل الكوبايات  الشاشه مش راضيه تشتغل وعملت طلب إرجاع ولسه محدش رد
"Smart Kitchen Sink with Digital Display,Nano 304 Stainless Steel Kitchen Sink with Flying Rain, Pull-Out Faucet, Pressurized Cup Washer",R1NXCUWLV1F9CR,5.0,التعامل ما بعد البيع,24 March 2024,المنتج حلو جدا و التعامل ما بعد البيع لطيف جدا
"Smart Kitchen Sink with Digital Display,Nano 304 Stainless Steel Kitchen Sink with Flying Rain, Pull-Out Faucet, Pressurized Cup Washer",R34BCZ35EAP2M,1.0,Bad quality,4 August 2024,"Soap dispenser and digital screen do not workWater pressure is very low
Read more"
Kitchen Sink 50cm in 80cm with Automatic Cup Washer,R15OR7CXO3547T,3.0,الحوض تمام لكن المصداقية فى ارسال الهدية المرفقة بالاعلان,21 July 2024,الحوض تمام لكن الهدية لم يتم إرسالها كما هو مكتوب بالاعلان غساله اكواب اتوماتيك
Kitchen Sink 50cm in 80cm with Automatic Cup Washer,R3I3G1ADPF6AGZ,5.0,احلى حوض فى مصر مناسب لكل المطابخ ومعاة غسالة اكواب هدية,5 February 2024,احلى حوض فى مصر مناسب لكل المطابخ ومعاة غسالة اكواب هدية
"Kitchen Sink Is Hanging on The Wall, 1m",RDMWQQNLPZP7A,3.0,شكله حلو بس خفيف,15 October 2023,هو فى الشكل حلو لكن الحله صغيرة جدا جدا يعنى بتاخد كام طبق لو عائله مينفعهاش الحله دىدى عايزة اسرة صغيرة بس انا كنت مجبرة لانى مش لاقيه فى منه فى  السوق .
"Kitchen Sink Is Hanging on The Wall, 1m",R2W3WVIQYO58FH,1.0,خفيف,24 February 2023,صاج خفيف و مطبق
"Kitchen Sink Is Hanging on The Wall, 1m",RPGPP2MQU1KKN,3.0,سؤال,7 December 2022,هل يأتى معه الصرف؟؟
"BLANCO 518205 SUPRA 500-U, 60 cm Base Cabinet",R1VCTWMIDGUHK0,,,26 June 2024,"well packaged, arrived ok without any issues. quality is good
Read more"
"BLANCO 518205 SUPRA 500-U, 60 cm Base Cabinet",R3VK9LZYIN5ANG,,,26 May 2025,"6 ans après, je ne regrette pas mon achat.Il est très légèrement rayer si on se penche dessus. Un peu bruyant, je mettrais plus de scotch anti bruit si j'en trouvais (sûrement aussi en cause le mitigeur un peu trop haut).Par contre il ne montre aucune trace d'usure. Je déménage et j'ai besoin d'une nouvelle cuisine : c'est vers Franke que je me tourne."
"BLANCO 518205 SUPRA 500-U, 60 cm Base Cabinet",R28M1KT6EBM1II,,,10 May 2021,"El fregadero es maravilloso, y al vendedor le doy un 10. Tuve una duda postventa y me respondió enseguida, el paquete llegó súper protegido. Muy contenta"
"BLANCO 518205 SUPRA 500-U, 60 cm Base Cabinet",R12GAW7N0ITRES,,,3 December 2019,"Excellente qualité correspond parfaitement à la description, livraison rapide"
"BLANCO 518205 SUPRA 500-U, 60 cm Base Cabinet",R3RJB77NRNJ5IM,,,2 May 2023,Schnelle Lieferung! Top Produkt zum Top Preis!
"TTG 31.5""Kitchen Sink Waterfall, Upgraded Smart Kitchen Sink with Digital Display, Nano 304 Stainless Steel Kitchen Sink with Flying Rain Pull-Out Faucet and Cup Washer(31.5 * 18.1 * 8.07 inch)",R2ZY2XG0BADQIT,1.0,الصوره غير الاصل,17 February 2025,طلبت المنتج وجاني غير الصوره خالص لا انصح بشرائه
Stainless Steel Turkish Star Kitchen Sink 43& 53cm. 6 Mm),R11K8MU0TO4ZGK,1.0,عادى,9 September 2025,شغال
Stainless Steel Turkish Star Kitchen Sink 43& 53cm. 6 Mm),RPMI8M0FZIG4W,4.0,منتج كويس بس اريد استبدالها بمقاس أصغر ٣٥ ×٤٥سم,8 January 2023,ممكن استبدل حلة المطبخ بمقاس أصغر مقاس ٣٥ ×٤٥سم
Stainless Steel Turkish Star Kitchen Sink 43& 53cm. 6 Mm),RSP2BXIP7XAIR,1.0,المنتج رديء وصناعة مصرية ليس تركية كما هو مكتوب,11 August 2022,المنتج رديء وصناعة مصرية ليس تركية كما هو مكتوب
Stainless Steel Turkish Star Kitchen Sink 43& 53cm. 6 Mm),R3VKCL2KOBWH42,3.0,كم العمق,19 June 2023,كم سم عمق الحوض؟
Turkish stainless steel kitchen sink size 85 &50 cm,RL9ICY34S914N,5.0,Good material,16 June 2023,"Good Material
Read more"
Turkish stainless steel kitchen sink size 85 &50 cm,R3E3RQFMZM0OFY,1.0,لم يصلني نفس الماركه المطلوبه,2 March 2024,لم يصلني نفس ماركه المنتج المطلوب
Turkish stainless steel kitchen sink size 85 &50 cm,R1WJIE6XQD5C2H,5.0,خرطوم الصرف قصير ولم يصل للحائط,13 March 2022,خرطوم الصرف قصير جدا جدا ولم يصل للصرف بالحائط وغير موجود لشرائه منفردا بالاسواق
Kitchen Sink 80cm * 50cm Stainless Steel Wall Mount with Stand,R1VYMNTCT0ZSVT,5.0,Good,29 November 2025,"Good price n nice quality
Read more"
"Kitchen Sink with Dual Waterfall Outlets,Digital Kitchen Sink with Cup Washer,Smart Sink with Pull-Out Faucet,Farmhouse Sink,304 Stainless Steel Kitchen Sink,Nano Kitchen Sink with All Accessories",R1Q96LGEHGLVS1,,,24 September 2024,"I knew going into this sink purchase that it was made for European/Asian specs.  As long as you know that and can logically find your own work-arounds, it is a beautiful sink!  The drain pipes are not US standard, nor is the display setting--it reads temperature in Celsius.  However, if you look at the few places that offer a standard US version, the prices are 2-3x higher.I did not find the bottom flimsy  (stated in a different review) and we were able to hook our old garbage disposal up to it.  The display is run by hydro-electric power, meaning that the water flowing through the faucet is literally what makes the display work.Most of the models similar to this one are the same way, so buyer beware.  Hope you find the sink that works for you!
Read more"
"Kitchen Sink with Dual Waterfall Outlets,Digital Kitchen Sink with Cup Washer,Smart Sink with Pull-Out Faucet,Farmhouse Sink,304 Stainless Steel Kitchen Sink,Nano Kitchen Sink with All Accessories",R29RKA01MW92DP,,,9 July 2024,"The sink itself is really cool, and we love the colour. The controls, however, are atrocious. We received gold coloured controls and they don't match the sink or the kitchen theme. It's not even a nice gold, and it's two different gold colours! It looks tacky and disgusting. We could have worked with silver, but gold? Come on.
Read more"
"Kitchen Sink with Dual Waterfall Outlets,Digital Kitchen Sink with Cup Washer,Smart Sink with Pull-Out Faucet,Farmhouse Sink,304 Stainless Steel Kitchen Sink,Nano Kitchen Sink with All Accessories",R1KB1PN0IA76HC,,,8 September 2024,"Installation was painful. The connections require adapters for most US water lines, which are not carried by any plumbing store I could fine. Sink looks fine, but there are pieces missing to make the sink fully functional. After 6 months, the cheap faucet is not longer working correctly, and because it is integrated into the actual sink, the only way to replace it is to buy a new sink. So, looks like I get to buy a new sink.
Read more"
"Kitchen Sink with Dual Waterfall Outlets,Digital Kitchen Sink with Cup Washer,Smart Sink with Pull-Out Faucet,Farmhouse Sink,304 Stainless Steel Kitchen Sink,Nano Kitchen Sink with All Accessories",RJIFW9MTSFNJY,,,11 September 2024,"I have mix emotions.1. The tub:is super cheap, wobbly and flimsy. It wouldn't hold a garbage disposal.My Solution: sprayed bottom with a OLD SCHOOL liquid bedliner then enamel spray paint.  It harden up beautifully.Con: The size of the inserts are not correct so they slip out. Potential solution:  I'm going to get a hard plastic document holder and slide the rails in it.PROS:  It is a beautiful color & texture. The texture on the inside feels really non stick.The Pipes:Con: The pipes that came with it were super thin and cheap plastic. No garbage disposal fittings. Also, the fitting did not fit standard fittings.Solution: got all new pipes with a garbage disposal kit. Found adapter for water fittings.Handle and water fixtures:Con:  The open and close valve Is unusable if you put a garbage disposal in. Solution I found a  Open and close the dreamy basket that goes into the garbage disposal hole. So I can still set the designed open and close cover that came with the sink on top. So it still looks really pretty. The dual waterfalls, the light bar, the cup washer is the whole reason I bought this sink.  The the spray handle feels kind of cheap but sprays great. 3 settings.  For the price and the look its fine. I LOVE the waterfalls and cup washer. So all in all.. I love it. If you are not handy don't get it because it needs the work around. But my brother is a genius and was able to create a master piece with it.  I will submit pictures once the counters go in.
Read more"
"Kitchen Sink with Dual Waterfall Outlets,Digital Kitchen Sink with Cup Washer,Smart Sink with Pull-Out Faucet,Farmhouse Sink,304 Stainless Steel Kitchen Sink,Nano Kitchen Sink with All Accessories",R1HE1GNS6ZBLBQ,,,6 April 2024,"This is the worst sick ever from the it just looks cool i just got it installed and its so many problems display is not displaying the draining pipes given to u suck! And i do not recommend buying this product i hate it 100%
Read more"
Turkey star Sink Pot with Drain (53cm),R1JN3R8B4QW2EK,5.0,Exactly as described,29 November 2025,"As described
Read more"
"Asil Stainless Steel Kitchen Sink Silver, 2724640569809)",R2OXOTDHUM35KR,3.0,Fair to price,11 January 2023,"Good product but it has some scratches and edges is very sharp and hurt my fingers and plumber who fixed it in the place
Read more"
"Generic Kitchen Sink Set of Different Shapes, Sizes and Colors (Digital Screen Stainless Nano 5 Button Kitchen Sink, 75 cm x 48 cm, Black)",RXVIJ46ULSOEZ,5.0,كما بالوصف جيد جداً,5 December 2025,ممتاز جداً كما بالوصف وسهل التثبيت .. جيد جداً للاحواض الكبيرة وليست المقاسات الصغيرة
