,comment
0,&nbs...
1,arrived after more than 90 minutes for a basic order!
2,كتير حلو
3,good
4,good . .
5,تمام
6,نصبين وحرميه الأكل غالي جدا وجيلي عينات اكل
7,الاوردر جيه ناقص و للامانة اللي راح جابلي بقيته كان ال دليفري ، المطعم اتاخر كتير ف الرد بشكل مزعج لكن الدليفري هو اللي راح و جابلي باقي الاوردرر ولولاه مكونتش هدي ٥ نجوم
8,late
9,معقول
10,thanks
11,معقول بس اتاخر شويه
12,مستحيل يبقي الاكل دا عمله شيف، لا يصلح للاستهلاك الآدمي
13,تجربة اخر قرف
14,الكفتة مش مستوية كويس، الاكل كله ناقص ملح وملوش طعم حتي الطحينة، الاوردر وصل بعد ساعتين
15,...
16,. .
17,The baladi salad is rotten.
18,ممتاز
19,كواليتي معقولة
20,جميل
21,💘
22,السندوتشات معقولة
23,المشروب موصلش و الكمية داخل السندويشات قليلة جدا تقريبا فاضية
24,طعم الاكل وحش وزن الاكل بيجي ناقص و بفرق واضح مش فرق تسوية الاكل لو عندك مشكلة المطعم بيقولك اتفلق حاجة خرا
25,am not received anything
26,طعم الاكل سئ جدا
27,الاكل ممتاز و الطعم كويس جدا و فريش و التوصيل سريع
28,. . . .
29,I requested ingredients that weren’t in the burger even though I was charged for it. It barely tasted like a burger
30,كبده بصل بصل وحوارشي اقل من العادي واوفر ريت عالفاضي
31,انا طالبه عرض اتنين ٢ مكرونه جالى ساندوتشين
32,سيء
33,اقسم بالله اسواء اكل اكلته طول حياتي حاجة سيئة جداً وكرهني فالاكل بجد طالب ٤ سندوتشات مكلتش حرفيا غير قطمة من اتنين مختلفين ورميت الباقي حسبي الله ونعم الوكيل
34,الاكل نصه والله اترمي و اسوأ عيش شوفته في حياتي و كان مش فريش تمام و حاجه قرف مستحيل اجربه تاني اول و اخر مره
35,تحفة جدا و الكفته رائعة و كذلك السجق.. شكرا ليكم و ياريت الاستمرارية.. ❤️❤️❤️
