,comment
0,الطعام بارد
1,طالب دينر بوكس إللي هو ٣ قطع جالي قطعتين بس مش فاهم إيه السرقه بتاعتكم دي منكم لله
2,طالب راوند باعتلي برجر فراخ و مختار عصير بعتلي كولا دا غير الاكل طعمه زيت سئ سواء ف الراوند او البطاطس و النتيجه مغص في البطن
3,helw bs El tatbela da3efa
4,انا طالبة ساندوتش بخيار مخلل و جبوه بهلبينو. والتاني طالبه مخلل وهلبينو و مجاش فيه مخلل
5,الأوفر بتاع الستريبس جاي ناقص الدرينك بس عادي
6,was missing an item
7,Sandwiches seems as if soaked in water
8,very oily
9,للابد افضل وجبة عندي وافضل مطعم
10,وصل بارد جدا
11,دة واضح ان فيه اجماع ان الاوردر بييجي ناقص برضه انهاردة انا الاوردر جه ناقص واتصلت بيهم محدش رد واديت ريفيو على طلبات ان حد يتصل حتى يعتذر ولا الهوا هو ولضح ان المطعم بيعتمد على السرقة
12,The thigh piece was small.
13,"Fried Chicken piece felt hard , but fully cooked"
14,العيش ني خالص والفراخ مش مستوية من جوة وغالبا متحمرة مجمدة... مفتقدين الاساسيات... تجربة غير جيدة على الاطلاق
15,اسوء مطعم و اسوء خدمة وابليكيشن زفت يعني الاوردر واصل بعد ما طلبته بساعتين و نصف واصل مش مستوى كويس و الأكل طعمه سئ و وابليكيشن ال support مش شغال فيه و حاجة اخر زفت صراحة
16,Only 5 not 6 as ordered and it came late and cold
17,Was fresh and delicious 😍
18,الروستر حجمه صغير جدا وحجم الستربس صغير و رفيع تجربة سيئه
19,كان الصوص سئ جدا و كتير و فراخ قليلة و رز معجن
20,"Delicious chicken popcorn, I also felt like I was eating cordon bleu."
21,I ordered juice and i got cola
22,Chicken wasn’t all that.
23,QUALITY WAS TERRIBLE FOOD WAS NOT CLEAN.
24,تحفههههه
25,the order didn't arrive
26,الاكل وحش جدا وبيتاخر والفراخ بايظه وفيها ريش فرع سموحه معندهمش ضمير ويقرف مرتين اطلب نفس المشكله الفراخ فيها دم وفيها ريش وطعم معفن غير فرع الابراهيميه خالص
27,الأوردر ناقص قطعة ستربس وبدون ملاعق ولا مناديل ولا أي حاجة
28,الاوردر جه ناقص
29,missing cheese sauce
30,اوردر ممتاز
31,i’m لكن كان عناك تأخير
32,البطاطس لم تكن مستوية جيدا
33,gorgeous as usual🥰🥰🥰
34,مطعم محترم ومحافظ علي مستواه
35,الاكل كان جميل و حلو بس جاه متاخر و مكنش فيه كاتشب مع الاوردر
36,جابلى تسمم والفراخ بايظة محدش ياكل منه تانى معندهومش ضمير
37,Order arrived late
38,الاكل وصل بارد
39,الاوردر جاي سبايسي مش عادي واترمي لان سبايسي هيتعبنا وفي صوره للصنف
40,food delivered cold for the second time again 😞
41,Dunno
42,أوردر مؤرف متأخر ساعة كاملة عن الساعة الأولى يعني جه بعد ساعتين !! و عرقان و مبلول حاجة تقرف فلوس و اترمت الارض
43,اوردر ناقص قطعتين استربس استلمت ٣ قطع فقط
44,I ordered a 3 piece strips meal and received a 2 piece chicken meal which is a completely different order just similar in price.
45,Order got ready from the restaurant late and missing the drink
46,طيار محترم الله يرزقه
47,الاكل بارد
48,Cold and not fresh fries Cold sandwich
49,الرز كان قليل بس كده لكن عمتا تجربه لذيذه احب اجربها تاني
50,the sandwiches were too cold
51,أورد سئ
52,الاوردر بارد و البطاطس وحشة جدا و ساقعة
53,"Please note that while we're willing to pay, the price should be accurate, considering that 0.24 doesn’t exist in Egyptian currency.The delivery person’s attitude was disrespectful, which is unacceptable.If no money is to be left, we cannot leave any"
54,Coleslaw missing
55,the miss item hasn't arrived yet
