,comment
0,اول مره اطلب اكل و يطلع سي لدرجه دى بجد جبن من اردا الانواع و حتى الحلو وحش اوووى و طريقه التحضير كل حاجه بصراحه
1,pasta was bad
2,الطعم وحش جدا والشاورما ناشفة وقليلة جدا
3,الاكل تحفه ..خامات نضيفه ..لحمة الحواوشي ريحتها وطعمها تحفه فطيرة السجق جميله..عرض المناقيش جميل بالذات المحمره
4,كامت ناشفه اوى و عليها حاجه زى القشطه بس طعمها مش حلو
5,طلبت اضافات و بالفعل دفعت تمنها و لم تتم اضافتها
6,الاكل بارد جدا واضطريت اسخنه تاني حتى سلندويتش الاباتشي مش ماسك نفسه لان العيش كان طري جدا ..وساقع
7,"taste is poor and low quality and ingredients quantity, late delivery, cold feterr"
8,اسوء حد بيعمل بغاشة ميعرفش عن الفطير حاجه حرفياً شوية عيش عليهم لحسة لبن ورشة صغيرة سكر ب120 جنيه حرام فيها الفلوس
9,البيتزا جيدة الطعم بس باردة عند التوصيل
10,حلو جدا
11,The quality of the last order was not good
12,The portions are not worth the money
13,"Good ranch pizza, slow delivery"
14,Late Delivery
15,الاوردر وصلني بعد اكتر من ساعتين و وصل بارد و الفطيرة مجلدة و حادقة جدا و التغليف سئ
16,Tt
17,the restaurant took much time preparing the order the driver didn't have change so I was forced to leave extra money
18,تغيير تمن الاودر عن الموجود جوه التطبيق
19,مزيتة جداً
20,الأورد خد ساعتين و ١٧ دقيقة عشان يوصل ... حرفيا سندوتشين وصلوا باردين و منهم واحد كان ناقصه صوص باربكيو الي هو فاسم الساندوتش اصلا تجربة سيئة .. لن تتكرر تاني
21,فطيرة ب ٣٢٠ جنيه دافع فيها ٤٢٠ جنيه و اقسم بدين الله الحشو اللي جواها مايجيش ب ٣٥ جنيه، قولا واحدا، مطعم وسخ و شوية حرامية سواء انتوا او غيركوا
22,المطعم كلمنى واعتذر انه مفيش فطيرة ملوكي
23,مليان زيت
24,جودة الموتزاريلا سيئة وجابها سوسيس مش سجق
25,"الطيار اتصل عشان ياخد اللوكيشن بغض النظر عن إن اللوكيشن علي الاوردر - رن علي العمارة مرة واحدة و باعتلي علي واتساب تحذير ""اخر مرة"" بروح أمه الاوردر مطلوب بميكس جريل و اوردر تاني حواوشي و جايلي علبة واحدة طحينة و اتنين مخلل!؟ قرف."
26,فطيرة الكيري من غير جبن كيري و سيئه جدا فطيره السكر رقيقه و ناشفة جدا جدا اسوء فطير فعلا
27,مش مصدق المطعم ده بقى كده وصلني الحواوشي بايظ و ريحته تموت إزاي أصلا طلعتوا الاوردر كده!!!
28,فطيرة كيري بسطرمة مفيش اي نقطة كيري ، معمول بجبن مطبوخ و حادقة واسوء فطيرة اكلتها فطيرة السكر ناشفة جدا و بتقرمش و رقيقة جدا اسوء فطير ممكن حد يجربة
29,Very bad
30,اسؤ مطعم و اسؤ سندوتشات العيش مبرول و مقطع . شئ مؤسف
31,Worst feteer i’ve ever tasted 🤢
32,quality and items
33,اسوا اكل و اتاخر نص ساعة و الاكل فعلا وحش جدا
34,Poor delivery service. Had to wait 2 hours to get the order and that’s not acceptable.
35,الاكل سئ جدا جدا طلبت امبارح و على نص اليل بطنى كانت وجعانى جدا جدا وترجيع جامد ومش لوحدى واخر مره هطلب منكو انتو مكان مش نضيف
36,كريب الفاهيتا كان طعمه وحش جدا و مكنش في اي خضار لافلفل ولا طماطم ولا عليه اي صوص يعتبر مجرد قطع فراخ اه كتير لكنها بتنزل زيت و طعمها مش لطيف بصراحة رغم بجيبها م اماكن تانيه مش بتكون كده وقلت عايزاه سبايسي ولا الهوا الرانش كرسبي كان جميل ال ٢ كر...
37,nice one
38,Hawashy was ok but the feteera kofta and fries were very bad taste
39,عامل ضريبه زياده اوي ، يعني هو عامل اوفر كويس بيزود عليه ١٢٠ج زياده و المطعم كمان كلمني و قالي ان في زياده ٣٠ج ضريبه تاتيه
40,مش اول مرة السعر اللى على الابليكيشن غير اللى بدفعه فعليا
41,الحساب مع الطيار مختلف عن حساب الطيار تجربة سئ
42,ممتاز
43,الاكل وصلت ساقع و احنا فى الصيف
44,احجام صغيرة و سعر غالي
45,فطيرة البغاشة منظرها بشع
46,J
47,الكمية قليلة جدا لكن الجودة كويسة
48,الاورد كل مرة بيجي مقلوب
49,الاوردر اتأخر جدا والاكل وصل بارد
50,الاكل بارد
51,I waited toooo much and i payed more than i should
52,the last time using menus
53,الاكل طعمه وحش جدا والكريب الفراخ اكنها مقلية في زيت عربيات
54,Delicious
55,نصب في الوجبة
56,كميه صغيره جدا
57,الكواليتي ضعيف.... بس الدعم الفني كويسين ومحترمين لأنهم رجعوا الاكل بعد ماعملنا شكوي بسبب الكواليتي.... نرجو من المطعم يراجع الكواليتي لانه المنافسة صعبة
58,السعر علي الابليكشن غير ريسيت المطعم
59,يارتني جبت من اي حد تاني اوردر ب ٢٤٠ صابعين كفتة و٢ حواوشي صغيرين محروقين
60,جيد جدا
61,"i didn't like the meat shawerma at all, it was very dry with no sauce or anything added to be juicy as normal. also it was cold and I had to heat it in the microwave"
62,"it's not the first time I've ordered from Hamza, but this time was really terrible, the taste was horrible"
63,الاوردر لم يصل بعد ساعة تاخير عن ساعة التوصيل مندوب التوصيل بيكلم بكل تبجح
64,the portion is too small and very oily couldn't eat it
65,مقرف
66,أكل فاسد
67,اكتر من ساعتين ولغيت الاوردر ولا اوصي به تماما
68,0/10 worst experiences with the restaurant
69,وحش جداااااااااا
70,الاكل كان بارد جدا
71,سئ جدا والاوردر وصل ناقص وبارد دي اسواء مره كلت فيها
72,الاكل كان وحش اوي اقسم بالله اترمي حسبي الله ونعم الوكيل
73,طلبت اوردر ناو وكان سئ جدا جدا جدا مع اني مش اول مرة اطلب يعني استنيت ساعة ونص والاكل جه اقسم بالله عيالي رفضوا ياكلوا والاكل اترمي بحاله حتي البطاطس مكنتش فريش شكرا ع التجربة السيئة دي وان شاءالله مش هنعيدها
74,طاجن العكاوي ضغير جدا جدا، من حيث اللحمه، و حتي الخضار (طماطم و بصل)
75,طلبت الاكل ٤:٣٠ وصل الساعة ٧:١٥. بكلمهم من الساعة ٥:٤٥ بيقولو الامل في الطريق. بعد حناقات خدت رقم المندوب كلمته ٦:٤٠ قالي هتحرك من المطعم . كل موظفين خدمة العملاء بيقولو نفس الكلمة هو في الطريق وهو اصلا متحركش من المطعم.
76,طلبت الاكل الساعة ٤:٣٠ العصد وصل ٧:١٥ بليل. بكلمهم من الساعة ٥:٤٥ يقولو الاوردر طلع و في الطريق مسافة السكة. بعد ما كلمتهم ٦ مرات خدت رقم المندوب كلمته الساعة ٦:٤٥ قالي هتحرك حالا. الاكل وصل ساقع كأنه خارج من التلاجة و ميتاكلش
77,الطلب وصل ثمنيه الا ربع فطرنا بعد اذان العشاء وصل الطلب بارد ومجلد والبيبسي سخن والتطبيق مفيش اختيارات لعدم اضافة مايونيز او صوص كل زبون وله ذوق وحجات مبيحبهاش .. ١٠٠ دقيقة معناه ساعه واربعين دقيقه يعني ٦ واربعين دقيقه مش ٨ الا ربع نرجو تحسين الدلفري
78,التوصيل متأخر تلت ساعه مع إن الطلب كان قبل المغرب بساعتين
79,Very small compared to price.
80,الفطير سيء جدا بشع ولاديستحق السعر
81,الحمد لله ممتاز
82,all bad
83,The order did not arrive in the first place!
84,Very delicious and tasty sweet feteer
85,التوصيل كان متاخر
86,food was very cold delivery took over 2 hours to send the food worst delivery experience I have ever experienced never buying from here again
87,سئ جدااا
88,الاوردر جه غلط مدخلش الفرن اصلا !!!
89,اكتر من ساعتين الاوردر ماجاش مع ان ٢ مندوبين يبعتولي ياخدو العنوان.. خدمة سيئة جداً
90,الاكل كان بارد جدااااااا والسلطات سيئه
91,معقول لكن السعر عالي
92,فتة الشاورما طلبتها كبير جت صغيرة فطيرة النوتيلا جت مقلوبة و مفيش شيكولاتة عليها أصلا الرز البسمتى مفيش عليه جبنة موزاريلا غير كمية قليلة جدا
93,الاكل متطبق ومتبهدل
94,الاوردر لأول مرة جالي من غير رز.
95,الاكل مملح جدا
96,"Doubled the delivery cost , and brought 4 meat shawermas instead of 2 chicken and 2 meat"
97,الاكل بارد جدا وكمان الفطيرة سئ جدا جدا
98,Awful Bgd awhash service w awhash feteer I ordered four seasons sweet feteer and it came with literally no lotus aside from there customer service
99,الكفته سيئه جداا والحواوشي جايلي ناشف ومحروق وتيست وحش …الحواوشي الايطالي الي كان حلو بس
100,حلو اووى 🌹
101,الاوردر وصل بعد ميعاده ب ساعه و اكتر بارد جدا البيتزا وحشه جدا حتي الجبنه زي ما هي قطع .. تجربه سيئه جدا
102,ورق العنب سيء جدا جدا . ناشف وبايت
103,لا توجد غير 2 شريحه فراخ و مقطعه صغير داخل الأرز صراحه يعنى ... الطلب ده قمه الاستهبال نصب علنى و لو كنت فتحت الطلب قبل ما مندوب التوصيل يمشى ... كنت و الله رجعته تانى حسبى الله ونعم الوكيل
104,الاكل أولا جي بارد جداً تاني حاجه كنت طالب عرض اتنين كوفته شامي و اتنين حواوشي تقريباً هما عاملين عرض عشان اللحمه بايظه او ايه مش فاهم لاكن طعم و ريحه اللحمه استغفر الله العظيم ، ثالثا العيش جي يا اما مفرول يا مش طازه و الواحد مش متعود علي كده من ال...
105,"the driver was almost an hour late,the food was poorly packaged,and the chicken was stale ... last time im ever ordering from that restaurant ever"
106,تمام
107,انا صايم ،، و طلبت الاوردر من ساعة تقريبا ،، و الطيار قرر انه مايوصلهوش بحجة انه خارج الزون ،، طيب انا بقى ايه ذنبى انى ما افطرش ؟ و دى مشكلتكم مع الطيارين بيتهيألي انى ماليش ذنب ،، اثق فيكم ازاى بعد كدة ؟!
108,للاسف الاسعار غاليه والسندوتش صغير جدا كذلك كواليتي شاورما اللحم ناشفه والعيش سيء جدا النيجرسكو حلوه ولكن كمية قليله مقابل سعر كبير
109,ساندوتشات سيئة جدا وعرض سىء الحجم صغير والتسوية غير جيدة
110,"Very bad experience from 7amza , four season feterr it was very poor compared to the picture and price, it was not enriched with the sauces as it should be , the handling of it till delivery made the quality worsened High price with poor quality"
111,فطيره الكاسترد سيئة جدااااا
112,البيتزا طعمها سئ وغير مختمرة مثل العجين والتوبيج فقير جدا بالاضافة الاوردر جه متأخر اكثر من ساعة واربعين دقيقة
113,الاوردر ناقص
114,"worst food ever the chicken sandwich has nothing to do with the one in pictures , especially the portion and size of the sandwich kofta and hawawshi are so bad too I have been also charged almost 15 EGP over the price that was on the application"
115,حاسبلي 2 حواوشي جوة اوفر لخصم 48% ب113 واللي وصلني 2 ميني حواوشي مينفعش تمنهن يعدي نص المبلغ دا ودا اسمع نصب
116,السندوتش صغير جداً والفطيرة ناشفة لانها طبقة رقيقة غير جيدة والأسعار مبالغ فيها + الفاتورة اعلي من السعر علي الأبلكيشن
117,الدليفري قال لي الحساب 390 و الحساب أقل من كدا بكتير، و راح واخد ال400 و الاكل جي مقلوب و ملوش طعم
118,الكمية قليله جدا ع السعر وكمان المفروض انه كان عرض ودفعت قيمة الاوردر عادي من غير عروض
119,The chicken was over grilled and very bad garlic sauce
120,خدمني فلوس اكتر من حقه
121,Salted
122,food is good delivery is very late
123,الكفتة بتقرقش وفيها عضم
124,very dry chicken not good flavor not juicy just dry
125,the food was cold and not fresh
126,حوالى محروق وسئ جدا
127,الاكل جاي بارد والدليفرى اتاخر جدا طعم الأكل مجليط
128,الأكل حلو بس اتأخر أوي أوي أوي التأخير من المطعم والطيار
129,الاكل كان ممتاز زي كل مرة، لكن موضوع اني اطلب الاوردر من غير ثومية و برده تجيلي و تترمي عشان محدش عندي بياكلها لازم يتغير. لما اكون عايز طحينة و مش عايز الخرا التاني ياريت ده يتعمل.
130,there is someone who eat a slice from the feteer
131,السعر المكتوب حاجة ودفعت حاجة تانية
132,اسوء تجربه ممكن يحد يجربها
133,فطيرة السجق باضافة كيري مخدومه جدا فطيرة البسطرمة وفطيرة البغاشة حلوين لكن مش نفس خدمة السجق
134,ا
135,1 combo not two
136,مش هاقدر اكرر التجربة للاسف
137,الشاورمه بايته وناشفة وحاجه مش كويسة نهائي
138,Cold food delivered
139,مفيش اوردر جالي اصلا
140,جميل
141,THE WORSSSSTTRT
142,تاخير سعتين اكل بارد
143,Very bad fries taste and quality + big change in the quality of the mix-cheese fiteer (adding an alternative to the Kiri)
144,Took so long that it was cold and soggy
145,المندوب مش كان معاه باقي لفلوس الاوردر وقالي هعدي لما افك ومجاش غير أن الاوردر في التطبيق كان ١٤٠بالتوصيل لما جالي بيقولي ١٥٥ ليه مش عارفه
146,the food is came very late and cold I won't order from this restaurant again
147,الاوردر جالنا في حاجات غلط غير اللي احنا طلبينه
148,اسلوب الطيار وحش جدا و مرضيش يطلع و قعد يزعق
149,M
150,not the best food
151,الاكل ممتاز كالعادة لكن الديلفري المرة دي حقيقة كانت تجربة كارثية.
152,الاوردر وصل غلط و مش عاوزين حتي يبعتوا فرق السعر خدمة في منتهي السوء
153,الاكل سيء
154,محروق و سيئه جدا
155,الاكل كويس وكان فيه زجاجه بيبس هديه
156,"wrong feteer had been delivered. i ordered mix cheese, and i received chiken"
157,الاوردر جاي مقلوب فوق بعضه و متأخر و غيروه بعد ساعة ونص فرع الشروق حاجة صعبة اوي من اولها!!
158,even not Worth one star rating very bad restaurant
159,the fiteera mix cheese is by far the worst meal I had this year a cheese sandwich from a super market was to be much better bad experience
160,كنت طالبة وجبة جيبتها كزا مرة من عندهم والمفروض بيكون معاها فرايز بس جاتلي من غير فرايز، طلبت عيش زيادة الي هو المفروض فراخ مشوية طبيعي يكون معاها عيش بلدي بعتولي عيش برجر!!
161,اولا التطبيق قدم لي الحساب بسعر مختلف تماما عن سعر المحل مع الاسف ودي مش اول مرة تحصل يرجي تحديث الاسعار للن كدة امر مش كويس
162,الاكل حلو وصل بعد ساعة ونص
163,الشاورما نايه و الساندوتش يقرف الكلب الواحد رجع أعوذ بالله متعملو شغلكوا صح يمتعملوش انتو بتاكلو الناس فراخ نايه يا مقرفين
164,بجد و الله اوحش فطيره كلتها فى حياتى و صايصه و مش مستويه و حاجه صعبه مقدرتش اكمل ربعها حتى
165,الاكل بنسبه كبيرة فاسد مش طبيعي الواحد ياكل بعدها بنص ساعه بضبط المعده تتقلب والوضع يتحول لبهدله كده انا مش عارف ايه سبب الانحدار ده بس اخر مره هاكل من حمزه خاصة فرع اكتوبر
166,الاوردر سيء للغاية الفطير الكيري سجق بدون جبنة كيري و الفطير ناشف جدا و الحشو سيء للغاية ملفوف التونة أسوأ من الفطير 👎
167,greasy food bland and overpriced cream pie had 0 cream
168,الفطيرة كانت حلوة لكن كلها وقعت على بعضها
169,معانله زي الزفت
170,بعض الاسعار مختلفة ويطلب زيادة عند توصيل الاوردر
171,انا جالي فراخ باربيكو بارده
172,"The order came missing and late and i called the restaurant and they took a long time to respond and the manager told me that he will send the missing item and it didn’t arrive. It’s the worst customer service, i wont order from them again."
173,الطلب ناقص و المطعم لم يتوصل معيا و الدلفيرى جي من غير بوتشر
174,Too expensive for too little after i finished i was still hungry
175,طعم الحواوشى والكفته وحشين اوى وطعمهم غريب
176,مطعم سي
177,طلبت الاوردر عيش فرنساوي لكن اللي جالي عيش سوري الاكل مش طازه وقت التوصيل طويل جدا جدا جدا تجربه سيئة للغاية
178,We ordered a 4 cheese pizza and it came with peppers and olives. The delivery guy sat outside the wrong building and we tried to call him over. We ended up walking over to get our food from him. I tried to contact the help text and they were no help...
179,مكنش في طحينة في الوجبة
180,الملوخية كانت حادقة اوي المرة دي
181,Spicy tahini was nit delivered
182,G
183,الاكل مالح
184,The food was really good and the delivery was faster than I expected
185,البروست مش حلو خالص
