,comment
0,محشي الباذنجان و الكوسة لم يتم ارسالهم
1,Unfortunately the rice wasn’t cooked well!
2,"last time to order from el menus,the food is to cold and it arrived after 2 hours"
3,مكنش معايا نص جنيه والطيار كان علي اخره وهيدفعه من معاه وماشي مضايق معلش ممكن تقوله يعتبر نفسه ١٦ مش ١٧ ك خدمه توصيل يعني
4,no utensils provided and no bread
5,it was good
6,The best grilled chicken ever
7,Excellent taste super salads
8,"wasnt fresh, was burnt out"
9,الاكل بارد بسبب التاخير
10,"Chicken was not grilled, it tasted so bad! Also rice is of a very poor quality"
11,not delivered yet!!
12,الاوردر جه غلط كنت طالبه شيش جه كفته و اتنين بس
13,I ordered Kofta with rice and a small Mumbar dish.. The food was delicious and the portions were sufficient The delivery man was respectful
14,الاكل طعمه حلو و الكمية معقولة بس وصل بارد رغم ان البيت جنب المطعم
15,الاكل كله زيت واللحمه المفرومه في المكرونه مش مستويه
16,الكفتة نية
17,الاورد وصل بعد الوقت المحدد بأكتر من ساعه ونص والطيار ماكنش بيرد عليا وعلى الخريطه واقف مكانه مش بيتحرك خالص لوقت كبير و طبعا وصل بارد جدا
18,الاكل بارد و اتاخر جدا
19,الشيش غير الصورة اربع قطع مش اربع عصيان
20,not received. driver didnt pick it up. i waited w hours then had to cancel the order
21,Portion is very small
22,الطحينة اخر مرة كانت طعمها غريب جدا
23,الراجل الي في خدمة العملاء في منتهة قلة الذوق قلتله يكنسل الاوردر بعد ما طلبته ب ١٠ دقايق حرفيا مكنش لسة المطعم بدأ فيه مرضاش مع اني قلتله مش حستلمه يريت تعملو بلاغ فيه
24,الاكل كان كويس بس الكمية قليلة مقابل السعر
25,السلوفان لازق في وش البرام وقطع الفراخ ليست مطهيه جيدا
26,مش اربع قطع شيش كانو ٣ فقط و احجام صغيره، متكفيش شخص
27,الجودة مش زي كل مرة ... الفرخة مش مستوية كويس والبصل كذلك ... التتبيلة مش كويسة زي كل مرة ... مش ده المتوقع من أبو راوية اللي اتعاملت معاه كتير!
28,الفراخ كانت ناشفه جدا
29,جيد جدا
30,جوده ممتازة
31,الاكل كان بايت ووحش جدا
32,chicken shisk were 4 tiny bits.
33,اربعه قطعه صغيره ، وغير الصوره خالص
34,طاجن المسقعة مر جداً وهو زي ماهو يجي ياخده
35,عامل التوصيل فتح الطلب واكل منه قبل توصيله لنا
36,الاوردر جه غلط جه شيش بدل الكفته
37,وجبة الشيش ماكانتش أحسن حاجة، جودة الرز مقبولة، التومية حادقة بزيادة. لولا كان عرض ماكانتش تبقى قيمة مقابل سعر.
38,There weren't any nuts in Khalta ricr apart from the raisins!
39,Good
40,it's few
41,The food quality never disappoints begad tohfa
42,Driver was so polite and cheerful 😌
43,البطه حلوي مستويه كويس بس الاول كان بيجي معاها ورق عنب و بطاطس و مكسرات و خلاص دلوقتي التورد جي فاضي فريك و بطه
44,الطلب جاب نص وجبه. والدليفري معاملته زي الزفت
45,زودوا ضريبة على الاوردر بعد ما طلبته، واتفاجئت وانا بدفع انهم غيروا الحساب
46,Ns
47,لم اعطهم خمس نجوم عشان نسوا السلطه وعامل التوصيل سيء جدا
48,Great
49,mkrona w7sha w fdia
50,طلبات السلطه لم تنفذ
51,لله الأمر من قبل ومن بعد
52,اوردر رايق، فراخ مستوية حلو قوي، و رز حلو، و سلطات طازة،
53,العلبة اللي فيها الاوردر كانت مفتوحة من الجنب و الفويل حول الطبق مقطوع من الجنب برضه و واضح جدا ان الاوردر اتفتح و اتاخد منه حاجة
54,He is so rude
55,اكتر من ممتاز الشيش طعمه رائع و الكمية كويسه جيدا الطباخ ماهر فعلا
56,طلبت كفته بعتوا شيش طاووق
57,.
58,missing item
59,اسوء مكان ممكن تطلب منه أكل ❌ قطع الشيش طاووق تنفع للأطفال فقط ‼️ تجرُبة لن تتكرر 😒
60,Ok
61,الاوردر اخد اكتر من ساعتين
62,الحمامة صغيرة جدا و مفيهاش لحم خالص حقيقي مدايقة جدا المفروض جيباها من مكان محترم يكون قد الثقة
63,أسوأ تجربة دليفري على الإطلاق، وقت التوصيل متأخر بعد أذان العشاء، وعدم توجه الدلفري لاستلام الطلب في موعده، ووصول الأكل بارد، وغياب الدعم الفني لأكثر من ساعة وقمت بتسجيل شكوى بكل تفاصيل الطلب.
64,Y
65,اتاخر جدا
66,ممتاز
67,Excellent restaurant
68,الاكل غير ناضج بالشكل المطلوب
69,الفراخ كان فيها عضم كتير زيادة عن أي مرة قبل كده
70,الفراخ مش مستوية كويس وفيها دم
71,الاكل كان حلو بس جه متأخر عن الوقت بتاع بساعة الا تلت
72,الرز البسمتي طعمه وحش زي ما يكون بايظ ، الاوردر جالي غير اللي ف الصوره و قايلين ٣ اسياخ شيش طلع ٤ قطع فراخ صغيره و بدل ما يحط مخلل حاطين توميه ،،، تجربه سيئه جدا
73,Very late delivery
74,not as the picture
75,تحضير الاوردر اخد حوالي ساعتين!! الطيار مش ذنبه..وصّل الاوردر بسرعه بعد ما استلمه. شخص محترم
76,الرز بالخلطه عليه زبيب بس انا اول مرة اشوف رز بالخلطه عليه زبيب بس غير الكميه غير مناسبه مع السعر
77,الشكل غير مطابق للصورة الحقيقية
78,ممتاز أكل ابو راوية ...ربنا يباركله
79,الاكل كان فيه شعر
80,تاخير الطلب اكتر من ساعتين !!
81,علبه الشوربه جتلي مخرومه وبوظتلي كل الاكل فعلا اسوء تجربه اليوم وشئ مستفز عكس المرات اللي فاتت كانت ممتازة
82,مفيش شيش طاووق اصلا
83,ممكن تفتحوا توصيل محرم بك لانه مقفول و عاوزه اطلب
84,العكاوى وحشه جدا عضم وجلد
85,البطة صغيرة مقارنةً بالمرات السابقة رغم زيادة السعر
86,التوميه مش حلوه الفراخ جميله
87,الاوردر اتاخر جدااا وجالى بارد والفراخ وحشه جداا
88,عاوزه اطلب اوردر هو مينفعش الارز المعمر يفتح للطلب
89,الطيار انسان ممتاز و مظهره كويس و بيوصل الأوردر بسرعة
90,موصلش زي ما الكومنت
91,Perfect
92,Very slow delivery i waited 2 hours
93,فيه اختراع اسمه ملخ و اختراع اسمه سمنة سمعتوا عنهم دول
94,مش مستوية كويس
95,الاكل كويس بس التوصيل فيه مشكله ، بيتاخر جدا !!
96,طبعا انا متفاجيء من منظر الاوردر وكميه الميكرو اكل وسوء التغليف انا حسيت اني طالب طواجن من زعيم لا والله لو من زعيم مش هتكون بالمنظر دا ابقي كمان طالب ضاني يجي بفتيك بقري مش متسوي كويس طب معندكش ضاني قولي اغير الاوردر مش انت اللي تغير بمزاكك احذروا
97,التوصيل اتاخر جدا !!
98,كالعادة جميل جدا من افضل محلات المشاوي يمكن في كل مرة اطلب منة مفيش غير مرة واحدة بس اللي جابوا حاجة بايظة في الاوردار
99,ورقة لحمة صعبة جدا
100,السلطات قليلة اوي على فرخة و نص
101,الفراخ زفرة
102,جيد .. ولكن تسوية الفراخ كانت زائدة عن الحد
103,الريش عندهم مش احسن حاجة.. الكباب مميز والبرام
104,مكرونه سي فود سيئه جدااااااا والله اترمت مفيش فيها سي فود اصلا و مكرونه مهريه نفي فيها صوص و كفتة الجمبري لا تمت الجمبري بصله عباره عن عجينه طعمها وحش مقليه
105,اصابة الاسرة بالكامل بنزلة معوية بعد تناولها مكرونة فرن و محشي مشكل و مشاوي
106,السلطات قليله اوي
107,Food wasn’t hot!
108,مش مستوى
109,بس السلطات متبعتتش
110,اكل غير مطهي بشكل جيد
111,اوحش و ازفر فراخ اكلتها
112,Tastes bad
113,D
114,الاكل كان طعمو وحش جدا و اترمت في الزباله
115,Great food
116,برامين رز محروقين زى الزفت مقدرتش اكمل من اول واحدة
117,الاكل كان وحش اوي مش مستوي
118,اللحمة جودتها قليلة في طاجن الخضار علي العكس تماما اللحمة في طاجن اللسان عصفور ممتازة لكن جودة اللسان عصفور سيئة
119,من النادر انكم تبعتولى راجل محترم كده و زوق يا رب الشركه كلها تكون زى الراجل ده
120,وحش جدا
121,👍🏻
122,لم يوجد سمبوسك جبنة لليوم الثانى على التوالى
123,طعم الكفتة و الطرب مش حلو دا غير ان الكفته كأنها معموله جريل مش فحم او مش طازه و الطرب نفس الفكره الكباب هو اللى كان كويس
124,الطحينه والتوميه بايظين .. والعيش ال مع الاوردر وحش اوي محروق وناشف ووحش جدا .. الاكل نفسه مش مستوي كويس .. طعمه فبه زفاره خصوصا الطرب
125,الطرب مكنش مستوى خاااالص كان ني جدا🤮🤮🤢 وزفرررررر
126,الاكل مش مستوي والفراخ كلها دم
127,كتابه بدون بصل جالي ببصل
128,عدم الإلتزام بالملاحظات
129,الكفتة سيئة جداً وطبعاً مش بيبان الا لماتاكلها بقايا عظم صلبة صغيرة الحجم وذلك لايليق بمطعم محترم وانا حبلغ صاحبه عشان دي سمعة واكيد مش حيرضيه ابدا اللي بيحصل وانا بحب المطعم ومكنتش متوقع بصراحة أن الكفتة تكون بالشكل ده
130,تمام بس الفرخة المفروض تبقي مش اقل من كيلو و٥٠٠ جرام هيا تقريبا كيلو و ٢٥٠ جرام
131,"No problem with the delivery, It was fine"
132,My favorite restaurant in Elmenus❤️
133,طلبت محشي كوسة طعمه حمضان
134,طاجن اللحمه مالح اوي والنجرسكو حاميه البوهرات كتير زيادة عن اللازم يعني اخركو فراخ مشويه المطبخ والطبيخ دا اخر تعامل فيه
135,طلبت نص فراخ شيش لكن استلمت نص فرخه عاديه وطعم المشويات ونوع اللحوم اقل من العادى
136,مكنش فيه طرب اصلا ال انا طالبه الاوردر عشانه وحاجه فى منتهي العبث
137,Very bad الفراخ ناشفه جدا
138,١- المشوي مشكل المفروض كباب و كفتة و لحمة. جاي بس كفتة و لحمة !! ٢- السلطات على الكيلو طحينة و بنجر و مخلل بس ! آخر مرة من أبو راوية
139,المرة دي البطة كانت مش مستوية. رغم إننا دايما بنجيبها وبتكون ممتازة
140,❤️
141,"Perfect as always, keep it up ❤️"
142,تحفه بس ليه السلطات قليله جدا جدا عن اخر مره الاسبوع الفات ٠١٠٩٥٢٠٣٠٦٠
143,ال
144,وصل الاوردر بعد ساعه الا تلت من اخر ميعاد متوقع و الاوردر وصل بارد جدا
145,Perfect as always keep it up.
146,My request ignored?!
147,سلطات سيئه غير مطابقه للمطلوب مفيش عيش
148,الفراخ بايته بجد حسبي الله ونعم الوكيل
149,غيير مستويه و يوجد دماء بها
150,الاكل بارد
151,للأسف الطعم غير جيد
152,السلطات اللي بتيجي مع الاكل حمضانة 🥲🥲و الفرخة صغيرة اوي
153,الاكل واصل بارد جدا
154,الموزة فيها مش مستوية و بتشد و الاوردر اتأخر نص ساعة و مكنش سخن بالشكل الكافي و خدمة العملا لما تواصلت معاهم مستفدتش منهم بأي حاجة
155,مشكله دائما في السلطات
156,No order was delivered
157,الاكل دايما حلو.. بس المرادي مكنش في حاجة مستوية.. والطلبات الخاصة محدش بيشوفها
158,فراخ نظيفة جدا ومخلية وطعم الشوي حلو جدا والسلطات كتير مطعم محترم جدا و كواليتي عالية
159,الاوردر بيوصل ف اكثر من اكثر من ساعتين
160,جميل جدا
161,عادي
162,The app took so long to assign a driver to my order ana the order arrived 2 hours later and very cold
163,عدم الإلتزام بملاحظاتي
164,حرفيا قعد ثلاث ساعات
165,عدم الإهتمام بملاحظاتي
