,comment
0,كاتبله كريب بطاطس سبايسي جابه مش حار وطعمه عادي جدا كاني باكل سندوتش سلطة بالبطاطس بس للامانة جاي سخن وتغليف كويس
1,كمية الشاورما قليله في طبق الاكسلانس و الطبق عبارة عن ارز
2,تاني مرة الاوردر ييجي غلط و الاكل بارد و ما بقاش يساوي السعر
3,food was cold
4,tomatos in the meat was not fresh
5,للأسف البطاطس كانت مش مستوية، ودا على غير العادة من فضلكم حافظوا على جودتكم
6,"و فاتن من المنيوز بتسبتني هي كمان عشان الشفت بتاعها خلص""هيتم التواصل بحضرتك حالا يا فندم وانا وضحت بسرعه استبدال الايتم لحضرتك فى اسرع وقت"" و هي اصلا خلصت الشفت و مروحه تاكل في بيتها و المطعم قفل و بجد كسمكم كلكم"
7,الاكل زي الزفت زيكم بالظبط مطعم يستاهل الحرق بعتنلي رز؟؟ و رز زي التلج الله يحرقكم بجد قرف بعتنلي رز ب 175 جنيه انا هرفهع عليكم قضيه لحمايه المستهلك و هقفلهلكم وهرجعكم بلدكم باذن الله يا حراميه
8,حسبنا الله ونعم الوكيل في ده معطم أن شاء الله يرفع قضية عليه اكل كله معفن
9,ممتاز جدا والتوصيل سريع جدا ومندوب التوصيل محترم جدا جدا
10,Food was cold
11,الابليكشن نصابين - بياخدوا الفلوس ومش بيرجعوها غلطت في العنوان، كلمت المطعم حلوا الموضوع في دقيقتين ووافقوا يلغوا. خدمة العملا حولتها لكابوس. بعد ساعة جدال، قالولي اقدر آخد الأوردر بنفسي الساعة 2:10 ص. وافقت وبعتلهم 2:38 ص اني جايه. تجاهلوني نص ساعة،...
12,الاورد جاه ناقص و التجربه فاشله هديكم زيرو عشان الحاجه ناقصه و كمان أنا محكوم بوقت شغل و بريك
13,Z
14,زفت الزفت
15,الاكل بارد جدا وطعم الفراخ وحش جدا ...الدليفري معملته واسلوبه سيئ جدا
16,"While it was tasty, the portions and sauce were too little, the top half of the crepe was empty."
17,الاكل بارد واللحمة مش مستوية كويس
18,"I found a bone in my chicken, i would understand if it was half of a chicken meal, but it is a chicken strips meal, so there isn’t supposed to be any type of bones in the meal that I ordered."
19,Will order again. Delicious. Fresh. Great delivery experience.
20,The order is very cold
21,ualw
22,اللحمه طعهمها مؤرف اووووووي انا كنت هارجع
23,Food was cold Shawerma lahma has too much fats
24,The food was cold and messy
25,Your customer service is very bad
26,great
27,و
28,تاخير توصيل الاوردر و الاكل مكنش سخن طبعا وقطعة الفراخ كانت صغيرة جدا
29,دافعة ثمن جبنة موتزاريلا والساندوتش مفيهوش ذرة موتزاريلا 👎🏻👎🏻👎🏻
30,Received chicken plate instead of mix
31,الطلب وصل متأخر عن الموعد ساعة و ماكنش سخن
32,الاوردر جه ناقص
33,الاكل كان كله مميز شاورما الفراخ جامده جدااا و الفراخ المشويه نضيفه و طريه بس التوابل خفيفه خالص و طعم الشواء واضح دي تالت تجربه ليا و اكيد هجيب منه تاني
34,I got mix shawarma meat and chicken crepe even though i order mix chicken crepe And the strips pieces were tooooo small
35,2 hours till i got my order and it was cold
36,كان وحش جدااا فراخ فاسدة
37,مستلمتش الاوردر ومحدش ساعدنى
38,الاكل جه بعد ساعتين
39,"I’d like to report a very rude and disrespectful delivery driver. His attitude and behavior were completely unacceptable — he spoke impolitely and showed no professionalism. I expect this to be taken seriously and appropriate action to be taken, as t..."
40,مفيش واحدة تومية جاية مع ٣ ساندوتشات!!!
41,سئ جدا صراحه
42,وصل بارد و متاخر شويه
43,سىء جدا معجبنيش فته الشاورما والفراخ مغرقنها توميه بطريقه فجه والطعم مش احسن حاجه
44,الكريب ناشف جدا بشع
45,Driver was very bad and has an attitude
46,الاكل مزيت الكريب كان من كتر الزيت بينقط زيت الاستريبس مكنش في الاوردر واضطريت اعمل شكوى جالي بعد ساعة مزيت ومش حلو اخر مرة هطلب من المطعم كان زمان احسن من كده بكتير
47,كواليتي البطاطس مبقتش زي الاول و طبق الشيش كمية الفراخ قليلة
48,الاكل كان وحش اووووووووووي .. الرز وحش .. الاستريبس الكراست بتاعه كان بايش .. مافيش شاورما فراخ و البطاطس وحشه جدا و مزيته و مافيش توميه و الاكل في العموم كان بارد
49,الثومية كانت واقعة فالكيس و كل حاجة اتبهدلت جامد
50,منصحش بيها .. لازم تطلب طبقين عشان تشبع
51,الاكل جاي تحفه بصراحه طلبت وجبه السكلانس الارز لطيف كميه لشاورما حلوه وتوميه فظيعه وكريمي وكولوسلو فريش وچوسي والستربس حلوه وطلبت ساندوتش بطاطس سوري جاي معاه علبه توميه ولطيف اوي اوي اول مره اجرب منه وكمان وجبه عرض كنت فكراها هتيجي فقيره بس تجربه تحف...
52,ممتاز ، المشكلة بس الطحينة عنده سيئة جدا مش طحينة أصلا ، بس الأكل ممتاز
53,Greatttt
54,The driver was very helpful
55,❤️.
56,شكرا للدليفري
57,الاوردر كان نى و الشاورما كانت نيه ووحشه و الفراخ بدمها تم استرجاع وجبه للمطعم و اخذ الفلوس مره اخرى
58,عرض السكالانس...الرز جي بايظ في رز يجي معظمه لونه اسود و ريحته فيه عفونه ميتاكلش !!! و قطع الستربس فيها دم وبرضو مسوده من جوه!!! انتو بتدوا الناس بواقي اكل قديم؟؟!!! دى اول مرة اشوف عندكوا كدا و اضطريت ارمي الوجبة كلها و طبعا مش حاطلب تاني نهائي...
59,الاكل جميل لكن برجاء التغليف بشكل أفضل
60,ولا أطعم
61,Bad attitude of the driver !
62,الطيار تكلم معايا بطريقة وحشة
63,مكان الدليفري غير دقيق
64,محدش بيهتم بالنوت الي بكتبها و مفيش اوبشن اني اختاره سبايسي غير من النوت و مجاش سبايسي
65,wrong order
66,Low in checkin alot of oils and l tomya fl kes bsh3a fen l 3lba
67,❤️
68,الفرخه كانت بدمها
