,comment
0,للمرة الرابعه الاوردر يجى ناقص و ده بعد تأخير كبير جدا بجد حرام يبقى مطعم محترم و الوضع بيسؤ منهم جدا فى الإدارة
1,شوربة لسان العصفور طعمها تحفة طعم المستكة باين و واضح بس لسان العصفور ني و متكتل و مكتوف في الوصف لسان عصفور بالفراخ فلو المقصود انها مرقة فراخ طبيعي برجاء التوضيح لأن انا توقعت ان يكون فيها حتت فراخ، الشركسية عالمية طبعا بس الرز محتاج يزيد شوية
2,اسوأ تجربه الحمام تقريبا في حجم عصفوره و مجلد الرز الحشو معجن تماما و الطحينه ك الماء للاسف رميته
3,Not best value for money a lot of rice very little meat / chicken
4,الفطيرة ربع فطيرة و لا فيها سمنة و لا سخنة و الغموس قليل
5,ام يتم تسليم الشركسية
6,ورق العنب كل مرة اسوأ، اللفة كتيرة و مش ملفوفة كويس. ابو السيد كان بيتمتع احلى ورق عنب. للاسف بقى سئ
7,الشركسية الفراخ بالغضاريف!! معقول
8,المسعقه بدون لحم مفروم ، الطلب بدون اي معالق ،
9,السلطة كمية فلفل اسود رهيبة، بطلبها دائما بس اول مرة تطلع وحشة ناهيك جت سخنة علشان في نفس الشنطة الي فيها الاكل سخن. رمتها. ورق العنب مالح قوي قوي
10,الكمية قليلة اوووي و لما كلمت مدير المطعم بيقولي ان الكباب عندهم في قائمة المقبلات معرفش ده في بلد ايه ده
11,هو المفروض رز معمر بالحمام بس جه من غير حمام
12,Packages are messy. Have to change containers
13,Very small portion. The order arrived after 90+ minutes.
14,رائحه اللحمه سيئه و الطحينه ك المياه للأسف
15,worst experience I ever had .for sure there was no chef in the kitchen the quality and packing is worst food I had in years .it went directly to the trash
16,on the fatah there was an excellent piece of meat and another piece of something I do not know what it is!!!!
17,كمات قليله جدا. استغلال حرفيا
18,Food poisoning
19,the food is perfect but the packaging is very bad
20,اللحمة كانت ناشفة اوي و كلها ذهون
21,very few pegeon pieces
22,كفته داوود باشا طعم البصل فيها كان قوي جدا، وطعمها بشكل عام وحش الملوخية وحشة جدا الحمام حلو الأرز بكبدة الفراخ حلو
23,اكلت فى هذا المطعم واديته٥ اصفار صفر فى الطعم صفر فى الجودة صفر فى الكمية صفر في شكل الطعام صفر فى القيمة مقابل السعر مطعم صفرى ولا يصلح الا للاغلاق حاجة عمرى ما شوفتها في حياتي
24,المستوى متدني جدا جدا
25,Packaging is really bad 😑
26,How can order for normal low cost Egyptian food costs 300 above and it is enough just for 1 person
27,للعجب الشديد الشوربة كان طعمها سيء جدا بسبب انها كانت خفيفة للغاية وليست دسمة اطلاقا! وللعلم: شوربة الكوارع شوربة سميكة وكلها دسم ودهنية وليست مخففة بكثير من الماء مثل الشوربة التي وصلتني من أبو السيد! ايضا كمية الكوارع الموجودة فيها كانت قليلة جدا ...
28,The worst chicken and rice I have ever eat 👎
29,Packaging of Circassian chicken was messy. And special request was ignored.
30,duck not well done. no nuts .no chicken in orzo soup which was half spilled
31,"Terrible taste, order not matching description, Poor packaging everything is dripping, bad bad taste"
32,انا كرهت البط بسببكم ايه القرف دا غير وجع البطن بعد الاكل
33,الاكل سئ جدا أسوء تجربة اكل كلتها ف حياتي انا طلبت بط و الي جالي شكله غريب و طعمه سئ
34,order missing 1 salad
35,السلطة طلبتها من غير صوص جاية مليانة صوص، الكوارع لونها بني غامق قرفت اكلها ونصها جاي مدلوق رغم كمية الفويل المرعبة، الحمام بقى مهربد ودبلان وواصح انه كان بايت واتسخن حتى ما اعادش تحميره حتى، والله ما فضلي غير الباذنجان والطحينة كبيرة قوي شوربة
36,طلبت حمامتين، لو بيقدموا الاكل لكلاب هيبقى انضف من كدة، واضح سياستهم لو مش عميل دايم اديله زباله واكل مقطع اول مرة مطعم يبعتلي حمام محشي واحدة مقسومة وواحدة كأنها مقطومة وقطع الكوارع لونها اسود قرفت اكلها والله حاجة حزينة
37,the portion became almost the half
38,"I ordered 2 om ali and 2 mehalabeya I received the om ali totally burnt and the mehalabeya liquid like a soup. When I made a complaint, the delivery manager answered me and sent me two uneatable om ali and the mehalabeya exactly the same!"
39,الاكل حلو وتحفة،،،،بس حاجة واحدة بس نسيتو معلقة وشوكة بس مش مشكلة ،،،،شكراااا ليكم
40,حلو جدا
41,Wow
42,كويس جدا
43,الأكل كان فقير جدا بمعني انه كان يفتقر للتوابل او الكمية و و الرز المعمر كان ناشف جدا كنت متوقعة الأكل احسن من كدا
44,Very bad experience
45,Half the order didn’t come and then they sent the other half after an hour
46,Very bad quality by all means
47,طلبت شعرية بالمكسرات وبط للأسف من أسوء المطاعم وتجربة سيئة جدا جدا
48,بجد مش مصدق ان اكل ابو السيد يكون سيء جدا كدا ال packaging سىء جدا وتقريبا الاكل كأنه بايت بجد مش متوقع من مطعم كبير ورحت كتير و محصلش قبل كدا ولا عشان ده delivery
49,حلو
50,تمام
