,comment
0,الكفتة وصلت غلط و المطعم عايز فلوس زيادة
1,جيد
2,الاوردر بدون كفر ( ملعقه وشوكه ) الكباب غير مستوي والأكل بارد
3,الفراخ نيه غير ناضجه و المحشي و الممبار بايت غير صابح و الأكل بارد .. و الطعم غير مقبول .. للأسف على غير المعتاد
4,جيد جدا
5,Missed the sesame salad
6,توصيل طيارين مطعم ابو شقره اغبي شئ من الشركه
7,ناقص الخضار
8,Your menu is incorrect. It states that the meal comes with 2 sides when the restaurant only serves it with 1.
9,there is a missed item quail arrived without khalta rice
10,good
11,Missing item
12,ما ينفعش يكتبوا رز بالخلطة و ييجى رز سادة
13,شغل رايق ي باشاا
14,مش محلات الدهان الحراميه
15,الخضار السوتيه اللي كان بيتعمل قبل كده أفضل كتييير
16,الوزن مش مظبوط بيكون ناقص ٢٨٪ من الوزن زود التوصيل بعد تأكيد الأوردر الخبز كان جاف لكن الجودة جبدة جداً لكن مش ممتاز
17,للأسف للمرة الثانية يصل الطلب مختلف و ناقص طلبت وجبة كفتة و ارز بالخلطة و خضار سوتيه جاء كفتة و ارز ابيض و الخضار السوتيه عبارة عن قطعتين صغيرتين كوسة و قطعتين صغيرتين جزر و عود فاصوليا خضراء
18,الاكل بارد كأنه طالع من الثلاجه و التوصيل متأخر
19,side dish was fries instead of rice and took 2 hours to arrive
20,قطعتين دجاج ميكملش 50 جرام
21,tasty
22,late order
23,الطلب خاطئ طلبت كفته جالى شيش طاووق
24,ممتاز
25,الفراخ البانيه زفره و رحتها وحشه اترمت
26,"The order estimated to arrive at 7:11, it arrived at 8:00"
27,They got me different Tagen
28,not cooked well
29,الاكل برد
30,nice
31,الاكل كله تمام بس السلطه للاسف الخس كان فيه دود
32,Worst order ever
33,كان مكتوب أن الطلب بتاعي حمام محشي ورز بالخلطه،،،وصلني حمام محشي وبطاطس محمره فقط
34,الفراخ حلوة اوي لكن عيبه مش بيبعت سلطة
35,الشوربه تحفه
36,Worst ever
37,الكفتة لم يتم احضار الارز معاها كالمعتاد
38,"الشيش طاووق ناشف ""over cooked"" و بارد والمسقعة دون المستوى"
39,مش نفس مستوى كل مره ، البطاطس مش مستويه و الفراخ و السمان مليانين زيت و الطعم مش زى كل مره
40,The order never arrived I didn't receive it And I called the restaurant they said they will cancel it
41,ا
42,الاكل مش مستوى وفى دم فى الفراخ حاجه تقرف بجد عايزه اوريكو المنظر
43,الاكل ني و كله دم
44,اوردر بارد و غير مغلف
45,very late delivery that the food was cold
46,محلات ابو شقرا باظت
47,مبدئيا جالى اوردر غير ال انا طلبه ولا فى طحينه ولا عيش محمص! جالى وجبه فيها صباع كفته وشويه رز قليلين جدا جداا مع شويه خضار سوتيه.. مش هطلب تانى الصراحة
48,وصل بعد ساعتين وشويه
49,الرز كان شايط و ملوش طعم
50,شيء للغاية اسوا تجربة
51,الفراخ كانت بايته وبتشد
52,دائمآ الاوردرات بتيجى غلط
53,بارد و جاف
54,"Chicken meal worst kids meal ever, s Very hard to eat it and over burnt"
55,مطعم غير محترم و ادارة غير محترمة. اوردرات غلط و اسعار غلط و تأخير و الغاء اوردرات. لا احترام لهم للعملاء الدائمين و غير الدائمين
56,مع اني دايما بطلب الكفتة والكباب فيييل بتطلع دسمة جدا والطعم سئ جدا جدا
57,i ordered a meal with rice and grilled veggies but i received inly the chicken and 2 loafs of bread!!!!!!!! i didn't receive my MEALLLLLL
58,الاوردر أتأخر عن ميعاد وصوله نص ساعة، الفراخ نشفة جدا تقريبا الشيف نسيها علي الجريل فنشفت منه، والسوتية كان نئ، و الطحينة حمضانة، مش بس كدا الاوردار كان ظاهر عندي ع الابلكيشن إنه وصل كلمت الفرع قالي المندوب استلمه غالبا اخر مرة اطلب من ابو شقرة تاني.
59,"Food is good, but the communication between this app and the restaurant is poor. Ordered an item that wasn't available and not mentioned on the app that it wasn't available. So they called to change the order, to which I changed order to two ""Shakra ..."
60,👍🏻
61,حاطط كام فتله بقايا لحمة كدة متكملش ٦٠-٧٠ جرام في الرز المعمر وكمان مش جاي في طاجن جاي في بلاستيك ومش طازة متسخن
62,"should've added tahini or salad with the order, also they missed the fork and spoon"
63,الاورد وصل ناقص ٢ سلطة ذبادي
64,الفراخ مشويه كويس بس حجمها صغير وتتبيلتها مش حلوة
65,للمرة التالتة اللي اطلب الاوردر ويجيلي صدر الفرخة مقسوم واشتكيت في ال٣ مرات وبردو مفيش فايدة هو انا بطلب الأكل ببلاش يعني حاجة فعلا مستفزة جدا!!!
66,Driver was very late
67,ورق عنب زفت
68,Delivery extremely late
69,المرة السابقة وجبة الملوخية جات بدون دجاج، اللي قبلها نسيتو وجبة فراخ مشوية كاملة، و المرة دي مجبتوش ورق عنب، مش عارف كل مرة تقزليلولي هنبعت المرة اللي جاية، حاجة قرف بجد
70,الاكل سىء جدا
71,Waiting time was tooooooo long and got us the order with missing items
72,اول مره ابو شقرة يبقي فراخه زفرة و الورق العنب كان سيء جدا و ناشف و من غير نقطه ملح
73,Fantastic
74,Worst experience everrr!!!! I ordered shish tawook Meal with rice khalta and I received rice basmati instead and a very bad quality taste of food and it was cold. I would never repeat it again بجد أسوأ تجربة ومش هكررها تاني .. طلبت اوردر وجبة شيش طا...
75,العدس صايص
76,كمية الصدور قليلة جدا جدا جدا
77,الاكل كان سي جدا شبه فاسد و غير صالح للاكل
78,االديليفري راح المطعم بعد ساعه ونص من الطلب
79,طلبت وجبة شيش طاووق مع شوربة لسان عصفور ورز وسلطة خضراء جالي شيش طاووق مع رز وتومية وتوست محمص
80,Missing item ( tahini )
81,طالبة اوردر ٣ صدور فراخ مشوية ، قاسمين الصدر علي اتنين شىء سيء جدا ومستفز وتعتبر سرقة الحقيقة!!!
82,الاكل مش الذ حاجة
83,كمية الفراخ قليلة جدا جدا بشكل مستفز
84,الحمامه للاسف سببتلي تسمم
85,The pack was opened and the driver took some kebab from my order I can see the opened package so clear
86,Wrong order three times in a row!
87,طلب وجبه ناقص ووجبه وزنها ناقص باقى الوجبات كويسه
88,مجاش غير شوربة عدس واحدة و أنا طالب إثنين ومجاش عيش محمص مع العدس و المحشي كان طعمه وحش جداً
89,للأسف المره دي كانت جودة الاكل اقل من اي مره سابقه اتمني المستوي يفضل زي ماهو او يزيد ، مايقلش
90,الشوربه مدلوقه على الاكل بدون سلطه قطع الصدور صغيرة و ناشفه انا متعود اطلب نصف فرخة ولكن هذا عرض سيء
91,الطعام أكثر من رائع وجبة شقرة شيك مشبعة وجميلة تسلم ايد الشيف
92,البطاطس كانت سيئة جدا
93,Very bad
94,Not fresh this time.
95,الشيش طعمه حلو والشوربه لكن الطحينه مش حلوه خالص فيها طعم لاذع زي ماتكون بايظه والرز كان بايت ومتسخن فوحش قوي
96,الاوردر جاى ناقص ربع كفته
97,Food was amazing. There was an issue with the ordering experience
98,الاطباق وعلب الطعام وصلت مقلوبة ومطبقة لدرجة إن الطعام خرج من الاطباق وعلب الطعام
99,الاوردر كان جميل لكن مكنش في طحينه
100,Portions is very low
101,مكنش طازج زي كل مره و كميه الرز و الخلطه قليله جدااا
102,Food temperature
103,Not good
104,Food not hot at all
105,مليان زيت وللأسف كان بينقط زيت والطبق مش متغلف كويس لتاني مرة
106,طلبت الاوردر شيش صدور جالى وراك برضه و دى مش اول مرة
107,Chicken was raw. الفراخ ماكنتش مستوية
108,الطعم مش حلو خللص ولا في تتبيله وحسه اني باكل لحمه نيه 🙁
109,الاوردر موصلش زي ماطلبتو والشيش في جلد وعضم ومش مستوي كويس 👎👎👎👎
110,بوكس الشاورما جاي من غير البطاطس
111,بجد شكرا انكوا أخذتوا notes في الاعتبار و جالي كل حاجة زي ما طلبتها بالظبط وأحسن الاكل كان سخن و فريش و الكمية كل حاجة مظبوطة🤍
112,أحلى شيش طاووق
113,للاسف ولاول مرة يخيب ظني مع ابو شقرة البطاطس طعمها مش حلو ومقلية ف زيت زنخ الاكل كله جي بارد خصوصا الشاورمة الثومية حمضانة الكفتة هي الحاجة الوحيدة العدلة ومع ذلك باردة وايضا الميني مش طارة …! الرجاء الاهتمام يا ابو شقرة انت تاريخ كبير
114,مطعم جميل اوي والله ، وجبة خرافية ابو شقرة دا مكلتش فيه يمكن من ٧ سنين و لسه محافظ علي نضافته من ساعتها كنت باكل فيه كل يوم زمان
115,Not hot at all 😡
116,بيوصل بارد الفراخ
117,الاكل باااااارد
