,comment
0,بالسم الهاري عليكم بالسم الهاري عليكم بالسم الهاري عليكم
1,"I ordered EXTRA fries and EXTRA chicken to my Shawerma sandwich and what I got was 3 very small fries inside the sandwich for the extra fries, and 3 small extra chicken sgawerma pieces TOTALLY UNACCEPTED"
2,الأكل جي بارد كأنه من التلاجه
3,"70 EGP for fries in a very tiny box, with most of the fries literally looking like they're spoiled with green & black patches on them... had to throw it away cause im not about to get some food poisoning or u would have been held responsible for it"
4,The sandwich and bread was very cold and not tasty at all. Also the chicken was too little.
5,الاكل ميتاكلش وحش و زفر قرفتونا بجد
6,Very bad experience n so exaggerated delivery fee(90 pounds for 4 kms)
7,مواعيده سيئه جدا
8,اتصلي الكابتن وقالي انا عندك واخذ ساعة بالضبط ع ماوصل
9,Order option is not clear
10,The food was cold
11,The Arabian Shawarma came all messed up in the box The meat used in the Sambas is horrid
12,Order was not complete at first time
13,Delivery fees is too expensive as elmenus delivery fees was 40 and the restaurant take from me 40 extra
14,Very expensive
15,مش فريش وكمان المره اللي فاتت الخبز كان مش فريش والبطاطس بايته
16,It was so late and cold
17,كايزر شاورما لحمة كويس شاورمة فراخ مش احسن حاجة البطاطس وحشة جدًا الاكل جي بارد
18,البطاطس وحشه جدا مجلدة اوي الهلابينو طعمه غريب تقريبا بايظ و اترمي و المناقيش صغيرة و رفيعة اوي home made sandwich is much better
19,Extremely disappointed!!! Awful experience Salad was rotten. Smelled like rotten eggs. Unacceptable!!!!! I am asking for a refund. Restaurant representatives behavior was unacceptable.
20,الشاورما باردة جدا الكمية قليله جدا جدا العيش مش واخد تسوية اول واخر مرة
21,زفت بصراحة
22,Nice one!
23,التبولة بايظة
24,بارد جدا والفينو مش طازة
25,The delivery very very late 😔
26,نصابين وحراميه ومش هطلب منهم تاني ومحلات الشاورما على افا مين يشيل الدنيا مش واقفه عليهم اكيد واكيد هما الخسرانين مش انا
27,Bad
28,سيء جدا المرادي بجد الشاورما في الكايزر
29,غالي جدا جدا بشكل مبالغ فيه
30,محتاج بكون معاه سوسات
31,Tastes really bad Way overpriced for the quality and taste
32,Food wasnt hot was cold and not tasty
33,١٥٠ جنيه توصيل !!!! ده ثمن اوردر ياجماعه حسبي الله ونعم الوكيل
34,not good
35,Delivery fees is too much
36,العيش بايت و الكوردن بلو وحش جدا و بايت
37,Shawerma Araby was spicy and it was not written on the description
38,Special request ignored
39,غالييييي اوييي علي عدد القطع، والطعم عادي
40,.
41,Delivery was so late The food was amazing though
42,الاوردر موصليش و اتكنسل مع الفرع .. ممكن اعرف الفلوس هترجع امتي؟؟
43,انا طلبت ان ميبقاش فيه سلطات علي الشاورمه وكانت كلها سلطات للاسف بقدونس علي خيار وتوميه
44,"Item missing, cold food, late delivery"
45,Cold food
46,العيش لازم يتحط بره. جه بإيش ولا يؤكل
47,يوجد أصناف ناقصة كذلك لا افضل وجود كوكاكولا في الوجبات برجاء توفير منتج بديل
48,البطاطس باردة وحتت محروقة منها ورفيعة جدا وطعم الجبنة في الساندوتش صعبة جدًا والساندوتش فقير بشكل
49,كلو حلو بس المشروبات مقاطعة
50,The chicken has lemon taste that I didn’t like
51,ساندوتش السوبريم مش افضل حاجه خالص و طعمه غريب شويه ساندوتش الشاورما محترم
52,Tasted weird now my stomach hurts
53,crispy sandwich is very small.
54,الثوميه اللي مع الاكل طعمها مش حلو والساندوتش متغرق ثوميه وطعم الفراخ مش واضح اوي مع انها حلوه محتاجين نخفف ثوميه جوه الساندوتش والبطاطس كمان بايته مش فرش
55,"Food wasnt good, and not full of meat or chicken shawerma mostly salad and sauce"
56,"doesn't deserve the money, too expensive on a very ordinary service"
57,The food was very cold
58,الاكل سئ جدا مليان زيت والشاورما قديمه والحمص قديم
59,الاكل كان بار ووحش وكلو زيت وجالي ٣ قطع بس كل مره بيجيلي ٤ او ٥ بجد مش هطلوبو تاني
60,Food came very cold
61,و
62,Not all items were of a good quality
63,Falafel sandwich was very bad .. the lettuce not fresh and tastes very bad the vegetables horrible tomatoes and lettuce 😕
64,taste is not that good
65,Very very late delivery and received wrong order
66,كان البطاطس احلا زمان
67,All
68,You need a new chef. The food is tasteless.
69,Very bad experience and won’t be repeated
70,جيد
71,They forgot the extra fries
72,ممتاز
73,الاكل وصل متأخر وبارد
74,"This is the second time for me to get sick from the “crispy meal”, something is wrong with the chicken"
75,The quality is worse than before
76,good food and fast delivery but it's very overpriced
77,deserves more than 5 stars
78,I asked for extra garlic it came without garlic
79,worst shish tawook everp
80,Horrible
81,Order was very bad Sandwich came spicy while I didn’t order that Fries are super oily Coleslaw smelt bad I literally threw it in the bin The whole meal is a disaster
82,الكمايتة الاشكال الضالة الشمامين عمالين حملات على المطاعم الأجنبية علشان متغاظين منهم أنهم بيشتغلوا وهما مش بيشتغلوا علشان قاعدين على القهوة طول اليوم. وفي البلكونات بالفلنات الحملات مدمنين المخدرات اللي بيحششوا ٢٤ ساعة.
83,it came so much smaller than the last time and it was the same price which is not cheap
84,The delivery was too late
85,اسوء مطعم في العالم اكل سيء لا نظافة لا طعم لا ذوق لا مذاق خدمة سيئة
86,The rice was rotten
87,Always come not hot
88,Fries is missing
89,The portion is small
90,اسوأ بطاطس شفتها فى حياتى
91,ارجع بلدك و اكل اهلك و شعبك الاكل الزبالة دا ارجع بلدك يا لاجيء يا هكسوسي #مقاطعة_محلات_اللاجئين_واجب_وطني
92,أكل غير نظيف سيء طعمه زفت بايت خدمة زفت
93,اكل زبالة طعم مقرف اكل بايت مش نظيف خدمة سيئة
94,اكل زبالة و خدمة زبالة اكل زبالة خدمة زبالة
95,خبط جاااامد جدا والساعه اتنين بليل وبيتكلم كأنو بلطجي
96,اسوووووء مطعم واسوووء اكل ذوقته وتعامل خدمة العملاء سيء جداااا لا انصح به اطلاقا
97,الكيزر صغير جدااااااا
98,🚨
99,Good
100,كانت الشاورما كان فيها طعم مرارة جامد
101,المطعم كلمني عشان يقولي ان السعر اللي علي ال application غلط. ان هما زودوا السعر ٢٠ جنيه علي الدليفري و طبعا رفضت ادفع. عيب كده
102,الساندوتشات كانت باردة جدا
103,food was cold and didnt taste as expected
104,Worst experience I got sick after eating this sandwich and went to hospital! Order came late! Order came cold!
105,Shawarma Smells very bad and not fresh at all.. don’t order and save your money
106,The food was cold and the delivery tool more than 2 hours and the support behaviour was awful
107,اكلهم طيب ونضيف بس غاليين شوية
108,Tomatoes in the shawerma sandwich was rotten
109,Akleah meat meal was not as good as usual and the extra pomegranate molasses wasn’t added although I paid for ittt
110,the support from the restaurant was incredibly unorganized!!
111,Food was cold
112,K
113,"It took 3 hours and 3-4 phone calls with the restaurant to get my order. After 2 hours, I called to check on my order only to know that they didn’t even prepare it due to “internet issue”!! Unacceptable! I already communicated with them on WhatsApp..."
114,التأخير في توصيل الطلب والاكل كان ساقع
115,الاكل جامد بس حموضة نيك
116,could be bigger given the price
117,Very late delivery..after Iftar 30 min..missed items(pepsi and coleslow)
118,سئ جداً الاكل كان بارد وكواليتي سيئة لا انصح به
119,Food was tasteless and fries were very oily and not fresh Very disappointing
120,fattoush is terrible
121,Soooo slow and came cold
122,الاكل وصل بارد جدا
123,Cold
124,Order was not received
125,I did not receive my order till now!! It’s been 2 hours
126,tuhfaa
127,حجم الساندوتش الكايزر صغير جداااااا بمقارنه بكل المطاعم وسعره مبالغ فيه جدا للاسف التجربه الاولي غير التانيه بعد زياده الأسعار حتي الجوده اختلفت جدا للاسوء
128,It was horrible value for money. Do not recommend.
129,Food was super cold Fries terrible
130,la7m b3ajeen was a disaster.. my first and last time to try it.. extremely salty although I requested cheese... which wasn't even visible:(
131,Very small and the wiyh with sojok is burnt
132,Best fried chicken it was so crispy and clean
133,Bad and not what I ordered and late
134,الأكل سيئ جدا و بارد و ليس المطلوب و غير مستوى
135,الاكل مو مستوي وجدا وحش تجربه سيئ
136,The shawerma was cold and fatoush was bad
137,took long to arrive fires were a bit mushy
138,Horrible taste horrible status the food arrived in . Cold as hell . U guys have a serious problem u need to solve it
139,Food was a mess and very cold . Items missing . Taste was far from shawerma . Never again !
140,Quality is not good
141,السعر اكثر من المكتوب في البرنامج
142,more than perfect
143,Everything was great
144,الاكل مكانش سخن
145,late delivery. cold food.no aplogyfrom akleh!!!!!!
146,Shawerma meat and chicken was good the other sandwich was horrible!!!!!!! Chicken with the blood!!!! Rameto
147,Poor quality and taste The food quality has been declining for a while
148,The order came spicy and I didn’t order it spicy
149,Didn’t arrive
150,Food is good but it comes very cold and the delivery is very slow!
151,Food was not good
152,"The chicken shawerma in the fattah was really dry and very thinly sliced, and there wasn’t enough tomieyah. The coleslaw tasted really bad and expired, and wouldn’t recommend at all. But delivery was fast."
153,الاكل كان باااارد جدا
154,food was cold
155,The food is delicious but it was delivered so cold!
156,The delivery time is way too much
157,cold and slow to deliver
158,Quality is more than A1 with attention to every detail even the salads
159,"All good, but food arrived late so it was cold"
160,سبايسي بدل عادي
161,I ordered and put my address very clear .. and the driver always contacts you if there is sth unclear about it ! .. i used credit card to pay and then the driver contacted me when he reached another place thats not even close to my house ! I told him...
162,Amazing
163,small The quantity and the taste are not good
164,it was very cold
165,الاكل بارد
166,Not freash hot food
167,الاكل ممتاز وحيد جدااا لكن محتاج يكون سخن اصلا و التوصيل يكون اسرع القريه الذكيه
168,Did not remove the pickles
169,Super akleh box was amazing but the chicken strips wasn’t good so oily and it didn’t taste good
170,Fries quality was so low and was almost burnt
171,So spicy while i ordered it regular
172,Late
173,الاكل كان حلو بس كان متلج
174,Late delivery which lead to cold food
175,None
176,Very late delivery.
177,Order is not received
178,"Late delivery, very dry sandwiches, food was almost cold"
179,Cold and disgusting never ordering again
180,I have been eating from Akleh for the past 2 or 3 years and they never disappoint when it comes to quality. The best thing is their follow up on the opinion as well
181,They forgot to add the pomeg. Molasses
182,clean food
183,cold
184,الاكل وصل متأخر و كان بارد الطلب للاسف فالطعم طبعًا كان مش احسن حاجة
185,Hh
186,بتصل بالمطعم بيكنسل !! حاجة غربية جدا اول اشوف مطعم بيكنسل علي عملا
187,الاسعار ولعت و الحجم بقي اقل !! علي الاقل اكتبوا الحجم و الوزن علي كل حاجة
188,Delicious food. Late delivery and extra fees for delivery.
189,The sandwiches was so cold
190,احلا مطعم
191,"awful food, and the food rotten"
192,The food was not hot
193,Prices are high somehow
194,Driver came more than an hour after it was said to have left the branch. Lied about the electricty cut and had an attitude.
195,أسوأ اكلة بعد اكل مال اليتيم تجربة لن تتكرر 👎🏻👎🏻👎🏻👎🏻👎🏻
196,شاورما اللحمة كانت محروقة و ناشفة
197,👍🏻
198,Fanta came with a hole in it
199,Worst food poisoning of my life. No one should order from this place. Never ordering again.
200,Incredibly late delivery. Cold food. Missing order. Terrible experience overall. Never order from there again past 10pm.
201,quality of food is awful its very salty and squishy
202,great food but too expensive and the manqoush chicken ranch had jalapeños and i can't stand spicy food! please state that in food description.
203,Good quality but very small portions in relation to cost
204,Very late delivery
205,المستوى في هبوط مستمر اخر مرة جالنا تسمم وقعدنا يومين ناخد محاليل
206,Good and delicious food but nutella need more nutella 😊
