,comment
0,شكرا ل ذوق رجل التوصيل طلبت اكل ف وقت متاخر و كان الجو سقعه جدا مكونتش متوقع انه هيجي اصلا ف شكرا و ان شاء الله مش اخر تعامل
1,شكرا للساده المحترمين بالمطعم لسرعه الاستجابه فى الحضور وحسن اختيار المندوب
2,لان يكون آخر تعامل.....احسنت الطعم جميل والاكل وصلنى ساخن والتغليف تمم
3,اسرع دليفري.....احلى طعم.....والاكل وصلنى سخن....وخدمت العملاء آخر احترام وادب شكر ليكم وانشاء الله مش آخر تعامل
4,السندوتشات ممتازه والعصي تحفه والدليفيري أكثر من محترم تمنياتي بمزيد من التوفيق والنجاح شكرا لكم
5,Taste not as expected
6,الاكل متأخرش و الدليفرى كان محترم و تاه منى انا السبب بس فضل معايا لحد ما وصل و كان ذوق جدا و الاكل مظبوط و حلو و مكانش بارد مع انى كنت بعيد عنه
7,زي الخرا والأكل طعمه حيوانات منوية
8,الاوردر وصل غلط و ناقص و بشع و بارد ده غير التأخير و الاكل كان بايت جدا لا انصح بيه
9,طلبت ٤ ساندوتشات ١ اكتر من نصه حاف ١ الخضار فيه بايت ١ حمضان بجدارة ١ طعمه كاوتش الاكل جه بعد ساعتين وكمان جه بارد، حاجة في منتهى الاستهتار والاهمال
10,Potato pane did not come with the order
11,مطعم وحش جداا و مش قد الخصم و بيلغوا الاوردر ب مزاجهم
12,I FOUND A FLY IN MY SANDWICHHHH
13,اتمنا لك مذيد من التقدم والتوفيق العصير ممتاز جداااا
14,ممتاز احسنتى ياشيف....طعم ولااحلا من كده والتوصيل والمندوب ذوق جداااا راجل كبير محترم
15,بالتوفيق انشاء الله اعتقد انكم غيرتم الشيف
16,الطلب تأخر 45 دقيقة عن الوقت المكتوب والاكل كان في شنطة وتغليف مطعم تاني >> جاد
17,كنت هطلب منكم لكن غيرت رأيي ، معرفش أقلق منكم ولا أقلق من تعليق بلال عبد العظيم الموجود تحت تعليقي !!
18,الطعم يشبه الحيونات المنويه و الرز جه غير طازج و الفراخ في منتهي الوقاحه و البجاحه
19,الاكل استغفر الله العظيم .. الكفتة مش مستوية .. والمكرونة بايتة وطعمها سيئ جدااا … وكنت طالبة طبق تاني وموجود انه متاح ولكن طلع مش متاح .. وللاسف مسؤول التوصيل مشغلينه وهو عامل عملية في رجليه.. واللورد ناقص البيبسي وانا محاسبة عليه .. من اسوء التجا...
20,سلام عليكم لا اعلم اذا كان احدا يري هذا للاسف الطلب لم يجيء وانتظرت كثيرا جدا لاكثر من ٤ساعات و اتصلت بالمطعم ولا مجيب الطلب لم يصل اصلا حسبي الله ونعم الوكيل الابليكيشن اصبح اسف علي قول ذلك فاشل
21,The worst place you can order from they should removed from the application
22,الاكل كان بايظ و كله بايت و ريحة الاكل حرفيًا أسوأ
23,الطلب جي ناقص كلمت المطعم بيقولي هبعتلك باقي الطلب المره الجايه ده مش اسلوب ولا معامله
24,Very small portions
25,G
