,comment
0,الاكل اتقلب مع الطيار
1,الفراخ سودا من جوا وريحتها وطعمها استغفر الله العظيم خساره فيها الفلوس والله
2,Very bad test and quality
3,الفراخ ناشفه أوى و طعمها مش باين الصراحه أوحش فراخ دوقتها فحياتى و غاليه عالفاضى
4,My ORDER NEVER ARRIVED!!!! What the fuck!
5,3 Different prices I got elmenus price and the restaurant price and the delivery guy told me a price Elmenus representative called me and told me that there is a sudden change in prices and he was lying as I told him if I made another order ar...
6,فرع وسط البلد أحقر مكان حرفياً وعملت مشكله امبارح بسبب الاكل اللي طعمه يقرف الزيت اللي بقاله 40 سنة مخلي الريحه بشعه كولو سلو بايت وواضح بقاله كتيييييير ف تلاجه ولد من الاصطاف مستفز ف طريقته وهو بيعتذر اوسخ تجربة
7,الخس ممرر بوظ السندويتش كله الفراخ حلوة جدا بس مرارة الخس البايت بوظت الطعم
8,"Value VS Cost The food is very bad, they cost me over 50 pounds for being out of zone without notifying me that my location is out of zone. The food tastes horrible and oily and not up to my expectations. This is was my first time and last time."
9,"bread was so bad and ruined the whole twister, chicken was good"
10,الطعم مش حلو خالص والكميه اللي ظاهره في الصوره غير وانا كنت طالب سفن جابولي حاجه تانيه خالص ملهاش علاقه
11,the coleslaw was Wasted it tastes like sea food. also the store is taking a lot to prepare the otder.
12,"all orders are wrong and took 2 hours to arrive, the chiken is pinkish not so good"
13,حلو
14,Very cold food
15,الاكل كان حلو بس مفيش اي توافق كميات بجد يعني الفراخ تقريباً محطوطه على اطراف السندوتش و اغلبه موتزاريلا بس ف بصراحه مكانتش الطف حاجه ياريت تزودوا الكميات شويه و الديلفري كان بطيق جداً
16,The sandwich and fries was really bad and oily
17,الاكل حلو بس بيجي دليفري غير ما انا يجيبه خالص بيكون احلى لما أجيبه انا
18,portion this time was less than the other one but overall delicious food
19,ورق تغليف الاكل فيه جليتر بتاع الافراح و السادوتش بيلمع
20,الاكل ني ويقرف
21,طعم التتبيله سئ جداً بجد ندمت اني جربته ميتساهلش👎🏻
22,قطعة الفراخ رفيعة جدا ومع القلي بقت ناشفة جدا ومافيش شوكة او معلقة جات للكول سلو
23,البطاطس حجمو صغير رغم اني طالب وسط وحصلت كم مره حتى مره قلت اطلب الكبير ممكن تفرق و جابلي صغير
24,سيء بلا جودة
25,غيروا الزيت طعمه قديم
26,كتبنا ملحوظة عايزين dark meat بس جابو قطعة صدر برضو. غير كده الاكل كان كويس بس جي من بعيد و زود عشرة جنيه عشان توصيل
27,عادي
28,السندوتشات جايه سينجل وانا طلباها طبل
29,سئ جدا جدا و السعر زاد عن السعر بتاع المنيوز و الفراخ ملهاش اى طعم نهائي اوحش 420 ج صرفتها فى حياتى 😅
30,it arrived in a bag and and like the sandwich exploded with no rapping even
31,Good chicken and good sandwiches ……………..
32,الفراخ بايظه
