,comment
0,حلو اوي بس اتأخر شوية
1,الطلب موصلش اصلا
2,انا كنت هطلب اوردر ولكن التعليقات كلها سيئة للمطعم
3,الاكل سيء جداً و الساندوتش ميني اصلا يعني لو عامل عرض قول إن السندوتشات هتبقى صغيره متبقاش كده و غير كده زفر جدا حاسس اني باكل سمك ده مش طبيعي
4,غالي و بيحسب ضرائب زيادة عن السعر و الكمية عينات
5,محتاج التوميه تكون أكبر من كدا مش مكفيه
6,الاكل لم يكن معاه صوص او ثوميه و العيش المحمص كان سميك جدا مش السوري اللي ييتحمص
7,طلبت سترامبولي كان زمان احلي بكتير وكان بيبقي فيه ذرة مش محطوطه المره دي
8,"Low quality, overpriced and took a lot of time. That is definitely my last order from this place."
9,البطاطس كانت سيئة جدا وكانت أشبه بالمحروقة الشاورما كان طعمها غريب جداً وبعدها بطني وجعتني لأول مرة مكملش وجبة بسبب اني مش قادرة استوعب الطعم والريحة
10,جالي تسمم وبطني بتتقطع
11,Fries package material is not hygienic and stains on hand
12,البطاطس مالحه بزياده و الشاورما مش زي كل مره خالص
13,Good
14,not bad shawarma. only sandwich is a bit thinner than normal but good size
15,الأكل مزيد جدا وطعمه مش حلو … آخر مرة
16,الاوردر وصل بعد ساعتين ..والطيار طريقته منفره ... والاكل بارد وطعمه سئ
17,كنت طالب ربع فرخه صدر صدر جالي ورك و السلطه قليله جدا مش حلو الاكل
18,Na
19,الأكل كله سئ جداااا ساندوتش شاورما فراخ خيار مخلل فيه بايظ! و فته شاورما صعبه جدا رز معجن و حواوشي شكله بايت و مقطع! تقيييم 0!
20,الرز بايظ والفراخ طعمها سئ جدا
21,I ordered by 10:15 and received it by 12 am The restaurant called me many times to know the location and driver too The fried chicken were not clean as always and it’s cold too
22,مطعم سيئ جداً الاوردر ناقص و الاكل بارد و طعمة سيئ جداً و متاخر اكتر من ساعة عن ميعادة و مفيش ادوات للاكل( معلقة ) اسؤ تجربة ممكن اكون جربتها حقيقي و مش هكررها تاني و هنصح كل معافي بانهم ميتعملوش مع المطعم السيئ دة نهائي
23,Value vs cost is not good
24,..
25,Garlic dip موصلتش ودفعت فلوسها
26,it was shit
27,"I ordered a few days ago and was paying visa they accepted the order, money was deducted from my bank account, then cancelled the order because what I ordered wasn’t available, so unprofessional and the call centre was even worse had to wait 15 days ..."
28,thanks goos quality of food
29,انا طلبت ان المشروب يبقى بيبسي او ماكس كولا دي تاني مرة المشروب يبقى برتقال و كنت كتبت في المعلومات اني مش ب احب الطعم ده ... و جه برضه في الاوردر ... مش معقول ما فيش ماكس كولا اسود في الفرع
30,الاوردر كان بارد و العيش قليل جدا
31,Terrible packaging Stale ruined bread Terrible meat quality NOT RECOMMENDED
32,الأوردر للأسف جه متأخر ساعة كاملة.. والأسوأ المكونات كانت سيئة جدا جدا، العيش ناشف وبايت(ده العيش الشامي) والحواوشي فيه لحسة لحمة مفرومة، وبرضو صغير وناشف. حاجة استغفر الله العظيم قرفت الواحد في الأكل. بأعتذر عن الريفيو لكن بصراحة كان سيء جدا
33,اسوء شاورمة كلتها ف حياتي
34,Value vs. Cost i received the order 1 hour later
35,Poor service
36,الأكل مش مستوى خالص
37,سي بس السعر مناسب
