,comment
0,الاكل بارد ومجلد والعيش مش طازه وريحت الاكل بايظه واخر قرف تجربه سيئه جدا جدا جدااااا
1,بصراحه اثبت انه افضل مكان فرايدتشكن في مصر
2,الاكل كان ناي وكان وحش جدا ورميته كله للاسف
3,The food we ordered was for 4 people and just came 2 forks only
4,جيه ساقع ووحش جدا جدا جدا والبطاطس محروقة
5,إعياء و إسهال
6,المطعم محدد قطع معينه ف العرض لاما يلغى الاوردر ودى حركة مش حلوة
7,التوصيل ممتاز وكان سريع جالي ف اقل من نص ساعه لكن الطلب كان سيئ والاكل بايت وغير طازج
8,Good
9,order didn't delivered
10,صوص قليل جدا الرز مش طازة
11,مش زي كل مرة ف الطعم ولا القطع وكمان م غير كاتشب!
12,ال offer كان فيه fries و مش حطوها
13,الطيار سلوكه غير مهذب وغير طبيعى فى التعامل وكانه متعاطى ومظهره غير كويس
14,كان في قطعه نص لحمها ابيض و الباقي اسود
15,دة لتانى مرة يكون ناقص قطعة
16,زيت كتير
17,الاوردر جه زي ما كنت عايزه بالظبط شكرا منيو شكرا بازوكا👌
18,الاكل جميل بس نسي الكول سلو واتصلنا وبعته تاني
19,——
20,معامله زفت ودايما نفس الأخطاء اوقفت التعامل معهم
21,الفراخ صغيرة و زفرة
22,بارد ، تغليف سئ ، طعم وحش اوي
23,شكرا
24,مكنش في صوصات خالص عكس المعتاد كان بيبقي جوسي مليان صوص
25,الاكل كله زيت
26,الفراخ مش نظيفه والأكل بايت حتى العيش والدليفري أسلوبه سيء
27,Very yummy
28,المره دى كان التأخير زياده اوى قعدت ساعة إلا تلت فوق الميعاد اللى كان المفروض استلم فيه
29,"the food tasted horrible, was cold and oily and as if it was a leftover from the previous day and got reheated several times.. worst experience from bazooka so far. we had gastroenteritis all of us."
30,الفراخ صغيره جدا وبدون طعم
31,الاوردر جانى ناقص رز و معلقة كول سلو واحدة
32,Vc
33,portions usually are larger and fries should be included with offers but overall taste quality are amazing
34,..
35,order was never delivered
36,low quality
37,الفراخ زفره جداا جداااا
38,بيجبلى الاوردر حار ومعايا اطفال
39,الفراخ ناشفة جداااا ماتتكلش الساندوتش جاي بارد بعد تأخير تجربة من أسوء ما يكون
40,The order came cold
41,found plastic wrap inside food
42,حلو جدا
43,أحمد فرايد تشيكن في مصر
