,comment
0,جاي باااارد
1,It's very small
2,الساندوتش بارد تماما وكأنه معمول من زمان والصوص اللي عليه ملطخ الساندوتش من كل الجوانب وتغليفه سئ جدا
3,الكول سلو مجاش
4,مفيش بطاطس وبيبسي
5,كان حلو وجاي سخن ، بس شكل المطعم نسي يحط صوص
6,انا طالبه الساندوتش ساده خالص بس جالى عليه كل الاضافات و انا مش عايزاها الخدمه بقت سيئه جدا
7,التيش كيك جايه في علبه مكسوره و المندوب بيقولي نزل السبت .. خبره سيئه جدا من الشركه و المطعم
8,البطاطس نية ومملحة زيادة
9,الاكل بارد
10,.
11,البرجر كانت لحمته بتشد
12,متاخر 50دقيقه
13,👏👏👏
14,طلب بقشيش
15,Food was good but they forgot the ranch sauce cup
16,سندوتش صغير اوي اللحمه شبه محروقة الصوصات معدومه تجربة سيئة مع اني بحب المطعم بس لا للاسف
17,ً
18,The food was so cold
19,Wasn’t hot
20,الاوردر وصل بعد ساعة و نص .. الساعة ٢ الفجر و بارد و مايتكلش
21,Thank
22,Got food poisoning
23,الدليفري بيتأخر جدا... والاوردر اترفض من المطعم بسبب اضافة هم حاطينها غلط، وولا المطعم كلمني ولا المنيوز يقولوا ان الاوردر اترفض، فبوظوا لي يومي ومواعيدي مستني الاكل على الفاضي
24,More than 1 hour to deliver fast food
25,مفيش V cola فى الطلب
26,يعني ايه ابقى باكل و الاقي حتة زجاج في بقي محتاج تفسير لو مكنتش خدت بالي كان ايه حصل مش فاهم !!!!؟؟؟
27,"Fries is not good for the past 2 orders, so oily & cold"
28,الديلفري استلم الاوردر وراح يوصل اوردرات تانيه اتأخر عليا نص ساعه والاكل وصل ساقع
29,البرجر نفسه كان محروق وطعمه محروق والخيار المخلل كان في واحده متاكله😂
30,الاكل واصل بارد جدا
31,الطلب ناقص بطاطس و البيبس
32,👏🏻
33,Gg
34,veryyyy cold
35,الاكل وصل بارد
36,حلو الاكل
37,Just the amount of the fries was so little
38,cold
39,The food came very cold which affected the taste not as expected.
40,السندوتش جاي من غير حاجة لحمة في العيش من غير الخضار اللي بيتحط على السندوتش ولا حاجة
41,بارد بسبب التوصيل متاخر جدا
42,the v cola didn't cake with the order
