,comment
0,هو مش المفروض بوكس تشكن كنباو الفراخ لوحدها والنودلز لوحده ؟ ده وصل في علبه واحده مع بعضه زي طلب النودلز باللحمه .وكده ده اغلى ..الرجاء التوضيح
1,Very good
2,الطعام جيد والعروض ممتازة 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍
3,Bad service
4,the drink was expired ....................................................................
5,العصير اللي وصل كان منتهي الصلاحية
6,I got food poisoning- vomiting all night
7,"the meat was excellent, but the vegetable tempura was soaked in oil. please drain your fried foods properly before putting it in a container."
8,Nothing is available and order rejected.
9,ممتاز كالعاده والكميه هايله بالنسبه للسعر ❤️
10,It’s very delicious and hot as well
11,"never ever gonna order again from there, the worst.. -the order was totally wrong. -the least amount of beef or chicken -Ate noodle pasta only! my dog ate better than me today! hate such pretentious places.. stop making food to Egyptians or anyone!"
12,الصوص وحش اوي المرادي عبارة عن مايه مسكرة ، الخضار مش حلو ، اللحمة سيئة ، تحس انهم غيروا الريسبي للأسوء جدا
13,found a small bone in the sweat and sour chicken
14,"nothing wrong with the driver, just a technical issue that duplicated the order."
15,the sauce was all spilled in the bag
16,Highly recommended it’s so delicious I will order again and again
17,الأكل تحفه بجد و وصل سخن و التغليف كان كويس تجربه أحب أكررها ♡♡
18,very nice food 😋 👌 😍 👍 😊 and tasty 👌 😋
19,الاكل بارد جدا
20,"the order was half an hour late, but the beef dish was great and the dumplings were nice and crunchy."
21,طلبت شوربة نودلز لحمه وفراخ وماشروم طعمهم كان خطير اوي وهرجع اطلبهم تاني كان بس الاكل محتاج يجي سخن شويه بس هنراعي الجو الساقعه
22,"The experience was not motivating, they changed the delivery price after the order was submitted and they serve Chinese food with forks instead of the chopsticks, also the noodles was Italian instead of being Chinese.. I don't recommend it"
23,وحش جدا جدا ومش حلو وجبة الدجاج بالسويت اند ساور وحشة جدا وكمان الجلاس نودلز بالخضار وحش جدا الاكل وحش وحش وحش الاكل اصلا ميسواش 100 جنية وحش قوييييي ميستحقش ال310 أبدا أبدا محدش يطلب من المطعم ده ابدا هتضيعو فلوسكم والله
24,الاكل ممتاز جدا وجبه الدراجون حلوة علي سعرها ده والكميه دي ممتاز جداااااااا
25,The tomyum soup was tasty but only half full. The teryaki noodles was alright. I would have given a higher rating if soup portion was more full (container was half empty) and if the noodles were cooked correctly.. they were overcooked.
26,Food was good but delivery was very late I fell asleep waiting lol
27,الاكل ممتاز الفاخ كانت حادقه شوية بس بس طعمها حلو والطيار مؤدب ومحترم جدا 🌹
28,"All the time, the food is good and the quantities are good. Thank you all"
29,"Order missing, very very very poor quality, the food with sauce is dripping out and away, their CS sucks and they are not interested to hear my complaints"
