,comment
0,المولتن كيك كانت مش مستوية من جوا كانت عجينة و مفيش اي شوكولاته
1,thx
2,الاورد لم يصل تواصل معى الطيار بعد ساعه ونص من طلب الاوردر و طلب لوكيشين و عندما ارسلته طلب رقم العماره و الدور و الشقه مع العلم ان هذا كله مسجل و موضح فى الابليكيشن و عندما قلت له يرجع للمطعم عشان ياخد تفاصيل العنوان اتصل بى طيار اخر بعد ساعه يطلب
3,order was too late
4,العصير طازج وخدمه توصيل ممتازة
5,مش حلو خالص وخساره فيه الفلوس
6,so bad team in restaurants not recommend
7,I didn’t get my order
8,I was missing an item
9,الmolten cack جاية متبهدلة خالص متفعصة شكلها غريب جدا
10,الكريب طعمه حلو جداً و لكن للاسف الشيكولاته مجتش سايحه و كنت طالبه يجي بدون كريم شانتيه و جه فيه كريم شانتيه
11,اسوء مما اتصور الصراحه نص الاوردر اترمي ف الزباله
12,Late delivery and it was cold
13,The fruits cup didn’t match the description
14,اوحش service الوردر جيه غلط و معملوش حاجة
15,Missing item mango juice
16,"جالي مكالمة من المطعم ان الفراولة مش موجودة و اخدت بدالها موز و بالتالي كان في فرق حساب ليا لأني كنت دفعت اونلاين بالفعل. بقول لمندوب التوصيل لما وصل متأخر ٤٥ دقيقة ان ليا فرق حساب قعد يبص في تليفونه شوية و قاللي ""محدش قاللي حاجة عن الموضوع ده، كلم ..."
17,pancake الصورة كان ناشف
18,انا مستلمتش الطلب
19,I never received my order
20,الاوردر مش حلو خالص المفروض براونيز وكوكيز جاية كيكة شوكولاتة عادية وعليها صوص وخلاص
21,poor quality
22,it was good but icecream melted on the way chocolate portion needs to be more
23,I didn't receive the order
24,اذيذ ولكن غالي اوى
25,الاوردر مجاش أصلا
26,العلبه جت مقلوبه و البان كيك محروقه
27,late delivery
28,"Overpriced for what you get. The packaging looks nice but the sushi crepe is mediocre, same basic chocolate sauce everywhere, and poorly wrapped. Not worth even half the price."
29,As if im not writing any comment….
30,الاوردر جه متأخر جدا..والكواليتى بقت مش زى الاول للاسف ومبلغ كبير
31,slow delivery
32,اكل سي وبارد وغالي ومحطوط فيه اقل قدر من التعب او المجهود، حتة عجينة بيلفوها على حتة مارشيميلو ويقولولك دا اكل ب ٤٠٠ جنيه
33,اكل زباله والله
34,الحاجة كانت بقالها كتير و برده
35,تأخير ساعة ونص الطيارين بتوعكم اسوأ ما يكون وبيفضلوا يتحركوا في اماكن خارج مطاق التوصيل
36,تحفة
37,ممتاز والاوردر جميل جدا وكله زي الفل والتوصيل كان سريع جدا
38,they're super stingy with sauces despite being the most expensive in the market. the order arrived 1 hour late. overall experience would be 1/5.
39,The nicest person ever
40,الاوردر تحفه جدااا ماشاء الله عليكم 🤍🤍🤍
41,very bad taste
42,الاوردر تحفه جدااا تسلم ايديكم بجد 🤍🤍🤍
43,مطعم تحفه و الاوردر فريش و جميل جدا🤍🤍🤍
44,ممتاذ
45,very bad quality
46,كانت ساقعه جدا و الشكولاته ناشفه
47,كريب جميل
48,"fabulous, highly recommended 👌 Nasr city branch"
49,terrible
50,ممتاز
51,رائع
52,Highly recommend
53,صغير جدا بالنسبه لسعره
54,المولتن كيك كان حلو .. حواليتي الشوكولاتة اتغير و المولتن طعمها مش زي المرة اللي قبلها حرام عليكم تبوظوا الكواليتي بتاعة المولتن كده
55,لم استلم الأوردر بسبب التأخير و نمت
56,الطعم طازج و طعمه حلو بس كان حجمه صغير مقارنته لطلب لنفس الاوردر من اسبوع كان حجم اكبر بشكل ملحوظ
57,ا
58,Horrible timing
59,فوق فوق الرااااائع ♥️♥️♥️
60,The driver was rude and asked for extra money but the food was so delicious and perfect
61,الطعم حلو اوى ومظبوط جدا ماشاء الله
62,سىء
63,القهوة كانت خرا
64,الكوكيز المرة دي كانت ناشفه ولما بتتسخن بتنشف اكتر
65,Very good
66,الدليفرى اتأخر ساعة عن ميعاده والشوكولاته كانت قليلة جدا والكريب كان بايت والشوكولاته متجمده عليه
67,الاوردر مجاش اصلا
68,حبيت البراوني خفيفه وحجمها حلو الكوكيز طلبته بالنوتيلا مش بالشوكولاته البيضاء
69,رائع والكواليتي عالي والدليفيري سريع تجربة رائعه
70,أنا طالبه من الساعه ١٢ ودولوقتي ٢ ونص ولسه مجاش
71,"Perfect order I really enjoyed it, It’s more than I expected😍"
72,i cancelled my order after 2 hours waiting..and 3 times they informed me that 15 min and it will be delivered..bad delivery ..but it has good quality in branches
73,بارد جدا الاكل والاوردر قعد اكترمن 3ساعات اوساعتين سئ للغايه
74,الحاجه كلها كانت مقلوبه ومتبهدله وده كان باين من الطيار لاكن الحاجه جميله
75,Fruit cup was replaced with something else i didn’t request
