,comment
0,وحش اوى
1,رائع
2,ملتزمش بالتعليمات اللي مكتوبه والفراخ غامقه والبريدينج وحش
3,انا متعودة اطلب منهم و مستواهم كان كويس بس اول مرة الاكل يبقى وحش و الاوردر مش مضبوط 😕اولا الطيار اتأخر ثانيا تجاهلوا ال special requests ..انا طلبت الاكل سبايسي وصل عادي بعتوا قطع كلها وراك 👎 ثالثا انا طالبة مع الاكل علبة تومية..بعتولي علبة مايو...
4,البطاطس طرية و معجنة 🥲 باقي الاكل كويس
5,"Diner box was satisfying, they followed my special requests The pieces are fairly large The delivery man was fast and polite"
6,I ordered two sandwiches without mayonnaise but they arrived with mayonnaise only!
7,طلبت منهم يغيرولي الكولا بمشروب غير مقاطع وجابوها برضو ومكتشفتش كدة غير اما بدأنا اكل
8,الاوردر جه غلط و فيه شعر
9,الفراخ تمام بس العيش بايت وبيفرول
10,الاوردر جايلى غير اللى طلباه
11,ناقص دائما الصوص
12,تم إحضار مشروبات مختلفة عن الطلب، وايضا القيمة مقابل السعر
13,الاوردر جالي من غير البرجر الأربع سندوتشات فراخ
14,البطاطس كانت ناشفة و باردة جدا حرفيا مجلدة الفتة وصلت كلها مقلوبه والعيش اللى فيها مش حلو
15,ممتاز
16,I received rice not rizo and the garlic was poisoned.. chicken taste not good
17,وجبة ميكس : مرتين ورا بعض بتوصل ناقصة پيوصلي قطعتين دجاج وقطعة ستربس فقط وده غير اللي مكتوب في محتويات الوجبة.. حركة مش حلوة الصراحة
18,الوجبة صغيرة بالنسبة لسعرها والطعم وحش جدا
19,طلبت اكل و اخد وقت كتير اوي و فالاخر اساسا موصلش
20,خرا 💩
21,خ
22,"Almost food poisoned, i wrote a review yesterday once i finished the food but now had almost food poison"
23,سئ جدا الاكل وصل متأخر و بارد و طالبه سبايسي جه عادي و ملهوش اي طعم و الاوردر جه متخلبط اول مره اطلب منهم و حقيقي اخر مره للأمانه بس الكميه كويسه مقابل السعر لكن الطعم سئ جدا
24,Missed item !!
25,"every time I ordered this, the food was excellent quality, very attractive offer, and arrived in a timely manner. Became my go to order for fried chicken."
26,The order arrived after 2 hours from placing it. It took tooooo long to arrive . It was a very bad experience
27,good
28,الاوردر ناقص بيبسي
29,السندوتشات عندهم كتقييم اعطيها صفر كبير و كلمتهم و حنشوف و نكلمك ولا حد اتكلم طبعا ما تساوى جنية اصلا و اترمت فى الزباله اسوء برجر اكلتة فى حياتى
30,جامد
31,goog
32,الطعم سيء
33,الساندوتشات شبه فاضيه و انا مأكده ان ييجي سبايسي جي عادي و فعلا اكتر من سئ .. من فضلكم عاوزه حد من اداره المطعم يكلمني
34,nice fresh chickens just need little spices
35,الطعم جميل و الكلوسلو توحفة و الدليفرى محترم جدا
36,ممتاز بجد عن تجربه تست غير اي فريد تشيكن تاني في اسكندريه
37,جودة ممتازة ولكن الوجبة صغيرة جداً مقابل السعر
