,comment
0,The sandwich didnt contain all ingredients as described in the app
1,Delivery fees charge charged
2,thank you
3,Usies
4,Cinnamon late is almost half cup empty
5,"This branch is amazing!!! Very consistent with the quality, speed, flavors and everything."
6,بعتولي سندويتش تاني عشان لو كلموني حاقول الغوا فحطوني امام الامر الواقع. اخر مره اطلب منهم واسوء مطعم
7,سندوتشات التونة طعمها لذيذ 😋 والكوفى مضبوط 👌🏻
8,وووو
9,انا موصلنيش اوردر اصلا اتلغى قالولي المندوب مش بيوصل منطقتي
10,the taste is absolutely the worst. disgusting coffee but also expensive somehow. cilantro is much better. avoid this
11,Test very bad can’t drink it need to return it
12,المنتج أكثر من رائع و كل القائمين على الفرع منتهى المهنية و الرقم فى التعامل احب أوجه شكر لمستر محمد اادل و ا هشام و جميع العاملين ف أنا زبونة دائما للمكان فرع أرابيلا بلازا
13,great morning coffee really more than amazing
14,in the description of the club sandwich it's supposed to come in brown Toast but it came in white toast
15,الحاجة جت واقع منها ومتبهدلة
16,الاوردر اتاخر جدا كان جيبلي وقت ٨:٢٤ الاوردر وصل ٩ ونص تقريبا والكافر مش بتاعها وبقيت مطره اقف علشان اشرب الكوبايه وانا واقفه لانها مفترحة وخايفه تدلق عليه وحقيقي تاني مره في خلال يومين يكرن عندي مشكلة كبيره معاكم حصلت قلل كده ومسحت الابلكيشن ق...
17,Today is 20 may 2025 I went to costa coffee and i told some order from the waiter his name marco this guy used the dirty spoon from Kitchen sink to make my order when I asked him what are you doing his answer if you have problem we can change the o...
18,الساندوتش سيئ جدا جدا جدا انا بقالي سنين بجيبه من عندكم بس مش ديليڤري للاسف كواليتي سيء جدا والجرجير دبلان وتقريبا مافيش حبنة ونصه فاضي من أسوأ مايمكن الماكياتو سيئ جدا وفيه طعم غريب ومسكر جدا للاسف تجربة سيئة جداً
19,😍😍😍🥲🥲
20,I paid more than the shown receipt
21,Very bad
22,Thank you for the apologies
23,"Very bad, wasnt fresh at all and the taste was the worst Very very bad experience"
24,Order was really good
25,بارد
26,الطيار اتأخر والسندات كأنه مبلول ومفروض يوصل من بدري
27,Sandwich was not fresh and was cold.
28,The coffee was spelled half of it
29,bad quality
30,The hot chocolate had a strong coffee flavor and was thrown away!!!
31,gave 3 fpr the flat white bec it was good as usual but the profitrol was horrible باكله عندهم من زمان و اول مره ا شوفهم حاطيين كريم شانيه شكولاته درجه ٣ مش كريم باتيسريه و ب٨٠ ج !!! awefulllll
32,السبانيش لاتيه كان لاتيه عادي معليهوش condensed milk
33,amazing
34,انا كتبت من غير كريم او سكر و برضو جه ب كريم! انا واحد عندي السمر و حرفياً سكري بااااظ بسبب اللي حصل ده
35,Terrible QUALITY AT DANDY MALL BRANCH.
36,Terrible
37,في حاجة غلط في الاتيه اخر فترة. بقى عبارة عن مية و لبن. خفيف جدا
38,اللاتيه لاول مرة كان مية، خفيف جدا ووحش قوي
39,السلطة الخس فيها دبلان و قديم
40,Drink arriver spilled. Not packed well
41,The best delivery driver I have dealt with
42,No delivery
43,حاطت لبن كتير عشان يملاه الكباية cappuccino
44,No Sun dried tomatoes
45,Never received the order???
46,Some things aren’t on the menu and are not updated on the “elmenus” app
47,I didn’t get the order
48,Hi Costa my girlfriend loves your coffee but I think you’re boycott rn so we can’t be freinds but that’s okay we always share these memories together from all the times she would tell me about her with her freinds. Even though you’re American I am to...
49,كوبايات لا نليق بمشروب ساخن
50,كوبايات رديئة
51,Wrong item
52,مزود لبن زيادة علي الكابتشينو
53,"I didn't receive the order, Costa canceled it"
54,Lettuce were too much unlike chicken portions and the caesar sauce was too too little. The caesar was too light and tasteless i believe it was yogurt sauce no other thing. Very very bad experience wont repeat it again 👎🏼
55,Costa cofe owned by Coca-cola 🇵🇸🇵🇸🔻🔻
56,Madinaty is their worst branch ever. Orders are always very late for no reason. You have to call them several times. Staff are rude and lie non-stop. Never again.
57,h
58,mocha not so hot
59,drink handeling
60,"next time please bring change with the courier ad he took extra money as he said its his 1st order , not a good gesture 5ales"
61,صورة الكيك محطوطة قالب كيك ووصلني شريحة صغيرة تمنها ٥٣ جنيه وهي متسواش ١٠ جنيه حتى الشاي معاه ٢ باكت سكر بس وانا بشربه زيادة يعني مش اقل من ٤ باكت لان حجم الكوباية كبير تواصلت مع الدعم قالولي مش هنقدر نعمل حاجة من الآخر اضرب دماغك في الحيط
62,late delivery buth the order itself was great and hot ❤️
63,5 stars
64,الدريسنج قليل
65,طعم السندوتش والقهوة سئ جدا بالاضافة ان القهوة عليها سكر والاساسي ليها انها بدون سكر الا لو تم طلب سكر
66,كوباية القهوة كانت مقطوعة من تحت و متلصمة عشان ملفوفة بfoil شفاف اول ما فتحتها من الpacking بهدلت الدنيا حرام عليكوا
67,"I ordered latte , and I got iced coffee without sugar"
68,Unsatisfied
69,sandwich is almost bread only
70,تأخير فوق الساعة وكنت خارج فاخدت الكوب معي.. لما شلت الshrink film فوجئت بخرم في أسفل الكوب وغرقني وغرق العربية.. تجربة اكتر من سيئة
71,order received missing the flavor though it was charged !!
72,الساندوتش كان فى حاجة بايظة او محمضة و ده عيب على كوستا الحقيقة
73,A bit late
74,"coffee taste was very bad, I couldn't finish it"
75,Carrot cake was like a stone (like it's a week old) ...and I ordered late and got frappe instead!
76,"They are more than perfect , the mocha came hot and the sandwich also was super yummy , but what makes them the best is the people working there , they phoned me yesterday after confirming my order to tell me the courier has a problem in his bike and..."
77,I have updated the order and money with taken from account but received the old one not the updated
78,الخدمه حلوه
79,"didnt recieve the order, and very bad support"
80,I ordered with the app and used 40 EGP off code and atill paid the full amount when paid in cash and the offer wasn’t reflected
81,Received another order which is not mine and tasted awful
82,Bad packaging
83,لم يتم استلام الطلب
84,bread was not fresh at all
85,Extremely bad
86,Xjsi
87,Good
88,You have the worst customer experience ever!!! No way to reach you or leave a complaint on the order!!!
89,"The order was perfectly sealed, Thank you.."
90,Very very small portion It’s like a sample not a full piece
91,Third time in a row that I order the largest size coffee and I get a half-filled cup.
92,Wrong receipt
93,تأخر تحضير ووصول الاوردر لولا الوصول للدعم وعمل شكوى بعد قبوله من المطعم .
94,I fill the accurate address but you still call for the address. What is going on here
95,Container was only 2/3 filled.
96,"salad came quarter the pack full,really so pitiful. iced coffe came with no ice what so ever. really very disappointing experience."
97,الاوردر متأخر و فقد جودته والطيار جي مشي والاوردر اترمي
98,Soo late
99,It took 2 hours to deliver !!!!
100,"Spilt coffee, panini bread not fresh"
