,comment
0,&nbs...
1,nice
2,👍. .
3,معقول
4,very nice
5,good
6,احسن من المره اللي فاتت.
7,👌👌👌
8,...
9,الأكل كان ممكن يبقي احسن من كدا لو متأخرش
10,"The rice is veryyyyyy salty almost just 2 pieces of meat. Very awful meal I could not complete it. At least if u will over charge provide quality, or stop offering awful food"
11,"bad rice with no taste , its fanta not coca cola"
12,.
13,الاكل غالي اوي علئ الجوده و الطعم
14,Order is one hour late than the expected time
15,I ordered red sauce sea food pasta and I received white sauce sea food pasta. The sautéed veggies are different than the one in the picture’s menu.
16,كويس
17,الاوردر جه متأخر شويه
18,الفراخ جيت بارده
19,جميل
20,ok
21,كانت تجربه سيئة بكل المقاييس بداية من التاخير لاكثر من ساعه نصف مرورا بالطعام نفسه الغير جيد
22,👍👍👍👍
23,النودلز سيئة جدا بشعة و سعر مبالغ فيه
24,النودلز سيئة جدا لا فيها صوص و لا فراخ قطعة واحدة بالعدد في الطبق كله و مفيهاش اي طعم تجربة بشعة
25,الأكل كله كويس والنودلز ممتاز شغال مش وحش
26,حرامي
27,الاكل ممتاز و الطعم كويس جدا و فريش و التوصيل سريع
28,بصراحه الاكل معقول مش حلو اوي ومش وحش اوي تجربه كويسه
29,ممتاز في الطعم والكمية
30,طلبت بيف نوديلز طعمها وحش و اللحمه بتشد جامد جدا
31,كان ناقص ملح والطعم مش احسن حاجه
32,the rice was not kinda fresh and it was not cocacola it was vcola
33,the noodles tastes bad
34,It was the worst order ever.terrible
35,سيئ جدا و اتأخر جامد!!!! و التوصيل غالي
36,الوجبة مقلوبة في الشنطة
37,"He areuved aftee like 2 hours , door was too cold even it was weapped well, he was laughfing that he was late"
38,زفت السلطه زنها الفراخً ويادوب فيها ٣ حتت بس
39,زفت طلبت سلطه بالفراخ فيها يادوب ٣ قطع وزنخين
40,وجع بطن وظفاره
41,الاكل اكتر من ممتاز احسن من المره اللي فاتت لازم اتصل عشان تظبطو الاوردر
42,كان ف قطعتين ماشروم لونة اسود و الفراخ ريحتها وحشة و اقل من نص قطعه بانية فلات حوالي ٤ قطع ا
43,Terrible portion. Definitely not worth it. I was hungry but after eating that small meal I was starving حسبي الله فيكم
44,I ordered the chicken alfredo pasta The chicken was amazing and delicious but the portion was not enough to the pasta The sauce is more like a white sauce not alfredo And there was no cheese at all Overall all it’s delicious and for the money it’s...
45,الجودة سيئة بالإجماع
46,Sour taste
47,The wrap sandwich wasn’t in wrap And the mac and cheese was cold and shrimp wasn’t fresh it was so bad
48,الاكل سيئ جدا جدا وبارد ، ووصلي في ساعتين
49,bad food
50,الاكل ملوش طعم
51,To7faaaa so good quality i love it will order again
52,أنا طلبت الفريدو طعمها لذيذ جدا الشوربه معقوله
53,so great 👍 best and tasty food ever thanks
54,best restaurant ever every time make me happy ☺️
55,حلو جدا كوالتي عاليه و باكينج محترم و خدمة ممتازة
56,I love 💝 the taste and the package was nice
57,very nice taste fast delivery high quality 😋
58,so nice I will order again sure love it ❤️
59,تحفة جدا و رائع الاكل كوالتي عالي جدا و ووصل بسرعة
60,اسوء دليفري
61,لم يتم استلام الاوردر من الأساس بسبب تأخر الطيار لانه وصل الساعة ٣:١٠ صباحاً اي بعد طلب لأوردر بأكثر من ساعتين كاملتين و وصول الطلب بارد
62,I ordered Mac cheese chicken very tasty 😋
63,الأكل وصلني ساعة ونص متأخر وطعمه يقرف وبارد وعمل لنا اسهال والمطعم مبيردش عالتليفون
64,"The Mix Grilled Was Amazing 😍 , I Recommend This Place"
65,الأكل ممتاز والدليفري محترم شكرا جدا............
66,الاكل كويس جدا والنودلز ممتازه ورائعه بس الأوردر أتأخر شويه
67,"Ordered online, big portions, and it was yummy. Good for a quick meal."
68,food was great and very good variety And good packing keep on
69,"The Cuisine AtThus Restaurant Is Amazing, The Dishes Are Flavoural Fresh And Well Presented"
70,food was amazing and good service tasty noodles
71,food was great 👍 perfect Alfredo pasta keep on
72,"Overall, this was an incredible food experience"
73,"I was hesitant to order at first, but I’m so glad I did! The quality is amazing"
74,I love how flavorful this soup is with all the fresh herbs and vegetables in it.
75,I’m so glad I ordered this pasta—it tastes great!
76,food was delicious and good packing thanks
77,الاكل تمام صوص الالفريدو كويس والمكرونة تخفه شكرا.
78,"the noodles were excellent , very spicy and tangy"
79,كل مرة اطلب فيها تبقي احلي من اللي قابليها
80,love it love it 😍😍😍😍😍😍😍😍😍😍😍😍😍
81,الاكل نظيف جدا و الكمية كويسة مقابل السعر
82,very good very unique package and fast delivery
83,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
84,وصل متاخر شوية بس طعم الاكل و الباكينج حقيقي نساني التاخير خالص شكرا
85,جميل جدا و الصوص حلو قووووووي ارشحه بقوة
86,taste wawwwww love it really and will order again
87,so nice and a good taste and big portion
88,شكرا ليكم تحفة حقيقي وصل بسرعة و الاكل فريش جدا
89,الاكل جاي واقع علي بعضه و اللحمه تقريباً مستوتش اصلاً تجربة سيئه جداً و اعتقد كل الريفيوهات دي فيك
90,الرز تحفه بجد شرفتوني شكرا ليكم.
91,شكرا علي ذوقكم و النودلز روعه هكرر الاوردر تاني اكيد
92,helwo we gh bsoraa thank you begad 💖
93,خدمة العملاء محترمين جدا بشكركو شخص شخص 🙏🏻😍
94,احلي ما في الموضوع ان الاكل وصل سخن شكرا علي الاوردر ده
95,المعامله كويسه و الاكل جميل و في اهتمام بالكومنت اللي كنت كاتبو ميرسي ❤❤❤❤
96,تجربه كويسه ❤شكرا ليكم🌹🌹🌹🌹🌹🌹🌹🌹🌹
97,اوردر كويس وصل سخن دي اول مره اطلب منكم ومش اخر مره
98,برااڤو ليكم شكرا حدا تجربه كويسه و مختلفة 🙏🏻❤❤❤❤❤
99,الاوردر كان حلو و سخن بس بجد خدمة العملاء محترمين جدا شكرا ليكم بجد 😍😍
100,el order wsel bsoraa we kan gamel gedan thanks ❤️‍🔥
101,ناس محترمه بجد شكرا ليكم و كمان الاوردر وصل سخن ❤❤
102,رائع الصراحة من زمان مطلبتش من مطعم حلو كده
103,حلو جدا يا ريت تكملوا علي كده بنفس المستوي
104,حلو جدا وتعامل المطعم في التليفون شيك ومحترم شكرا
105,شكرا ليكم جداا الاكل تحفه جدا و فرش و سخن
