,comment
0,الفرايز قليله جدا جدا
1,الريزو والفرايز والتشيكن كلاسيك طعمهم رائع لكن كمية الفراخ قليله جدا بالنسبه لسعره
2,طعام غير ساخن
3,Too small
4,اللبريديج كان فيه من جوه عجينه
5,الوجبة كانت حلوة و طعمها حلو و طازجة بس في حاجه ضايقتني اوي ليه وجبة تلت قطع يبقي فيها قطعتين صغرين و قطة كبيرة فيها دبوس و جناح و حتة صدر ليه ؟!
6,perfect but bread needed grill
7,ده من اسوء الاوردرات الطلبتها في حياتي اول حاجه الاوردر اتأخر جدا عن الوقت الكان المفروض يوصل فيه و كمان جاي مش حلو خالص اول حاجه في استريبس سبايسي و انا طلبته عادي و متحسهوش اصلا استريبس كان هي قطعه واحده العاديه و الباقي كان عباره عن جلد حراء
8,جالي قطعه بايظه وريحتها صعبه
9,ً
10,كمية البطاطس بالنسبه سعرها قليله جدا جدا وسندوتش الويوا غير مقبول الطعم بالشيتوس اللي عليه وتم تجاهل ملاحظتى علي عدم وجود طماطم فى التويستر
11,سئ جدا الفراخ قديمه و متسخنه و لونها غامق جدا و تاني يوم سببت اسهال
12,الفراخ مزيته اوي والبريديج غامق
13,ممتاز
14,جه متاخر جدا و بارد
15,Too late and very cold
16,الاوردر اتاخر حاجه بسيطه بس المجمل الاكل حلو وسخن بس محتاجين تذودو عيش اكتر
17,Good
18,اسلوب الديليفري مقرف الحقيقه و الأكل بارد و قديم الاوردر كله من كل النواحي مش حلو
19,The drink was missing
20,الكولسلو بايظه والفراخ مزيته!!
21,الفراخ قديمه و سيئة جدا جدا لا انصح به ثانيا انه مطعم غير امين علي صحة الناس
22,حلو بس مفيش كاتشب ولا معلقه
23,اولا الاورد كان المفروض يوصل الساعه ٦ ونص وصل متاخر نص ساعه تقريبا او اكتر وكان بارد والديلفري كان واقف تحت البيت بالاوردر بيدخن ومبيطلعش لحد ما اتصلت بيه وقلتله اني شايفاه وانت وصلت ساعتها طلع ف كانت تجربة سيئه جدا اما بالنسبه للمطعم ف الساندويتش ...
24,كان تحفة تحفة تحفة تحفة♥️♥️♥️
25,الاكل جميل جدا و وصل قبل المعاد والسعر متوسط
26,الكول سلو وحش جدا
27,اتاخر قوي
28,تجربة من اسوأ ما يمكن. الاوردر اخد ساعتين و وصل بارد و نفس اللي حصل المرة اللي فاتت. بجد مش عايز اتعامل معاكم تاني.
29,i ordered original got one spicy piece
30,سئ جدا هذه المرة و الخلطة الكريسبي كلها حاجات سودا و اترمى كله
31,الفراخ طعمها سيئ ومجلده وكمية الفرايز قليله جدا جدا
32,الأكل وصل سخن برغم المسافة ♥️♥️ والتتبيلة تحفة
33,food was so good but the courier was so bad
34,الفراخ عليها توابل بطاطس وكتير كمان فمكنس الطف حاجه ده غير الخطأ في الحساب
35,بجد وجبة تاخد ١٠ من ١٠ ونجمة
36,- الاوردر جه متأخر ساعة ونصف بعد الميعاد المتوقع للاستلام (يعني من وقت طلب الاوردر حوالي اكتر من ساعتين) - الاكل جاي بارد جدا و البطاطس مبلول اكنها معمولة من ساعات - الاوردر جه غلط اصلا جه الستريبس سبايسي و كانت مطلوبة عادية مش سبايسي - خدمة سيء جدا
37,معرفش مشكلتهم معايا ايه ديما يجبولي الاكل سبايسي وانا طلباه اوريجينال ده غير الاكل وصلت بعد المعاد اللي الابلكبشن قال انه هيوصل فيه بساعة كاملة
38,Very small pieces and two were heated
39,"very late delivery it took me almost 2 hours to have the food and i wish it didn't arrive . it couldn't be worse ,i orderd a half broasted chicken which are 4ps of chicken but it was just a quarter chicken not a half .. bad restaurant,bad applicatio..."
40,الاكل جودته سيئ جدا المره دي هطلب دلوقتي ياريت الجوده تكون احسن
41,انا لسه راجعه من المستشفى بسببكم منكم لله جايبنلى الاكل بايظ يا كفره حسبى الله و نعم الوكيل فيكم الفرخه طعمها زى الزفت و اللحمه لونها بنى و عند العضم ازرق بتاكلونا جيفه ؟منكم لله ربنا ينتقم من إلى عارف أن فى أكل بايظ و حطه الهى يدوقه فى اهله
42,order came spicy and i ordered regular
43,طلبت واجبة ٣ قطع جابلي صدر و ركبة و جناح و البطاطس قليلة و برده
44,طلبت الدجاج عادي وجابو حار
45,"Great food, clean and fresh"
46,جاب جناحين في الدين بوكس و الساندوتش كان صغير
47,طلبت الساندوتش بدون اضافه اي صوصات او جبن للأسف اتعمل الساندوتش بإضافة الصوص والخضار والجبن
48,أقسم بالله أنا معرفش مطعم أفشل من دِكسيس مش معقول قد إيه الأكل وحش. أنا كنت بطلبه لحد ما بطلت من كتر ما هو معفن وبعدين حد اتواصل معايا وقالي إنهم حسنوا الجودة فطلبت وفعلا كان حلو فرجعت أطلب تاني وكل مرة أوحش من اللي فاتت. عندهم مشكلة مزمنة إن الفراخ ...
49,عدم الانتباه للملاحظات
50,i've ordered food to be eaten at the office and they forgot to add 7 forks/spoons the food was good tho
51,طالبه صدرين وجناح جالي دبوسين و ورك تجربة سيئه
52,the food was cold
53,الاكل وصل بارد جدا و العيش بايت و مافيش مناديل ولا كاتشب ولا جوانتي و طعم الأكل مش طازة خااللص
54,اكل سيئ جدا بايت و ناشف
55,"Food would’ve been more delicious if it didn’t arrive cold. Chicken is super crispy and fresh, but the fries and onion rings arrived very soggy."
56,كلو سلو سيئه ومره على الاخر طعمها يقرف فراخ بايته وشاربه زيت
57,Wasn’t spicy and not seasoned enough even the potatoes You can do better
58,I ordered it original but all was spicy 💔
59,ثاني مرة البطاطس تيجي بردة و قليلة جدا مع اني كلمت خدمة العملة عشان تيجي كويسة الخامات مبقتش زي الاول
60,عيش السندوتشات كان مبلول🤢
61,كتبت اني محتاجة 3 قطع حار والباقي عادي اللي وصل كلة عادي مافيش حار
62,The food arrived 30 minutes late and was cold and soggy
63,No chedder cheese on the fries.
64,I ordered honey BBQ but I got big dixi just chicken and cheese this is not acceptable and the fries were less than the usual
65,الاكل كويس كطعم بس القطع وصلت ناقصة قطعة الكولوسلو مقلوب في الكيس و علبته مكسورة البطاطس طرية الدليفري رغم تأخيره بس محترم و ذوق
66,الاوردر وصل خاطئ و موصلش الجديد
67,خطير
68,every time the order was really good but last time I got two wings of three chicken pieces.. besides the breading was so light and wet
69,مفيش جبنة شيدر
70,يعني الاكل طعمه حلو بس اول مرة جبتولي الوجبة سبيسي و متكلمتش عشان حجتك حلوة و المرادي طلبت ستربس جبتولي بروستد و كانت القطع صغرية كمان كتر خيركو
71,البيكون محروق وناشف جدا والفراخ ناشفه
72,it was spicy when i ordered original but it was very delicious
73,جية اوراك و انا محدد صدور
74,the potato amount was small
75,الاكل حلو بس طلبته حار وصلى عادى
76,زفت طالبة لحم ابيض فقط جاي وراك والفراخ زفرة جدا
77,الاوردر كويس جدا لاكن التتبيلة محتاجه تكون اقوي
78,الطعم غيرجيد وسيء ومش طازة للاسف
79,الاكل طعمه كان وحش جدا اتاخرتوا ساعتين والمطعم يقولي المشكله من المنيوز والدعم مبيردش
80,للاسف طعم الفراخ سئ ومش فرش باين جدا من الشكل والطعم وللاسف تجربة سيىة للغاية ولم تكرر وجاى بادر جدا بالرغم ان موصية ان يكون سخن وفلوس على الفاضى ربنا يعوض
81,البطاطس كانت كميتها قليلة اوي عن كل مرة
82,الاودر موصلش
83,كنت بطلب منهم كتير جدًا، بس المستوى بقى يوقع لحد ما بطلت. بعد فترة، حد من الفريق كلمني وقاللي إنهم حسنوا الجودة، طلبت ٣ مرات وكان كويس، بس رجع يبقى وحش تاني. طلبت مرتين Texas Fries، البطاطس كانت مش متبّلة، والفراخ كانت بايتة مرة، والمصيبة إن مفيش شي...
84,الطعم رديء جدا ومليانه زيت وناشفه وحشه جدااا
85,مكانش فيه شدير تشيز في التكسس فرايز
86,الاكل كان ٢ برجر واحد منهم بارد جدا بطريقه فظيعه والتاني كان سخن وكويس
87,They don't want to answer my calls and the food is wrong and cold
88,الاكل كان بارد و كنت طالباه سبايسي اللي وصل كان عادي مش سبايسي وكان مزيت
89,الوجبة جاية مش غير بطاطس 😤😤😤😤😤
90,The drink wasn’t delivered
91,زي الزفت الاوردر واصل بعد الفطار وكميه قله زوق مش طبيعيه ولا كاننا في رمضان وحتي خدمه عملا المنيوز مردوش عليا وطنشو
92,Food is already cold
93,مع ان الاكل جه متأخر جدا بعد الفطار بنص ساعة لان المطعم خلصه متأخر، جه الاكل بارد
94,زفت وحايلي سبايسي وناشف
95,الاكل كويس لكن خدمة التوصيل سيئة للغاية
96,cheese fries taste so bad .. but sandwich was big in size and taste was acceptable
97,الريزو سيئ بطريقة مستفزه الرز ناشف وحاجه بشعة اقسم بالله
98,The food was freezing and took over 2 hours to deliver.
99,Wasn’t hot at all
100,الاكل جاه سخن عشان أنا كتبت اني عايزه سخن والفراخ كانت كويسة بس البطاطس قليله بس كله حلو بصراحة
101,الطعم والتتبيلة الفراخ مش حلوة بالمرة
102,ديكيسيز فى حته تانيه 😋
103,الاكل بارد الارز بارد و ناشف
104,"Ordered spicy got regular, got 2 wings and no breast???"
105,البطاطس جايه فاضيه والاكل متلج والكولا ناقصه والسلطة غامقه وطعمها غريب
106,تحفةةةة
107,سيء للغاية و مزيت و اقل من اقل منافس
108,The delivery is a theif and the service is very bad
109,الاوردر سئ طلب صدور جالي وراك والأكل زفر جدااا
110,الطيار اتاخر اوي
111,الاكل كان بارد جدا طعمه لطيف بس باااارد
112,الساندوتش طعمه غير المعتاد و البطاطس بارده و قليلة جدا مفيش ولا ملح ولا توابل و سيئه جدا جدا بجد مش هطلب تانى من عندكم
113,B
114,للأسف زيت الفراخ طعمه مستخدم كتير وخلى الفراخ طعمها زي الفلافل حرفيا مع طعم زفارة .. البطاطس اللي كانت جيدة في الاوردر
115,طلبتة اوب مرة و طلبت الفراخ تكون صدور الاوردر جه حلو جدا و سخن و نظيف طلبتة تاني بعدها بأسبوع و طلبت صدور الفراخ كلها جت وراك + انها مكنتش نضيفة من جوة و الاوردر بارد حاجة سيئة للغاية الصراحة عكس التوقعات خالص
116,الاكل كان كويس جدا وطعم والتتبيله حلو جدا والفراخ نظيف جدا و كمية كويسة جدا وريزو ال spicy جامد جدا
117,المرة دي مش كويس خالص الكمية قليلة قسمين الورك علي ٣ قطع والبطاطس قليلة جدا غير انه اتاخر ساعتين ونص ولاقيت شعرة مش عارفة بيعاقبوني ولا ايه مع اني بطلب منهم كتير
118,الفراخ مش كتير في الساندوتش قليل وكلو سلو كنت طلبت الحجم الكبير جالي الكمية صغيره جدا
119,الفراخ متسخنة مش جاهزة الريزو كويس
120,اتاخر كتيييييير
121,الاكل سئ جدا بجد و كاتبين ٣ قطع فراخ حاطين دبوسين و باقي ورك و الفراخ زرقة من جوه بجد تجربة سيئة
122,شكرا ان الاكل كان سخن ومقرمش ونظيف بجد شكرا ليكم
123,The delivery was too late
124,I ordered original meal and they sent me spicy one
125,الاكل بارد جدا وغير طازج وتاخير غير مبرر في الاوردر
126,الزيت بايت بجد فرخة اكنها اتقلت ميت مرة
127,Hh
128,El fries mesh Ahsan haga:(
129,good
130,الفراخ وحشه جدااااا مش مستويه كويس
131,الديليفيري محترم جدا وزوق جدا وبشوش احرجني من أخلاقه ربنا يكرمه صوص البيج تستي جميل بس المشكله في ان الوجبه فيها جناح مش هطلبها تاني
132,الملاحظات الي طلبتها متعملتش و كانت حاجه سيئة جداً و حاولت اتواصل مع الدعم و قالولي المطعم هيتواصل معاك قريب و محدش اتواصل
133,كل حاجه بيرفكت 😍
134,الكواليتى والاوردر تحفة بجد
135,اكل بارد وجع بطني والعيش كان ني يدوب شم الجريل، والرز بايت وحاجة آخر قرف الحقيقة، معرفش ليه كررت التجربة دي مع انها كل مرة بتبقى سيئة
136,"i ordered 5 stripes pieces (breast), but i received 3 pieces (thighs)"
137,كميات صغيره جدا
138,الاوردر جه غلط
139,.
140,بيوصل ف ساعتين ليه؟ و اللي تتصل بيهم مستفزين و محدش بسمع كله عنده كلمة عايز يقولها من غير ما يعرف حاجة، وصل بعد ساعتين ونص و مستلمتهوش عشان دا استعباط دا جمب بيتي اصلا
141,لتاني طالبه الاستربس عادي جالي سبايسي والطفل معرفش ياكله والاكل ناقص ملح وبهارات
142,الاكل كان مليان زيت ومحروق اوى وطلبت سفن اب جالى بيج كولا
143,Chicken was stale. Probably just taken out of the freezer.
144,الاكل جميل بس الدليفيري اسلوبه زفت وبلطجي وواقفلي ع الربع جنيه وعايز فلوس زيادة
145,الاكل موصلش وتمنو مدفوع
146,ممتاز تسلم ايد الشيف
147,The dinner strips box sooooo good and soooo delicious
148,الريزو جاي ناشف و بشع و الفراخ مش حلوه ومش وحشه عاديه يعني
149,الاكل وصل متاخر جدا و بارد جدا جدا جدا
150,الفراخ مقلية بريشها
151,الدلفري محترم جدا
152,الخبز قليل وحد بس و بطاطس حبه صغيرنا جدا و كيس كتشب بجد توفير اوي
153,الاكل حلو اوي ونضيف وكمان وصل في المعاد مظبوط يمكن قبلها كمان شكرا ليكم💙
154,الاكل وصل بارد
155,اخر مره هطلب منكم
156,سخن وجه بسرعة والطعن تحفة
157,it was really good but the portion is small
158,الاكل وصل متأخر جدا وبارد بسبب تغيير الطيار على الابلكيشن واللوكيشن كات مش واضح للطيار مع اني كاتبه العنوان بالتفصيل بس المكان على الخريطه محطوط غلط خالص لكن الاكل كان كويس
159,طعم وحش جدا ويوجع البطن
160,البطاطس مش حلوة
161,الاوردر كان ناقص العيش والفراخ التتبيلة بتاعتها مش باينه خالص والبطاطس كميتها قليلة جدا
162,الصوص قليل
163,الاوردر سئ جدا
164,التتبيلة ضعيفه و البردينج خامق والعيش ناشف هو والكولسلو
165,حجم الاسترالي بقي صغير وكميه البطاطس قلت والكوب سلو كرنب من غير جزر ولا صوص
166,اسوء طعم fried chicken ممكن حد ياكله .. اسوء اوردر ع الاطلاق الفراخ كلها زيت و مفيهاش تتبيلة و لا طعم بجد انا رميت الاكل مقدرتش اكمله من بشاعته و من طعم الزيت
167,اتقلي زياده
168,not good taste
169,Saltless and breading was soft
170,Bbos
171,Thé driver is very bad
172,مقرف اوي حقيقي بطاطس بايتة و فراخ ملهاش طعم
173,Food tasted weird.
