,comment
0,اسوء تجربة عملت اوردر من عندهم فطير من غير خضار جبهالي بخضار كلمت مطعم قالي مش مشكلتنا كلمت منيو يشوفلي حل راح مطعم وافق يبدلها راح جبلي مكانها واحد اصغر وحشو اقل وصوص اقل وبيقولي ده اللي عندنا وراجل قاعد بيزعق وبيقل ادابو بجد اسوء تجربه واحر مره اجي...
1,جابولي كاتشاب وأنا قولت مش عايزة
2,الاوردر اتأخر اوووووي
3,موصلش أصلا
4,السجق قليل بس الفطيره معموله بمزاج ومخدومه حلو اوي
5,تجربة زي الزفت
6,سي جد
7,Cold feteer
8,But took too long to reach me they kept the driver waiting
9,حلوة بس باردة
10,تحفه
11,ممتاز و وصول قبل الوقت المحدد …………………………….
12,"excellent taste, quality, portions"
13,الأكل كان في شعر
14,"order was too late and cold, driver had a first order to deliver first."
15,الاورد جة متأخر ساعة ومش بس كدة مقلوب ومتبهدل ... ٧ مرات في ١٠ ايام على نفس الحالة .... تدعي ربنا لو بتطلب من الابليكش دة ان الحاجة توصلك سليمة
16,فطيرة الحليب كنت بطلبها الاول كانت بتبقى حلوة جدا المره ديه كانت من غير سكر خالص تقريبا
17,اغرب منظر شوفته طلبت بيتزا شرقي مكس لحوم فلفل حار جت لي ب هريسه في كيس تقريبا سايح من سخونة البيتزا ... عمري ما شوفت كده
18,قولت متبعتوش كاتشب وبعتولي كاتشب مقاطعة
19,بجد شهاده لله تاني مره نطلب حاجات و تبقي حميله والمرادي كلموني مخصوص علشان يعرفوني الحاجه هتيجي فريس بس تتأخر شويه و كانت تحفه فعلا و عجبت الكل الحمدلله، شكرا للاستاذ اللي كلمني من الفرع و تابع معايا و عمو اللي وصل الاوردر كمان
20,ال marple cake تحفة
21,"the Restaurant called asking to increase cost of delivery, not respecting announced via application, kind of blackmailing. late delivery packaging of chocolate feteer in bad form"
22,فطيرة الحواوشي مالحة قوي
23,فطيرة السكر الرول سيئه جدا وبسبوسه حمضانه
24,الريد فيلفيت كانت حمضانه
25,الفطير بالسكر محشي بسبوسه وده خلاه مش احسن حاجه السجق المرة اللى فاتت كان احلى
26,great quality and delicious food
27,استمروا علي الأسعار دي مشكورون
28,الأكل وصل بارد
29,الفطير مش مستوي من جوا والخضار ناشف
30,الفطير طعمه وحش جدا
31,Wrong order
32,I asked not to add sugar on top but they added.
33,الفراخ مش نضيفه وحاجه صعبه
34,طلبت اوردر ٢ فطير سجق شرقي وواحده ميكس جبن اضافه سجق و بجد بعتولي واحده بيتزل شرفي مش فطير و العجينه مخشبه و ناشفه جداااا و التانيه فطير عادي اوردر سئ جداااا بجد
35,التغليف محتاج يبقي افضل من كده، لأن الفطيرة جاتلى اللبن مدلوق منها في الكيس
36,استمروا في وضع القشطة داخل الفطير الحلو (جبت شوكلاته و لوتس ) و فطيرة السوسيس رول جميلة برده
37,premium
38,اوحش فطير ممكن تاكلو فحياتك غير انو اتاخر عليا ساعتين و الاكل جية بارد و ووحش جدا
39,الزيتوون مر اووووى
40,للأسف الفطيرة مش حلوة خالص المفروض بالجبنة ومفيهاش جبنة خالص والمفروض أنا طالبة خضار زيادة مفيهاش خضار والخضار محروق واسود المفروض أنا طالبة فطيرة ميديم جاية صغيرة ومدفوسة خالص كأنها مش طازة ومتسخنة اسوء مرة اجيب من الدمياطى بجد
41,كان فيه مشكله مع الطيار بس المدير حلها والبيتزا كانت مره جدا بس كتجربه كويسه مش سيئه
42,الفطيرة بالكريمة والشيكولاتة ولا تحتوي على الموز
43,الطلب وصل مختلف عن المكتوب ورفضوا التغيير
44,الفطيرة جاية مش زي ما طلبتها ورفض التغيير
45,Potions are huge... Specially the Falahy Fateer
46,soooo fresh
47,الطيار اتاخر ساعه ونص والأكل جاي بارد والأكل طعمه وحش اوي
48,ممتازة ما شاء الله
49,great
50,ممتاز
51,فطيرة الي جاتلي سوسيس و انا طالبها سجق
52,هي فين اصلا دي جايه مفرومه
53,الصراحة اسوء خدمة بقت موجودة فى المنيوز والمندوب التوصيل مبقاش حد كويس والمندوب يفضل يلف وسايب الاوردر واخرهم يتصلوا يقولوا معلش وهما مش عارفين يضبطوا الدنيا الصراحة اخر تعامل مع الابليكشن ده
54,الجاتوه غير طازج
