,comment
0,المنقايش جات مفتوحة مش مقفولة زي ما طلبتها والعجينة دايت مع اني طالبها عادية
1,الأوفر اللي المطعم عامله وهمي لما طلبت و حطيت الكود المطعم رفض الطلب و لما رجعت بعدها عملت الطلب بدون كود الخصم قبل الطلب الطلب جه متأخر و المناقيش متلجه
2,very late delivery and order was extremely cold!
3,الاكل بارد و الجبنه الموتزريلا محجره حتى مش سايحه
4,Great
5,"pickles are missing, the driver informed me that the item was not included"
6,The faheta was the worst that I have ever experienced
7,Temperature
8,بشعة و مالحة و خدمة العملة قمة في قلة الذوق،
9,Delicious food
10,مش نفس ما طلبت
11,Order came 45 minutes late and was cold
12,بيتزا باردة
13,Food was cold
14,المنقوشه جايه محروقه وشكلها متسخنه كذا مره وطعمها وحش الصراحه مش زي كل مره بطلبها
15,Something is missing
16,الاكل جميل لكن معجبنيش ان المشروم معلب مش فريش خصوصا اني طالبه اكل دايت يعني صحي وطعم المعلب مش الطف حاجه
17,السجق كان قليل جدا فى الاكل، لازم تزيد الكمية
18,الأوردر جيه بعد ٣ ساعات، عشان نسيو يعملوه ومافيش رقم أتواصل عليه و بعد كدة قال أنه مش مدفوع و هو مدفوع و فضل واقف بيحاول يوصلهم ومش عارف الservice وحشة جدا بجد
19,food was extremely cold
20,"The bread was very very soggy and couldn’t eat it on one piece due to that the Spanish is very watery and the bread wasn’t toasted, so the sandwich was falling apart. Also the Spanish itself doesn’t taste good."
21,المناقيش النهارده طعمها وحش و مش عليها توبينجز زي كل مره هي فاضيه حرفيا و واحد سيرفيس 80 جنيه بجد مش هطللب تاني
22,المنقيش بردة جداً و الاطراف نشفة
23,الاكل كان بارد
24,soft drink is missing for the second time
25,Worst service ever!!!!!!!!!! It took them 2.5 hours to deliver my freaking order and it was so cold!!!!!!!! The system is shitty and they are not organized at all They gave the delivery guy a wrong address with a wrong number !!! They are so messed u...
26,.
27,The kaskhawan man2oosha had spicy pepper on it and i wasnt able to eat it
28,Ahla man2osha fel hayaaaah😍😍😍🫶🏻 100/100 bdon mobalghaaa
29,There was an item missing
30,الاوردر اتأخر وجالي ناقص
31,العيش كان ناشف
32,the order was missing the v cola
33,it was cold unfortunately
34,الاكل جاي متأخر ساعة و نص و بارد جدا لإن الطيار ساب علبة الموتوسكل مفتوحة . تجربة سيئة جدا
35,Pizza was cold
36,حلو يس الاكل كان بترد
37,The new wrapper make it wet
38,طلبت مقفول جات مفتوح
39,الطيار قليل الادب و عربجي
40,Food is super cold like it was baked 2 hours ago
41,chocolate mankousha quality is very low
42,ا
43,الاوردر وصل بارد و كان ناقص الفي كولا ش ك ر ا
44,اوحش حاجة اكلتها في حياتي و اكل مايتاكلش
45,I didnt get my v cola
46,فطاير السبانخ تحفة
47,طلبت منقوشه كيري مع سلامي مش لانشون ! معايا صوره بس مش عارفا ارفعها هنا
48,Perfect as usual. But there was no option to chose “thin” mankiusha like before
49,بيتزا سيئة جدا .. البيتزا واصلة باردة ومجلدة والمكونات فيها قليلة جدا بصراحة اسوء بيتزا كلتها ف حياتي واول واخر مرة اطلب من المطعم دة
50,Food was cold... The tomatoes was added on a wrong order... The corn wasn't removed fron the Mushroom manoucheh... No option to add mushrooms...
51,جالي بيبسي مش في كولا ومكتوب ان العرض بيجي معا في كولا مش بيبسي
52,الاكل توحفه والدليفيرى اكتر من محترم مضايقه من كاتشب هاينز الى مع الاوردر اتمنى المره الجايه يكون كاتشب مصرى او اى نوع مش مقاطعه
53,"food was amazing, but el menus driver was very late"
54,للأسف الطلب تأخر جداااااااا و حضر بارد و الحشو كان قليل عن باقى المرات للأسف
55,الاوردر اتأخر بسبب ان الطيار اتغير كزا مرة و الاكل وصل بارد
56,الاكل سيء جدا وبارد
57,Thx
58,اكل بارد جدا
59,order was very very very late more than an hour after expected delivery time
60,حلو جداً
61,:(((((
62,Reduced Quality overall and there were no bananas
63,حاطين عسل اسود بدل الشيكولاته 😅
64,Tohfaaaa
65,the delivery guy’s demeanor was not good felt kind of rude but the food was amazing as usual 🫶🏻🫶🏻🫶🏻
66,تحفة
67,اتاخر جدا عن ميعاد التوصيل
68,They gave me Heinz ketchup packets with my order. I don't want to forcefully and unknowingly put money in a boycotted brand.
69,وكانت البيتزا باردة ومجلدة
70,أخطاء متكررة بالرغم من تكرار نفس الشكوى والتواصل مع المطعم كل مرة. من كل ١٠ طلبات، طلبين بيجوا صح.
71,طالبها بي زعتر جت من غير زعتر
72,الكمية قليلة فى الشيكولاته بشكل عال هذه المرة
73,المنقوشة الشوكولاته فنصها لحسة شوكولاته والأطراف عجينة فاضيه باكل عيش والتركي في نص العجينه والاطراف جبنه اكتر هو عشان عرض يعني فتديني غير الي بيطلع بره العرض 🤔
74,وصل بارد
75,الاكل حلو بس التوصيل مقرف كالعادة
76,سعر المطعم مختلف عن المنيو بفرق كبير
77,Wasn’t open as requested even though i said u would pay the extra fee
78,للمره التانيه المناقيش روعه ❤️
79,الاكل جيه سخن
80,The delivery goes for many orders and i was the last one and the food was not fresh
81,Food was overall good but the dough/bread was not fresh
82,delicious but took along time to came
83,الطيار جايب الحاجة معجونة فوق بعض المفترض انها في علب زي البيتزا مش محتاجة عبقرية عشان يشيلها بشكل سليم
84,اتلغى الطلب ولم يتم استرداد المبلغ
85,المناقيش تحفه ❤️
86,فيه شعر كتير فى وسط الاكل ورميت نصه بعد ما اخدت بالى.. قرف
87,Z
