,comment
0,جد ا كويس
1,delicious
2,الفراخ محتاجة تكون اطرى شوية
3,الطلب كان مالح جداً.
4,الشيش زفر
5,الاكل كان بارد تلج
6,طلبته طهي كامل لكن وصلني مليء بالعصارة للأسف وعندما وصلتني رسالة عن رأيي في الاكل
7,الحمامه جايه ملهاش طعم وبارده
8,رز المحشي كان بس ني شوية
9,الحمام كان سيء الصراحة كله ريش ، قرفت جدا منه ، وحتى لما قولت خلاص اشيل الطبقة اللي بره دي ، الطعم نفسه من جوه الأرز ولحم الحمام مكنش حلو ، معرفش في ايه، ومش رأيي انا بس ، واللي طلب معايا
10,الأرز بالكبد مش افضل اختيار افضل لو كان أرز ساده
11,الفراخ ناشفه و محروقه جامد
12,بارد و و سيئ
13,التكلفة اللي ظهرت على منيوز مبلغ ٢٨٩ جنيه والمطعم طالب ادفع ٣٠٨ جنيه ده تلاعب في الأسعار وتدليس وغش من التطبيق والمطعم ودي مش اول مره تحصل
14,مفروض في تخفيض والاوردر ب 204 ، طلعت الفاتورة 230
15,الاكل كان حلو وسخن . شكرا
16,الأكل اتأخر ساعة ونص، وماكنش ممكن نوصل للمندوب. الأكل وصل ساقع وماكانش طعمه كويس.
17,أشكركم على الاهتمام
18,order is not as ordered!
19,كفتة جميلة
20,الشوربة حادقة جدا محدش قدر ياكلها.
21,الف الف شكر لطريقه اللف وأنها مش في الفويل مباشرة وفيه قبلها ورق زبده.. ربنا يباركلكم
22,الاكل بارد ونصف الدجاجة صغير
23,حساب. الاوردر اللي اجالي غير اللي اتقالي من الابلكيشن
24,مش زي الاول في السوا او الطعم
25,نص فرخه مكنتش مخليه السلطة كمان متغيره تجربه سيئة صورت الاكل لو ف مكان ايعته فيه الصور
26,مبقاش الاكل حلو زى الاول علطول جاى بارد ويقرف الباكنج
27,الاوردر اتأخر وكمان في زياده في حساب الشيك
28,الطلب وصل متأخر ومش سخن المتابعة سيئة
29,الاكل جاي مش مستوي و ريحة الاكل مش كويسة
30,الأكل كله مملح زيادة، الرز مالح جدا و الشيش طاووق مالح جدا مفيش غير الشوربة والسلطات اللي كويسة.
31,taste of ribs was not as expected.
32,برحاء الاعتناء بالتوصيل
33,الفراخ مكنتش نضيفه زي كل مره والرز بالكبده مش حلو لان الكبده كانت مش مستويه ولسان العصفور كان بارد جدا مكنتش اتوقع دا خالص من الدهان لاني بطلب منه دايما والاكل كان ولا غلطه
34,كان بارد جدا ومش محيق صح
35,Delayed 2 hours and missing item
36,جبت حواوشي و كان في عضم كسر درسي منكو لله محدش يجيب منهم
37,Very delicious food
38,الاكل دايما بارد
39,الاكل سيء جداً وبارد جداً عربية كبدة في الشارع هتعمل احسن بكتير من الدهان مقابل نفس القيمة
40,Very little
41,الفراخ مش مستوية كويس جزء العضم عليه دم
42,Cold
43,شكرا
44,أسوأ مكان ممكن تطلب منه اكل واكتر مكان في ناس مش محترفه ومش بحترمو العميل وموضوعهم فعلا سيئ جدا جدا لا انصح به إطلاقا
45,الاكل كان بارد والعيش بايت
46,للأسف كانت جاية من غير قشطة زي كل مره كانت سيئة صراحة
47,الحمامه. الفريك كان فيها زلطه وهكشف على سناني حسيت في حاجه طرقعت عموما ده حاجه غريبه انا طلب اخر شهرين فوق ٩ مرات الرد بتاع الجوده بتاعهم معجنيش المفروض ده واحد من اكبر المطاعم في المشويات دي َمصيبه حاسس في جزء اتكسر و خايف اكشف بس هعمل كده
48,طلبت طحينة وماوصلتني والكفتة طعمها الله يكرم النعمه و لقيت قطعة بلاستيك داخلها
49,الرز جاي معجن و طعمه سيء
50,الاكل بشكل عام جيد و لكن لوحظ تخفيض كميه سلطة الفتوش و سلطة البنجر بالرغم من زيادة السعر مؤخراً
51,I didn’t like it
52,الفراخ كانت زفره ومحتاجة تستوي اكتر
53,سيء جدا... الفراخ معمولة من ٤ ل ٥ ساعات و ناشفة من كتر التسخين و الرز كان مجمد و سخنوه
54,ممتاز جدااا
55,البطاطس كانت قليلة جدا جدا جدا جدا
56,محتاج سواء ازيد من الداخل لاكن بشكل عام حلو
57,اسوء شيش طاوق زفر و مش مستوي كويس
58,الاكل حلو بس اخد وقت كتير
59,الكبده ما عجبتني خالص كانت بتشد في الاكل و كلها عروق
60,I’m
61,الاكل دايما بارد بنحب الاكل مولع
62,Bad
63,الحواوشي جايلي سبايسي وانا مش طالب كدا
64,مليح البطاطس خشن
65,بشع الحواووشي ساقع ومحروق ووجعلى بطنى
66,الاكل كان كله دم
67,Food looked it’s leftovers كان شيء مهين جدا و غير مقبول و كانه لامم البواقي من التربيزات وو بعتهالي و الرز بايت و مايتكلش الاكل اترمى
68,To much delving time
69,very late delivery
70,حجم الساندويش اكيد مزحة!!
71,الأمل وحش
72,حجم الفراخ في اخر اوردرين صغير جدا عن المعتاد الي بطلبه
73,اللحمة مش مستوية
74,الكفته الضاني كانت مش حلوه مش عارف ديه احمه ولا فراخ المكرونه الوايت صوص لازم تتحسن الفراخ المشويه و الشيش حلويم
75,الاوردر جه غلط وحتى لما اتبدل بعد اكتر من ساعة كان طعمه ميتاكلش واللحمة مش مستوية واترمى كله
76,اتاخر جداا
77,Missing items
78,الفراخ جاية مش مستوية
79,البطاطس بس كانت مزيتة اوى لكن الحمام جميل
80,بارد
81,دايما الاكل بارد . الرز والملوخية باردين اما الفراخ هي اللي كانت سخنة.
82,Late and kind of cold
83,وحش اووووووي اول مره اطلب حاجه من الدهان و تطلع سيئه كده
84,الساندوتشات مش حلوة
85,الرز مع وجبة الشيش كان مشطشط و حراق جدا و في ناس مريضة ما قدرتش تاكله... المفروض ما يكونش في شطة اصلا
86,الاكل كان محروق برده لتاني مرة مع اني كاتبة ملحوظة و فعلا اخر تعامل معاهم لعدم احترامهم للعميل
87,الفراخ جتلي نية اقسم بالله ، لونها ابيض تماماً و عليها التتبيلة بالماية و هي نية حاجة قرف
88,الفليه ني مش مستوي والخضار السوتيه بارد وطعمه سيئ
89,.
90,سيىء
91,صلصة و ٣ قطع بطاطس
92,طاجن الحمام كان مفيهوش حمام تقريبا هما قطعتين تلاتة كان رز بس و ده عكس كل مرة كان دايما بيجي مليان حمام و بالنسبة للممبار كان كويس بس بارد جدا و الشوربة بتاعت العدس جت حلوة جدا
93,الاكل تسبب في قىء للاطفال وحبلغ الرقابه علي الاغذيه
94,من اسوأ المرات اللي جربت المطعم فيها، المشاوي 5/10، المكرونة كنت باكل مكرونة مسلوقة مش باللحمة المفرومة ولا صلصة حتى خاب ظني جدا
95,حلو
96,As a regular customer they are horrible at fixing their mistakes it's been 3 days and they havent refunded me or even accepted replacing it with something else in a new order. Also elmenus customer service doesnt exist.
97,الدليفرى اتأخر والأكل وصل بارد وحاجة زى الزفت بصراحة
98,Late delivery
99,nice but too salty
100,الاكل وصل بارد ومجلد
101,للأسف ريش بيت الكلاوي اللى انتم مشهورين بيها كانت سيءه جدا
102,"the chicken was half cooked, requested a refund and nothing happened."
103,i
104,تتبيلة الشيش طاووق سيئة ، وشوربة الكريمة مش حاطين فراخ ممكن عجين فراخ حاجة كدت
105,حجم الحواوشي انكمش جدا!
106,الدجاج غير مملح بالمرة
107,الاكل كان اكتر من سئ
108,جيد بس عرض سعر الطاووق لم ينفذ
109,السمان غير نظيف
110,الطعام كان باردا جدا وطعمه سيئ مع تأخر الطلب
111,الطيار اللي تبعهم قعدنا نص ساعه مش راضي يطلع الاوردر وعايز حد ينزل واخر بهدله حصلت واجرته الدهان اعتزرت وعملنا شكوي في الطيار وكان بيقول لخدمه العملاء انه بيخبط علينا وهما كانوا معنا علي الاتصال في الموبايل وعرفوا انه كداب ومش بيخبط ومش مظبوط
112,الفراخ مكنتش وحشه بس كانت محتاجه سوي اكتر كانت بتشد والتمويه والطحينه ملهومش طعم والسلطه الرمان قليل اوي الارز كان حلو
113,The chicken tasted off
114,خدمة عملاء ذوق جدا و طعم اكتر من رائع 👍🏻
115,ناشف
116,الرز باللبن بايظ اول مره الاوردر يكون في مشكله
117,الفراخ مش طازجة و طعمها و رحتها وحشة و التتبيلة سيئة
