,comment
0,الاكل ساقع مش سخن
1,مفيش جبنة اساسا باكل فينو بخضار
2,فطيره سوبر جاد للاسف صغيره جدا مقارنه بسعرها ارجو موازنه الحجم مع السعر
3,وحش جدا
4,الطلب متأخر وبارد والدليفري مزود في الحساب وجايه ابنة معاة
5,الاورد خطأ ومجاش الطعمية
6,order late and missing item
7,بارد جدا للاسف
8,التوصيل اخد اكتر من ساعة ونص.. طلبت طعمية سوري بس السندويتش صعب البلع. طماطم واحدة بس وطحينة قليييلة جدااا
9,البطاطس الشيبسي كانت سيئه جداا كانت ناشفه
10,الطعام كان ساقع يارب يكون احسن لنهارده
11,The order is missing a sandwich and this is not the first time.
12,الاوردر جاي ناقص سندوتشات وجاي بارد
13,What is this !!!
14,I ordered 1 egg with pastrami but I received plain egg!!
15,بجد المطعم بقي وحش جدا بيجيب اكل بايت و اكل بارد مش سخن و مش صابح و باين جدا علي الأكل بجد بقيتو وحشين جدا
16,رائع
17,1 fries sandwich missing
18,الفراخ مش مستوية خالص وفيها دم من جوة حاجة سيئة جدا اخر مرة اطلب منهم فعلا اكل سئ وتجربة مش هتتكرر
19,ساندوتش البيض وصل ساده من غير بسطرمه
20,الاوردر وصل متأخر اكتر من ساعة بس المشكلة الاكبر ان السجق اللى فى البيتزا من نوعية ردىئة جدا معرفش ده محشي شغت ولا ايه بالضبط حاجة كده ما تتاكلش ومش بيتمضغ وحاجة مقرفة جدا لو جايبينه من الزبالة كان حيبقا احسن من كده
21,Instructions not followed
22,الحواوشي محروق من برا و طعمه سئ جدا
23,اول مرة جاد يبعتلي ال order كدا اسوأ حاجة
24,يعني ايه الطيار يقولي انزلي زي زميلك هو ده أسلوب
25,1. i ordered shami bread and it came kaiser bread 2. kaiser bread is of bad quality 3. I ordered without green salad and it came with salad
26,"Packaging delivered opened and sandwiches were cold and there was one missed, totally تجربة تقرف."
27,الفول جه عادي مش مش بالليمون المعصفر و الشيبسي انا طالبه يبقي بدون سلطات جه وعليه سلطه
28,سندوتش ملح بالزيت
29,الاوردر توصيل الى المنزل الاستاذ عايز حد ينزل يستلمه من عند الامن تحت ... انا بطلب من مينيوز علشان يوصل من المطعم للباب وبدفع خدمة .... كده غلط تماما وغلط على سمعة المبنيوز لانه مش عاجبه كلامي و بيزعق ... شكرا جزيلا
30,طريقه تعامل السائق سيئه جدااا
31,الاكل جاي متاخر ساعتين. وكابتن الديليفري بيقولي المطعم طالب ٣٠ جنيه زيادة
32,I order one panne roumi and one fried roumi but i get 2 fried roumi instead
33,الكميه في السندوتشات غير كافيه وقليله جدااااا
34,I didn’t receive the order
35,انا طلبت ١ فول و ١ فلافل بالحمص وصلني ٢ فول بعد كل التأخير ده ؟
36,الطعمية سيئة جداً ومجلده عكس المعتاد
37,اوردر فول و طعمية في ساعة و نص 😀؟؟ الحاجة وصلت باردة، متاخرة و من كتر ما اتسابت سخنه و بردت العيش بقا عليه مياه و بقا بايش بجد اوردر بشع و السواق كداب
38,الاكله كله بارد ومفيش معاه اي مخلل وطعمه سيء جدا والبطاطس متسخنه مرتين، عشان اعرف اكل حطيتهم ف الميكروويف
39,جالي فول سادة
40,very good❤️
41,الفلافل وحشه جدا جدا كانى باكل عيش ليس لها طعم قافل ع الاطلاق ودا مش اول مره تحصل حصلت مرارا وتكرار واشتكى ومفيش فايده
42,الاكل سيء و بارد و العيش مش طازة و مقطوع و مبهدل و الاوردر بيتاخر على طول
43,الجبنه رومي المقليه جوده وطعم سيئ جدا جدا الفراخ البانيه طعم استغفر الله العظيم انا رايي خليكم في الفول والطعميه بس
44,I’VE RECEIVED A WRONG ITEM
45,الاوردر اتأخر والاكل كان بارد جدا
46,طلبت ٢ ساندوتش بطاطس سادة و جه برضه بالسلطة و الطحينة
47,V
48,و الأكل كان بارد جدا
49,الفول حمضان
50,تاخرو ساعة تقريبا والفول مش مدمس
51,توصيل متاخر
52,الطلب مكنش احسن حاجه خاالص و الجبنه كانت شبه محروقه و كميتها بسيطه للاسف مش اول مرة
53,"Worst experience from this restaurant, delivery left order in his bike box and for an hour then he decided to get it to me after then"
54,"Everything was really good, I ordered fool, falafel, chips and cheese. They were not spicy, which is something great! The fool sandwich filling portion was not enough. Maybe you need to add a sligh more filling. The fool with khalta, needs to have mo..."
55,الاكل وصل متأخر ساعه عن ميعاد التوصيل المحدد و وصل بارد جدا
56,الاكل ناقص ساندوتش !!!!!
57,الكميه مش كفايه خااالص بجد كانت قليله اوي
58,بطاطس وحشة و بايتة
59,محدش جه اصلا
60,كالمعتاد زمن التوصيل فات والدليفرى موصلش. كلمت خدمة العملاء ، قالوا لى خليك معانا نكلم الفرع، رجعوا لى قالوا لى الطيار معاه الاوردر وخرج بعدها باكتر من نص ساعة الطيار يكلمنى يقولى ابعت اى اللوكيشن انا لسه حتحرك! للاسف كدابين و إدارة محتاجة تتغير
61,تاخير الطلب 3 ساعات ولم يتم التسليم
62,ناقص مافيش الطحينة خالص اللاسف
63,I didn't recieve the order
64,The food was late more than 30 minutes and was cold when it arrived
65,we received a wrong order
66,"the order took over the 30 mins to get delivered after the ETA, not fresh at all"
67,مفيش مرة واحدة بس الاوردر وصل كامل، لازم بوصل ناقص و اطلب اللي ناقص تاني
68,كل الاكل وصل متلج بعد ساعتين و نصف من الطلب
69,الساندوتش النهارده كان ممتاز. شكرا
70,الشاورما كانت ناشفة و مقطعة مكعبات مش شرائح رفيعة و ده بيفقدها مذاقها. برجاء مراعاة ذلك. شكراً
71,طلبته سادة بدون سلطة و طحينة
72,الاكل بيجي بارد شويه
73,أسعار غاليه
74,الاكل دايما بارد
75,ساندوتش البطاطس شيدر المفروض بيبقي عليه زيتون وفلفل وطماطم جاي من غيرهم
76,Good
77,thx
78,الاكل كان بارد
79,الاكل بارد
80,جالي كبده بدل الكفته
81,Missing item Late delivery Good support
82,طعميه كيري مجاتش
83,الاكل اتاخر جدا وجودته كانت وحشة اوى
84,المسقعه مش حلوه بقالها مرتين
85,الاورد جه مختلف
86,وصل بعد ساعتين بارد جدا طبعا و مش حلو خالص
87,خدمة التوصيل تحت الصفر ب مليون درجة الاوردر اتأخر اكتر من ٣ ساعات عشان الطيارين بيقبلوه ة يلغوه عشان مش معاهم فلوس و ده سبب غير مقبول او منطقي مش خطأ من المطعم خطأ من الابليكيشن
88,الاكل جي بارد طعم الاكل مش حلو ومش مستوي كويس عمتا كان اسوء تجربه
89,.
90,كويس
91,الشاورما ناشفة و محروقة زى ماتكون قديمة و متسخنة..!!
92,سندوتشات البطاطس بالجبنه الرومى كان واحد فيه بطاطس والتانى لا
93,اوسخ مطعم الواحد ياكل منه مطعم قزر
94,It was veryyyyyyyyy late I ordered it as breakfast it came to me at lunch time absolutely annoyed
95,I didn’t receive my order
96,جه ناقص فيه حاجات
97,العيش كان طعمه وحش فى كل السندوتشات والبطاطس برضو مكنتش حلوه
98,اكل بارد وسيء
99,الاوردر جيه غلط
100,الاكل بارد الشاورما ساقعه
101,الاورد جيه غلط و فضلت ساعتين لحد ما جيه اخد الغلط و جاب الصح
102,طازج وطعمه حلو
103,missing order
104,Very little shawerma on fattah No sauce put on shawerma and no sauce sent
105,"The food was good, but it came in 2 hours which was too much. Fries with cheddar wasn't good."
106,المفروض ده شاورما سيئه جدا ولا تامت للشاورما باي شكل حسبي الله ونعم الوكيل
107,طلبت تومية فقط جي مليان حاجات تانية
108,I didn't get my order
109,Falafel sandwich not cooked!
110,الاكل بارد وسيء
111,الطيار فضل واقف كتير جدا في شارع ١٥١ بسبب غير معلوم و اول ما كلمته جيه بسرعة و كان واقف مش بيتحرك
112,The foul sandwich was just hot pepper ( most of the sandwich) and a little bit of foul
113,كل السندوتشات جيده ماعدا واحد في زي حاجه قرقشت زي زلطه الفول الاسكندراني مش عارف اعمل ايه الصراحه التوصيل خذ حاولي ساعه
114,السعر غالبا مش سعر المطعم
115,البطاطس كانت بارده ومجلده وطعمها وحش البنتجان المخلل مبقاش حلو ونضيف زي زمان
116,Hair in the food
117,Very dry chicken
118,محتوب التوصيل هنا 21 و اتخصم مني 21 للتوصيل لكن لما الراجع وصل كان مكتوب ان التوصيل 14 و دي مش اول مره يعني بيحاسبوا علي 21 و يدوي المطعم 14
119,عملت ملاحظة واضافه وحسبت عليها و متنفذتش الطيار اسلوبه وحش جدا تجربه زي الزفت صراحه
120,الفطار روعة
121,بتاع الدليڤري كويس
122,H
123,You guys are the worst
124,سندوتشات الفول مجاتش ومحسبنا عليها
125,الاكل جودته سيئه كتير وساندوتش الجمبري عباره عن خضار وبصل وصوص وتقريبا معاهم زي اربع خمس جمبريات صغيرين جدا جدا تشوفهم بالعافيه وسط الخضار حجمهم حجم جمبري لسه مولود بالظبط اول و آخر مره اتعامل فيها مع مطعم جاد
126,الحمص كان حامض
127,الاوردر اتأخر جدا الابليكشن كتب الاوردر وصل والحقيقه وصل بعدها ب ساعه يعني اكتر من ساعتين علي ما استلمناه الدليڤري بيزعق واسلوبه زي الزفت الطعميه جت بارده ومزيته وكل الاكل بارد
128,الاومليت مزيت وطعمه وحش
129,الاكل من اسوء ما يكون الفول الاسكندرانى عباره عن فول بهريسة شطه و البطاطس موتزاريلا ريحتها مقززه الحاجه الوحيده اللى عدله العيش
130,كلو تمام بس كمية الرز قليلة
131,جبنه رومي تخبطها في الحيط ترد و اللي شغالين في المطعم ده بيقصدوا يعملوا الاوردر المطلوب غلط
132,Cola delivered wrong
133,الاوردر وصل غلطمش نفس الطلبات الي كنا عايزينها
134,الخدمه بقت احسن اتمني تكونو دايما ف احسن خدمه
135,very bad
136,المطعم اتاخر في تسليم الاورد للمندوب اكتر من ٤٠ دقيقه مع ان الاوردر سندوتشات فول و فلافل
137,Gradients are not pure in sandwiches (both!!!!)
138,الحشو قليل غير كل مرة
139,جيد
140,جيد جدا
141,الاوردر اتاخر ولغيتو والطيار اتاخر في الاستلام
142,اول مره ف حياتي اشوف مطعم بيحط خيار مخلل على جبنه رومي مقليه الجبنه مالحه بطبعها ف يللا نحط خيار مخلل نملحها اكتر شئ عجيب بصراحه و الاعجب ان طول عمرها خيار عادي و طماطم لكن لا ازاي يللا نشغل دماغنا ع العميل يمكن يتجلط ولا حاجه..
143,السندوتشات فاضيه اكل قليل جدا جوه السندوتشات و اتاخر جدا فالتوصيل و الاكل بارد
144,الاوردر كان مقلوب وغرق الدنيا
145,الاوردر وصل ناقص علبة الباذنجان المخلل لم تحضر ف الاوردر
146,الاكل جه بايظ
