,comment
0,الطيار اتاخر جامد
1,there was little black burned scraps and the portions were very small for the price and not enough vegetables in the sauce overall it was really bad and we had to pick out the burnt flacks
2,الاكل روعة و حقيقي ربنا يكرمهم و العاملين كلهم زوق واخلاق
3,الارز مش مستوى
4,اسوء اوردر طلبته حاطين معلقة رز تحت الفراخ ؟ !!!والفراخ مكنتش متبلة كويس
5,الكباب ليس كباب ناشف جدااا
6,طلبت برياني جاني رز بخاري للأسف حركة رخيصة جدا
7,ذوق وسرعة وجودة اكل شكرا
8,سئ جدا الفراخ محروقة و غير مستوية و الرز طعم وحش
9,الطلب تأخر اخذ اكتر من 30 د
10,وحش جدا
11,الاكل شكله بايظ جالنا وجع في البطن تاني يوم.
12,The chicken breast was too small🤷🏻‍♀️ The Mandy rice was over cooked
13,البامية حمضانة
14,It should be a breast chicken but he brought me a thigh
15,"very disappointed 😞 the chicken wasn't well cooked, and the Rice wasn't good at all"
16,الاكل اقل بكثييير من قيمته
17,it is written a breast but u sent a thigh
18,الرز معجن جدا ونص الفرخة مش نص دة نص فروج صغيرجدا التجربة سيءة للغاية
19,The food is spoiled
20,الكمية قليلة جدا ووصلني اقل من نص فرخة
21,جه ناقص ربع رغيف
22,I ordered a breast and i got a thigh
23,أكل مش طازه
24,حطوا خضروات فوق الدجاج كانت اضافة مرة جميلة
25,الكميات صغير جدا
26,It was still raw not fully cooked
27,الرز قليل كما ان الدجاج تحسه ناشف
28,الفرخة مش مستوية
29,الفراخ لاول مره تبقا مش مستويه مظبوط وفى دم انا بحترم المكان بس التجربه المرادى مش كويسه خالص
30,الرز سادة من غير خضار و حجم الفرخة صغير
31,الحمص ماوصلش المرة ال فاتت
32,اولاً الطلب تأخر والطلب طالبه برياني وصلني مندي وكمان ناقص أنا طالب نص فرخه وصلني صدر ودبوس
33,ملحوظة.. التوصيل متأخر جداً.. لازم يكون فيه عدد طيارين كفاية عشان يغطو جميع مناطق المحافظة ولضمان سرعة التوصيل
34,الدقوس موصلش مع الاوردر
35,اشتريته امبارح الاكل كان سخن الكمية كانت محترمة ومفيش دم رينا يرزقهم
36,م
37,انا طالب الاوردر صدور ومحاسب على تمن الصدور واللي وصل اوراك
38,سوء معاملة من الطيار
39,بيعملوا حركة فيها نصب نوعا ما انه يجيبلك الفرخة المشوية ناقصة دابوسين يعني تقريبا فرخة الا ربع بجد حركة مهزقة جدا جدا و سرقة و اتكررت كزا مرة
40,طلبت نص فرخة جت وركين و التغليف سئ و ردئ جدا مقارنة بسعر الاكل
41,جالي فراخ
42,الطيار وقع السلطه والصوص داخل الكيس والاكل كله باظ
43,عيب اكون طالب ربع فرخه صدر و الاقيه ورك دي قلة ذوق
44,الكمية قليلة
45,جوده الاكل رديئة جدا
46,الرز كان معجن اوي والكفته كانت سيءه للغايه الاوردر اللي قبليه مكنش فيه غلطه الصراحه ف كان لازم اعقب
47,لم يأتى الكول سلو ولا الشوربه جائت اشياء مختلفه ارجو التواصل
48,وحش
49,The driver was rude and insulted me
50,الوردر وصل ناقص وجبه انا طالب وجبتين ربع فرخه الاورد وصل ناقص وجبه
51,hair in food
52,الاكل مملح جداً والبرياني زي الكبسه زي المندي مافيش فرق
53,Rice was too salty n plate was tooo tiny
54,وصف الاوردر مكتوب انه ربع كيلو شيش طاووق ومعاه رز وسلطة وصلني بالزبط 6 قطع فراخ وبدون سلطة!! الفراخ كانها بايته!
55,بجد دي تاني مرة يجيلي الطيار محترم و ذوق فوق الوصف
56,الاكل جه مندي وانا طالب كبسة وبرياني
57,.
58,الاكل سيء جدا جدا
59,جاي بيحاسبني على نص جنيه و يرفع صوته علي حسسني اني اصغر عياله
60,جميل جدا بس كان مالح زيادة
61,1 hour & 40 mins for the food to come and no flavor what so ever - extremely sad
62,الورق عنب وحش جدا، الارز مهري و مفيش خلطة ولا طعم مجرد ارز مهري
63,Wrong order
64,طلبت فراخ شيش وطلبت معاها بطاطس، اليطاطس جيالي بدود مقلي فيها ولما كلمت خدمة العملاء بعتوا اخدوا الاوردر واشرطوا ان للاوردر يكون كامل ورجعولي الفلوس، محدش يطلب منهم ياجماعة مقرفين بجد واكلهم طعمه بشع
65,انا ما شوفتش عفانة و نتانة اكتر من كدة يعني عشان الوجبة عليها عرض و استخدمت كوبون خصم يقوموا جايبينلي النص فرخة من غير دبوس الفرخة !!! يا ريت تقولولهم يبطلوا نصاحة بالدناءة دي
66,قنبله واللهي
67,ممتاز بس محتاجين تكون الفرخه مغسوله اكثر عشان الزفر خفيف فقط اما كل حاجه زي الفل والله شكرا للطاقم وفريق العمل😎💙
68,الطعم جميل ومعه رز وسلطات ولكن التوابل والملح قليل جدا وحجم الحمام مش كبير في الصورة علي الأبلكيشن مرسوم جوز حمام وليس حمامة واحدة و الاوردر وصل حمامة واحدة فقط
69,ررر
70,روووعة تسلم ايديكم
71,الممبار كان سيء جدا
72,بيحط الاكل في اطباق صغيره جداً
73,ذي الذفت واخد باقي الفلوس ٤٠ جنيه ومشي ومجاش تاني
74,food is't fresh
75,الرز مش كويس ابدا
76,everything was fine but the chicken was too small
77,الفرخة كانت زفرة و مش مستوية كويس
78,Ana gayly less than 1/4 chicken about 2 bones with the minimum chicken
79,طلبت برياني فجالي مندي ومش عارف صراحة هل هما عارفين الفرق بين الاكلتين والاوردر غلط ولا هما مفكرينها نفس الاكلة
80,كنت طالب صدر فرخه و تمن كفته لكن وصلني ورك فرخه وتمن كفته
81,"Drivers delivering food must be clean and presentable, ensuring no body odor affects the delivery please ...it has been 3 times i saw this"
82,حاطين الفراخ مزنوقه في طبق صغير جداً تفتح يوقع بره
83,اولا الرز مش بسمتي ثانيا الفراخ تحس انها كتكوت مش فرخه صغيره جدا
84,الرز حلو ولكن الفراخ طعمها مش حلو وكمان مش مستويه كويس والممبار حلو لكن مع التحمير اصبح مقرمش والرز صعب فيه
85,عدم تسويه الاكل بطريقه جيده
86,الشيش طاوق عباره عن عضم فراخ اول مرة اكل شيش طاوق بالعضم والقطع صغيرة جدا ومفيهاش لحم
87,الفراغ لونها غريب و ناشفه و الرز طعمه وحش حسيت إني عايز ارجع
88,Gar
89,المشكله الوحيده انه وصل قبل الفطار بأكتر من ساعه
90,عملي اسهال
91,طلبت التوصيل وقت الفطار وصل قبلها ب ساعه و في الأوقات العادية الطلب يتأخر
92,الملوخيه كانت سيئة الطعم ..ملهمش فيها الصراحه الرز نص نص الفراخ بس هي اللي طعمها حلو
93,طلبت شوربه كريمه .. و جالي شوربه لسان عصفور كمان السعر مختلف مطعم سئ و كاذب
94,شاحنتي الدليفري ع ٢٤قرش ويوم اديته نص جنيه زعل وقال لي ما تديني جنيه وبيطالب ويتلايط وطفشني وهزئني ومشي
95,very tasty
96,طلبت الاورد وستنيت اكتر من ساعتين ونص وفي الاخر موصلش والمعامله سي
97,انا طالب French .. جايلى عيش فينو بخسمه جنيه دافع ١٢٠ جنيه فى سندوتشين خلصوا فى دقيقتين ده غش
98,البنجر مجاش مع الطلب
99,طلبت نص فرخة الفراخ نيه ملهاش طعم والرز معجن و بواقي رز من كتر ما اتسخن
100,I have received wrong order. Where I received 1 thigh and 1 breast piece when j have ordered 2 breasts
101,Driver turned off his mobile and he didn't send the order
102,الرز كان وحش وطعمه بايت
103,الاكل استغفر الله العظيم ي رب
104,Taste … medium rare
105,الرز بايت بقاله يومين و الفراخ متلهاش طعم و البطاطس كتير منها محروق و ماعليهاش ملح. للأسف الجودة وقعت خالص
106,wrong order I ordered cheese sambusa I received bad quality meat it's really have a bad taste for me disgusting also mlokheya is really bad
107,💯
108,Was a uncooked rice and the rice was 1/4 and I ordered 1/2 what a cheat
109,سندويتش الكباب فيه عظم عمري ما شوفت كده في حياتي
110,الفراخ مش مستويه نهائى و العضم كله دم
111,الرز كان حق 1/4 للاسف نجمة وحدة كثر عليه
112,Very small chicken
113,الفراخ مش مستوية خالص ومش طازة ومفيش رز ..
114,الدبوس بتاع الفرخة مش موجود و حاطين العضمة فاضية !!!!
115,وصل الطلب في ساعتين
116,الفراخ مكنتش مستويه و الرز مش متبهر
117,So bad
118,كنت كاتبه في الملاحظات اني عايزه ربع فرخة صدر وجالي ورك
