,comment
0,اغلب الأنواع ملحها زياده
1,الاكل حلو بس ليه من غير طحينة او مخلل ؟
2,للأسف اكتر من ساعة ونص علشان الاوردر يوصل لكن الطعم ممتاز
3,المطعم اتاخر اوى فى تجهيز الطلب وصل بعد اكتر من ساعتين رغم انى بينى و بين الفرع مفيش ربع ساعه
4,هو ازي اللحمه جيالي مش مستويه
5,thanks
6,حواوشي جميل اوي جدا وحلو
7,Missing Items: - 4 V Cola - 4 Fries - 3 Spicy Box - 2 Pickles Bos
8,الدليفري اتصل بيا تاني بيقولي انه وقع في الشارع و مش هيعرف يوصلي الاوردر لغاية باب البيت وسلم الاوردر ل حارس العمارة عندي و مشي
9,The food was not cooked well and the food took too much time to prepare and the price was not worth it at all since there was no flavor and the meat was half cooked
10,بارد
11,معقول
12,البطاطس كميه صغيرة اوى على السعر
13,It’s wrong
14,دابل جبنة، الجبنة قليلة جدا
15,تحفة العيش تحفه اللحمه كواليتي جيدة جداً الخضار نضيف البسطرمه كواليتي عاليه اوي هي والجبنه بصراحه تجربه ممتازه
16,سئ جدا .. العيش مش ماسك فى اللحمة وكمية اللحمة قلت النص وبقى غالى على كميته
17,خطيررررر
18,"Mandob mohtaram gdn , wel akl tohfa"
19,الانتركوت مش حلو والطماطم اللي محطوطة عليه حمضانة. الحواوشي الضاني كويس
20,I did not receive the order?
21,Late late late delivery
22,الاكل
23,مش احسن حاجه
24,الاوردر وصل بارد
25,"Cold order, missing cheese"
26,الطلب كان ناقص
27,هو لطيف مش وحش ومش واو يعني هو نضيف بصراحه والرغيف كبير بيقرمشو حلو جداً والجبنه طعمها مناسب والحشو برضه مناسب على الرغيف
28,الاوردر اتأخر
29,Order got delivered so damn late. Food was so cold and tasteless! All what the support team did was giving me a coupon with 20% discount (20 EGP) in response to my wasted 230 LE on this shitty order!
30,good
31,كان بارد
32,نزلة معوية
33,الاكل مكنش معاه طحينه ودا شئ عادي في اي مطعم حواوشي بيكون في طحينه
34,Missing the fries packet
35,انتظرت ساعتين ونصف والاكل وصل بارد
36,الاكل كله جه بارد وكمان البيبسي جه max مش v cola زى ماكان مكتوب
37,بياخد اكتر من ساعتين و المكان جنب الفرع ب ٥ دقايق
38,الاوردر اتاخر اوى و بارد و مفيهوش جبنه
39,الاوردر جاي زيرو جبن مع انه ميكس جبن؟؟؟ ومفهوش حرفيا خضار .. كانت تجربة ل تاني مرة سيئة تماما
40,الاوردر واصل ف ميعاده بس طعم سيء جدا مقابل قيمته اللحمه قليله جدا في العيش وناشف جدا …
41,حلو اووي وجميل
42,الأكل بارد
43,The restaurant didn't hand the order to the delivery it's a restaurant mistake and I need to make a complain
44,المندوب خد الباقي 20 جنيه وعمل نفسه هيفك ورجع قال مفيش فكه وبعدين قال هيحولهم فودافون كاش واخد الرقم ومحولش حاجه
45,ن
46,مجاش اصلا
47,طحينه طلبت طحينه و دافعه التمن ما وصلتش
48,I didnt receive the pickles!!!
49,تاخير جدا.. ساعة ونص كثير لاكل حلو كالعادة
50,رائع كالعاده
51,"Order was good and delicious, thank you 🥰"
52,too oily
53,The driver call me to come down to take the order and that is not acceptable at all after the call he come up to deliver the order
54,الطلب جاء متاخر .. وطبعا ليس ساخن بما فيه الكفايه للاسف
55,الاوردر علشان يوصل بياخد اكتر من ساعتين و نصف و دة مش مشكله من السائق لأن هو مجرد ما بيستلم بيوصلة علطول و لكن ان حد يقبلة دة بياخد تقريبا في حدود ساعة و نصف عقبال بقى ما يوصل
56,التوصيل اتأخر جدا و الأكل كان بارد
57,الاكل مزيت وحادق وطعم استغفر الله العظيم
58,اكل خرا جبت الي في بطني كلو وغالي حتى مش قيمه مقابل سعر لا انصح نهائي
59,Delivery is one of the worest ever
60,الطلب وصل ناقص
61,طلبت طحينه من الطلب اكسترا ومجاتش
62,جود
63,وصل بارد، اخر تعامل مع المنيوز.
64,"I specifically asked for a spicy order, yet I got regular one"
65,Very late delivery plus the food was cold and I pay for extra tehiny box which I didn't receive
66,Special note ignored!
67,الحواوشي بارد جدااااااا ودي تاني مره يجيلي كدا
68,الأوردر كان ناقص البطاطس
69,اكل غالي ملوش اي طعم
70,شكراً جزيلا
71,الأوردر اتأخر جدا عن الوقت اللي المفروض يوصل فيه
72,الاكل وصل بارد و ملهوش طعم و الطيار اتاخر جدا في استلام الاوردر من المطعم و وصلني متاخر جدا
73,Only meat and vegetables with no pastrami
74,Good
75,الاكل ناااشف اوووي كان وباين انه بايت ومتسخن وحتي متحسن وحش بطريقه مقرفه
