,comment
0,&nbs...
1,...
2,amazing 😍
3,amazing
4,good
5,thanks 🙏
6,good 👍
7,Sushi was perfect . .
8,This is baddd
9,Verrry bad not cooked foood and the noodles I think they got me from someone didn’t finish his food the meat is chewing not. Coooked
10,القطع مكنتش فريش زي كل مره والامل كان في شعر والصوصات قليله جدا
11,Really good
12,تحفه المره دي
13,حلو بصراحه بس القطع محتاجه تكون اكبر و يكون سخن مش ساقع و الدليفيرى محترم
14,كتير حلو
15,تاخير
16,"small pieces, no fish. everything you wouldn’t wish for"
17,ثانكيو
18,smaller sushi pieces
19,. .
20,شغال مش وحش اوي ولا حلو اوي بس تحربه كويسه
21,worst sushi I have ever tasted
22,recommended
23,Terrible experience. 1. Incredible amount of rice vs filling 2. All sauces were leaking and sticky 3. Drinks that arrived aren't what we ordered 4. Packaging needs immediate improvement
24,delicious
25,جميل جدا
26,اعجبني ♥️
27,Worst sushi my stomach killed me
28,الاوردر آخر اوى
29,الاكل ممتاز و الطعم كويس جدا و فريش و التوصيل سريع
30,everything is good 👍👍👍👍👍👍 thank.................
31,"Order was missing half the pieces, and when we complained it arrived after we had already finished dining."
32,Poor sushi taste
33,Literally tried to call the restaurant 3 times and no respond and my delivery was late for 25 min!
34,The taste of the food wasnt fresh and packaging wasnt good
35,The shrimp noodles should have been with shrimp tempura instead it came with normal cooked shrimps
36,order delays and no answer from the restaurant
37,"Very bad experience. Order was missing something. I asked for a refund on the missing item, and I still did not receive it after 1 week. Food tastes awful. If you are a sushi person, for sure do not order from here."
38,The order didn't arrive!!
39,"I chose the Tom Yum soup which was: 1) to the eye, very poor; 4 mushroom slices and 4 mini shrimps swimming in a reddish broth; and 2) to the taste, inedible. Report when the dish is spicy, it's the least you can do. I am extremely disappointed. That..."
40,طلبي جه ناقص ولحد دلوقتي محدش حتي كلمني اعتذر
41,السوشي اكتر من رائع والنودلز تحفة نظبط التأخير يبقي كله تمام
42,"The food is really shit it came from another restaurant and the shrimp was not fresh and dull and the noodles is salty and taste horrible, i will never order from them again and don’t recommend it"
43,"didn't accept the order as it came after 2 hrs from placing the order, and the call centre agent was rude"
44,not good not fresh
45,.
46,النودلز فظيعة الجمال والسوشي جميل جدا شكرا ليكم تسلم إيدكم 🌸👌
47,"Mediocre fillings, bland taste, terrible sauces and ginger. 3 stars is actually me being kind."
48,الطلب لاول مره يبقى بالسوء ده النودلز معجن جدا السوشي مجلد و الرز بيقرش مش مستوي الجبنه سايحه لا للاسف كان سيء جدا عكس الطبيعي
49,dry meat semi raw
50,اوسخ مطعم في الدنيا كلها والله
51,Terrible food please avoid by all means
52,اكل بارد والمفروض فيه صوص مع الاوردر لم يرسلوه والجمبري الكنافة عبارة عن عجينة لا علاقة له بطعم الجمبري ..اكل سئ
53,To7faaaa so good quality i love it will order again
54,Excellent
55,food was delicious and healthy but came late
56,so great 👍 best and tasty food ever thanks
57,best restaurant ever every time make me happy ☺️
58,حلو جدا كوالتي عاليه و باكينج محترم و خدمة ممتازة
59,I love 💝 the taste and the package was nice
60,very nice taste fast delivery high quality 😋
61,so nice I will order again sure love it ❤️
62,تحفة جدا و رائع الاكل كوالتي عالي جدا و ووصل بسرعة
63,حجم القطع صغير اوووووووي علي السعر
64,السوشي اكتر من رائع والاختيارات متنوعه شكرا
65,Good
66,"The Seafood Soup Was Amazing And Full Of Shrimp , Calimary , Crab , etc..."
67,السوشي اكتر من رائع جدا شكرا جدا على التواصل
68,sushi was wonderful very good price for the sushi thanks
69,I still didn’t receive the order after 2.5 hrs
70,The restaurant had a good hygiene standard.
71,السوشي والنودلز ممتازين والاكل كله تمام شكرا جدا
72,من الاماكن المحترفين في السوشي طلبت منهم اغير الحاجات اللي مش بحبها والكومبو مظبوط
73,really good quality of food and good service keep on
