,comment
0,ساندوتش طعمه كان أقل من العادي واصلا مش مظبوط والدينر بوكس كان بشع الفراخ طعمها وحش جدا وفيها ريحه زفاره وفيها طعم دقيق باين جداا فيها كأنها لسه مستويتش
1,درجة حرارة الطعام كانت بارده جدا والعيش لم يكن طازة وهذة كانت تجربة سيئة جدا واريد تقديم شكوي من فضلكم
2,"tasted so bad, wasn't fresh, wasn't warm at least, fries wasn't fried it was boiled mashed potatoes"
3,كان سئ المره دي
4,الاوردر بشع جدا والتيشكن كلها زيت ومش فريش خالص
5,ممتاز
6,I asked for the piece white meat and i got it dark meat and i leave a comment to take care of the wrap because the last time the portions was nothing but it come also with two tiny small pieces
7,الاكل وصل برد جدا
8,الاكل للاسف جودته سيئه والقطع صغيره جدا وكلها زيت
9,الفراخ مو جوة فيها دم
10,مفروض الو جبة قطعتين استربس جاتلي ربع قطعة صغيرة مهرية كأنها بواقى
11,bs el pieces soghyra
12,الدبوس صغير و مديني ٢ كاتشب في وجبتين كاملين و معاملة وحشة جدا و مديني البيبسي في تلج كتير و انا قلتله منغير تلج
13,اول مرة اكل من كنتاكي يكون وحش بالشكل دة الفراخ زفرة وشاربة زيت والاكل كان بارد جدا حقيقي اخر مرة أطلب من كنتاكي
14,الاكل مكنش احسن حاجه كان فيه دم
15,اللورد مش سخن
16,ان
17,المطعم خد مني 20 جنيه فوق الحساب كاش وانا كنت دافع الاوردر كله ڤيزا وساعتها قالولي ممكن يكون فيه مشكلة في الابلكيشن!
18,العيش ناشف بتاع الزنجر و بيتقطع ، الزنجر مافيهو طعم و السندويتش مافيهو صوصات كفايه ناشف كدا
19,Chicken wasn’t fresh at all .. fries wasn’t well done
20,..
21,Very good
22,Chicken was tasting like it’s been out for weeks. Disgusting and waste of money. If you’re going to feed people at least make it fresh because people work hard for their money.
23,افراخ طعمها قديم ومغيرة وغريبة التويستر بس هو اللي حلو
24,القطع كلها صغيره جدا جدا و الاستريس مش باين من كتر ما هو صغير
25,"I had to throw all the fries away because they were uneatable and cold and moist Both chicken strips order were very small, can barley call it a strip"
26,الاكل مزيت جدا ده مش أداء كنتاكي اللي نعرفه بس الستريبس كويسه جدا
27,The food was undercooked ( rice and kantook sandwich) … it was horrible to the extent I wouldn’t want for it to be exchanged as I wouldn’t eat it.
28,"It was a great experience, thank u"
29,اكل سئ جدا والفراخ ريحته زفره ولا تطاق حسبي الله ونعمه الوكيل الفراخ فيها ريحتً زرنخهً كمان من القلي سئ سئ سئ حتي الخبز مش طازه شغل كله مافيهوش ضمير والله
30,فراخ مزيته وطعمها ابن وسخه
31,weird
32,"Cold , not spicy"
33,الحجم صغير
34,food quality sucks
35,جالي كولا بدل ميرندا دون اتصال ..القطعه الاوريجينال دبوس اد المصاصا بالظبط وناشف جدااااا والجلد مش بيطلع من اللحم لازق فيه ..واللحم من تحت الجلده ناشف جدا .. طبعا مش طازه خالص ومتسخن مليون مره وحاجه صعبه جدا وطبعا رميناها وقطعه الاستربس كلها قشره
36,الاستربس ناشف ومالح زياده
37,I ordered 2 drinks only one was delivered and I paid extra 50 pounds to the driver.
38,الخبزة مش تازة و الفراخ مش مقرمشة ومش تازة البطاطا جيدة والكول سلو جيدة
39,لو في أقل من نجمه كنت حطيت من كل النواحي
40,الاكل بارد و القطع صغيرة اووي و غير العادة و الاستربس كنت باردة و طعمها وحش
41,آخر ٣ مرات من فروع مختلفه و كلهم فراخ مش نضيفه . أقسم بالله اقذر فراخ اكلتها في حياتي و دي طبعا كانت آخر مره اطلب منهم
42,عرض ممتاز
43,The food was so so so bad
44,لا
45,♥️
46,اللتويستر مكنش ملفوف كويس و الستربس صغيره جدا
47,غير جيد
48,It was very late and very cold
49,الفرخ اللي جايه مع التويستر مش حلوه مزيته
50,Good
51,"I wrote in the notes that I need white meat. However, the order was not"
52,Very bad
53,C
54,الاكل مجاش اصلا
55,"kfc shall consider removing the coleslaw ITEM from egypt !! this is not the taste we taste in GCC countries , the material americana use in egypt is rubbish they treat egyptians like animals as they will eat anything !!!!"
56,تجربة اقل ما يقال عنها انها تحت الصفر ، كتبت في التعليق ان يا ريت الاوردر يوصل سخن و طازجة جالي قطع فراخ سيئة جدا قديمة مقلية قبل كدة و ناشفه و رز طعمه بشع و الاكل وجع بطني جدا منصحش حد يشتري من العك دة شكرا بس لعامل الدليڤري المحترم اما المطعم قرف ...
57,سيئ جدا وفراخ مالحة جدا
58,Worst ever!
59,إدارة سيئة
60,الطعام كان سئ وكلنا تعبنا
61,طلبت وجية كنتوك المفترض فيها رز كبير .. جه حجم صغير
62,طلبت كولو سلو وجه بطاطس
63,تحفه اوي و المكان نضيف و الأكل نضيف وسخن يعني بجد من افضل المطاعم بالنسبالي
64,Very unprofessional
65,مقرررف جدا
66,الفراخ كلها فبهااا دم من جوه اترمت دي مش اول مره اطلب من كنتاكي بس دي اول مره الاكل يجي وحش كده .. اخر مره هطلب بجد
67,"Taste was good but they didn’t add labels on spicy meal vs original meal. Also, I ordered to get breast pieces for spicy and thighs for original but they came wrong"
68,جميل
69,الاوردر وحش جدا الساندوتش سئ و العيش بايت البطاطس مجلدة
70,Twister didn’t taste good at all
71,الفراخ نية مش مستوية و قطعة صغيرة جدا
72,الاكل كله مش طازه والفراخ ناشفه جدا وبايته هي والبطاطس وطلبت سفن وجالي بيبسي
73,مزيت
74,Spicy and I requested original
75,Asked for dark meat and it came white meat
76,كميات قليلة جداً متشبعش طفل ومع ذلك أسعار نار
77,Ffhhhhh
78,الاكل مكنش سخن اوي
79,خطأً
80,Best KFC Branch
81,الاكل كان يقرف
82,جودة الدجاج تحتاج الى تحسين وعدم وجود قرمشة
83,The chicken strips were tiny and didn’t come with sauce and food came cold
84,الاوردر غلط
85,كان سئ جدا قطع الفراخ داخل الساندوش صغيرة اوووي كنت باكل عيش بس و الخس كان محطوط بالرأس بتاعته و الصوصات قليلة جدا .. تجربة سيئة
86,الفراخ وحشة قوي ملهاش طعم ونشفه جدا منصحش حد يقربها فلوس اترمت في الارض
87,الاوردر تأخر نصف ساعة وكان بارد وكنت طالبة البيبسي دايت جالى بيبسي عادى
88,زفت
89,الطلب اصلا موصليش
90,الفراخ حرفيا مالهاش طعم ولا تتبيله ولا قرمشة وسودا من الداخل وزفرة
91,الاوردار مجاش و موصيلش
92,طعام وحش اوي والأوردو مجاش سخن وكنت كاتب التويستر من غير طماطم جه بطماطم
93,فرع سيتي سنتر فرع وحش و سئ ، عمال غير نظاف و مفيش مدير واقف ، اكل ملوش طعم ، تجربه تقرف
94,Actually Its very very bad food 🤢
95,coleslaw was missing but overall u can not just love KFC
96,I got 9 pieces only instead of my 12 pieces order
97,الاكل كان زي زفت والفراخ فيها زفاره ومش فريش وكمان العنوان اتلغبط تجربه و حشه جدا مش هتكرر
98,لم يتم توصيل البطاطس
99,جميل جدا ولذيذ
100,The food wasnt good and cold
101,الفينو بايت والساندويتش نصفه فاضي والبطاطس باردة
102,بشع
103,بعض القطع بها دماء والبطاطس مش مستويه كويس
104,there was no sauce in the rizo and the chicken wasn't good at all
105,عندي شكوي من امس ومحدش رد عليه
106,الاكل مش طازه
107,Liars and terrible service everyone is beating around the bush and super late
108,1
109,Impolite
110,coleslaw was ….
