,comment
0,انا طالبة الوجبة عادية مش سبايسي .. ف ازاي بعتولي الصوصات عبارة عن هالبينو و شيلي صوص !!
1,ordered and PAID for 4 pieces and only received 3???
2,الاوردر جيه ناقص كولسلو
3,order has arrived faster than expected thanks alot Omnia Ayman for great help
4,زفت والخدمة سيئة والاكل بارد ومتاخر جدا جدا جدا
5,الاكل كل مره بيجي متسخن الل هو كأنه بايت وبسخنه ولا مره جه طازه حاجه بجد مزعجه جدا
6,الأوردر أكتر من 3 ساعات وموصلش
7,وصل ناقص الصوص
8,مفيش تنوع في الفراخ، رغم اني قايله اتوصي يا شيف الله يباركلك وحط صدور كتير
9,اسوء مطعم فرايد تشيكن تسبب لى بنزلة معوية
10,جاي سبايسي وأنا طالب عادي
11,الحجم صغير جدا
12,the sandwich was good not amazing chicken was a little chewy but not bad experience 👍🏻
13,الاكل زى الزفت بارد جدا العيش بايت و مفرول الساندوتش فاضى و مش حلو خالص
14,Usually very good but delivery guy didn't call me until 2.5 hours after I made the order. This is unacceptable so I refused the delivery.
15,كالعادة الأكل زي الزفت و مفيهوش ريحة الفراخ و حاجة ماشاء الله آخر قرف
16,ممتاز كله
17,temperature..food was cold and they sent normal v cola not diet
18,الاكل بارد
19,كل مرة بطلب منهم الاكل بيوصل بعد ساعتين وساعات بيتلغي
20,اسوء اوردر و اسوء فراخ بيته و ناشفه و مش في لا طعم ولا ريحه ولا اي حاجه و فلوس اترمت علي الارض و بجد اول و اخر مره و انا قولت لكل صحابي و هنعمل حملات عليهم عشان محدش يرمي فلوس في الارض تاني و بجد سئ جدااااااا
21,بطلب الطعم عادى مش حار ويجيلى وحار ومش اول مره تحصل والاوردر بيجى ولا معاه كاتشب ولا حتى منديل حاجه بقت سيئه جدا
22,مبدأيا انا مفيش مرا اكلت من هنا غير لو بطني وجعتني جدا و اتبهدلت!! ثانيا انا طالبة wings بال buffalo sauce جالي شوية وينجز على شويه دبابيس محروقة!!! الsauce قليل جدااااا. الفراخ الكواليتي بتاعتها سيئة . حقيقي متضيعوش فلوسكم ولا صحتكم على مطعم معندوش ...
23,انا طلبت كولو سولو جاني في الطب بداله بطاطس
24,in boss bogo offer they didnt send rizo only 1 sandwich
25,الرانش عينه
26,the order was very cold and not fresh although it took too long
27,Missing stuff
28,"I received the wrong order, and one of the sandwiches was missing dressing and vegetables."
29,الطلب جاي ناقص عصير و في سفن 😏😏
30,وقت التوصيل كويس جدا واسلوب الطيار
31,horrible
32,food is cold ...asked for diet v cola ..they send normal
33,الطلب ناقص v cola
34,جميل جدا
35,السندوتشات المرادى وحشه جدااا 👎👎👎👎 وكل مره الاوردر بيتأخر والاكل بييجى بااااااارد👎
36,الاكل وحش وناشف والفراخ لونها اسود
37,I got my order after 2 hours and 30 mins!! and I got so cold food of course
38,The driver was really good but the restaurant took alot of time to get me my order and the food turned out cold
39,الساندوتش ليس به دجاج يوجد فقط الطبقه الخارجيه
40,كل حاجة تمام بس كنت طالب تومية و مجاتش
41,انا رفضت استلام الاوردر، الاكل اتأخر جدا و وصل ناقص وجبتين من اصل ٣ وجبات، دى هتكون اخر مره استخدم المينيوز
42,الاكل بارد جدا جدا جدا والدليفرى جاى متاخر جدا جدا جدا
43,good taste and good quality
44,الفراخ محروقة و البطاطس قليلة و الاوردر اتأخر
45,سئ و بارد و طعم وحش جدا
46,orderd the chicken piecea spicy and it was original and no bbq sauce on the arizo
47,فراخ ريحتها وحشه
48,الأوردر اتأخر جداً من المطعم مكنش فيه معاه معلقة للكول سلو ولا كاتشب
49,chicken was not full cooked and felt like not clean
50,الفراخ مفهاش طعم اي تتبيله نهاااائي
51,The restaurant took very long time and the app chose a busy driver
52,اكل سيئ يعني بعد مطلبت اكل و كان غالي استنيت وقت كبير في الاخر ييجي بارد ولا طعم ولا جودة ولا اي حاجة في اي حاجة لو معاك فلوس عايز تضيعها دا انسب مكان ليك
53,بعد ساعتين كاملين مستلمتش الاورد ناس بدون مصداقية و
54,تاخير ساعه كاملة عن المعاد المذكور والمتوقع
55,الاكل كان بارد ومجلد للأسف
56,أسواء مكان روحته حرفيا فرع سيتي ستارز أسواء ناس شغاله هناك مدير حرفيا مش محترم معامله زي الزفت الرسيت بيترمي في وشك وانت واقف المدير بيزعق للجست ودي حاجه عمري ما شوفتها في مكان محترم وفي بنت من الاسطف هناك أسلوبها زي الزفت حرفيا ناس قليلة الزوق بجد ا...
57,it didn't arrive!!
58,i did't recieve a coleslow
59,"The sandwich was spicy while I ordered it original, the soda is different from what I ordered and I don’t drink it."
60,Disgusting
61,Bad experience
62,الساندوتش بارد جدا ملوش طعم والطماطم اللي فيه طعمها بايظ! وصل بعد المعاد المتوقع على الأبلكيشن بنص ساعة تقريبا!
63,الكلو سلو. كان مجمد و سئ جدا الاكل حلو بس بارد
64,جربت الناشڤيل مسحب وكانت من أسوأ تجاربي عند كنساس واخر مرة عندهم، الفراخ مش مستوية كويس، التتبيلة نفسها مش مقلية كويس ومن جوا كأنها نية كأني باكل فراخ بتتبيلتها نية، أسوأ من الفراخ اللي كنت باكلها في الجيش والله
65,chicken pieces are very small
66,Very bad
67,"delivery got very late , worst customer service ever 👎"
68,The order was not fresh & cold…
69,Gamdd
70,I think it was burnt
71,food was so cold
72,I ordered spicy and I received original and i really hate food thats not spicy
73,Very oily
74,معاملة زباله و مستلمتش الاوردر
75,The driver was so late
76,الاوردر زي الزفت
77,البطاطس ناشفه والاكل كان بارد وحتي الساندوتش طعمه مكانش احسن حاجه
78,سئ و الفراخ محروقة من برا وفيها دم من جوا وحاجة تقرف
79,they sent 2 pieces thigh and 1 drumstick and no breast pieces the food was of low quality
80,الاكل بارد.. و بايت مش طازة.. و الساندويتشات مش مكتوب عليها النوع.. و الساندويتش ملفوف فى الورق بالعكس لما تفتحه تلاقيه مقلوب و بارد و الفراخ مش طازة .. البطاطس قليلة و مش طازة.. الريزو مش طازة خالص
81,No
82,الاكل زي الزفت استغفر الله العظيم والله خساره الواحد يشتري منكم اي حاجه اقفلو المطعم الزباله دا
83,الفراخ كلها سوداء الجلد من الخارج و من الداخل العضم اسود ايضاً ولم يعجبني اللون و الطعم كان غير طازجه
84,Y
85,"Very very bad taste. Cold, dry sandwich. Dry fries"
86,الساندوتش جاى غلط انا طالب بافلو رانش جاى رانش
87,الاوردر تكلفته الاجمالى ١٦٠ المطعم دفعنى ١٩٥
88,Not as expected
89,The sauce was half empty Fries was cold and less than average portions
90,الطبقة الخارجية سميكة جدا وقطعة الفراخ صغيرة
91,Chicken was not fresh and smells bad Very salty الدجاج غير طازج و ريحته سيئه جدا الملح كثير جداااا
92,good
93,الاكل وحش جدً انا طالبة سندوتش بافلو ومجاش بافلو والفراخ ملهاش طعم والبطاطس قليلة جداً والرز طعمه بيروسول والكلو سلو طعمها غريب انا رميت الاكل
94,الأوردر جه متأخر ساعة و شوية السندوتش كان متفعص الكلوسلو كان فيها حتت جزر بايظة بجد تجربة مش هكررها تانى
95,The order is not spicy and it is already late for 1 hour
96,Cold
97,وصل بارد
98,Unfresh food
99,تمام
100,الاكل مالح جدا و بارد و زفت الزفت
101,طلبته عادي وجالي حار
102,الاكل وصل متاخر و كان بارد جدا و مش حلو
103,محتاج حد يتواصل معايا
104,Food was cold
105,انا طالبه عادي جالي واحدة من المسحي حراقة و جدا و انا عندي حساسية من الاسبايسي فا انا مش طالبو عادي من فراغ يعني ،انا كدة في قطعة رمتها بسسبكك
106,Tastless Food tastes stale
107,البطاطس كانت عباره عن زيت
108,طعم السلطه كان سئ والساندوتش فيه رائحه مخلل
109,كمية الرز قليلة جدا جدا
110,سيء جدا
111,الكول سلو طعمة سيء ولونة غامق وواضح انة منتخزن مش طازة
112,حرفيا الفراخ نيه وحاجه تقرف
113,order didint deliver and had to have money back through wallet not as the same payment method
114,الساندوتش كان بارد ومش طازا
115,الساندوتش عباره عن خس ومايونيز مفيش اي اضافات
116,مطعم وسخ ومش هتعامل معاهم تاني الاكل مزيت وكذا مره اشتكي ومحدش يهتم
117,it was really bad experience... the chicken wasn't cooked well and had blood
118,الفراخ كانت قديمة مش حلوه و الكولوسلو وحش طعمه كان بايظ و الاكل كان بارد
119,مليان زيت بشكل غير طبيعي وحش جدا و بيوجع البطن العلبه اللي فيها الاكل كانت بتنقط زيت very poor quality.
120,كول سلو جيه بايظه سواء الي في بوكس او علي سندوتش
121,"good sandwich but very bad coleslaw, small fries aswell 🤷‍♂️😞"
122,"The order was totally egp 458 and I paid egp 600. I told the driver to take 465, but he gave me the change of egp 125 instead of egp 135."
123,من اسوأ محلات التيك واى طلبت اوردر ٢ ساندوتش فراخ مع بطاطس وكانز وب سفن أب الساندوتش بارد والفراخ باردة والبطاطس بارد و حجم الكيس صغير جدا مايأكلش بيبى وبدل السفن احضر كولا وطلبت مايكونش سبايسى احضره سبايسى كل الاوردر غلط اول وآخر مرة المكان ده ف...
124,فوق الممتاز
125,اوردر زي الزفت يقرف استغفر الله العظيم مطعم معندوش سبات على التست اطلب مره حلو اوي ومره مزيت ويوجع البطن حاجة اخر قرف بصراحه
126,cold and the chicken isn't juicy and bad seasoning
127,الفراخ كلها محروقه و ناشفه
128,طلبت ريزو باربيكيو جالي ريزو حار وطعمه وريحته اسوء حاجة مقدرتش اكله وتفيت اللي كلته
129,The coleslaw was missing from the order.
130,"The food sucks, I got food poisoning"
131,الاكل استغفر الله العظيم بجد حسبي الله ونعم الوكيل في دا مطعم ازي الاكل بااارد كداا
132,مش فاهم ازي مطعمكم يقدم الاكل كدا و بااارد جدااا و المشكله ان مش اول مرا اتعامل معاها مش فاهم دااا اي بجد سيئ جدا جدا 👎
133,.
134,وجع بطن رهيب
135,بارد والاكل بايت
136,Cold Fries portion too small
137,Wrong drinks arrived for every item
138,الكميه قليله غير الصوره
139,"meal was cold, fries was a diaster and missing the coleslaw from the meal"
140,الطيار ليا معاه 70جنية قلي رايح اصرف واخدهم ومرجعش حاجة وبرن عليه مش بيرد بتمنى تردو علي بسرعه
141,الاكل سئ جدا والفراخ نيه وفيها دم والاكل بارد استغفرالله اول واخر مره اتعامل معاه
142,"Not recommended! The chicken club sandwich was dry small and not tasty, and it came missing the turkey. The fries advertised was Large yet I received a very small size fries."
143,البطاطس عايزة تكتر شوية
144,اول و اخر اوردر.. الساندوتش يقرف..و ريحته تقرف...و بارد و العيش متفتفت.. و المندوب سنه عشان يقهم العنوان (كالعاده) و عمال يعيد و يزيد ف كل حرف و حتى لما وصل العمارة و اتصل برده مكنش في نفس الدور و عمال بس يرغي وكل شوية اعيد في العنوان و العمارة و ا...
145,"The driver took forever to deliver the order, and kept on taking wrong exits"
146,كنت طلباة من هنا اونلاين و جة وحش جدا كان السندويتش الدابل مسحب و ريزو و الاتنين كانوا وحشين جدا
147,food was a little cold
148,The order of dinner meal combo was very small and and no bb or kachap I will never order from you again iam very disappointed
149,جه بارد
150,I need support
151,بعد التواصل مع الدعم وحل مشكلة الدفع وقالوا تم ابلاغ المندوب جه المندوب مش متبلغ بالدفع ازاي يعني !! في عدم مصداقيه ودا يتفسر بايه
152,شايفة ان التتبيلة حلوة مش مجرد دقيق و عجين بيقرقش زي غيره و جه سريع و سخن و العيش طازة
153,الفراخ كانت بايظة حاجة مقرفة جداً مطعم في منتهى السوء
154,التقييم بالسالب كمان فراخ بارده وصغيره طلبت الباكت ٦ قطع مياكلش طفل صغير وطعمها سىء وبجد بقيتوا وحشين اوووي اوووي
155,الاكل وصل بارد جدا
156,الاوردر جي ناقص مفيش كول سلو و لا تومية
157,الفراخ زفرة
158,the food was so cold
159,ناشفيل مكنش حلو خالص و ملوش طعم و كل حاجة جت باردة.
160,Thanks for your efforts
161,First I should receive the order at 6:11 and until 6:30 the app was saying the order is still being prepared and I contacted the captain and he said he went to the restaurant to pick up the order and they said yes it’s still being prepared and it was...
162,٢:٣٠ و موصلش اصلا
163,everything is perfect
164,الفراخ زفرة يا فندم والكمية اقل بكتير جدا من المتوقع بالسعر ده
165,No coleslaw came
166,الببسي جه غلط زي كل مره
167,missing item...
168,الاوردر جه ف ساعتين والكميات قليلة وبارد طبعا اكنه جاي من تلاجة وعاوز يتسخن
169,الاكل وصل بارد جدا والطعم ماسخ
