,comment
0,delivery was late an hour other the 45 min and when I call support they say he just went our for delivery they said it twice in a 30 min gap between calls and driver had an attitude while talking and angry like and after all that the food was not hot
1,فته الشاورما عباره عن رز فقط شاورما قليله جدا
2,ارجو محاسبة الطيار حيث انه كان يريد اخذ فلوس زيادة مغافلة
3,ما تم الخصم
4,بارد جدا و جاي متلج و كله زيت
5,الشندويتشات ساقعة
6,I have got the order after 2 hours.
7,غيروا البوكس ببوكس دجاج فقط ارخص مش هو المطلوب
8,الدليفري اخد ١٠٠ جنيه زيادة
9,أستغفر الله العظيم لا طعم ولا نظافة ولا ذوق في المعاملة، المطعم دة شغال ازاي بس !!!
10,الاكل وصل بايت و غير صالح و مش مخدوم نهائي
11,الفاتورة اللى كانت جاية من المطعم كانت بسعر مختلف مفروض الحساب ٢٢١ المطعم كان طالب ٢٤٦ بس المندوب حاسب على ٢٢١ و قال هيشوف
12,I had a promo code and it was applied but when the delivery guy came he said that there is no discount applied so I paid the full payment
13,Very dry chicken
14,اللحمة في الشاورما بتشد و مش طرية و الكريب العجينة بتاعته طرية كأنها لسه نية
15,غير صابح
16,انا طالب فته جيالي عملة شبه اكل الاطفال كلو علي بعض المخلل علي التوميه وعلي الفته تقريبا هي اتقلبت من الطيار
17,الطيار محترم لكن الأكل بارد ووقت الأوردر أكثر من ساعة
18,الاكل وصل بارد
19,الطعام ذات جوده عاليه لاكن الكميه اقل من المعلن عنها
20,all sauces were spoiled inside the packing box
21,طالب اكبر علبه حرفيا اصغر من الوسط بكتير و اغلي
22,وجبه الشاورما العربي الكميه المرة دي صغيرة جدا والصوصات اللي اتبعتت غير المطلوب والاكل بارد والبطاطس ناشفه .. وجبه كانت سيئة جدا
23,السندوتشات بدون موتزاريلا والبطاطس باردة جداااا وطعمها سيئ ووقت الأوردر أكثر من ساعة ونصف
24,كنت طالب فرخه شوايه جت وتمام بفتح لقيت الفرخه صغيره جدا مش الحجم الي متعود عليه من كرم الشام للاسف انا طلبتها كتير منهم ع الواتس اول مره تيجي بالحجم دا
25,Delivery could be faster
26,خطيييييير
27,الخبز غير طازج ولم يتم احضار ملاعق
28,الاوردر جاي بعد الوقت المتوقع اللي ممتوب على البرنامج بنص ساعه .. وجاي بارد جدا وماكانش العيش مستوي كويس
29,جيبلي عيش سوري وانا طالب عيش فرنساوي ماهذا الاستخفاف
30,الجودة اقل من كل مرة
31,الاكل كويس ولكن وصل متلغبط علي بعض
32,كريب مشكل جبن كان سيئ
33,اكل كاني دافئ ليس ساخن
34,nice
35,عايز ياخد فلوس زيادة علي الحساب بالتحايل
36,كان بارد جدا و طعمه وحش
37,اوسخ معامله انتن اكل خدمه عامله غير محترمين بإذن الله سوف تنتهي هذه السلسله فريبا
38,رائع
39,طعم بقا وحش اوي مستوي في نازل كل فتره اسوء من قبل
40,وحش اووي وكان بايت العرض اسوء تجربة
41,amazing
42,بتيجي حاجات غير المطلوبة وبيتاخرو جداا
43,طلبت من غير مخلل وجه متأخر وفيه مخلل
44,نوع الجبنه في الكريب سيء جدا نباتي الدهن وطعمه استغفر الله العظيم
45,hour and a half for delivery too slow
46,التوميه السبايسي مكنتش موجوده و حاطين توميه بالباربكيو مكانها و بجد طعمها مش حلو بالنسبه لحد مبيحبش الباربكيو زائد ان الشاورما مليانه جلد المره دي اوي و مش احسن حاجه
47,غير جيد
48,الشاب بتاع الدلفري كان محترم جداً لما اتاخرت في الرد علية. الاكل كان حلو
49,االصوص الي في الوجبه كان مقلوب علي البطاطس و الشاورما و مبوظ الوجبه خالث
50,طعم الاكل كان صعب جدا للدرجة ان انا رجعت وبقالي يومين تعبانة
51,كان ليا كود خصم ٤٠ ج والخصم اتطبق لوحده كان مكتوب ف التوتال ٧٢ج تمن الاوردر ولما الاوردر وصل المندوب خد منى ١١٢ وقالى مفيش خصم نزل مع ان الابليكشن معايا كان مكتوب ٧٢ مش ١١٢ برجاء التوضيح!!! انا دفعت للمندوب ١١٢
52,الاوردر وصل ناقص واحده فته شاورما ميكس بعد منتظرت التوصيل اكتر من ساعة وكان موقف وحش جدااا
53,الاكل مقلوب علي بعض
54,الاكل زي التاجججج
55,Cold
56,الاكل كان حلو جدا و الجوده كانت تحفه بصراحه
57,Fries aren’t fresh like before
58,الاكل كله محطوط فوق بعضه فى العلبة المفروض تحطو فى علب صغيرة داخل العلبة الكبيرة
59,idk why prices on app doesn't match what he collects from me
60,crpe very bad
61,حلو
62,ممتاز
63,شكراً……
64,الطعم مكنش كويس والاكل بارد
65,للاسف تجرية سيئة.. اولا: السندويش كلها خبز... كمية الشاورما قليلة جدا... ثانيا؛الفاتورة من المطعم ب 151جنيه بينما في التطبيق كانت الفاتورة 126جنيه.. تجربة لن تعاد
66,الكريب الخضار فيه دبلان و كمية كاتشب رهيبة مغيرة الطعم وطعمها فيه لذعان و العجينة ناشفة و سميكة عاملة زي المستيكة
67,كمية البطاطس قليلة وباردة
68,Late dilevery wothout call
69,سيء جدا وساندوتش شبه فاضي
70,زفت
71,Nhy
72,crepes are excellent
73,الاكل طعمه حاجه مش حلوة خالص
74,اتأخر جدا بس الاكل حلو
75,الفراخ طعمها غريب والاكل وجعلنا بطننا
76,too much rice with the fattah meal.
77,very good
78,الاكل كان بارد جداً و وصل متاخر و كمان فلوس زياده عن الحساب
79,اول ما بتحط اوردر بيقبله في ساعتها و يقولك انه جي في السكة عشان البرنامج ميرداش تخليك تكانسل و انا دلوقتي طلبت حجات بالغلط و مش عارف اعدلها
80,الاوردر جه غلط انا طالب فىنساوي جابلي سوري
81,Taste not good
82,طلب خاطئ وتأخر الطلب كثيرا جدا
83,الكريب صغير جدا ومش مستوي العجين
84,البطاطس بايتة وعقلة صباع والعيش طري ومش محمص
85,لما بشتري الكريب من المطعم بنفسي حجمه بيكون كبير اللي جالي في الطلب هنا حجمه اصغر
86,المفروض بيجي معاها توميه مجتش
87,بس كان بيبقا مع بوكس المعلم تومية الطلب جية من غير تومية
88,البسطرمة كانت قديمة ومجلدة مع اني لما بجيب الكريب من المطعم مباشرة بيكون غير كده خالص
89,تعامل سيء جداً
90,الطلب موصلش و لما كلمت المطعم من الرقم اللي موجود في الاوردر قالي احنا مش بنتعامل مع المنيوز
91,very cold fries and shawarma
92,في حشره في الأكل
93,الاوردر مجاش وطالباه من ساعتين وربع
94,الاكل ساقع جدًا وصل بعد ساعتين وتلت
95,يتأخر بشكل فضيع
96,الاكل بارد وجاي بعد ساعتين
97,كنت طالب شاورما ماريا واللى جالى وجبة شاورما عربى
98,استهتار بالعملاء عالى جدا جدا وعمل بلوك مجرد ما اشتكيت
99,الاوردر جاه بارد جداً
100,fast delivery
101,السندوتشات صغير بالحشو جدا
102,so little stuffing
103,يتأخر جداً جداً جداً
104,it was tooo late and didn't come and they are going to wrong places and canceling orders and doesn't want to come and I called call center and they are not answering they are declining and I haven't eaten
105,طلبت شاورما لحم بس اللحم بارد ويابس جداً
106,الدليفري أتأخر جدا والاكل جه بارد جدا والشاورما والماريا والبطاطس بتشر زيت . بصراحة بشع
107,Food was a little bit cold
108,الاوردر كان كويس جدا و لكن رفعوا الاسعار غير اللي موجودة او مدرجة علي الابليكيشن و حد اتصل عشان يسأل موافق علي فرق السعر او تلغي و الفرق في سعر الفرخة المشوية من ٣١٥ جنية الي ٣٦٠ جنية (سعر الفرخة ٤٠٠ ج.م. )و دي حاجة غير مقبولة كدة هتفقدوا المصداقيه
109,ماوصلش الاكل اصلاً فضلت مستنيه 3 ساعات وماجاش
110,الزنجر كان ناشف و بيشد
111,الاكل كان بارد جدا و الحشو قليل و سيء للغايه لا يقارن بالسلطان ايوب او بمزاج دون المستوي
112,👍🏻
113,لذيذ لكن الاحسن يزودوا من الفراخ في فتة الشاورما لان اغلبها رز
114,الاكل مكنش اسبايسي ومفيش بهارات
115,.
116,كذا اتصال من سواقين الدليفري عموما لمعرفة العنوان والعمارة والدور
117,delivery took to much time
118,لقيت شعرايه في الاكل و رميته
119,تحفه
120,the fries were cold and so little and burned and the crunchy bread was so small i couldn't eat it
121,Eltomeya adiiima
122,never arrived
123,Late
124,الاكل محروق ومزيت
125,الاوردر موصلش
126,"Order took forever to deliver, although restaurant is literally down the street"
127,جه من غير جبنه !!
128,العيش كان ناشف وسميك و السندوتش مش متوصي
129,B
130,Delivery takes long time
131,تحفة ، بس انا بطلب جبنه شيدر سايحه مش قطع كل مره بيغلط ! غير كده تحفة
132,اولا البطاطس وصلت باردة جدا ومعجنة ثانيا طلبت فتة بدون خبز وكان فيها خبز عادي وكمان مش سخنة خالص
133,الاكل جاي متاخر والاكل ساااقع
134,رهيب
135,برجاء اضافة خدمة الدفع من خلال الماستركارد او الڤيزا برجاء مراعاة السرعة في توصيل الاوردر برجاء التحديث المستمر و ادراج العروض الجديدة في الابليكيشن حتى تستطيع طلبها من خلاله
136,👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼
137,the food was like left overs
138,İ hope it was deliveted quicker
139,good
140,الطعم سئ للغايه
141,bad
142,طازة و فاجر
143,"Toooo late, delivery behavior, bad taste, they charged extra money"
144,I didn’t get my food and when i called they said the order was canceled i called twice
145,طعم اللحم غير جيد
146,لو فى اقل من صفر اديله بشع والله ... ...........
147,الفراخ طعمها فضلات
148,الاوردر ظاهر على الموبايل اغلى من اللي جبهولي الطيار والطيار مقاليش الحساب كام ف بالتالي اخد الفلوس ومشي
149,انصحكم بمطعم فيروز او مطعم السلطان ايوب لان ده راحت عليه والكوالتى بقت تحت الارض صحتكم امانة
150,مطعم زى الزفت .................................
151,طلبت الادوردر زى الناس معملتش حاجة عيب ولا حرام لقيت بعد ساعة كنسلوه مع نفسهم قلة ادب والله
152,الكريب ريحته حمضانة الطماطم بايظة والتغليف وحش جدا واترمي في الزبالة لانه غير صالح للاكل واتقدم شكوي بالحصل
153,وحش جدا و الفته كمان كانت بايظه و بجد مش هتتكرر تاني
154,Slow delivery
155,it was good but there was just a little bit of sauce
156,ماوصلت الثوميه
