,comment
0,الكريم كرامل مجاش و تم دفع ثمنه فيزا
1,كتروا الدقة والصلصة يجماعة بجد
2,🌹
3,طلب الناقص انا طالعه اربعه كشري جالي تلاته
4,food was tastless I have ate koshary many times from them this is the first time to be this bad
5,السعر اوفر جدااا علي طبق كشري بصراحه
6,good
7,الدقه طعمها شبه مش ظاهر حتى لما حطيت الاتنين ومتكفيش الطبق الصغير
8,حاطين مكان القرع بطاطا
9,Good experience
10,طويل
11,الكشري ماكنش معاه صلصة خالص :(
12,البصل ماحاش بعدد الكشرى جه 20بس واحنا طالبين 4كشرى
13,الاكل جاي بارد اووووي والكشري عبارة عن مكرونه بس ومعجن ومحدش كل منه بسبب المنظر السي
14,الطلب اتاخر جداً
15,Thanks alot
16,الاكل جاي بارد
17,خدمه ممتازة وطيار محترم
18,الاكل بارد الاوردر جه بعد ميعاد الاستلام بساعتين
19,انا طلبت بيج ستار اللي جه الحجم الأصغر مفيش ولا طقم سرفيس جه مع الاكل و لا مع الحلو كمان
20,أنا طلبت مكرونه زياده بعت كشري عادى
21,للاسف اسوء خدمة عملاء قابلتها في حياتي ومفيش دعم من الابلكيشن
22,الطيار جزاه الله خيرا
23,but the food was a little cold
24,ممتلز
25,Well done
26,كمية العدس قليلة فى الطبق
27,كنت طلبه ماكسي كولا و ولا جت
28,كان فيه علبة مقطوعة من تحت ولما حطيت الدقة وقعت على هدومي من الطبق، وكان فيه طبق بايظ من اللي طالباهم وكنت طالبة اكسترا صلصة ومجاتش مش عارفة فيه ايه يعني كشري سيد حنفي ده كان المفضل عندي
29,1.5 hours for one cold stale koshary box
30,الاوردر جه واقع والاطباق مخرومة وبتسرب
31,بيتكلم باسلوب غير محترم
32,جالي مغص شديد وتقلصات تقريبا الكشرى كان فاسد
33,خدمه عملاء سيئه - و لو طلبت من منيوز اسوء لخبطه فاحجام العلب فالاوردر . طلبت ٣ صغير و واحده بيج ستار جم كلهم نفس الحجم و المطعم قال لخدمه عملاء منيوز دى الاحجام المتوفره و خلاص
34,الكشري جه من غير دقه ولا شطه مش عارفه دة مقصود ولا اي
35,اليش مجاش
36,2 hours just to get here ???
37,order missing item
38,تاخير
39,very bad food low quality
40,اي القرف دا يعني دا يرضي ربنا نص طبق كشري يعني النص التاني لو مشبعتش هتبعتوه ولا اي
41,I received the order an hour and a half late
42,اتأخرو جدا واكل جاي بارد خدمه زي الزفت
43,ممتاز جدا بصراحة ♥️
44,ممتاز لكن الاكياس ببتفتح بصعوبة
45,.
46,drinks were missed
47,مظبوط جدا
48,دقه التوم محتاج يتقل خل وتوم
49,الاوردر وصل متاخر جدا عن الميعاد
50,الاوردر جاي من غير صلصه انا اول مره اشوف كشري من غير صلصله!!!
51,اكتر من ساعين علشان الاوردر يجي وفي الاخر المندوب بيقولي قدرني انا استلم الاوردر ساعتين في اوردر ليه
52,سئ وابلكيشن سئ بيلغى ويحط على مزاجه
53,نص الطبق فاضي و مش أول مره الموضوع ده
54,الكريم كراميل كان فيه مشكلة اللي اكله حصله وجع شديد و ترجيع و ألم طول اليوم بسببه
55,الاكل كان سئ للغايه
56,الاوردر وصل متأخر ومختلف خاص بعميل اخر لما طلبت تصحيحه اتاخروا جدا
57,هو آلمفروض أقيم أوردر ما وصلني أصلاً !! و لا أقيم خدمة دعم و لا عرفت تحل المشكلة و لا تعرفني الأوردر فين و لا هيوصل إمتى ؟؟ و لا مطعم حضراتكم مش عارفين تسيطروا عليه عشان يوصل الأوردر للعميل ؟ عموماً أنا طلبت الأوردر نفسه من نفس المطعم بس من platef...
58,ممتاز
59,شكرا
60,ناقص صلصه
61,حقيقي شكراً للراجل اللي وصللي الأوردر منتهى الأدب و الزوق والإحترام
62,الاكل كان بارد جدا
63,شكرا جزيلا
64,الطعم اصبح سئ
65,ناقص كيس صلصة
66,سيء جدا وابلكيشن سيء جدا واخر مره هطلب منكم اي حاجه
67,الكشري حلو بس الرز من دون مكسرات
68,التوست مش موجود
69,الاكل بارد
70,الكشري سئي جدا جدا جدا
71,الاكل حلو التوصيل سيء جدا الاوردر جالي بعد اكتر من ساعة ونص والكشري خارج من العلبة ومرمي في الكيس
72,He insists to leave the order in the elevator not to deliver it by himself
73,I vomited
74,انا كنت طالب طبق واحد منغير حمص وعدس جالي الطبقين اللاتنين كده
75,كل مرة اطلب الفي كولا تكون ساقعه و كل مره بتكون سخنه ياما بيجي طعم تاني
76,Wrong items
77,الطلب غلط وياريت ناخد بالنا من ملاحظات العميل
78,العدس كان قليل جدا
