,comment
0,الكمية قلت جدا بالنسبة للكرمب
1,الاوردر غلط
2,انا بطلب منكم دايما بس المره ده للاسف الفراخ سيئه جدا و لا تصلح للاكل.
3,انا مش اول مره اطلب منكم لكن للاسف اليوم الفراخ مجلده و ناشفه جدا و غير قابله للاكل . ماكنتش منتظر منكم المستوى ده .
4,Gamiel
5,المحشى حار للاسف بدون أى مراعاة لمرضى المعدة او الحساسية
6,Tasty 😋
7,الدليفري غريب جدا طلب مني مقولش انه وصل الاوردر و انه هيحاول يقول ان الزمن مرضاش يطلعه مع أن دا محصلش و اتأخر جامد و اتصل كتير يتحايل عليا اني مردش ع خدمه عملاء المنيو خالص لانه عايز يكمل شغل و كلام مش مفهوم و بعد مااستلمت الاوردر قعد يخبط ع الباب ج...
8,Mesaaka is so tasty
9,الطيار الي اسمة عمر رمضان لم يرد الباقي ٢٠ جنية وخلع.
10,Order is missing item
11,الاكل حمضان
12,الاكل بجد فووووووق الممتاز بيتي و نظيف والطعم لذيذ جدا تسلم ايديكم وبارب تفضلوا على هذا المستوى ❤️
13,"chicken Pane was good, oven pasta was terrible"
14,الاكل جاي محروق وبارد ومليان زيت اول مره يجي وحش كدا بجد معظمه ميتاكلش
15,الكفته مش مستويه
16,المحشي كان بايت وسئ جدا اترمي كله
17,طلبت فرخة مشوية.. غيروا التتبيلة وبقت هجين هندى على باربيكيو صوص وسيئة جدا كانت المفضلة عندى لسنين بس خلاص للاسف وكانت مش مستوية كويس
18,طالبة فتة جايبينها رز بالشعرية و المرة اللي قبلها جايبين الملوخية طعمها مُر متتاكلش و اترمت انا مش عارفة بجد ليه بقيتوا تهملوا في الاوردرات كده مع ان الاوردر بيتأخر اغلب الوقت يعني على الاقل بعد كل التأخير ده ناخد جودة كويسة مش اللي بيحصل ده
19,مليلن شطة و بهارات و المحشى متخزن و طعمه سيئ
20,اكل اكتر من سئ
21,الفرخة مش مستوية كويس
22,جيد
23,سفن اب لم ياتي مع الاوردر
24,"Very bad , too much salt and herbs, not fresh ,"
25,الفراخ مش محمرة
26,أغلب الأكل جاي محروق رغم تنبيهي بسبب تجارب سابقة كان بيجيلي فيها بردو الأكل محروق !! والحواوشي فوق انه محروق ريحة اللحمة كانت وحشة والسندوتش اترمى طبعا في الزبالة !!!
27,good
28,التجربة الاسوء في العالم و فريق المنيوز كمان ماشاء الله عليهم ميقلوش سوء في ادارة اي موقف الاوردر متاخر ساعة و نص و الحل بتاعهم احنا اسفين فلوسك هترجع بعد ١٤ يوم ع البنك منتهي اللامبالاة و عدم التقدير للموقف و احنا صايمين اخر مرة استخدم الابلكيشن
29,كباب حله كان فيه شعر و الزر بتاع الوجبه الميكس كان ني
30,الصراحة الاكل كان لازمله ملح او ممكن تحطو ملح فى باكت صغير للحاجات دى
31,T Ohda
32,زي الخر الأكل متآكل منو ودي مش اول مره
33,اوحش حواوشي كلته في حياتي !!
34,الشوربة مايعه جدا و بدون اي بهارات ووصلت باردة جدا المكرونة معجنة شوية ساندويتش الستيك بارد ومش مخدوم كويس
35,Very delicious home made food
36,الاكل ممتاز
37,تحفة
38,الجلاش وصلني كأنه طوب
39,Great food fast delivery cabbage was undercooked
40,المطعم ممتاز جدا جدا جدا بصراحة وكل حاجة طعمها ممتاز ومش حام ومناسب للعزومات تعليق صغير قطع اللحمة محتاجة سوا زيادة غير كدة كله ممتاز ممتاز🥰
41,قريت كل الريفيوز لقيت انكم ابتديتوا كويس ثم انحدار تام ...نجمه واحده و نجمتين اخر سنه تقريبا! طب و بعدين يا جماعه؟ حتغيروا و تخف ا ايديك ا على الملح مثلا و لا مش ناوين!؟ حطولنا الملح في كيس يا سيتي و نحط بمزاجنا! او سيبنا من غير ملح و انا حبقى استلف...
42,مش معقوله الملح يا جماعه كلنا بنشتكي منه!! انتوا عايزين تجيبولنا الضغط اكتر مما هوا عندنا! الملح لازم يبقا اختياري لكل حد على حسب حالته و بالذات اصحاب الامراض!! اول مرتين طلبت منكم الاكل عجبني جدا كان شوي و رز و ملوخيه و فراخ..تمام...بس المرا دي طلب...
43,not received yet..
44,الاكل حلو بس الملح محتاج يتظبط
45,بانيه مالحة جدا الرقاق كله سمن تقيل جدا و سمن مهدرج مش بلدى المكرونة حلوة جدا
46,الاوردر وصلني في ساعتين بدل ساعة و طبعا وصل بارد و وحش
47,i did not receive the order.. driver asked me to go back to the co
48,الجلاش ناشف جداا وطعمه سيء
49,Very low quality food
50,طعمو وحش
51,دايما بيتاخر الاوردر غير انه بييجي غلط ومؤخرا الطعم بقي مش زي الاول والكميه قليله جدا البطاطس جتلي نيه
52,الاكل حلو ولكن كميته قليله على سعره
53,طعم سئ جدا الاكل ناشف
54,.
55,الاورد طلبتها من ساعتين وموصلش لحددلوقتى
56,الناس دى بتعمل عظمة مش اكل عادى بجد اجمد مطعم على الابلكيشن حبيت اوووى
57,البطاطس قليلة جدا جدا جدا والمطلوب كان الحجم الكبير.
58,طلبت وجبه ربع استيك مشوى ورز ابيض زى الصورة من الابلكيشن وصل ربع استيك بس ومش مستوى
59,doesn't have fries as promised
60,ممتاز تسلم ايديكم على الطعم البيتي الاصيل.
61,كفته سيئه جدا اول مره في حياتي امل كفته وحشه كده راعو ضميركم شوي الحاجه غاليه حتي المكرونه ال100مش كويسه
62,الاكل جميل جدا بس الملح زيادة شوية ياريت تاخدوا بالكم منه
63,اللحمة المفرومة وحشة جدااااااااا..اتا رميت البشاميل والسمبوسك والجلاش بسبب اللحمة... لية كدا طيب
64,الأكل وحش وطعم المكرونه مش حلو والبانيه متآكل منو
65,طلبت مسقعه الباذنجان مش مستوي الفراح مش مستويه خالص الرز كله زيت بصراحه لو فيه نص نجمه كنت هحطها
66,Sooo bad
67,البانيه فيه تراب من جوه
68,الملوخية جايبنها حمضانة
