,comment
0,د
1,باعتين تشكن بدل البيف ف ساندوتش بيف ستيك بجد والله لا تعليق
2,كل حاجه تمام بس الوقت بيتاخر
3,"Too much fata in the Philadelphia sandwich, zaatar quality was not up to the required quality"
4,Good
5,"They didn’t put the halloumi cheese, but good taste anyways."
6,طعم وحش جداااااااااااا
7,"Sandwiches (Manouches) were barely filled , The worst shawarma I’ve ever had, didn’t even taste like shawarma. It was more like boiled chicken with black pepper on it. The Philly cheesesteak is just acceptable, but the shawarma is horrible. I think t..."
8,i asked for no green peppers but it came with
9,كانت وحشة جدا و بايظة
10,ولا سبايسي ولا في كورن دفعت فلوس سبايسي علي الفاضي والملاحظات حتي لم ينتبهوا ليها
11,Nothing added neither mayoinnase or cheese and very few tuna. Very bad taste
12,لم تكن جيدة للاسف الكمية المرسلة اقل من الكميه المعتادة بشكل كبير
13,الفراخ مش شاورما دي فراخ مسلوقه ومقطعنها بإديهم ولونها اسود وبشع جداااااا وباين الحاجة مش نضيفه وفيها زفاره والله ساندوتش الشاورما اترمي
14,Excellent
15,Not delivered
16,I ordered without spicy sauce . Came with spicy sauce although I have an allergy
17,"My only comment is that The muhammarah was wrapped in paper and that made the cheese stick to the paper so it became without a topping just the bread so it wasn’t edible, that’s it other than that spinach was a chef’s kiss for real"
18,Different from all previous times
19,It was very cold
20,جايلي سبايسي وانا مطلبتش سبايسي
21,Manoucheh cut it wrong
22,زفت الاكل مش حلو خالص
23,اسوأ منقوشة فلاديفيا
24,انا بعشق المكان دة
25,أسوأ مرة الفيلادالفيا شبه مفيش لحمة و العيش بايت الدجاج سببشيال نفس مشكلة العيش و البروتين تستاهلون اقل من ٠
26,بعد اذن حضراتكم مستعجل.
27,"Safiha was too tiny, not worth the price."
28,الاكل أتأخر ساعتين والطيار لا يرد علي الموبيل أو يقوم بالإتصال علي الرغم ان المسافة بين المنزل والمطعم لا تتجاوز ال ١٠ دقائق. تجربة سيئة للغاية
29,طلبت المنقوشة سبايسي جايب فيها فلفل رومي ماحبيت الحركة
30,قيمه قليلة مقابل سعر عالي اعتقد مناقيش الاغا اقل ٥٠٪ من السعر
31,the bread was not good at last order
32,"Food was not hot at all because the driver accepted the order but he was so far from the restaurant, worst experience! I was forced to receive it as I was so hungry"
33,الجودة و الكمية قلت على الرغم من زيادة السعر
34,طلبت كوكا كولاا ماجتش مدفوع
35,حلو
36,There is no haloum at all in manoucheh just zaatar
37,last time
38,I ordered without spicy the order was spicy
39,انا طلبت سجق جبنة اسبيشال جالى دجاج اسبيشال
40,"terrible decision, tasteless pieces. never again."
