,comment
0,I love the nuggie they so good and the fries were so delicious and 5 stars
1,البطاطس مش طازه والزيت واضح الطعم
2,انا كنت طالب بيج ماك كومبو كبير الساندولش جه وسط
3,"Even 1 start is a lot for them, don’t eat from them and lose your humanity"
4,الاكل بيوصل بارد ومتأخر
5,جيد
6,the food was okay but it arrived very late and it was too cold to eat.
7,tastes off
8,i
9,order came after 2 hours .. cold and completely not edible
10,سيء جدا
11,I ordered mushroom big tasty it was very disappointing the burger is very thin and tastes bad and the other sandwich was big tasty beef was very cold and tasteless. it will be last time for sure.
12,"portions are very poor especially chicken MacMuffin, and it cames without egg as it's ordered !!"
13,Very cold
14,The food was very bad
15,الاكل بارد
16,Everything and this app sucks
17,طعمه مش اوي
18,Good
19,cold and very soggy
20,Great
21,They forgot my sundae
22,Late
23,Cold food Sandwich was not fresh at all!
24,Cold sandwich and fries 😡
25,للمرة المليون الاكل يتأخر اكتر من ساعة و ميجيش سخن و كدابين كلهم معلش اصل المندوب معلش اصل المطعم و خدمة وسخة و خدمة عملاء وسخة و كل مرة الحاجة تيجي مش سخنة و متأخرة بالساعة و السعتين مع اننا دفعين دلفري قد كدة.. ابلكيشن فاشل همسح الاكونت بتاعي
26,كان يارد اوييي
27,وحش جدا جدا و جاى ناقص حجات و بارد وكمان الاسلوب فى الفرح وحش جدا و
28,الفرع امتنع عن تسليم الاوردر
29,Oily fries
30,الامل وصل متلح
31,the driver was very very rude
32,S
33,all
34,مقاطعة❌️ ..................................................................
35,لم يتم وضع شرائح الجبنة داخل الساندويتشات
36,Coupon doesn’t work
37,These bastards are selling the meal for 450 pounds to make up for the boycott loses and the moronic people in this country are still buying and paying this ridiculous price for a junk meal
38,too much delivery fees as it very close to us
39,جه بارد جدا
40,🥰
41,السندوتشات زفره جدا
42,The sandwich was very spicy and i was ordering it regualr not spicy one please make sure next time
43,الاوردر بارد
44,❤️
45,الاكل سي جدا وحصلي نزله معويه بعديه و الصوص طعمو متغير و الاكل جاي بارد جدا تجربه سيئه و لا يوجد خدمه عملاء جيده
46,"The fries were very bad, old and oily"
47,خدمه توصيل زففففت
48,مجاش
49,The fries was cold
50,Mcdonald’s Maadi is very disappointing
51,الاوردر جه ناقص لتر كولا و كلمت خدمه العملا و قالو هتيجي بردو مجتش
52,Food taste was very weird and cold My stomach herted me the day after and i threw up all the food
53,they didnt put onions as requested but the order was fresh
54,Order is wrong I ordered 2 cheese burger and one macdo and I received 3 macdo’s
55,lasr order was really really bad the chicken was really old أخر اوردر كان وحش أوي .. الفراخ كانت قادمة و متسخنة
56,الاوردر سيئ جدا البطاطس بارده ومزيته والتغليف مش أحسن حاجه
57,i asked for grand chicken spicy why it s come premier !!!!!!!!
58,الاوردر جيه متاخر جدا و كله كان بارد
59,.
60,recived my order after 2 and half hours
61,u
62,الوجبة كانت حلوه بس الساندويتش مش بيشبع خالص
63,Quality was baaaad
64,🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸
65,بينسوا دايما اضافه الكاتشب حتى بعد الطلب
66,حلوه اوووى
67,Burger was cold and tasted awful The fries were soggy and oily
68,👍🏽
69,"no delivery, Where's refund money"
70,"This restaurant needs to be renamed. Something like ""this sauce is not available, please choose another one"". This is just awful. they haven't been able to fix the issue with their own menu and the availability of sauce for over a year. shame!"
71,Food is very bad and cleanliness
72,Amazing
73,وحش
74,The food was cold
75,Delivery guy was impolite & ordered Coca can & got machine Coca
76,The delivery time took 3 hours and the order came cold
77,No
78,كان حار جدا جدا فوق الوصف
79,apple pie was missing
80,وحش جدااااااااا و كان بااااارد مع اني كاتبة في الكومنت يجي سخن و سريع و كمان الدليفري جاي متأخر و مش عاوز يطلع كأنه بيسممني الاكل كان تجربة 0/10
81,Very bad
82,الاكل كان سي جدا وبشع والبطاطس بارده وناشفه
