,comment
0,Order cancelled multiple times for no reason.
1,الأسعار معقولة ، سندويتش السوسيس المكسيكي حلو جدا ، الفطير شوكولاته محتاج يزودوا الشوكلاته عليه
2,لقيت سلكة حديد في ساندوتش البطاطس
3,بعد نصف ساعة من الاوردر يلغوا عشان مفيش توصيل
4,The food is sooo badd has weird taste like its eatable
5,المطعم بيلغي الطلب علي مزاجه وبدون سبب حاجه زفت
6,"The fries were not well-fried, and the fool tasted good but the portion was very small. The cheddar cheese fries were unfortunately tasteless"
7,الاكل بارد
8,Sandwichs is too cold in addition to the order was too late
9,the bread was so dry . i’m desperate
10,المخلل دافعه تمنه ومجاش وطالبه البطاطس مايونيز وكاتشب جات كلها سلطه
11,bread not fresh
12,Burnt chips sandwich
13,الكمية قليلة جدا على السعر
14,الطلب خطأ، طالب فول و طعميه و جالي بطاطس و بيض
15,الكريب كان كويس و الاوفر حلو. ساندويتش البرجر ده ياخد نجمه لانه برجر اطياب و عليه جبنه وبيضه يعنى اقصاها يبقى ب٥٠ ج مش ١٢٠ + توصيل و خدمه!!! عيب
16,يوجد ساندوتش بطاطس ناقص
17,"cordon blue was over cooked the crust was almost burnt, the fries was cold and dark"
18,انا طالبه طعميه(قماطى) عليها سمسم عدد ٦ وحدات اللى وصلنى قرص واحد طعميه عليها سمسم
19,There was not really pastrami
20,Very rude
21,not professional at all and didnt handle my complaint probably!
22,The order is incomplete there is one mix only not 2 as ordered
23,2 hours late and didn't even taste good
24,الطلب تأخر جدًا علي اخد اكتر من ساعة رغم اني طالب حاجات بسيطة
25,الاكل بارد تلج
26,السندوتشات فاضية تماما
27,tasty food but I got wrong sandwich
28,العيش سئ
29,الاودر اتاخر و الاكل بارد
