,comment
0,&nbs...
1,The sushi tasted very unpleasant and very bery very overpriced in comparison to the quality! The rice was so old - not fresh! The salmon fillings were mostly shredded and did not taste good at all. The cheeses used are cheap. And the delivery time i...
2,great 😃
3,really good
4,amazing 😍
5,الكواليتي مش احسن حاجه ابدا ابدا و الطعم غريب مش زي السوشي الطبيعي و وصل ناقص صوصات و لا حرام فعلا الفلوس اللي اتدفعت
6,amazing
7,كله تمام
8,yummy
9,45 minutes late
10,الاوردر مجاش اساسا
11,...
12,السوشي طعمه وحش اوي
13,taste not good
14,. .
15,👌
16,great 👍👍👍
17,good
18,ممتاز
19,معقول
20,ال teryaki sauce بشششع و السوشي جالي بارد و معجن ، اول مرة اجرب و اخر مرة
21,المكرونة كانت معجنة والكاليماري سيئ مووووت والجمبري مش احسن حاجة بردو والتتبيلة اوڤر اول مش حلوة
22,السوشي كويس جدا كله تمام ماعدا الصوصات محتاجه تزيد شويه
23,السوشي اكتر من ممتاز شكرا الدليفري محترم
24,الاكل ممتاز و الطعم كويس جدا و فريش و التوصيل سريع
25,sushi was good good variety small sauces
26,No wasabi with the sushi??!!
27,البسطا وحشه اوي
28,طعمة زي الرفت حرفيا اوحش سوشي كلته في حياتي اول تعامل واخر تعامل
29,Full of salt
30,i was basically scammed. no avocado or any seafood other than shrimp and crab sticks for all the sushi rolls. felt like i am eating ma7shy with shrimp only.
31,The shrimp was only 4 and pasta was eww
32,"nothing went wrong, it was just ok. not particularly delicious"
33,السوشي ممتاز والنودلز بالجمبري تمام بس ناقصه صويا
34,السلمون مهري وبايظ، والحاجات ال fried سيئة وشاربة زيت وطعمها يقرف، هو آخره مطعم كريب ووحش، وجايب وسابي اكياس اللي بتتباع في السوبر ماركت
35,Good quality compared to the price
36,I didn’t receive the salmon gunkan
37,To7faaaa so good quality i love it will order again
38,sushi was great and good packing ................
39,الاكل وصل بعد اكتر من ساعتين، وصل متبهدل وكان فيه سوشي متفرفت
40,so great 👍 best and tasty food ever thanks
41,best restaurant ever every time make me happy ☺️
42,حلو جدا كوالتي عاليه و باكينج محترم و خدمة ممتازة
43,I love 💝 the taste and the package was nice
44,very nice taste fast delivery high quality 😋
45,so nice I will order again sure love it ❤️
46,تحفة جدا و رائع الاكل كوالتي عالي جدا و ووصل بسرعة
47,food was delicious and good experience 💯
48,السوشي تحفه بجد وكله كويس شكرا جزيلا ،😋
49,The Sushi Was Amazing And Full Of Flavors 🤤
50,رميت الاكل كله لان كل الأسماك اللي كانت في السوشي كله و الجمبري اللي في الحاجات التانيه كانوا بايظين
51,السوشي تحفه بجد والاصناف اللي في الكومبو ممتازه ممكن نزود الصوص شويه
52,food was delicious good service good packing
53,السوشى سىء الشوربة فيها ٣ جمبرى النودلز باللحمة ، اللحمة سيئة و بتشد و مش مستوية النودلز بالجمبري كان فيها ريحة بايظة شوية ده غير ان الاوردر اتأخر جدا
54,"Ono sushi from My favorite places I ordered from, sushi was amazing"
55,good sushi and good experience 😋 wow thanks
56,"Overall, this was an incredible food experience"
57,"I was hesitant to order at first, but I’m so glad I did! The quality is amazing"
58,I love how flavorful this soup is with all the fresh herbs and vegetables in it.
59,I’m so glad I ordered this pasta—it tastes great!
60,amazing sushi perfect variety of combos keep on
61,"the sushi was wonderful, very satisfying and healthy"
62,حلو جدا السوشي تحفه أول مرة أجرب كومبو 20
63,كل مرة اطلب فيها تبقي احلي من اللي قابليها
64,love it love it 😍😍😍😍😍😍😍😍😍😍😍😍😍
65,الاكل نظيف جدا و الكمية كويسة مقابل السعر
66,very good very unique package and fast delivery
67,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
68,وصل متاخر شوية بس طعم الاكل و الباكينج حقيقي نساني التاخير خالص شكرا
69,جميل جدا و الصوص حلو قووووووي ارشحه بقوة
70,taste wawwwww love it really and will order again
71,so nice and a good taste and big portion
72,شكرا ليكم تحفة حقيقي وصل بسرعة و الاكل فريش جدا
73,بتوع حوارات ولا بيعرفو يوصلو اي اوردرات.. تجربة سيئة منصحش حد يطلب منه
74,الرز تحفه بجد شرفتوني شكرا ليكم.
