,comment
0,المكرونة بالمشروم بايتة مش فريش كأنها مركونة بقالها فترة
1,I wish they put chopsticks too
2,was wonderful
3,"Delivery took 110min to arrive & was extremely cold. Beside the fact that one was really hungry especially that it took so much time to arrive, it was a total disappointment when it came cold. If u’re hungry, don’t order Peking as delivery"
4,more veggies then protein in th3 chicken plate
5,"VERY LATE delivery, and food is definitely worse than normal"
6,الاكل كان وحش جدا و شارب زيت وخساره االي اتدفع فيه
7,الدمبلينجز كانت معجنة جدااا و الشوربة برضه الجلاس نودلز فيها معجنة و الاكل بشكل عام كله زيت بطريقة صعبة حتى الشوربة عايم على وشها زيت
8,Worst customer experience and service ever
9,مفيش طعم
10,oily and tasting bad rice with vegetables was good fried shrimps were oily with a bad taste spring rolls were oily also. chicken noodles was. not as expected
11,Food was not fresh at all and tasteless
12,"I didn’t get my order, can’t rate the food only service. The service is horrible"
13,Fast delivery. Respectful driver. Bad food
14,terrible quality!!
15,horible food
16,وحش اوى اوى نهارد
17,quality not as expected for the price
18,all food was too too oilyyyy that our stomach got fully packed and we couldn't breath as it's not heavyyy
19,"7aten shoka wa7da ll order for 2 people, total price didn't include VAT OF 50 pounds"
20,اصبح اغلا بكثير و الكميه هذه المره اقل من المعتاد للاسف مع انه طبقي المفضل
21,وحش اوي
22,Portions is so disappointed
23,beef
24,Not authentic taste
25,"Order was very late, food was cold and quality was very bad, not as expected from Peking one of the worst order"
26,I don't know why this time they decreased the amount of chicken in Peking soup.
27,I haven’t ordered in a while cuz last time both my son and I got sick. Today we ordered again and we are both throwing up. Won’t order again!
28,خطيييير
29,Quality horrible Order veryyy late
30,the chicken kun pao was really bad and tasted raw
31,"fried noodles is disgusting,, fried chicken is so bad,, soups are tasteless.."
32,Please add paying by credit card option
33,There was nearly zero chicken in the fried chicken.
34,Very delicious 😋 but
35,مزيت و يقرف و النودلز ملهاش طعم … وحش جداااا وجعلنا بطننا منك لله Disgusting
36,There was no potato in the beef with potato and chilli
37,I payed for chopsticks & did not get it.
38,There was something wrong with beef. I think it may have been undercooked.
39,Missing seeet sauce for beef dish Missing dipping sauce for dumplings
40,طعمها ماسخ أوي النودلز مفيهاش طعم سواء لحم أو دجاج
41,Another messing item Another delayed order Another poor service
42,The noodles was tasteless Order arrived 25 minutes late And there was a messing dumpling
43,Too much plastic wrapping
44,The food was spilled inside the bag I think it was dropped
45,سعر الفاتورة غير سعر التطبيق
46,اول مره المكرونه مالهاش طعم
47,Wrong order
48,الجمبري مهري والرز مش مستوي كويس
49,ارجو كتابه بجانب الوجبه إذا كانت خاليه من الجلوتين لمرضي الحساسيه
50,very good
51,my food didnt arrive
52,I asked for sweet corn on all noodles. And i was charged for them yet not one of the noodles has corn
53,The food didn't taste good it was super dry and it made my stomach hurt and I was escorted to the hospital
54,"Overpriced! Arrived late and the taste is not that special or professional as they claimed to be..it's far from Chinese food it's just like any other below average ""asian food restaurants"" I won't order from it again neither recommend it for anyone"
55,U sent me vegetable noodles without chicken panko chicken tasted old
56,"portions were big but the won tons had no flavor, the noodles were good after I added more sauce"
57,"First time to try this, and it was amazing"
58,👌
59,Was really delicious and servings were perfect!
60,حلو بس اتاخر
61,crisp fried chicken with sweet and sour sauce was big failure. The sauce was too sweet and the chicken was not crispy at all
62,Little sauce
63,Very cold food after more than 90 min of delivery
64,They dont bring the sauce
65,Great food
66,Spring rolls were oily and chicken was little and small portions
67,اخر مرة هطلب من peking و من elmenus
68,Poisoned 🤢🤮
69,Was not delivered nor prepared Customer service were like robots and did not attend to my complain until I got angry at them
70,food caused stomach problems after eating
71,Very very late delivery Food was not hot enough Rice was with no vegetables and soggy Chicken was cold and soggy Will not repeat it
72,order didnt deliver
73,I ordered fish got beef !
74,price was higher from what was written in the application
75,Food was dry
76,Hhhaaaa I ordered noodles with chicken within my order but can’t find chicken pieces except tiny ones I had to search for 🤣🤣🤣 For the spring rolls with shrimp 🍤 package found only one of two 😵‍💫 While the last item was perfect 🤩 fried shrimp...
77,They use so much plastic wraps that makes it hard to unpack the food
78,It was a very bad experience they cancelled my order without calling me despite my plans based on this order no respect for customers
79,noodles didnt have the best taste but everything else was good
80,After we ate my son and I got food poisoning.
81,Rice was very salty
82,اكل تقيل جدا
83,الأكل كله كان حلو بس دلع شوية
84,The food was spilled out of the plate
