,comment
0,شغل بلا نفس
1,طلبت نص ونص وصلتنى كلها ببيروني
2,محتاجين توحدوا مع المطعم قيمة الاوردر...وصل الاوردر بقيمة اعلي من قيمة الابليكشن.. ومندوب التوصيل كان مصمم يحصل قيمة الايصال ..كلمت خدمة العملاء بصعوبة واتفقت معاهم على دفع مبلغ الابليكشن
3,اوحش اكل اكلته في حياتي بطاطس مجلده وساقعه والبيتزا الاطراف هي نص البيتزا وحشوها وحش والبيتزا فيها حتتين فراخ و كام قطعه مشروم وبس كدا من الاخر مرشحش حد بيها و اخر مره هجيب منكم تاني
4,where is the extra toppings
5,انا طلبت نص بابروني ونص تشكن رانش جالي بس تشكن
6,I received medium pepperoni pizza
7,The extra toppings that I paid for were not added to the pizza for the first time.
8,it arrived cold
9,The pizza was very bad and was not fresh at all the crust and dough were so bad
10,"Food was not Fresh, specially the Pizza. It tasted like it had been in the fridge for more than 24 hours."
11,"very little chicken pops and almost no bacon, and i received coleslaw instead of the potato salad."
12,The pizza was very bad all the topping was stuck in the box
13,took them 2 hours to deliver the pizza
14,التونه زفره جدا
15,order was so bad and cold also the sauce was not what i ordered
16,البيتزا ناشفة وباردة
17,"I got baked bread, not pizza"
18,so cold
19,طلبت بيتزا تشيكن رانش تقريبا هى رانش بس لان التشيكن كميتها قليلة اوى
20,Rude Attitude and disgusting quality of food. pizza hut is incomparable with this gross restaurant it has literally become so bad
21,"The food was so bad that I can’t believe it carried the brand name of Papa John’s, it was the furthest thing from fresh and very cold, it seems that they had that pizza there for hours before delivering it to us, horrible experience!"
22,My ordering experience is as usual horrible because every time I place an order on the app someone calls me to double check on the order which is a total failure cause I order via the app so I don’t have to talk to anyone.
23,مفيهاش فراخ نهائي و حتي الموترزريلا قليلة جدا كأني باكل عيش فينو
24,كان فيها طعم غريب كده مش متعودة عليه
25,Very very very poor quality and the pizza was empty only have tomato sauce 👎🏻👎🏻👎🏻👎🏻
26,Bbq pizza came with no bbq sauce on top
27,I didn’t even recieve the order
28,طلبت صوص باربيكيو لي ٢ بيتزا و دافع زيادة عشان كدة و جالي صوص ثوم
29,البيتزا عبارة عن عجين فقط
30,اوردر جية متأخر ساعة وبارد و ناشف و يقرف
31,V good
32,👍🏽
33,Hey
34,it came with garlic sauce instead of ranch one
35,…
36,الرانش صوص غير موجود البيتزا سيءه جدا جدا جدا
37,Worst Pizza ever! Really nothing good! Topping of 6 cheese pizza was literally mozarella and tomato sauce and for the chicken ranch “chicken tasted so bad and smelly!l and Oil taste in each bite!!
38,Hh
39,عجين فاضي مفيش اي فراخ حرام يدفع فيها فلوس
40,the food was bad and cold
41,7elw gedan
42,عجينة البيتزا رائعة .. الاضافات (topings) كانت قليلة وبخاصة الجبنة!
43,الاكل بشع بجد والله حرام ادفع 309 في عجين فاضي طالبه تشيكن رول جات عجين معجن مفيهوش فص فراخ واحد والتشوكليت رول نفس الوضع
44,the pizza it's not good at all.and also cold ..this is not the first time.
45,Not good
46,جودة المكونات سيئة، الجبنة طعمها مش حلو و مغرقة العجينة زيت، و الفراخ مش أحسن حاجة، العجينة لو بدون مكونات كان هيبقى طعمها أحسن.
47,فرع سئ جداااا طلبت منهم قبلو الاوردر و الفلوس اتسحبت مني و رجعو قالولي بره الزون و قبلنا الاوردر برغم اني داخل مدينتي برده
48,everything was spicy when i didn't order it to be spicy! also pizza tasted like it was made in the morning and got reheated!!
49,الاكل كان ناشف
50,Excellent
