,comment
0,بجد الكميه قليله اوي اوووووووي وجبه أطفال
1,I ordered extra chicken and payed for it and it came regular with no extra chicken
2,كميات صغييييرة جدااااا على السعر.. يعني طاجن مكرونة جاي كأنه عينة
3,chicken caesar salad without chicken!
4,Good
5,الدجاج فيه ريحة وطعم سيء
6,السعر اتغير بعد ما طلبت كان ٤٧٠ واصبح ٥٢٢
7,كمية مكرونه قليله ، كمية اللي مع المكرونه اقل بكتير ! دي عينات اكل !
8,"الفرايز بارد و مالح جدا ميتكلش و المشروم مع الباستا مش باين , مش حلو الاردر المرادى"
9,was below average for a simple order
10,عبارة عن ملح بجد مالحة جدا و من كتر الملح مافيش طعم لاى حاجة تانية و ماتكلتش للأسف
11,The food came very late and the taste was not as expected the iteams that were supposed to be spicy were original
12,الصوص حلو بس الفراخ كانت محتاجة تكون مشوية اكتر من كده
13,"no chicken, no problem 🥲"
14,اسوء مكرونة شوفتها ف حياتى و رمتها ف الزبالة كانت الصلصة حمضانة و باعتين الفراخ نية حاجة استغفر الله العظيم
15,الراب البطاطس كان معجن و ملوش طعم والمكرونة مش اوى
16,the food was very cold and very small portions
17,وحش اووي اوي اوي اوي كل حاجة سيئة اسوء حاجة كلتها بحد
18,الاكل بارد
19,I found an insect in my pasta
20,الاكل سئ جدا جدا جدا ميتدفعش فيه فلوس اصلا ، أسوأ طعم ع الاطلاق
21,taste is so bad .. and the order was missing some items
22,طعم الدجاج فيه زفاره الي اقصي درجه ومقززه جدا
23,The box has veryyyy small portions compared to the restaurant. Not worth the price at all. Also it didn't taste like the restaurant. The oven baked pasta came with the mozzarella stuck to the top covering
24,you should mention that it's mini size
25,كميه الفراخ قليله جدا و كمان زفره.
26,It was bad and cold
27,الاكل وصل سخن وكويس جدا والدليفرى محترم ربنا يوفقه
28,جتلي مكرونة منغير صوص
29,مستاء
30,خدمه ممتازه وجه سخن
31,نصيحة خليكم ف المكرونة متعملوش سندوتشات تانى عشان السندوتش وصلنى العيش بايت و الطعم سىء جدا
32,طلبت واحد حلزوني وواحد اسبجاتي جابلي ال٢ مكرونه ثالتا خالص
33,المكرونة الصوص بتاعها غلط والاكل بارد جدا ومفيش حتي معلقه او شوكة اكل بيها
34,المندوب مستكبر يديني الأوردر و باعت طفل!! المرة الجاية اللي مش هلاقي المندوب بنفسه مش هستلم الأوردر
35,كل مرة أطلب من عندهم و بردو أندم تاني. غالي على مفيش و الجودة صفرية.
36,اسوء تجربة و مش هتتكرر تاني اكل زفت و مواعيد زفت و كله زفت
37,they didn't make it spicy as i orderd and also it wasn't so tasty as i expected
38,حاكل مكرونة بصوابعي انا ؟؟ مفيش اى إهتمام ولا شوكة و لا معلقة ولا اى حاجة خالص.....خدمة تقرف....😠😠😠
39,هائل
40,الدليفرى قمة قلة الذوق ومش محترم شغلو ناس محترمة بعد ادنكم مش ندفع فلوس ونتقرف
41,بجد بحاول اتواصل معاكوا من امبارح الاوردار جاى فى شعر وبارد ومفيهوش فراخ أصلا والتغليف زفت فا كان جاى مدلوق أنا محتاجه refund أصلا للاوردار ده بجد سىء ده مش اكل بنى ادمين
42,الاكل كان بشع من اول صوص المكرونه اللى وقع على الكيس و كميه المكرونه اللى تتعد بالواحده و الفراخ اللى لاتذكر اصلا مش موجوده
43,قطعة البانيه جايالي بيضا يعني ماكلفتوش خاطركم تحمروها وقومت أنا حمرتها وطلبت مشروب وجالي مشروب مختلف باختصار تجربة زفت مع مكان فاشل
44,The order is really really bad !!
45,"The pasta was supposed to have extra white sauce while it wasn’t added, this is not the first time to do this"
46,The order temperature
47,طلبته الpasta spicy ولقيته عادي مع علبة هالبينو على جنب. كان المفروض يوضحوا ان دا قصدهم بالسبايسي!
48,الاكل جاي بارد جدا والبطاطس قديمه والبرجر وحش جدا جدا ووجعلي بطني والطعم وحش جدا تجربه سيئه معفنه
49,worst experience ever .. sauce was spilled .. portion is so small and crispy has no taste. order takes more than usual
50,كنت طالب الاوردر اسبايسي وجة عادي
51,طلبنا الاوردر طلبين منهم فيها الشيدر و الموتزاريلا متحطوش اصلا. الفراخ المشويه حادقه النوديلز مش مظبوطه فى طعم و الصوصات و كم الخضار قليل الخضار بتاعتها.
52,عادي
53,سيء جدا جدا جدا
54,"portions for the pasta are very small, if you want to eat pasta you should order from somewhere else."
55,الباستا كلها ملح حرفيا
56,"All is good , delivery is so fast Many thankss"
57,المكرونة طعمها فلفل والبطاطس كارفة
58,هايل الاكل جميل جدا
59,الاكل سيئا جدا جدا ولا طعم وبارد وكل حاجه الصراحه رميتو
60,مافيش بطاطس
61,the white sauce pasta wasd deliverd red sauce
62,كويس
63,small portions
64,الاوردر مكملش نص ساعه ووصل سخن و الصوص تحفه و كله مظبوط
65,Zeft
66,عجينة حرفيا و الصوص قليل جداا لدرجة تحس انك بتاكل مكرونة مسلوقة
67,Na
68,المكرونة بتبقي بتبقي نص سوا غير كده طعم الحاجة كويس و الكفتة كويسة
69,الاكل سئ للغايه وني جدا
70,sauce all over
71,الاكل كان واقع ومدلوق في الشنطة وااوردر اتاخر عن معاده ربع ساعه ولا عرفت اتواصل معاكم وكانت تجربه سيئة للغاية ولم اكررها
72,تغليف غير محكم والمكرونه وقعت داخل الكيس
73,The pasta was tasteless
74,The sauce was spilled
75,however it didn't taste like curry but it was good
76,تغليف الاكل زي الزفت ..والأكل واصل مدلوق في الشنطة ..ووجبة سخنة محطوط معاها حاجة ساقعه ازاي ؟!... كأن لعب بلاستيك برميها في كيس وابعتها للعميل !!!؟... ايه القرف ده ؟!.. شكل الاكل استغفر الله العظيم مش آدمي بالمرة
77,chicken was too oily and small piece and the pasta had no taste and was dry it needed much more sauce
78,العلبه كانت غير مغلفه بالراب. الصلصه انسكبت في الكيس مع الدليفري وكانت في وضع رأسي مع إنفصال الغطاء.
79,Food came cold and wrong drink which was not cold
80,the food is good but i found a hair in it !!!! accidents happen but please be careful next time. merciii
81,هو فيه ايه يا جماعة انا مش هستلم الاوردر كدا دى تالت مرة التغليف زفت و الاكل غرقان صلصة
82,الاكل كله اخر اوردرين مفتوح فى الكيس بالذات العلبة الورق الكرتون دى بتدوب و الاكل بينزل يا جماعة مش اسلوب دا مرتين كدا كتير اكلكم فوق الرائع بس مش كدا راعونا
83,الكشري باستا قليل و فقير و لا يستحق
84,Soft drinks in combo was not delivered
85,the pasta is not bad but the crispy chicken is not seasoned at all and soo dry
86,smaller portion for more money
87,الباستا مش افضل حاجة و البرجر ملهوش طعم خالص تجربة سيئة جدا بصراحة
88,It was an white sauce one not chinese and it tastes like shit
89,طلبت مشروم اكسترا والمكرونه جت من غير مشروم وحاسبني عليه
90,انا دفعت لاضافة فراخ كرسبي و صوص وعبايتي لم يأتوا
91,they gave a fries instead of pastaweesy bites
92,النودلز مش حلوة و فيها طعم زفارة فى الفراخ والفراخ قليلة جدا !!
93,"the food tastes very bad, it tastes rotten and not fresh at all. the white sauce mushroom pasta tasted like vomit and the asian noodles tasted very very unpleasant. all my family got sick from the food. never buying anything from here again"
94,المكرونه طعمها سئ و بايته والمشروم لونه اسود وغريب والفراخ طعمها مر وحمضان
95,بجد سئ جدا جدا جدا الطلب كله غلط ، طالبة إضافة حاسبنى عليها ولم يتم اضافتها، طالبة مرندا تفاح جاية بيبسى كلمت خدمة العملاء ولا فى اى مساعدة !!!! مستحيل اطلبكم تانى
96,طلبت 2 بستاويسي بايتس وجيه فرايز عاديه + الاوردر اتأخر جدااا
97,it was very late the pasta was putty
98,They’re unclear
99,1- small piece of chicken filled almost 1/3 of the sandwich 2- undercooked chicken
100,I
101,very bad
102,الأوردر وصل مفتوح و الدليفري دقوا عللسلم
103,ال large نفس portion ال regular
104,سيئ جدا جدا جدا مواعيد ديليفري سيئه المكرونه ملهاش اي طعم ولا نكهه السوسيس والله رميتوا نوعه سيئ جدا رديئ والصوص مش باين فيه خالص
105,we received the sauce pasta with crispy chicken is spoiled!!
106,last time for me ordering from this app. no support. delivery came very late with cold order. am deleting the app to make sure I won't order again
107,Ordered a Pepsi but it never came
108,لا طعم ولا نظافه حتي البطاطس متحمره في زيت حلويات و فيها حاجات مسكره للاسف كنتو زمان حلوين
109,Tastes like intentional throw up pasta sauce 🤢
110,Ordered penne got smth else
111,الاكل كان طعمة حلو اوى بس كمية الفراخ مش كتيرة
