,comment
0,ما بتاكل
1,البيتزا جاية باردة و الموتزاريلا مجلدة و الصلصة قليلة يعتبر مفيش أصلا
2,رز
3,وصل متأخر شويه و كان بارد للاسف بس صراحة لذيذ
4,المرادي محبتهاش ابدا ابدا كل مره كانت بتبقي حلوة ال cheese lovers بس المرادي مكثرين الصلصة بشكل مستفز
5,ordered fanta but got coke
6,البيتزا حجمها كويس ومخدومة بس باردة للاسف
7,not like what I ordered the first time..
8,البيتزا ناية مش مستوية خالص و العجينة وكلة
9,البيتزا ال thin كانت ناشفه والصلصه كانت فيها زياده عن اللزوم ، التانيه التشيكن رانش كانت حلوه جدا
10,One of the pizza’s ingredients was really bitter. It ruined the whole taste of the pizza
11,Was not in good shape
12,اتمنى أن تكون العجينة ( إيطالية ) في المستقبل وهذه ملاحظتي الوحيدة
13,All is fine
14,الاوردر تأخر كثير ولا ذنب علي الكابتن لاني اتصلت بيه اول ما ظهر علي الابلكيشن وقال انه معه أوردر اخري وسوف يسلمه ويقدر يستلم أوردر ي اللي وصله في وقت قياسي من استلامه ولكن اريد اعرف من المتسبب في تأخر ساعه الا ربع ووصول الأكل بارد وأريد تعويض
15,ببساطة كان حلو. جيه ستافد كراست وانا مكنتش طلبت كده فا فرحت.
16,As when the delivery late so the food is cold
17,the pizza had jalapeños on it which I didn't request
18,الطيار ممتاز
19,اخر مرة اجيب منه البيتزا وجعتلي بطني وكانت طعمها غريب
20,The delivery was the most kind and understanding
21,الاكل متاخر جدا، خدمة العملاء كلموني وقالو ١٠ دقايق والاوردر يطلع ، انا اللي كلمت الطيار بعد اكتر من نص ساعة قال استلم الاوردر من طيار تاني ، يعني الاوردر متاخر اكتر من ساعة و نص ، وكالعادة الاكل متلج ،و كل مرة اخر مرة اطلب بجد من الابلكيشن وهمسحه
22,First they delivered a wrong order then they delivered me mine cold
23,الاكل كان وحش جدا جدا رجعت الاكل كلو
24,الطعام جيد بصفة عامة ولكن لا تطلبوا بيتزا لحوم سوبريم لإن محتوياتها ضعيفة ولا طعم لها، بيتزا تشيز لافرز جيدة جدا، تليها بيتزا بيبروني ثم دجاج سوبريم
25,الاوردر اتاخر اكتر من ساعه والاكل جاى ساقع
26,الأكل وصل بارد
27,البيتزا مش طريه ناشفه جدا مش ده المتوقع
28,ممتاز
29,البيتزا جايه فى علبه مفيش حاجه قفلاها وطعمها مش كويس خالص حقيقى مش باين انها براند لا طعم ولا شكل والدليڤرى اتاخر جدا جاى بعد ساعه ونص ومش اول مرة اتعامل معاكو بس مستواكو بقى سئ جدا
30,الاكل وصل بارد ، ووقت التوصيل طويل جدا
31,بيتزا حشو فيه ظعيف جدا سي اوي
32,Very bad and poor pizza
33,من الواضح ان البيتزا التانية كانت بايتة
34,الاكل بارد جدا بصراحه اول مره اطلب وتجربه سيئه
35,طلبت عصير مع البيتزا جاي كوكاكولا
36,تأخر الاوردر والاكل بارد ووصل بعد الفطار بنصف ساعة وجابولى كوكاكولا وانا طالب عصير جوافة
37,زي الزفت مفيش أي حاجة كويسة ، البيتزا مزيته و فاضية مفيهاش مكونات إلا حاجات تتشاف بالميكروسكوب و عبارة عن عجينة و خلاص 😒
38,تمام
39,بيتزا ويسترن حلوة بس جابو كوكاكولا بدل العصير
40,foot was too salty 🧂
41,الجبن والمكونات اقل كتير من فيديوهات الدعايا
42,.
43,انا اول مرة اطلب من عندكم و اخر مرة، انا اكلت عجينة بس الحقيقة مفيش ريحة الفراخ و صوص رانش و لا جبنة و جايالي باردة و حاجة تقرف
44,الأكل جاي بعد ٣ ساعات ساقع والتشيز كيك لازقة في العلبة وأوردر غلط
45,طلبت ان الاكل يجي سخن جه بارد جدا تلج
46,زي الفل
47,الاكل بارد
48,الاكل بارد جدا
49,medium pizza is a little small
50,Too cold
51,الفراخ مزيتة قلبت بطني
52,Bb
53,باين اوي الفرق في المكونات قلت بشكل مبالغ فيه حرفيا عيش فينو ملهاش اي علاقه بالبيتزا
54,food was cold
55,i didn't receive the drink and cookies
56,غير مستوي جيدا
57,يعني أنا أطلب بيتزا رانش تجيلي بيتزا طماطم من غير رانش فين الصوص بتاع الرانش الي أصلا واخدين زياده ١٠ جنيه عشان بس صوص رانش يعني نصب !!!!!!!
58,Always amazing ❤️
59,الاكل غير جيد جدا جدا جدا جدا البيتزا عباره عن عجين فقط وصوص الرانش لايوجد اي دجاج داخل البيتزا وصلت بارده تمام
60,too much jalapeno
61,الاوردر جه ف ساعتين وبارد
62,"driver has a great attitude , respectful"
63,بيتزا الرانش جيدة جدا لكن حجم البيتزا أقل من الوسط
64,الكبيره رائحه غير مستازغه ولكن الوسط جميله جدا
65,Good pizza but there was alot of onions Very very bad colslow
66,Tanks you
67,Delivery takes long time
68,All is perfect 🤩
69,للاسف البيتزا وصلت باردة جدااا
70,الطيار توب التوب
71,تحفة من احسن البيتزات اللي أكلتها حبقي مدمنة بيتزا كينج
72,the potato wedges wasn't good enough
73,"delivery was good and fast, pizza wasn't that good, didn't like it"
74,تجربة سيئة جدا كنت طلبت اثنين بيتزا من واحده تشيكن رانش والتانية مشكل جبن ان الاثنين كانوا سيئين جدا التشكن رانش كانت مملحة جدا وكمية الحشو قليلة ومليئة طماطم ومشكل الجبن كانت خالية تماما من الجبن
75,اوردر وصلى غلط تشيكن رانش سبايسى وانا مش طالبها كده و للاسف رميتها
76,الاوردر جاي بدري عن معاد الافطار و بارد جداا
77,Late delivery
78,معجبنيش الاكل ، البيتزا كانت باردة جدا
79,البيتزا تحفة طعم ومكونات جميلة تجربة جميلة جدا انصح بيه
80,هو مش وحش بس الكميات في البيتزا مش حلوة خالص اخر مرة طلبت من عندهم حطيت اضافة موتزاريلا و دفعت الفرق جالي نفس كمية الموتزاريلا العادية خالث بدون اي زيادة كأن العميل اهبل و مش حيعرف يفرق في الكميات ف بصراحة اضايقت منهم غير طبعا ان الاكل مش بيجي سخن او...
81,وحشة جدااااااا و الاورد وصل بارد مع إن المسافه ماتزتش عن 10 دقايق من الفرع لمكان البيت والبيتزا كلها زيت تجربه مش حتتكرر تآني
82,The salad tasted very bad as if it’s moldy
83,وحشه جدا جدا والله عيش بجد سئ جدا وبارده وفاضيه
84,لو اطول لديكم صفر علي البيتزا وحشه جدا عباره عن عيش غير أنها بارده ومفهاش اس حاجه وحشه وحشه من هنا لبكره
85,معظم التعليقات وحشه جداااا وبتقول بارده ووحشه أما لسه فالطريق ربنا يستر
86,Very bad packaging everything is drop and the taste of the salad very bad Pizza so much tomato sauce No flavors very bad quality
87,Spilt food
88,صوص المشروم مجاش
89,الاوردر ما وصلني بعد تاخير ساعه ونص وما وصلت الاوردر
90,So delicious
91,I ordered cookies and they gave me coleslaw 🤨
92,Uncleanliness
93,طلبت فانتا تفاح بس جتلى برتقال والمعطم قريب منى جدا والاكل كان بارد والاوردر اتاخر جدا من المطعم الطيار كان محترم واسلوبه حلو
94,الأكل اتأخر في التحضير وجه بارد و البيتزا مش حلوة تماما
95,تم
96,التشيز لافرز جات لازقة في الكرتونة
97,Cheap ingredients
98,باره حرام التاخير و تقطيع خطاء كارثه
99,طلبت بيتزا ماكسيكان مو مكسيكي.
100,Helwa embahrt
