,comment
0,البيتزا جت مقلوبة وبارده
1,good
2,too small pizza
3,Order was very late more than 30 min late & driver wasn’t answering calls for asking what is the status of the order plus the restaurant said that order was ready for more than 1 hour
4,الاكل كله شطه مع اني طلبت بدون شطه
5,worst service Driver's bad attitude which is not presentable. unprofessional way of solving complaints bad packaging very small portions التوصيل كان تبع المطعم وطلب ان الاستلام يبقى من تحت البيت وننزل مخصوص نستلمه من مكانه ٣ مرات يتأخر ساعتين
6,الفراخ قليلة جدا و البيتزا مش رخيصة اوي كدة عشان تبقي دي كمية الفراخ بس
7,البيتزا حلوة قوي و السلطات كمان بس الملح كتير في الخيار و قليل في البطاطس
8,بيتزا تونة وسط ثمنها اكتر من ٤ علب تونة مفيهاش ربع علبة منهم مطعم حرامية غشاشين ماحدش يتعامل معاهم
9,كاتبه من غير فلفل حار الفلفل جه محطوط!!
10,البيتزا جاءت المكونات ملغبطه علي بعض
11,ساعة والأوردر جه بارد
12,This pizza was so horrible it doesn't even count as a pizza. The pizza is so bad it was barely eatable. What a horrible sad unfortunate experience. And the order toke 2 hours to arrive. NOT recommended.
13,البيتزا جايه عجينه و عباره عن طعم زيت و يعتبر مفيش فراج فلفل كتيرررر بس
14,نوع الجبنة
15,البيتزا كانت مالحة أوي أوي
16,الاوردر وصل متأخر ساعه كامله عن الموعد المحدد ووصل بارد جدا و الجودة سيئة و التغليف أسوأ حاجه و متبهدل وواقع عليه ميه ......
17,الاوردر جاي بارد ده غير انه جاي من غير شوك ولا سكينه والتغليف سئ جدا
18,كميه الحشو قليلة جدا
19,بارده ومش جيبين ملعقه مع السلطه
20,الاوردر جه بارد وحاولت اكلم المدير قالي اخويا هو المدير وكلمته قرا الرساله ولم يفعل شئ، البيتزا اتغيرت بواحده ثانية.
21,كنت طالبه بيتزا سوبريم جاتلي مارجريتا وكنت طالبه بيتزاتين كبير جم لي وسط
22,cold as a corpse
23,small portion with a few sauce and poor taste
24,تتتححححففففاااااا
25,مكنش حلو المره دي
26,the pizza was raw in the middle
27,بيتزا تحس انها بايته ووصلت بارده تجربه سيئة لن تتكرر
28,"A cheese lover’s pizza with creamy ranch sauce was flavorful, and perfectly balanced. The dough was soft and tasty, adding to the experience. The salad had good flavor too, though it wasn’t as fresh as expected."
29,طلبت تشيكن رانش عادي جالي تشيكن رانش سبايسي وعندي اطفال معرفوش ياكلوه ياريت التوضيح في المنيو
30,أسوء مطعم بيتزا بجدارة
31,In the small pizza offer i got coleslaw salad instead of beans salad
32,العجينة وحشة جدا
33,الطعم جميل .. ولكن التوصيل كان بعد اكتر من ساعة ونص
34,الاوردر فوق الممتاز
35,طالبه بيتزا تشكن رانش عادي جايه بهلبينو واحنا مش بناكله
36,البيتزا وحشه جداااا بارده وصلصه بالعبيط بأكل عجينه فينو بصلصه
37,الاوردر اتأخر
38,I request for Italian comming Bain
39,"Margherita was super thick, mozzarella taste weird. i didn't enjoy at all. Tuna? i didn't feel the tuna in it."
40,الاكل جاي بارد وانا لو شخص غير محترم زيكو و رب الكون ما كنت هستلم بس عادي اهي تجريه وحشه و خلاص هو البيتزا اصلا بتيجي بارده
41,الحشو قليل جدا والطعم مش احسن حاجه
42,I ordered a small pizza and it was so small it shocked me!
43,A bit small with less ingrid
44,♥️
45,الاوردر اخد ساعتين على ما وصل و تعامل غير محترم من الفرع و الديليفرى
46,الأكل طعمه جميل وتحفة، ولكن وقت التوصيل وسلوك الطيار من أسوأ ما يمكن
47,تطلب اكتر من ساعه ونص لوصول الاوردر وبارد
48,I ordered margherita ranch pizza and it came without ranch
49,عجينه من غير حشو لو العروض انك تقلل كميه متعملش عروض تاني .. المكان كان محترم جدا وكان المفضل بعد الي حصل دا بقيتو زي فرنه ف اي شارع وشكرا
50,مطعم مش بيحترم مواعيده الاوردر المفروض يوصل 9 وربع وصلى بعد ساعه وفى خلال الساعه اتكلم 4 مرات مدير الفرع يقولى دقيقتين ويووصل دقيتين ويوصل و ف لما رفضت استلم الاوردر يقوبى الكاشير هيشيله هيشيل اهماله واهمال حد تانى للكاشير الى مالوش ذنب مطعم سئ محدش ...
51,👍🏻👍🏻
52,البيبسى ماكنش صاقع
53,The cheese tastes very bad and crunchy this not how you eat pizza
54,تحفه
55,للاسف الاكل وصل متأخر علي غير العادة وكان بارد جدا
56,حشو قليل وعجينة عيش فينو مافهاش ريحة عجينة البيتزا
57,البيتزا ما كانتش مستوية كويس
58,حجم بيتزا صغير جدا اصغر من المنقوشه
59,I
60,مطعم وسخ بيعمل قرص مش بيتزا
61,Y
62,ممتاز
63,بالنسبه للسعر كويسين جدا ... إنا طلبت تبقى العجينه ايطالى رفيعه جابوها عاديه و دى مش اول مره يتجاهلوا التعليق
64,The food is not hot but it was delicious
65,اابيتزا عجينة مش مستوية مالهاش طعم للاسف
66,تجربه مش هتتكرر تاني
67,انته اسوء مكان الواحد ممكن ياكل بيتزا …اكل فى منتهي السوء !!
68,الجبنه المستخدمة في الاورد مش حلوه و البيتزا كمان ناقصها الصوص الاحمر
69,average
70,The mushroom in the pizza is very bad
71,بيتزا فراخ الرانش فاضيه مفيش فراخ خالص والبيتزا ملسوعه
72,الاكل جيه بارد و وحش جدا
73,w love it thanks alot😍😍😍😍😍
74,طلبت بيتزا دجاج رانش جاتلي مارجريتا ومش نفس الحجم اللي طلبته
75,الكمية غير كافية
76,اسوء بيتزا كلتها.اما السلطة تحفة
77,مفيش حاجة للمرة المليون ناكل بيها السلطة
78,the mayonnaise potato salad wasn't good
79,"the delivery wasn't quick .. it took 1 and half hours to arrive since submitting the order, the size of the pizza wasn't big but the order is good for one person - the food tasted great tho."
80,عجبنة فاضية ما انصحش حد يشتريها
