,comment
0,The driver take 200 LE extra
1,ممكن حد يتواصل معايا لان الاورد جاى ناقص وللاسف بعد ماستسلمت كان المطعم قفل
2,البيتزا كانت بارده جدا وتقريبا محروقه وكم الصلصه كتييير جدا
3,Always amazing
4,الاكل تحفة. شكرا ليكم. دايما يارب
5,It took so long one hour after delivey time it was soooo cold bad experince
6,Never received food from porta doro with this low quality!
7,Wrong order received .. The order was communicated wrongly by El Menus to Porta Doro.
8,وصل بارد خالص
9,الاوردر وصل من غير ادوات الطعام نهائياً
10,كتير جدا أن أطلب اتنين شوربة وواحد بيتزا ب ٦٠٠ جنيه !!!!! وكمان كمية ماتكفيش نفر واحد !!!!
11,Arabiatta was good but not spicy :((
12,"all order packaging is very bad, all food is very bad condition"
13,Cold
14,Perfect
15,We got sick
16,Food came spilled
17,Tiramisu doesn’t taste fresh. Bad experience
18,"The dish is overrated. didn't like the quality of pasta at all, not tasty and very expensive compared with quality."
19,Everything was good but too too late
20,Chicken not cooked
21,Order was 45 mins late
22,the coffee milkshake is tooooo small
23,Very big portions. Amazing negresco. Salmon pasta was meh. Cheese cake was 2/10.
24,"Lasagnia and negresco were a bit cold, the cheese wasn't melt, it was tastless, no salt added at all or seasonings, plus I asked the order to be spicy but I didn't get it tho."
25,Tiramisu quantity was very less.. 😕
26,the food was çold
27,"If you don’t have proper soup packaging for delivery then don’t!! Also it’s not okay to have the toast already sinking in the soup. Also the soup portion is unbelievably small. As for the salad, it’s super empty, I’m eating only lettuce. It sure is ..."
28,The food was so delicious but I got it cold thanks
29,Very cold and old not fresh at all
30,My order took almost 30 mns to get accepted and the first agent i comminicated with was not helpful and he finished the sessions without clear comms. The second agent was helpful and she didnt finish my session till she solved my issue.
31,Food was cold
32,الاكل ساقع
33,H
34,the order came without the tiramisou!!!
35,They delivered the order in a horrible packaging Non of the side items were correct. Overall a very bad experience
36,used to eat in the old branch...it was good back then. not nice anymore
37,Cold food
38,The package prints on the food I had foil on my pasta had to remove the whole top
39,"the food came squashed and almost every sauce came spilled and the nigresco was spilled in the bag, disappointed."
40,وش المكرونة النجرسكو كان محروق بالموتزاريلا لونها اسود و التغليف مش احسن حاجة
41,Thank you for replacing the fries as I asked! Chicken was super nice
42,I ordered grilled vegetables and i got sautee and French fries
43,very very cold pizza
44,There is no delivery for Sheikh Zayed !!!
45,"Sheikh zayed branch is closed and the number in the menu is taking you to Mohandseen branch , take care"
46,Bug portions. Food always as expected. Quick Delivery
47,A true authentic italian food with delicious taste and amazing A+ costumer service. Totally a fan of their pizzas and pastas and risottos and they have delicious profiteroles. totally recommend it.
48,فرع امريكانا بلازا زايد يوم السبت 17-8-2019 الساعه 12 الظهر طلبت صنفين سي فود صيامي --باستا فروتي دي ماري ريد صوص صيامي طعم الصوص حلو جدا و متبل و فيه طعم ثوم و كميه الطبق ممتازه و فيه جمبري و سبيط و بلح البحر كميه حلوه جدا و تتبيلتهم جميله و اجمل حا...
49,"worst place ever , I've been ya customer for about four years at shiekh zayd branch , yesterday day was the worst , impolite manager or staff, careless and had to ask for the menu , the baby chair , and to order more than a few times but no response..."
50,Horrible service and incompetent manager. Lasagna arrived 45 minutes after the rest of the food and manager didn’t even apologize
51,-- فرع امريكانا بلازا زايد - يوم الخميس 24-1-2019 الساعه 12:30 الظهر جربت من عنده نوعين بيتزا لاني البيتزا عنده وهميه و ايطالي و كريسبي و الحشو بتاعها رائع و بيستعمل خامات نضيفه --بيتزا بيبروني و كانت وهميه و العجينه رفيعه و كريسبي و غرقانه جبنه و زع...
52,تجربه جديدة يوم السبت 12-1-2019 الساعه 12:15 الظهر --جربت النجرسكو و محافظه علي مستواها في كل حاجه ما عدا تتبيله المكرونه و الصوص محتاجه تزيد شويه زي ما قولت قبل كده --شوربه البصل عالميه كالعاده و مظبوطه في قوامها و التتبيل و المتزاريلا الي علي الوش ...
53,No online ordering and no phone number what can I do to order this restaurant
54,Good quality food when you are sick of junk. Always comes scorching hot too!
55,I visited both branches ever since they first opened. It was my favorite Italian restaurant UNTIL I visited them a few days ago in Mohandeseen. The service was HORRIBLE. The tables were stuck together so that you couldn’t actually get up to leave. It...
56,الاكل كفطار كان كويس، نزلوا الاكل قبل الاذان بربع ساعه و ده خلي الاكل يكون بارد. خدمه مش قد كده. اسعار كويسه الي حد ما. كميه الاكل كويسه جدا.
57,Love this place ♥️♥️ but the deposit reservations in ramadan is a joke
58,Very Nice Restaurant.
59,The pizza there is amazing! Highly recommeded
60,جربت الريزوتو و الكوردون بلو و التراميسو فعلا تحفه وكميات كبيره تستاهل الفلوس
61,قمر قمر قمر قمر. احلي نجرسكوا كلتها في حياتي حرفيا! مليااانة صوص و الجبنة موجودة لحد اخر قطمة و الصوص تقيل و فيه طعم مختلف وهمي ١٠/١٠. الاكل فريش و نضيف. الكوردون بلو حلو بس توقعت يكون احلي من الكلام عليه. كان ناشف شوية بسيطة و معجبنيش المشروم جواه...
62,Always teriyaki sauce is my 1st choice when available .. try it if you like ur food sweet
63,Great crisp and very good mozzarella
64,Delicious taste .. good quantity
65,The food is tasty and the service is excellent is americana plaza branch
66,Great quality and taste and the delivery is quite fast
67,"Quality food, always a great experience, every dish is filled with unique flavors."
68,بورتا دورو فرع امريكانا بلازا زايد - يوم الاثنين 1-1-2018 الساعه 1 الظهر. قولت اجرب من عندهم السي فود و سألته عندك ايه صيامى بصراحه كانوا محترمين و ذوق جدا من اول مدير الفرع لكل الستاف و قالولنا اى صنف سي فود ممكن نعمله صيامى عادى و فيه اصناف سي فود ...
69,"One of the best Italian restaurants in Egypt ,Tried their pizza and Cordon Bleu and both were tasty. Good portions and service. (Americana Plaza- Sheikh Zayed branch)"
70,مكان جميل و الاكل حلو جدا
71,I am in love with their fettuccini pasta with mushroom ❤❤
72,"I usually order pasta there. They have Good portion , nice atmosphere , friendly staff and above all very tasty plates"
73,الاكل طعمه حلو جداا فيه نكهة مختلفه عن المطاعم الايطالية التانية .. ممكن يكون اغلي شوية بس علشان الكمية حلوة .. و الخدمة كمان حلوة جدا تحس الناس متدربة كويس .. جربنا شوربة البصل و بيتزا المارجريتا و تشيكين كوردن بلو .. كانوا اجمد من بعض
74,انا اول مرة اجربه .. بجد مطعم جميل جدا .. من النطافة وديكور وقعدة حلوة ... والاكل بجد تحفة قوي
75,الأكل الإيطالي اللي عندهم غير أي أكل إيطالي كلته في حياتي حاجه كده خيال و إبداع مع بعض بس الدليفرى وحش اووي ومش بييجي في الوقت اللي بيحددوه
76,النجرسكو والكوردن بلو حلوين اووي ولازم تجربوهم بجد طعمهم خيال
77,Like the way they make the Pasta with cubes of chicken and freshly mushroom & the creamy sauce was amazing .. even the Appetizer mozzarella stick was fabulous
78,Like the way they make the Pasta with cubes of chicken and freshly mushroom & the creamy sauce was amazing .. even the Appetizer mozzarella stick was fabulous ????????????
79,الاكل كان حلو جدا الى ضايقنى بس لما طلبنا take away و مشينا خطوتين و نسينا، محدش جيه قلنا ولا حتى عبرونا مع انهم كانو مجهزينوا already و لما افتكرنا فى سعتها و رحنا نستلموا، الشنط كانت موجودة متجهزة، طب ليه مجبوهاش و احنا قاعدين او حتى لما مشينا ح...
80,احلي نجريسكو و كوردن بلو جربتهم في مصر و الكميات عندهم كبيرة جدا ولازم تكون جعان اوي عشان تقدر تخلصها ، الستاف محترمين جدا و المكان حلو و مستوي الكواليتي ثابت كل مرة
81,I loved the taste of the grilled juicy chicken ...the caesar salad was great ...the decoration is nice
82,Worset Italian food i have ever eat they made the pasta with cold cuts not true meat
83,The food quality is excellent! The pasta and lasagna tasted so fresh ..But very overpriced and the staff were rude Americana plaza branch
84,"Great taste, big portions, tried pasta and chicken tryaki plate, both met my expectations, will visit it again"
85,The best italian cuisine in Cairo. The quality and awesomeness of service makes one pay the big fat check happily
86,الاكل هناك غير صحى لان مستوى النظافه معدوووووم جوه المطبقه ونظافه الاطباق
87,"The food was amazing, it actually tasted italian and the place is so classic and clean, the only reason why im giving it 4 stars is because the service wasnt that good, it was hard to get any waiter to notice that you need something"
88,الاكل بتاعهم مش طبيعي .. حلو جدا. احسن فراخ بالصوص و البيتزا كويسة كمان .. الفكرة اولا ف السعر الغريب ده و ثانيا ان احنا اما روحنا لقينا محاسبنا كمان ع الكوفر (اللي هو الشوك و المعالق والاطباق) !!! طبعا احنا عملنا مشكلة و اعترضنا و من ساعتها ماروحناش
89,"I have tried american plaza branch , the service ,the quality &the atmosphere is very comfortable . You can feel your self at home really and the food is tasty ."
90,One of the best Italian restaurants in Egypt
91,اكتر حاجة بحبها فى ان احجام الاكل بجد كبيرة اوى
92,"the food was tasty and done to perfection, i loved the onion soup so much"
93,My favorite italian restaurant ❤️❤️ it's way better than cortigiano
94,The of the best Italian restaurants
95,The most delicious Italian food in 6 October city ???? service and staff are so professional ????
