,comment
0,وقت التوصل كتييييير اوى
1,الطعم مش افضل حاجة
2,🐷
3,الاكل بارد جدا و الطعم فى قمة السوء و توجد وجبه غير مسواه جيدا
4,that was amazing 👏
5,الحاجه مكنتش سخنه والطعم مكنش قوي الطحينة المرفقه مكنتش فريش لكن الكميه مناسبه
6,الأكل ساقع
7,i
8,عاملين عرض والتوصيل ب٤٥ جنية ، خمس دقائق فقط من المطعم للبيت .
9,good
10,الاكل كله مجلد و طعم سيئ و وصل متأخر عن ميعاده اكتر من ٤٠ دقيقة
11,الاكل بارد ومش فريش وحاجة تقرف
12,rice and sauce were not edible.
13,الكفتة مش حلوة الفراخ ممتازة
14,الاكل كان بارد جدااا تجربة سيئة
15,السندوتشات حجمها صغير للغاية غير مناسبة تماما . اسوأ تجربه من بريجو منذ فتره طويله و لن أقوم بتكرار الطلب منه مره اخرى
16,بس جي باااارد
17,منبسطتش بالتجربة الصراحة. صوص الماكسيكان حطوا بداله كاتشب و الرز قليل.
18,السندوتشات حلوة ونضيفة جداً بس في مشكلتين الاولانية ان سندوتش الفراخ كان مليان فلفل وبصل بزيادة اكتر من الفراخ والتانية ان السندوتشات غالية اوي علي حجمها الصراحة
19,الاكل مش حلو والرز بارد
20,للاسف الشيش كان فيه زفر
21,الاكل كان بارد مع انه مخدش وقت فالديلفري
22,الفراخ كانت زفرة جدا جدا للاسف
23,اسواء حاجه دوقتها فى حياتى الصوص الى على الرز يا ريت تلغوه اصلا غير كده تمام
24,الأكل كان بارد والبطاطس مجلدة
25,The portion was a bit small and left me still hungry
26,الاكل وحش جدا الفراخ زفرة و جاية بدمها و حاجة في منتهي القرف تجربة وحشة جدا وحتي التومية حمضانة
27,الفراخ فيها حتت زفره جدا
28,الاكل بارد اتاخر ساعتين اسوا خدمه
29,تحفه
30,١٠٠ ١٠٠
31,الاكل بارد والكواليتى سيئه للغايه
32,👍
33,الكمية قليلة جدًا
34,‘
35,Not cooked
36,كمية الأرز صغيرة جدا
37,أكل لذيذ ووقت التوصيل ممتاز
38,Great
39,Old and stale burger bread + wings were over-bunrt and fries cold and saggy
40,اتاخر جداا
41,الفراخ المشويه بجد تقرف
42,"We ordered through their hotline. Half of the order was missing. when we called back they refused to send the rest, nor to refund us !! SHOCKING"
43,الرز كان قليل والفراخ كانت عايزه تستوي اكتر
44,انا جالى سندوتش فراخ محروقة ، ندمت انى طلبته ومش هطلب تانى
45,الفرخه كانت باردة وطعمها سىء جدا
46,Ddcvvg
47,the sandwich came cold and taste wasn't as expected
48,سئ جدا جدا جدا الكل وصل بارد ولارز والفراخ سيئين للاسف
49,Y
50,الفراخ جت صغيره جدا غير كل مره
51,Kofta’s taste was not as expected
52,فالعادي الكل حلو جدآ، آخر اوردر رميتو فالزباله، الكل كان بايت لون الفراخ مش تمام
53,كفتة كان فيها دهن كتير
54,.
55,To7faaaaa
56,Everything was spilled in the bag sandwich was sogy
57,صراحة التوصيل والباكج كويسين بس الشيش كان مدهنن اوي
58,cocoacola bottle was open and half of it already spelled in the bag
59,الاكل كان بارد جدا
60,I did not receive the order as i cancelled it from the restaurant it self and the money didn’t return back
61,very late
62,احلي وجبة فراخ
63,"Very poor quality, delayed dilevery, not fresh."
64,سيء جداااا والسندوتش الفراخ مش مستويه
65,ان
66,الاكل اتاخر ووصل بارد والسندوتشات مالحة والعيش باش من طول مدة التسليم
67,Nice
68,وصلني ما لم أطلب
69,The order is 100% wrong and came tasteless and I need to call some one urgent
70,العيب الوحيد ان الاوردر بينأخر
71,و
72,للأسف الشديد معدتي تعبت جدًا بعد ما اكلت.. المفروض ان بريجو كان من انضف المحلات اللي بتقدم اكلات جريل نضيفة لكن مش هكرر التجربة تاني للأسف.. بالاضافة للسعر العالي ع الجودة والنضافة
73,الطيار اتأخر وكان عاوزنى اقابله فى شارع تانى عشان استلم منه ومدخلنى فى مشاكله الشخصية بشكل مستفز.. طول عمركم بتتعاملوا مع ناس محترمة، بلاش تنزلوا مستواكم بالناس دى.
74,offer
75,الفراخ غامقه
76,طلبت الاوردر وكتبلي إنه هييجي بعد ساعة، عدى ساعة واتصلت بالمطعم قالي الأوردر متضربش اصلا وإن الخطأ منهم هما مش من المينيوز وإني هضطر استنى ٤٥ قيقة كمان إهمال وعدم تركيز
77,no delivery
78,عدم وجود الطحينه
79,البرجر محروق ٢ ساندوتش و الطعم ليس جيدا
80,Thanks
81,ً
82,الاكل بارد وطمعه وحش جدا لاسف سيء للغايه تجربه بشعه وصل بعد ساعتين تقريبا
83,سئ جداً والكفته بارده ومالحه
84,الاكل جه بارد جداا و متاخر جداا
85,Food was cold
86,حلو
87,الأكل كان تمام بس الطيار اللى جاب الاوردر قبلها بيوم كذب وقال انه عمل حادثة وخلى واحد يتصل بيا يقول انهم نقلوه المستشفى. طبعاً مكانش متوقع ييجى على نفس العنوان يومين ورا بعض وشكله كان زى الزفت، ولما حبيت ابلغ الدعم الفنى محدش رد.
88,Bad
89,"Worst meal ever , the driver was the only good thing about this experience"
90,الاكل جالي بارد جدا و الشيش طلووق و الكفته مش مستويين و كلمت خدمه العملاء رفضو يرجعولي المبلغ
91,late order
92,taste wasn’t as usual and the bread wasn’t fresh and chicken was rough
93,very bad 😞 unfresh
94,الاكل بتاعكم بقا سئ جدا
95,Great quality and portions
96,Portions are so small comparing with price and other restaurants
97,الاكل كان طعمه مش حلو وبارد
98,Ss
99,It came with tomatoes even tho i asked for it without but ok
100,كمية الارز اللي مع الفرخة غير كافي
101,جالي بدل بطاطس اوريجنال بطاطس كراتشي ووقت توصيل سئ جدااااااااااا
102,تم حدوث مغص وإسهال
103,مش حلوه
104,الرز كان مش مستوي وفيه قطع فراخ محروقه ومفحمه، عيب جدا لما مطعم كبير كده ويطلع وجبه بايظه.
105,المفروض الطلب عباره عن فرخه كامله المرسل 3 ورك وواحد صدر
106,Too little portion
107,الرز مكنش مستوي وناشف جدا الكول سلو وحشه جدت منغير صوص ولا جزر واكنهم قطعو كرنب وحطوه منغير اي إضافات دا غير ان الاوردر جالي بعد ساعتين تجربة سيئة
