,comment
0,ممتاز
1,الطعم سئ جدا
2,Delayed order
3,Absolutely horrendous! The meat was tasted like plastic and dumplings fillings tasted acidic! Overall disgusting! Waste of money!!
4,الاوردر اتاخر جدااااااا
5,They are always the only restaurant delivering who never have to call me to find out where I am. They follow the instructions and bring the food right to my door. And the food is top tier always.
6,i got food poisoning
7,الاوردر طالع من المطعم متأخر نص ساعة
8,order not delivered.. very very very bad service
9,التوصيل وحش جدا جدا حرام لما الحاجه توصل بعد اكتر من ساعتين
10,sd bss
11,مقرف
12,الاكل جميل تسلم ايديكم.. لكن كان فيه ملحوظة انه يكون بدون خضار ومحصلش
13,"food was good , however seafood wasn't the best ,very little components in chicken mushroom soup .. literally 3 or 4 small pieces of chicken cubes and 3 pieces of mushbut all other was good , and the order took half the time to be made and delivered"
14,"The delivery guy was amazing , on time , and the food was beautiful ."
15,there was very less chicken in the soup
16,the delivary is a bit late
17,غير محترم و بيزعق و طلبت يستني اراجع الطلب نزل وبيقول ده مش مسؤليته لو عند حاجه اراجع المطعم
18,دوما في نقص في الطلب اذا المطعم فيه شي يستحق التقدير فهو الشخص الي بيطبخ الاكل فقط الباقي اهمال
19,اربع مشرومات بالعدد ب١٤٠ جنيه. مش فاهم ليه. يكونش ترافلز مثلا مش مشروم عادي؟ بجد هزار بايخ
20,بجد حاجه مستفزة انا طلبت الاوردر الساعة ١:٤٩ دقيقة جالي الاوردر الساعة ٣:٣٩ وكلمت المطعم محلش المشكلة خالص والاوردر بردو جيه متأخر
21,بأمانة والله أكل مصرى عامل فيها هندى والصوصات متخففة بمياة جامد أوى ، حتى صوص الثاوساند أيلاند حاطين فلفل أحمر كأنه زى البافلو صوص بالضبط ، طلبنا حاجات مختلفة وكان طموحاتنا عالى بس قفلنا انا وقريبى من أى أكل يومين كاملين
22,"Chicken Chinese noodles with the provided two sauces tasted amazing, but there was too little chicken in it."
23,وصل خبز النان محروق المفروض لما يتحرق الأكل تحتفظوا فيه مش تتخلصوا منه للعملاء 😑
24,good
25,الاوردر لسه موصلش لحد دلوقتي
26,food didn't come
27,الاكل الهندي اللي طلبته اكتر من رائع
28,the portions are not great for the price
29,👍
30,زيييييي الزفت و الاوردر مجاش و دليفيري قليل الذوق و مطعم قليل الذوق
31,اكل مليان ملح بطريقه لا تطاق
32,little
33,I ordered large but I got the same size as medium????
34,i didn't recive the order
35,جميل
36,portions were a bit small for the price + butter chicken didn't have enough indian spices it tasted mostly like the tomato sauce but overall it was just decent + the food wasn't hot enough.
37,chupsticks was not icluded
38,"drive attitude great 👍, food very good thanks you red elephant to give indian taste in egypt."
39,roti not upto ok as usual indian style
40,taste of India its really 👌 nice
41,it's tasty like indian
42,مطعم زبالة ... طلبت الأكل وما وصلنيش لمدة ٣ ساعات كاملين ... والطيار بتاعهم كان مبرشم وآخر قلة أدب ف الدنيا
43,"Very small portuons compared to the price, food was bland and tasteless, chicken tasted like those cheap nuggets u would get at the super market, noodles were extremely oily, dumplings had an aweful rustic after taste. Would not recommend"
44,مطعم تحفه ب صراحه و انصح ب السوين اند ساور و النودلز ب الخضار الاتنين تحفه و اتفاجئت ب ان طعمهم حلو جدا
45,الدجاج حالي بزيادة و المعكرونة بدها شوي بهار كمان المرة الماضية الي طلبت فيها كانت احلا
46,مستوى عادي يعني مش حاجه حلوة اوي زي مالاسعار بتحسسك
47,النودلز جميله جدا وسخنه واحلي حاجه الخضار كان طازه
48,قمه قله الذوق
49,اقل من عادي ماتوقع بطلب مره ثانيه والكمية قليييييله
50,Found hair in fooooooooood 🥲🥲🥲🥲🥲🥲………………………………………
51,I found plastic and hair in food 🤢
52,Indian testing and high quality thanks red elephant
53,كانت اول تجربه ومش الاخيره بجد اول مره اجربه وعجبني
54,وصلني الطلب الخطا و طعمه مش حلو ابدا و في فرق بالسعر مش حاطلب مرة تانيه
55,Very bad
56,طلبت مرة و عجبنى اوى و دى التانية و مبسوطة جدا و هطاب تانى كتيير
57,It used to be my favorite Indian restaurant in Egypt but the quality has noticeably dropped. I hope they return back on track before it’s too late.
58,the noodles was very bad and it didn't have any chicken on it
59,التجربه عجبتني جدااا شكرا الاكل الهندي تحفه بجد
60,افضل مطعم اسيوي الاكل الهندي عندهم حاجه ممتازه والنودلز الصيني كانت تحربه حلواه جدا
61,"food was delicious and tasty. delivery fast,good prices compared Quantity"
62,the noodles were really salty today . usually it is really good . bit today was really salty.
63,The rice was not fresh it’s day old rice Everything was tasteless
64,Too spicy
65,Weh4.
66,الشوربة وحشة جدا ملهاش طعم ومفيهاش فراخ غير كام قطعة صغيرين جدا. النودلز محتاجة يبقى ليها طعم أكتر من كدا وقطع الفراخ كانت قليلة. very bad experience!
67,The food tasted wonderful. portions small for the prices.
68,"Very disappointed! Chicken was bland, not even warm! It was totally not worth it! Restaurant was so good at the beginning, now everything is a mess! Indians restaurant and I got ketchup with chutney!?"
69,"the food was really cold and like it is some left overs i receieved the order after more than 2 hours and 3 calls with restaurant and 1 chat with the menus even the drink was super hot and i threw the food in the trash and couldn""t eat it"
