,comment
0,"Food was so good and arrived hot. Just the noodles were over cooked, but tasted really good."
1,Very delicious food
2,"I had a very disappointing experience at the Zamalek branch. Despite clearly mentioning my allergy to mushrooms, almost everything brought to the table contained mushrooms. This shows a serious lack of attention and care, especially when it comes to ..."
3,Portions need to be more
4,Terrible and tasteless !
5,"Had the pud Thai (pad Thai) was super salty and seemed it was the last leftover food at the bottom of the pot. I couldn’t even it more than a couple bits. On the other hand I also had the BBQ dumplings. Kids didn’t like it, but I thought it was pre..."
6,"The portions were better than the last time I ordered, however it took a really long time for the food to arrive. Driver was decent. The food tastes freshly made and is absolutely delicious! Overall a pleasant experience."
7,Bui loi tastebmust upgrade. Not like 1 time iam try
8,My order came with a missing item and I had to reorder it and deal with a very substandard handling of my complaint from elmenus representative
9,missing item and haven’t received my refund yet
10,it was excellent. do it again
11,Great
12,Ordered su khee delivery came really hot. Great portion and good amount of meat
13,Order came really hot! I ordered a soup amd it didn’t spill at all
14,أنا فعلا بحب طعمه والكمية مناسبة جدا
15,الاكل تحفة وسخن 👍🏻
16,Missing the mango
17,Portions are not consistent. One time it’s perfect the other times it’s half the portion! The shrimp green curry with eggplant did not have 1 piece of eggplant in it. It was shrimp with bell peppers and few pieces of carrot. Taste is great but you ne...
18,it's a poor life choice nothing taste good 😤
19,"Stringy, frozen seafood in the soup. Inedible. Also received the wrong kind of dumplings + chicken spring rolls for my vegetarian ones!"
20,Basically sweet cream bundle is bun with custard inside. The taste doesn’t work..
21,Meat is chewy
22,"We used to love Sabai Sabai, but the quality has definitely gone down. The curries lacked flavour, and the consistency was like a thin soup. It tasted like cafeteria food. The containers were also only filled half way, whereas before they would be fu..."
23,"Food is Amazing. Though, Delivery was awful and the guy got lost and the soup spilled inside of the Bag."
24,The rice wraps wasn't wrapped very well. They were too loose & the ingredients were falling out.
25,very expensive with very small portions taste good but not the best
26,A little less oil in chicken and soup a little thicker other than this great food flavors
27,"Seriously the first time to find some real Thai food in Egypt, Reminds of the real taste of delicious food in Bangkok and Phuket"
28,"Arrived 2 hours and a half late, cold tasteless. Price is not worth the quality"
29,"Made the order at 6, it arrived after 8:30. The order took way too much time to be prepared and was transferred from one delivery guy to another. Cold tasteless and nor fresh. Quantity and quality are unfortunately not worth the price payed."
30,Worst order ever Me and friend got sick after the meal We throw the food Please close
31,AMAZING
32,Amazing but a bit expensive
33,very bad experience
34,vegetable dim sum tasted so so bad. not worth the money
35,Very salty
36,I ordered beef noodles and almost no beef
37,It’s actually a fraud as it’s not a whole snapper fish but rather tasteless frozen white fish. Never again. Awful… Please remove this restaurant from the app.
38,"we paid 400 for a small portion, bad packaging, and suggy food (dumplings)... the fish was not fresh too this food is not fit for delivery since I like the food at the restaurant and never had problems."
39,يعني ايه ابقي دافع 270 جنية واللي هو المفروض الاوردر كان ب 300 كمان علي طبقين صغيرين واحد شوية قطع لحمة وال تاني شوية فراخ ب حبة خضار صغيرين. دول يعني حتي مش مكلفين نفسهم وحاطين نودلز. حاجة زي الزفت والمفروض بعد كل ده اتوقع حاجة خياليه لا خالص زفت
40,Too expensive :/
41,Very bad food to be honest. Didn't expect this from Sabai Sabai... Almost like a five year old cooked our meals.
42,"Very disappointed, I will never make an order from unknown restaurants in menues again, I totally regret paying single Egyptian pound in this meal, also I spoiled a whole 100 EGP voucher"
43,Absolutely awful. App crashes when I add a picture but the rice came as a slab stuck together. Food was so tasteless and the quality is shocking
44,soup was tasteless and noodles smelled and tasted off!
45,the food was not good from zamalek branch different from city stars branch
46,delicious food 😋
47,"Disappointing food for the first time, from this restaurant. I'm normally a fan, spending around 3,000 a week between the Zamalek and City Stars brqnches. Most of the food containers were less than half full and the quality was old and not great."
48,Great food but super spicy … needs to have mild or no spicy
49,"Food was so good , Thank you Sabai Sabai"
50,they never let me down
51,"Most of the food was authenic and delicious...the pad thai didn't have peanuts and the vegetable dishes were too sweet. Portions were a little small for the price, in two cases, less than half filling the containers. These are small quibbles though."
52,Great Thai food !
53,استمروا كدة
54,Amazing first time in Egypt to find proper Asian restaurant
55,"Food is pretty good, but portions could be bigger."
56,for the price meals should come with rice and sweet and shoot was very bland and soggy
57,"amazing, fresh and tasty! great stuff!!"
58,found 2 times my meal inside have steel. that kind of steel usually for washing the plate or frying pan.
59,you forgotten to give me spoon and fork
60,Didn’t deliver my complete order and is too expensive if I’m honest
61,The food was late and came very cold
62,too much chicken and almost no vegtables
63,Food was good. It was warm when I received.
64,Please make sure the soup is sealed tight.
65,"it tasted really bad, i ordered the pad thai, which was inedible, the lemongrass soup tasted microwaved and the spring rolls just tasted like nothing. very sad i was very excited"
66,They send me a chicken instead of shrimps.
67,Delish!
68,thank you that you had changed ur delivery agency and finally u can reach on time
69,We have ordered delivery several times and it is always hot and delicious. We love the Thai curries (especially panag and green curry) and fresh Vietnamese spring rolls.
70,Everything was awesome except the sweet and sour which seemed microwaved
71,i want to thank the chief and the whole team for the delicious food and awesome taste really thank you for always delivering me that tasty dinners
72,"Terrible value for money..food is ok, quantities keep getting smaller and price increases. schrimp curry literally had 4 shrimps in it. For the prices you are charging we should be getting at least the same quantities."
73,"The food was delicious, highly recommend"
