,comment
0,الاوردر المرة دي وحش جدا اولا اخد اكتر من ساعتين لحد ما وصلي والأكل جاي بارد ومش معاه غير رغيفين اتنين بس
1,نسبة الدهن أكثر من 50 فى المية
2,الطعم مكنش احسن حاجه ومش نفس الجوده بتاعة زمان
3,الاكل متاخر ساعتين الاكل جاى بارد كل حاجة سيءة
4,الاكل جاي مالح جدا الفرخة و الملوخية عليهم كمية ملح مش طبيعية
5,اكل محروق وحادق وبارد وجاي متأخر جداا
6,ممتاز واللحمه دايبه
7,أسواء مطعم من حيث الانتظار ٣ ساعات وانا جنب المطعم
8,جيدة
9,كان ناقص مشكل محشي في الاوردر الاكل كان بارد
10,رائع لذيذ جدا
11,كنت طالب ورقة كبدة جت ورقت لحمة
12,البطاطس كلها زيت وبايته. متسخنة اكتر من مرة مجلدة الملوخية خفيفة جدا ومطحونة جداا زى الملوخية الناشفة ودى اول مرة يجي اوردر من صبحي كابر بالسوء دا كمية سمنه ف الطبق ومغرقاه وانا طالبة فراخ مشوية ع الفحم فمش منطقي خالص كمية السمنه والدهون دى
13,طلبت طاجن لحمه بالبصل جالى دهون بالبصل قطع دهن كبيره اقسم بالله أقذر معامله والأوردر جه بعد انتظار ساعتين ونصف وبكلهم اتصال خدمه العملاء بتقولى ابعت وتس ابعتلهم وتس يردوا بعد ساعه ومحلوش حاجه أقفلوا احسن مكان زباله
14,طلبت كفته و طرب و كبده و فراخ و مكرونه .. اقسم بالله الاكل اترمى من بشاعته منصحش حد ابدا ياكل عندهم بعيدا ان الاكل وصل بعد ساعتين و نص و متلج ، انا مش مسامح و خصوصا انى مكنتش كلت بقالى فتره و كنت مستعد اكل اى حاحه بس ده بشع و اترمى ،، اتمنى تحطوا رب...
15,Excellent
16,الفراخ مش مستوية كويس وعادمة
17,اوردر نص فرخه فيه جناحين و قطع صغيرة متكملش ربع فرخة حتى
18,والله مهما ااقول عليه مش هاكفي حق المطعم ده بجد احلي مكان بطلب منه الاكل طعمه تحفه والكميه مشبعه والتغليف ممتاز والسلطات والعيش كل حاجه فريش ومظبوطه انا فخور ان مكان في مصر بالجوده دي شكرا لكل واحد بيساهم في المطعم ده هو بيتأخر بس يستاهل الانتظار
19,وردير يجي في سعتين و نص ليه والاكل وحش ومن كول سنتر ردود خره
20,الفراخ المشوية بارده. جدا رغم ان المكرونه وصلت ساخنه . النغليف سئ جدا و كيس الاكل كان بينقط و شكله مقرف
21,الأكل مش حلو و جه بارد جدا
22,لم يحضر اى سلطات ..ولا اى طحينة ؟؟؟ دليفرى خايب
23,وصل بسرعه الصراحه كنت فاكره هياخد وقت اكتر من كدا
24,البانيه قطع مش مستوية ومجلدة
25,المطعم فضل ساعتين ونص عشان يوصل لي طلب!
26,التوصيل بياخد مده كبيره
27,الاكل وصل بارد جدا
28,الاكل ممتاز وكتير وطازج
29,الاكل كان اسبايسى جدا
30,وقت التوصيل اتغير اوتوماتيك من ساعه لساعتين بعد الطلب
31,الكبدة قليلة i didn't like it
32,الاكل مكنش حلو
33,حتى الآن الاوردر موصلش
34,وىق عنب بالكوارع الكوارع مش متنظفه كويس
35,الاكل وصل بارد بعد اكتر من ساعتين واترمي ف الاخر
36,الحاجة وصلت بعد ٣ ساعات وباردة جدا
37,فتة كوارع مخليه: قطع سيئه + بدون شوربه
38,الفراخ مش طازه وبعض القطع ناشفه جدا وفي قطع فيها دم عند العظم
39,بجد خسارة كنتم ماشيين كويس بس المرة ديه حاجه فى منتهى الوحاشة طالب اسكالوب بانيه وصلى فراخ بانيه و ياريتها حلوة كانت وحشة و كمية تضحك تقريبا اخر مرة اعمل اوردر للأسف
40,This is not even Sobhy Kaber its El Akaber
41,Beef was hard
42,الأوردر لم يصل حتي الآن بعد تأخير أكثر من ساعه ونصف
43,كانت متسخنه في صلصة
44,الاكل مش قد كده
45,كلّ الأصناف اللي طلبتها غير جيده لا طعم لا شكل
46,2 hrs and half to get the order so bad
47,طلبت طبق عدنان المفروض 4 قطع ضلوع جالي 3 قطع فقط و نسبة الدهن كبيرة جدا
48,الاوردر قعد اكثر من 3 ساعات وكل الي طالبه حواوشي ما براعو ابدا ظروف الشخص و التزاماته وكل ما اكلمهم يحكولي الاوردر خرج والدلفري ما تعب نفسه حتى يكلمني يحكيلي هو وصل فين اصلا
49,اتأخر جدا والأكل نص ونص
50,الفراخ كانت محروقه والطيار مرضاش يطلع الاوردر
51,ميعرفش العنوان المفروض انه علي الابليكيشن أنا مش عار ف أوصل !!! طريقته فى الكلام سيئة جدا
52,الاكل مش مستوي
53,الفراخ مش مستوية خالص والأكل جه بعد ساعتين تجربة سيئة جدا
54,awesome
55,اتمنى الطلب يوصل اكثر سرعه بقدر المستطاع
56,👍
57,الاكل جالي بعد ساعتين ودة كان اول اوردر من التطبيق .. حقيقي مستاء
58,الاوردر ناقص للاسف
59,الطلب ارسلته الساعة ٩ وجالى ١٢. للاسف مدة مش منطقية وحاجة فعلا تزعل من مطعم كبير. بشكر خدمة العملاء على الدعم واتمنى يكون فيه معاملة افضل لما يتم الطلب من المنيوز
60,الاكل ممتاز و التغليف كويس جدا رغم انه جي مسافة كبيرة تجربة كويسة وممكن اكررها
61,اللحمة كانت عايزة تستوي اكتر كانت بتشد شوية
62,الطيار طلب مبلغ 50جنية مع انى دافع الاوردر عن طريقكم اون لاين ولكنه رفض تسليم الاوردر الا بعد دفع 50 جنيه وقمت بعمل شكوى لديكم دون جدوي
63,شوربة الكوارع فيها شعر انسان وشعر حيوان مش متنظفة كويس كلها شعر صغير منظر بشع ومشمئز جداً
64,اسوء قرار اخذته فى حياتي
65,الفراخ المشويه كانت محروقه وطعمها مُر وورقة الكبده الكبده كلها عليها طبقه خارجيه بتتشال قبل التسويه السلطات كانت افضل شىء 😥😥😥
66,الطعام وصل بارد لعدم وضعه فى كيس حرارى يحافظ على درجة حرارة الطعام
67,الاكل حلو جدآ لكن الريسيت جاي غير اللي اتحاسبت عليه في التطبيق جاي زيادة عشرة جنيه
68,I didn't receive my order yet
69,الفراخ محتاجه تسويه زيادة
70,Very bad taste
71,جوده سيئه جدا وكميه غير مناسبه للأسعار خالص المبالغ فيها
72,مطعم مقرف َ تطبيق مقرف و قلة ادب
73,أكل سئ و خدمه اسوء
74,ممتاز
75,الجوده سيءه جدا وتأخير الاوردر
76,جميل لكن الكباب اللحمة بتشد شوية
77,الاكل بارد
78,الكفته سيئة جدا
79,السلطات جالي علبتين مليان ربعهم بس غير كل مره الطلب اتأخر جدا الاكل جالي بعد ساعتين وكان بارد
80,مطعم مبيحترمش العملاء والاكل زفت بصراحة
81,المطعم بقا خدمته سيئه ... لكن الدليڤري شخص كويس و محترم جدا الاكل اقل من الطبيعي .... الفرخه خجمها مش زي الاول طول عمري عميله مع صبحي كابر ... وحشه و زفره
82,كان فى شعر فى الاكل
83,الحاجة ماوصلتش لسه ومتأخرة نص ساعة والمندوب عمل إن الأوردر اتسلم ولحد دلوقتي مافيش حاجه وصلت إيه التهريج دا
84,الاكل ممتاز ماعدا النيفة طلب ممتاز ودهن قليل والطلب التانى كلة للأسف دهن وعصب وقطعة صغيرة لحم
85,ممتاز جدا ربنا يوفقهم
86,جالى كلتة بدل طرب .. الملوخية لتانى مرة طعمها غريب جدا ورمتها رغم انى باكلها من سنين من المطعم
87,الكفته تخينه و مش مستويه من جوه
88,الاوردر موصلش
89,ياريت بس مده التوصيل تبقي اقل من ساعتين
90,جالى طاجن لحمه بالبصل متفحم ده ميرضيش ربنا
91,Very bad
92,Very late more than 2 hours and still didn’t show up
93,ساعتين وربع
94,الاكل كان جاى متأخر اوى وبارد جدا
95,حلو اوي بس البيت كلاوي فيها عضم زي الريش بالظبط
96,الأكل غير ناضج. حرام عليكم التمن اللي اندفع الفرخة لسه الدم موجود فيها. أنصح بعدم الشراء لتلك الوجبات مرة أخرى. التوصيل متأخر جدا
97,الاسكلوب بايظ واترمي في الزباله
98,جميل جدا تحفة بجد دلوقتي افضل من قبل كدة بكتير بس استمروا في العروض
99,Cold and spicy
100,.
