,comment
0,طعم اللحمه مش حلو خالص كأنه همبرجر مصنع
1,Elpasta mo2reffffa
2,Easily one of the worst burgers I’ve ever ate and trust me broski I ate a lot of burgers. The burger tastes like pure salt the meat taste like salt the onion rings taste like salt everything tastes like salt absolutely no flavor the onions are not ca...
3,👍🏻
4,البطاطس مش حلوة ناشفة
5,البرجر تعبان خالص للاسف
6,Very bad
7,meat tasted like plastic
8,The burger had a great taste and size. It arrived very quickly as well. Won't be the last time I order.
9,لحمه مش حلوه خالص بطاطس جبنه وحشه جدا
10,saggy food ew
11,order arrived not as mentioned and the burger is not well cooked !!!
12,Really bad french fries
13,"Burger was great but the fries were cold, not cooked at all, and tasteless! Threw them away"
14,perfect
15,Mysterious burger is amazing and with cheese fries It was great
