,comment
0,I was given a wrong sauce with the chicken strips i was given a type of tomato sauce that resembles ketchup when the one i ordered is far from that
1,المكرونه عجين حاحع تقرف بجد حسبي الله ونعم الوكيل
2,المكرونة بالبيستو كانت وحشة جدا
3,Sandwich was so bad
4,السندوتش وحش جدا مفيش طعم للبانيه واللحمة فيه قليله
5,المكرونه طعمها يقرف وعجين وحشه جدا المطعم بقي يقرف دي تاني مره الاكل يجي وحش والصوص يقرف
6,الأكل جابلي نزلة معوية
7,Chicken wasn’t cooked well
8,اللحمة نية
9,ال strawberry cheesecake طعمها وحش جدااااااااااااا و صوص الفراوله أسوء حاجة فيه، طعم الصوص زي البلاستيك خسارة فيها الفلوس، منصحش حد يشتريها
10,Half of the chicken veggie was spilled out The Tomato Soup was too spicy
11,"The food in the picture is totally different from what I got. I received regular fish fillet, not salmon at all."
12,the food is really good but arrived late
13,مطعمي المفضل.. ناس ذوق و اكل تحفة و توصيل سريع و معاملة جميلة
14,مطعم عرة وزباله ومش هجيب منهم حاجة تاني عشان حرامية
15,للأسف الفراخ كان فيها رائحة ظفارة مع ان المفروض ان ده أشهر طبق عندهم، لن اكرر تجربة طلب هذا الطبق مرة أخرى
16,"The chicken pieces were very small, and the taste was very ordinary and plain, not the rich taste with special seasoning Spectra used to serve at all. Also the white rice was dry."
17,الحمة كانت بتشد و صعبة الندغ
18,السعر في الابليكيشن غير اللي في الفاتورة
19,اللحمة ناشفة جدا وساقعة
20,الاكل طعمه جميل بس الكميات اللى بتيجى فى الدليفرى قليله فى المطعم الكميات بتكون اكتر خاصة السلطات
21,chicken seems not dipped in seasonings.
22,They sent me one order and I ordered and paid for 3 of the same plate
23,الاكل بارد
24,الاكل معظمه بايت وحمضان للاسف اخر تعامل مع مطعم سبكترا سواء دليفري أو محل
25,انا دافع ٤٠٠ جنية في اوردر عشان يجيلي فراخ مقلية متسخنة ومحروقة والجبنة لازقة في الطبق سبانخ بايظة أو بايتة الله اعلم عيش بايت بطاطس كروكيه برضو بايته انا مش فاهم ايه القرف ده لو في اقل من النجمة تتحط كنت حطيت
26,onion rings is not well
27,للاسف طلبت من شويه والديزيت مكنش جاي ليها شوكه وكانت محطوطه ف سلوفان بتاع الاكل والكيك باظت وحاجه سيئه وال mango yogurt كان ناقص سكر وبجد حاجه وحشه اوي وكنت طالباه لحد ك هديه
28,اسوأ تيراميسو عباره عن كيكه و عليها شيكولاته بالقهوه بس كده مالهاش علاقه بالتيراميسو و ما ينفعش يبقى اسمها تيراميسو اصلا و تقيله جدا
29,I was wondering how brand like spectra provide me with bad taste.
30,المفروض العرض كانترى تشيكن جه بانيه والمكرونة بدون طعم
31,لذيذ ومشبع وسعره مناسب
32,السلمون غير مستوي و بالجلد و اللزانيا غير مستويه و الصوص جبنه حامضض
33,حجم التارت مش زي الصوره اصغر
34,burger was top tier as usual. food arrived faster than estimated. the delivery followed the instructions without phone calls. apple pie was way too sugary and the syrup was too much I couldn't finish my slice. spectra is most generous with portions.
35,العيش كان مش طازه خالص والاكل مقارنه بالسعر غالي اووى
36,🤍
37,"the ice latte was beyond bad there was no ice half the cup was empty. There was a taste of coffee powder in the button. If the cup makes me feel that it is not an espresso shot, it feels more like Turkish coffee"
38,Their customer service are beyond satisfying.
39,العصير كان كارف رائحة من الاسترتش البلاستيك
40,الاكل فوق الممتاز كالعادة ولكن التاكو كان محتاج التورتيلا تبقى محمصة ومحتاج فواصل
41,delicious as ever
42,كنت بحب المطعم جدا لسنين لكن للأسف الريب اي (قطعة اللحم)كانت دون مستوى المطعم كما كنت اعرفه للاسف
43,Tasted disgusting like dish water i threw all the food away absolutely disgusting
