,comment
0,الساندويش وصل متأخر وبارد مثلج كأنه معمول من فتره وطعمه سئ جدا آخر مره هاطلب من المطعم وماانصحش اي حد بيه
1,veggie sandwich came all wrong and not toasted and no cheese and no instructions at all were followed
2,super slow delivery. good sandwich!
3,الساندويتشات مكنتش حلوه خالص التشيكن سبايسي وده مش مكتوب والبيف في جلد وطعمه لاذع او خل
4,I got abdominal pain one hour after I ate it!!!
5,my order didn't arrive
6,يا جماعه والله تحفه الساندوتش و السلطه اجمل بجد شكرا من قلبي بس قعدتوا يمكن ساعه و اكتر عقبال ما الاوردر يجيي بس مسامحه عشان الاكل كان رايق.
7,worst meal bad quality and portion
8,السلطة اتأخرت ساعتين و الطلب جه ناقص في الاخر
9,fresh ingredients and full sandeich this time! love it
10,اولا الساندوتش اللي انا طلبته ما جاش زي ما انا عايزه انت قلته فراخ ده مش فراخ ده لانشون
11,the dressing and side toppings was much more than the main toppings
12,It’s a scam. Worst order ever!!! I even ordered extra roast beef and all I was eating was just vegetables. I threw it away
13,الاورد وصل ناقص و متأخر ساعة و انتظرنا تاني لغاية ما المحل بعت باقي الاوردر
14,المطعم يضع صور ومواصفات للوجبات غير حقيقية بالمرة،ويصل الاوردر بارد جداااا ودون المستوي وغير ما تم وصفه بالمرة، وعندما ترفع شكوي للتطبيق تجد ان التطبيق يرمي اللوم علي المطعم والمطعم يرمي اللوم علي التطبيق وعندما ترسل صور موثقة للوجيه اللي تصلك يرد ال...
15,المطعم ضع صور ومواصفات للوجبات غير حقيقية بالمرة،ويصل الاوردر بارد جداااا ودون المستوي وغير ما تم وصفه بالمرة، وعندما ترفع شكوي للتطبيق تجد ان التطبيق يرمي اللوم علي المطعم والمطعم يرمي اللوم علي التطبيق وعندما ترسل صور موثقة للوجيه اللي تصلك يرد الم...
16,blank sandwich!!
17,كل حاجة كويسة جدا الا الفراخ سيئة جدا جدا
18,.
19,الاكل جه متأخر جدا و مكانش سخن و العيش كان ناشف
20,2 Diet Pepsi Only one is arrived
21,the cola is missing!!!
22,حجم الساندوتش كان صغير جدا ، الفراخ الي جت كانت بايته
23,Took almost 2 hrs to get delivered. Sandwiches were barely filled with ingredients. Wouldn’t try it again.
24,The worst crispy chicken and the worst vegetables and bread I have ever eaten in my life. A terrible experience beyond compare and an experience that will not be repeated.
25,الدجاج ناشف جداً ويابس ، بقاله فتره طويله جاهز وغير فرش ، للاسف تجربة غير موفقه من صب واي
26,Al sandwiche so so small
27,Small size
28,حاجة روعة بجد والله
29,"The sandwich portion is so small, ingredients was not fresh , The taste was so sugary and sweet ! And the chicken portion was so small and not fresh ! Very bad experience!"
30,The chicken was horrible.
31,late and cold
32,I ordered a BMT received Tuna
33,Very bad
34,ignore my instructions the order is not correct
35,الاوردر اتأخر والاكل كله غلط وعاكس المكونات بتاعت السندوتشات و حاجة تقرف اقسم ب الله اسوء اوردر
36,too much mustard and I said none every time
37,the order was missing items and it came late. also the sandwich was half filled which is disappointing and not worth the price
38,wrong bread and missing ingredients
39,الساندوتش كان ناشف والفراخ مجلدة زى ما يكون الساندوتش قديم ومتسخن مش طازة
40,"Bread was ordered sesame one another one received without sesame, extremely late delivery, nonsense Bot replies ( asking me to call the restaurant) if I’m going to call the restaurant then why I’m using The Menues to order ???, & to reach someone it’..."
41,"Very good sandwich, & a good sandwich menu, & it's good that we can make our own sandwiches & choose tasty & healthy salads & ingredients."
42,Bread is not that fresh
43,No filling in the sandwich it’s all salad with bread
44,Taste was very very bad
45,Bread was not fresh
46,سئ جدا جدا جدا لأقصى حد الفراخ مجمدة وملهاش طعم وناشفه بشكل غريب قرف بجد
47,قيمة مقابل سعر زفت طعم زفتين
48,تأخر والأكل وصل بارد
49,Very bad sandwich! السندويتش والطماطم بايظين
50,did not follow ANY of my instructions and not the ingredients not the sauces. horrible.
51,الطيار اتأخر وكان بيوصل اوردر تاني
52,"Super late delivery, driver tried to take extra delivery funds arguing that restaurant & El Menus have 2 separate delivery expenses??? Sandwiches were not named/marked, so had to rip em open to know which was which… Taste was lower than expected fr..."
53,"Salad ingredients weren’t the same as I have ordered, chicken pané in the salad was awful!"
54,السندوتش كلة خضار جميل من غير تونة أنا طلبت تونة مع خضار مش العكس
55,العيش بايت و ناشف
56,الطعم سئ جدا والاكل مش فريش ومعمول اي كلام
57,العيش بايت و مفرول مقطع ، الفراخ وحشة ولونها غريب انا مصورو
58,tastes very bad and wasn't hot .doesn't recommend it at all
59,Bread was burnt and the sandwich was awful
60,Very bad last time to order from there chicken is cold and tasteless and bread is old very bad
61,"It is not chicken planet , it is nuggets instead , the taste was not good , very bad the small sandwich. Very bad order!!!"
62,زى القرف
63,وحش جدااااااا وجعلي بطني اول و اخر مرة و مارشحوش لحد ابدا
64,الاوردر جالى بوكس سبايسى ومش كاتبين سبايسى وانا مريضه ممنوعه منه وعاوزاه اوريجنال ف الاكل اترمى
65,من اسؤ المطاعم
66,so i paid 460 egp for this????? no sauces badquality first time and the last
67,السلطه حكايه و فريش اخر حاجه😍 فتحتوا نفسي اعمل دايت
68,roast beef is 10/10
69,الساندوتش جي نصه بس
70,الاوردر جاي نص ساعة متاخر و بايت و حاجة هم
71,The crunchy chicken sandwich is very bad horrible
72,it was a salad sandwich nothing more
73,I got regular cola instead of diet one 😡
74,لم يتم اضافة مشروم للطلب
75,order came very late and i didn’t ask for olives to be out in the sandwich and bread is not good
76,Missing Pepsi however it was combo
77,The quality of the chicken is not good and the portion is very small
78,The food is very delicious and tasty
79,The order was 2 hours late and arrived cold
80,البانيه بتاع السوبر ماركت التركي طلع لانشون
81,وحش اوي من الخبز والدجاج
82,الاكل جاى ساقع و ناقص العيش
83,Super small portions There is no quality whatsoever vs the cost
84,ساندوتش مقسوم نصين وغير كافي بالمره و مش قيمه مقابل سعر و الاكل بارد ولا يقدر بهذا الثمن تمام تجربه سيئه واخر تعامل بنا شكرا
85,الاوردر اتأخر كتير و كمان الأكل مكنش حلو و تعبت بسببه و جالي مغص و اسهال
86,small
87,the sandwiches were very cold and ingredients are bad 👎 😕
88,الاوردر حلو جدا.. بس بيوصل بارد جدا
89,sandwich very small..and i have no idea why to send Coca-Cola zero suger
90,ساندوتش صغير جداااا و75% من حشوه عبارة عن سلطة
91,اكلهم سيئ جدا جدا جدا
92,الاكل بارد العيش بايت وناشف الدجاج طعمه سيء وساقع ومش فريش اطلاقا السندوتش صغير مع انه مش رخيص اخر مرة اطلب من المكان
93,Not how i wanted
94,الاكل جي وحش اوي اوي الاوردر جاي محطوط اي قرف في الساندويتش و خلاص و مش عارف يملي الساندويتش بي ايه و الفراخ ناشفه جدا جدا
95,Veryy bad delivery man
96,"amazing quality, but small portions and expensive. I recommend subway melt."
97,Not big but fresh and clean
98,Not the same portions
99,Very small and cold
100,لا يوجد طعم
101,بحالات يوم الquality كويسة و الحشو كتير و يوم زي النهاردة مافيش حشو تقريبا الفراخ محروقة و العيش و بايت و ناشف و طعمه عامل زي البقسماط
