,comment
0,Didnt even come
1,الاوردر اتأخر جدا والاكل باااارد
2,الاوردر وصل ناقص المفروض العرض ١٠ قطع وصل ٩ والبطاطس ١٠ قطع بس وده اكيد مش الاوردر
3,Not as usual
4,الاكل زي الخرا سندوتش شاورما صغير خالص و قال وسط و حتي الساندوتش مش متغلف كويس
5,اسوأ شاورما لحمه ممكن حد يأكلها الكمية قليلة جدا و مستخدمين صلصة طعمها وحش اوى اول مرة اصلا اكل شورما عليها صلصه حرفيا لاتساوى اى مبلغ يندفع فيها حاجة فى منتهى قمة السوء
6,الأكل كويس بس ناقص يكون سخن شويه
7,راب الشاورما لحمة بالجبنة دا احلى حاجة كلتها في حياتي راب الفراخ الكرسبي مش حلو خالص وتتبيلته مش حلوة
8,Sandwich Package was carelessly sealed (twisted) from 1 side and properly closed from the other side like it’s been opened and closed
9,طبعاً انا كلمتكم عشان الطيار قبل بالطلب وكان بعيد جداً عن المطعم وبيتي وقولتولي احنا اتواصلنا مع الطيار وقال ٥ دقايق واكون عند المطعم، الاكل وصل بارد جداً للاسف، تجربة سيئة جداً وولا حد اهتم ولا اخد موقف المطعم ممتاز ولكن الديليڤرى سيئ جداً
10,الاوردر وصل متأخر اكتر من ساعه و بالتالي اللاكل بارد و ملوش طعم + مش الكوالتي اللي متعوده عليها
11,Order was missing V cola
12,so bad
13,متوسط
14,الاكل بارد وفي قطعه فاضيه والبطاطس بارده ودا مش العادي بتاعكم
15,"My order was delivered after more than 2 hours which is unacceptable, however the only driver they have is polite and respectful"
16,فتة شاورما فراخ أقل من العادى 👎 كمية الشاورما قليلة جداً ❌ كمية الثومية برضوا قليلة ❌ والاوردر جهز فالفرع وفضل نص ساعة لحد ما الطيار راح اخده ووصل بارد
17,Cold sandwich
18,تعليق واحد أنا طلبت ساندوتش شاورما دجاج 260 جرام .. الي وصلني 230 ؟
19,"Chicken was burnt,dry there was no sauce"
20,"i ordered a fattoush salad that usually comes with bread, and it came no bread became a normal salad im unsatisfied"
21,للأسف التأخير تسبب في برودة الطعام لانه كان غير مغلف بشكل جيد بالإضافة الكمية استحالة أن تكون بقدر المطلوب
22,الاكل بارد
23,مش فاهم ليه بخيل في كمية الرز حرام عليك يعني زود شويه ياراجل دا رز يعني
24,الطلب اتحضر من المطعم ثم بلغو الطيار وهو فى ميامى والاكل برد جدا واتاخر
25,بشع كان ني
26,🤞🤞🤞🤞
27,الاستيكرات مفتوحه وتم تجاهل كل الملاحظات
28,Shawerma was poorly filled and 2 pieces out of 5 were only fries
29,تأخير
30,I said without tahini sauce
31,الاكل كان ساقع تلج و الساندوتش كان ساده تماما مفيهوش توميه ولا صوص خالص
32,الاكل كان جميل جداً وطازه المرادي والدليڤري محترم ، شكراً
33,The food was cold
34,Very cold
35,The driver was very quick fastest order i’ve received in my life
36,الرز كان قليل جدا و الصلصة شبه بتاعة الكشرى
37,The food wad cold
38,الاكل متلج
39,الاكل كان بارد.جدا وجه ف ساعه ونص
40,الاكل وصل بارد و سي جدا
41,الساندوتش فاضي خالص
42,Kind of cold
43,the shawerma meet was not very good this is not my first time to request this order
44,في دهن كتير فالأكل و الطعم مش زي الأول
45,"The worst order ever , every thing was bad not fresh at all the hot hariç sauce was expired !!"
46,لم يتم استلام الطلب من الاساس وانا لحد الان في انتظاره من ٣ ساعات
47,الاكل بارد جدا جدا وصل متاخر ساعه
48,انا طلبت من غير عيش في الفته ... لقيت عيش كتير جدآ في الوجبه
49,اكتر مكان محافظ على مستواه من اول ما بدأ الاكل حلو جدا الكميات كويسة التغليف محترم الدليفري مؤدب و وصل بسرعة ⭐️ ⭐️ ⭐️ ⭐️ ⭐️
50,الاكل كان بارد
51,Best Turkish food in Alexandria..the mix grill dish is so delicious I like their creamy texture garlic sauce The only downside is that the portion of Biryani rice is too small 🫩they should add more. The delivery man was polite and punctual
52,جميل جدا والطيار تعامله ذوق
53,.
54,Ok
55,الاوردر كان ممتاز والتوصيل كان سريع وكمان لما طلبت مساعدة من الدعم عشان ازود الاوردر بعد ماطلبته كمان محترم جدا وساعدني فعلا بسرعة ..شكرا على المعاملة المحترمة❤️❤️❤️
56,البوكس مكنش تفضل حاجه بس الساندوتش كان حلو
57,الأكل ولا غلطة..الكميات معقولة جدا♥️ التومية تحفة كابتن الدليفري وصل في معاده ..راجل محترم و ذوق
58,الساندويتش كان طعمه غريب جدا والفراخ مكنتش مستويه كويس البطاطس كانت قليله جدا جدااا بشكل غريب عموما الاوردر كله كان سيئ جدا ووصل متاخر
59,موصلش
60,تقريبا مكنش فى توابل للاوردر كله مش زى كل مره والبطاطس كانت مجهده كده ومش حلو الاوردر خالص زى كل مره
61,The driver didn't return the change
62,الاكل سئ السندوتش مليان بطاطس بس الفراخ تكاد تكون مش موجودة اصلا تجربة سيئة جدا
63,The sandwich had little garlic and turkish sauce even though i paid for extras
64,ناقص بطاطس
65,الاوردر ناقص البطاطس و العيش المحمص
66,المطعم كنسل الفرايز من غير سبب او تواصل وتمنها مدفوع
67,ورق عنب ناقص والبطاطس غير موجودة
68,بوكس الشاورما مش أحسن حاجة وتقيل على المعدة
69,أحسن طبق التكا
70,ن
71,السعر مقابل كميه وحشه جدا شاورما اللحمه طعم الحرق باين فيها و طعم شاورما الفراخ وحش جدا جدا زعلان علي المطعم دا جدا لان مستوي مكنش كده خالص زمان معرفش ايه اللي حصلهم
72,الاكل بارد جدا و الكميه ضئيله جدا
73,ناقصه توميه
74,I ordered chicken fattah not bread fattah.. I barely found chicken in it. like only 4/5 pieces and its filled with bread.. thats unfair.. I want a compensation!!!
75,اكل مش بيجي سخن
76,الاكل سيئ
77,Kubaba tasted very bad and was raw!
78,best shawarma I've ate in Egypt
79,driver attitude 5/10
80,دجاج تكا كان حلو والكمية كافية بس كان محتاج شوية ملح
81,They forgot to add the garlic sauce
82,انا طلبت ودفعت شاورما لحم وجالي شاورما فراخ الأوردر أتأخر زيادة عن اللزوم ووصل بارد
83,الاكل سئ جدا الاكل جي بارد جدا حاجه بجد قمه السؤ اسؤ تجربه اكل
84,الاوردر موصلش اصلا!! وتم خصم المبلغ منى من الفيزا وفضلت مستنيه اكتر من ٣ ساعات عشان الاوردر يجى وفى الاخر مجااااش !!! وكاتبين ليا ان الاوردر وصل وهو موصلش والفلوس كمان تتخصم وكل ده ومحدش كلمنى اصلا ولا مكالمه واحده !!!! برجاء رد المبلغ والتواصل !!!!
85,قطع اللحمة غير مستوية
86,"I ordered extra sauce, but the sandwich barely had any in the first place."
87,"Delayed delivery every time when i make an order , app technical issues are huge"
88,their is a cut underneath the package and the rice spill from it
89,"Needs more rice, it legit had half as much rice as any competitor but the chicken,beef and sauce was soo good!"
90,I asked for extra sauce and there was barely enough also that’s a cheese sandwich?? I didn’t taste any cheese could ordered the original instead
91,to much bones and not well grilled
92,Delicious
93,الساندوتش فاضي
94,special request neglected
95,الاكل كان بارد و الفراخ ناشفة و صوص قليل جدا
96,To7fa
97,هي جت 90% فراخ و وحتتين لحمة بس حلوة برضه مسامح في اللغبطة دي 😂
98,5th piece was empty
99,جودة الساندوتشات كانت وحشه جدا جدا جدا وانا نبهت انها تبقي المرادي جودتها كويسه وبرضو جات وحشه
100,ياريت تستعملو الستيكر اللي علي السندوتش عشان بنضطر نفتح كل واحد عشان نعرف ايه اللي جواه مع ان الستيكر محطوط بس مش معلمين عليه
101,I ordered a chicken shawerma extra garlic and the sandwich had no garlic at all
102,الشكين فرايز مكنش معمول كوايس.
103,الساندويتشات كانت زفره جدا
104,كان الخبز طرى غير مطهى بمعنى اصح عجين
105,Taste was very bad not fresh and very cold sandwich it will be last time to order from sultan ayubagain
106,كوالتي الروز في الفتة مكنش حلو. مش زي كل مره .
107,الكمية بقت قلبلة جداااا وكله بطاطس مش شاورما وحجم الساندويش قل وميستحقش ٢٣٥ج بجد حرام
108,كوالتي الاكل زيرو المرادي وحشه جدااااا مع اني كاتبه تكون بجوده كويسه
109,من أفضل الطيارين علي الإطلاق ربنا يبارك فيه يا رب
110,الاكل ذى الزفت - بلاش تاكل من عندو
