,comment
0,&nbs...
1,good variety . .
2,تحفه
3,The tom yum soup is beyond horrible it has nothing to do with the original one The sushi is ok and Kinda poor and over priced for the quality they are offering The chopsticks is worst quality ever seen in Egypt or even abroad .. and bounce they don...
4,very good but late
5,كله تمام
6,ممتاز
7,good
8,very nice
9,perfect varaity
10,صوص قليل
11,great
12,so far so good
13,...
14,delicious
15,Rice is not fresh not for all rolls to be honest Tuna is not fresh
16,items missing
17,الاكل ممتاز و الطعم كويس جدا و فريش و التوصيل سريع
18,حلو اوي
19,"Very bad experience, the chicken noodles barely had any chicken nor vegetables, the salad had no beans nor corn nor sauce, vegetables spring rolls didn’t have enough vegetables and the taste was like flour, the soup tasted rancid and stingy. I feel s..."
20,Best sushi really I love it .
