,comment
0,الطيار بطل 🌟
1,I ordered fattoush but got tabboula
2,Delivery guy was sooooooo late He doesn’t know how to reach the adders and we’re in the same compound!!!! Food is cold Delivery guy has Attitude This is unacceptable!!!!!!
3,مطعم جيد و يوجد موظفة محترمة جدا ونشيطة اسمها رحمة
4,الاكل اللي كان حلو بس الدليفري اتاخر
5,كيس السكر جاي مفتوح
6,great
7,الشيش طاووق محروق و ناشف
8,need someone to contact me
9,البطاطس مجاتش
10,الكنافه نيه ووحشه اوي
11,Portions were a bit disappointing but the food was great
12,All the food was delicious except the rice and toumya
13,حلو
14,I ordered 5 items and they sent 3. I didn't get a refund and I feel cheated.
15,Thank you it was very delicious
16,Ordered a fries and halloumi sandwich but it had no halloumi
17,Garlic paste tasted expired :/
18,delicious and very fast delivery
19,awful experience...food is average and waiters rudely asks for tips.
20,Thanks
21,Hummus was not fresh. Other dishes were good
22,"Over cooked , very bad"
23,The delivery is over priced
24,"I asked for food with no/little oil, and the salad dressing on the side. None of that happened, not even the separate salad dressing, so I couldn't eat the food (I have gallstones/marara)."
25,Didn’t expect the fattah not to have rice but the flavor was good.
26,the food was over cooked
27,"(Westown Hub Beverly Hills Zayed Branch) Great food, maybe a bit overpriced but it was very good and portions could be a little more but overall great"
28,Food was very very bad quality
29,Overrated price. Very good taste however prices are higher than expected compared to quality
30,Very bad experience!!!!!!
31,tried zamalk branch and it was good
32,I loved their zamalek branch Their shawarma is really good
33,نضيف جدا جدا بس الطعم عادي مش سوبر
34,the manounia wasn't even remotely good.. but the kunafa was the best
35,Best Lebanese in Town. can't wait for a branch near New Cairo
36,The best authentic Lebanese food in Egypt by far...It is simply addictive
37,"A great addition to the market, very tasty and Authentic.. A MUST TRY"
