,comment
0,thanks 😊
1,الاوردر وصل ناقص وكلمت خدمة العملاء ومفيش اي حاجة حصلت كل مرة الفرع هيتواصل معاك ولا حياة لمن تنادي تجربة مش لطيفة وقلة ذوق ومش هكررها تاني
2,delivery arrived late
3,الكميات قليلة، والاكل ناقص ملح اوي
4,Very cold food
5,كمية الفول والبيض في الساندوتش قليلة جدا
6,الاكل وصل متأخر ٢٠ دقيقه عن ميعاده انا طلبت البطاطس سلطه طحينه فقط و وصلت بسلطه خضراء
7,الطعمية باردة جدا، البيض طعم الزيت كأنه مستخدم كثيرا، الفول اليمون المعصفر غير ممزوج بالفول …
8,Didn’t receive the order and they took the money
9,تأخر ساعه ونص وحجم الفطير صغير جدا مقارنه بسعره . تجربه لن تتكرر معكم
10,تجربه لن تكرر . الفطير تأخر ساعه ونص وحجمه صغير جدا مقارنه بسعره . وعادي جدا غير مميز . مبلغ كان ممكن يجيب اكل محترم من مكان آخر . لا انصح به
11,اسوا فطار ممكن تاكله
12,Very very bad and the packaging is very poor وصلني الاوردر مفتوح والسلطة مدلوقة وحاجة صعبة اوي
13,ياريت نبدله ب في كولا او اي صنف مش مقاطعة
14,"Missing bread, uncokked fries"
15,الفول بارد!!
16,Bad delivery and customer service I don't recommend it at all
17,العيش كان بايت و مفرول والاكل وصل مش سخن
18,"It wasn’t fresh, and considering the cost, it was too expensive for what I received"
19,شطه كتيييير بس السندوتشات ممتازة شكرا
20,الساندويش فيه شعر
21,clean but not tasty منتج نظيف لكن ليس له طعم
22,i ordered the 10 bites sandwiches but i received 9 sandwiches...one fries was missing. also the eggs sandwiches smelled and tasted horrible
23,The cost was 188 and the receipt came for 215
24,Tasteless foul with lemon maasfar
25,"I used to have wonderful experiences with this restaurant, but my last order was very disappointing. The food lacked flavor, and some sandwiches even had an unpleasant smell. Overall, it was a terrible experience, and I wouldn’t recommend it unless t..."
26,الاوردر كله غلط و ناقص حاجات كتير طالبه ٣ طعميه عاديه وواحد طعميه حاميه جى ٣ طعميه حاميه !!!!!
