,comment
0,حلو
1,الاوردر كان بارد جدا
2,اللى يحب مصر لازم يحب أرضها والكشرى 🥰
3,معجن
4,بصراحة الكشرى أقل من العادى و كله مكرونة و عليه رشة رز و ٥ واحدات حمص و الكمية صغيرة لطبق ب٥٠ جنيه و كمان جاى فى علب بلاستك رخيصة جدا مش ورق و الدقة معلقة تقريبا لكل طبق عمرى ما هطلب من عنده تانى
5,ممتاز
6,الاكل بارد
7,الفطيرة متعجنة و متجمعه كلها فى ركن واحد و العلبة جاية مبلولة و بايشة
8,الاكل سئ جدا
9,1 star is great it has to be big zero worst experience ever the order didn't get out for the delivery for more than 2 hours with no even an apology and we knew through calling el menus call center
10,cold
11,Nn
12,الطعم بيتغير من مرة للتانية مفيش ثبات
13,Delivery time was too long it took more than 1 hour
14,روعة ماشاء الله.. شكرا
15,وحش جدا
16,مكنتش متخيل السوء اللي وصل له المطعم دة
17,the rice was more than pasta and I said I didn't want hummus but there was alot of hummus
18,الاكل كان بايظ واترما
19,الطعم وحش جدا
20,طالب ارز بلبن مكسرات جيه ساده وكلمتهم كتير مش بيردو حاجه سيئه جدا
21,توصيل متاخر
22,خد دليفري اكتر من اللي مكتوب
23,هو ليه يتكلم يسال على العنوان و هو فيه لوكيشن
24,No show
25,فطيرة الكريمة في قمة الروعة والخيال... بالنسبة للكشري محتاجين تغيرو الصلصة لانها مش حلوة خالص
26,the rice was alot brdo
27,woooow
28,تاخر التوصيل ل ساعتين
29,احلي كشري جربته في مصر متفاجئة من السرعة والجودة والسعر
30,اتاخر جدا
31,توصيل متأخر
32,لم يوجد شطة مع الطلب
33,I have a concern a time concern
34,العلبه مش كويسه علشان مبعرفش اقلب كويس
35,So delicious
36,forgot to pack salsa for the koshary
37,He was very patient to wait for my kids to collect order
38,YUMMMYYYYY
39,مليانه طماطم وفيها بصل كان مجمد قبل كده وفك
40,good
41,الاكل فى منتهى الطعامه بس المشروب وصل غير اللى طالباه ماينفع تبيعوا اللى عندكم وخلاص مافيش قولوا موش موجود
42,It was
43,جيد جدا
44,الفطير خطييييييييير
45,الاكل اتاخر ساعتين و الاكل وصل بارد جدا
46,just too much rice and macaroni and little lentils. no chickpeas at all. please revise proportions.
47,الفطيره الحادق نصها فاضي
48,رائع
49,الدليفري بيطلع من المحل بدون فكه! دفعت قد التوصيل مرتين لانه اخد الباقي
50,طلبت فطيرة مشكل لحمة بدون طماطم ... للاسف لقيت فيها طماطم .. مافيش اهتمام و ايضا طلبت فطيرة مشروم بجبنة رومي .. لم اجد سوي فتافيت و كنت باكل عجين
51,more rice than pasta
52,الشطه والدقه مبهدله وقليل جدا لاتكفى
53,الاورد موصليش
54,اوردر جيه في ساعه و نص
55,الاوردر كان سعره علي الابليكيشن غير السعر اللي وصلني في الايصال عند الاستلام تجربة سيئة جدا
56,شعر في الكشري
57,كان في صرصار في الاكل!!!
58,late
59,سئ جدا طالبيت بيتزا بسطرمه بعت بيتزا فراخ ومش حلوة خالص وكمان طاجن الفراخ الفراخ كانت نيه خالص مش مستوية تحت الجبنه
60,تعبانين اوي وطاجن مكرونة معجن وكشري معجن وحاجة قرف
61,Didnt even receive the order
