,comment
0,الاوردر اتاخر جدا ومحدش ساعدني
1,الاكل سئ جدا العيش جي بايت ومفرول والبرحر نفسه بارد كأنه اتعمل واتركن والاوردر جالي بعد ساعه ونص
2,Small portion of fries and very cold
3,الكولا كان ناقص واحدة
4,الاوردر استغرق ساعة تقريبا لتحضيره و لم يحدد انوع البرجر على الطلب مما تسبب لاختلاط الساندوتشات
5,درجة حرارة الطعام باردة ..
6,Bun type was changed to lower quality. Unexpected from Willy's.
7,الساندويتشات تحفة بجد إدمان
8,overcoocked sandwiches
9,Overall it was a great experience but I ordered double mushroom Swiss but they bring a single one!
10,بارد جداً و طعمه سيء وهو بارد 🤮
11,البطاطس باردة جدا و بايتة مفرولة
12,the delivery wasn't on time and I had to complain ad the order was delivered late
13,انا طلباه ع اساس يكون سخن وقت المغرب ع الإفطار ووقت التوصيل كان جالي 5 وتلت جالي خمسه بالظبط
14,عندي مشكله في تمن الاوردر
15,food came supper soggy couldn't eat the bottom bread
16,great i have received the order right away
17,the fries were the worst
18,the food was cold and didin't taste that good like every time
19,الاوردر اتاخر جدا
20,الطعم سئ جدا والاكل كان بارد ورائحة سيئة
21,تشيزي فرايز صغيرة جدًا جدًا جدًا
22,البطاطس جات من غير اى صوص جبنى و انا المفروض طالباها بجبنة و دفعت تمن البطاطس الوديجز اللى بالجبنة و جاتلى سادة فى الاخر ،،، م انا لو عايزاها سادة هاطلبها سادة!!
23,افضل طعم وجودة، عاش استمرو. اول مرة اجربهم ومش هتبقي اخر مرة بكل تأكيد إن شاء الله.
24,من اوحش التجارب اللي الواحد ممكن يجربها اكل غلط ٣ سعات علشان الاكل يوصل و في الاخر الاكل ناقص و مفيش اي حد تكلمو يحل بجد همسح الابليكاشن من التجربه دي
25,احسن دليفري في مصر
26,الاكل بارد
27,All excellent. 👍
28,very cold
29,the food was cold
30,"not even to be rated, worst meal I've had very cold and of course the bread absorbed all the sauces which made it not a sandwich already not mentioning the very late delivery hope u don't have a meal like it"
31,the order was missing fries
32,اجمالي الفاتورة كان 125 ولكن فوجئت بالوصل الاجمالي 139
33,عيش البرجر محروق شوية من تحت الonion rings و البطاطس جايين بارديين البطاطس ناشفة جدااااااااا
34,الاوردر اتأخر جدا و وصل بارد
35,المشكلة فقط هي ان الطيار بيطلب مني انزل استلم الطلب بنفسي
36,خد وقت كبير عقبال وصل
37,وصل بارد جدا ميتاكلش
38,سيئ بدرجة عالية ومتوقعتش كده اول واخر مرة اجرب اطلب
39,البرجر جاي محروق الأطراف وناشف على غير العادة مع الاسف
40,Received the order 50 min late and it was cold
41,Arrived cold
42,البطاطس بس كانت محتاجة تكون احسن
43,تحفه
44,missing the willys cola
45,الاكل كان مخدوم و طعمه حلو
46,حقيقي الأكل سئ جدا البطاطس جت ناقصه طلبتها تاني وحت لقيت البطاطس بقشرها و مسلوقه مش متحمره عمري ما شفت بطاطس ويدجز مسلوقه حد بيقدمها والتأخير علشان الاوردر الناقص خلي الساندوتش بارد كده و طعمه وحش
47,"The food was adorable, but the nacho was too oily"
48,الاوردار جي غلط
49,السندوتش المره دي اصغر من كل مره والبرجر محروق
50,Order missing 2 packets of fries and the bun is too burned
51,زفت الاوردر ناقص
52,الأوردر جه بسرعة بس ماكنش أحسن شئ مش عارف هل ده فرع المعادي مستواه مش قد كده! طلبت قبل كده من المهندسين كان رائع
53,بصراحة عالمي كمية محترمة وجودة ممتازة استمتعت جدا بالتجربة وهكررها ان شاءالله
54,العيش كان محروق
55,ممتاز لكن الجبنة كانت سايحة زيادة عن المطلوب
56,البطاطس سيئة جدا جدا جدا جدا جدا جدا جدا جدا جدا جدا جدا
57,Very bad
58,wrong item
59,Great
60,Good
61,طرش
62,the food is good but was very cold and the fries were soggy
63,طلبت اوردر ولم يصل وتم سحب المبلغ من الفيزا اسوء تجربة على الاطلاق لن تتكرر وتم التواصل مع خدمة عملاء المنيو دون جدوي
64,👍
65,التاخير في التوصيل
66,"The food was good, but delivery delayed"
67,زفت
68,Was good
69,الكميات حلوة جدا و سعره مناسب و طعمه تحفة. يا رب يفضل بالجودة ده علطول
70,تحفة تحفة
71,الاكل كله بارد جدا الشندوتشات و الفرايز
72,Nice job
73,The order was not fresh and was so cold
74,تاخير التوصيل
75,الكوالتي بتاعة البرجر وحشة اووووووي واكنو لمامة اللحم وبيجي بارد ومحروق
76,The cola is missing
77,الناتشو جه مفهوش بيكون ولا هلبينو كان كبنه قطع برجر و صوص خفيف وبصل مش مكرمل
78,تحفه اللهم بارك
79,ممتاز جدا
80,fries tasted like they made it 3 days ago
81,الطعم سي جدا
82,.
83,جامد جداا
84,الاكل بارد جدا
85,البطاطس كانت قليلة جدا و طالبة premium cola مجتش
86,so good
87,😍
88,المنيوز لا يصلحوا المطعم يشوف app بقدر يثق فيه أفضل دة لو عايزين تفضلوا تخدموا الناس
89,الجلافز مش موجود والفرايز واقعه جوا الكيس
90,order is very cold and i didnt like the driver attitude
91,Without fries
92,"cold, cold, and cold. good flavor but always barely warm burgers. won't be buying again from here"
93,سيء بمعني الكلمه وبارد وباكت البطاطس ربعه فاضي سيء سيء سيء
94,الطلب وصل بارد
95,"The spicy beef on the sandwich tasted horrible, but the beef patty itself was fine and everything else too"
96,"Fries were not fresh , actually bad experience with Willy’s restaurant"
97,Didn’t even come this is unacceptable
98,احلى برجر فى الدنيا Delivery man really great guy
99,Excellent!!!
100,طالبه من غير صوص جبنا
101,الاوردر جه متأخر ساعه عن الميعاد اللي مكتوب
102,Ice cold unseasoned fries and cold burger
103,"Order came very cold , so that I had to put it in microwave , very bad experince"
104,الاكل جاى بارد جدا
105,طلبت برجر ريل تيستي دبل واللحمة كانت محروقة
106,لا يوجد بطاطس ولا بيبسي
107,مجاش معاه كيس
108,I had paid another amount of money than what i have ordered
109,Raw chicken not well cooked
110,I didn’t find the fries
111,حاسس أنه ناقص ملح لكن بشكل عام كويس
112,اتاخر جد عشان يجي
113,Ok
114,the delivery man had no change and he told me he would transfer me the change via vodafone cash and till now i got nothing from him
115,fries were not good and not fresh
116,الساندويش محروق العيش و البرجر و البطاطس الشيلي عليها ربع الاضافات اورد وحش جدا
117,يتأخر جدا والاكل بيجي بارد
118,Not good at all
119,الاكل كان في حاجة بايظة كلته ورجعت
120,جميل
121,اول مره يجيلي اوردر العيش فيه بايت كده
122,البرجر جاي محروق 👎🏻
123,gamedd
124,ويليز ممتاز جدا
125,لقمه العيش كانت مختلفه والساندويتش مكنش في بيكن وكان حجمه صغير عن المعتاد
126,Tuhfa
127,Arrived in less than 30 mins
128,ممتاز
129,All good but fries quite little
130,طالب cola جالي مية بدالها
131,The sandwich was smaller
132,في احلى من كدا
133,nice sandwich bread need to be improved
134,قطعة الفراخ كانت محروقة من برة ومش مستوية من جوة كويس .. بتشد
135,"Good food,very late delivery tho"
136,البرجر في قطع عظم
137,Size
138,حلقات البصل كان فيها شعر
139,"Blue cheese tastes off, but overall delicious food."
140,the burger was burnt
141,chese fries are too small
142,البطاطس جت بارده جدا
143,توصيل الطلب بعد ساعتين... تواصلوا بعد ٥ من قبول الطلب بتأكيد ان هيتبدل نوع البطاطس عشان مش موجود .. ورغم الموافقة وانتظار ساعتين تأخير الاوردر جيه اصلا من غير البطاطس لا الأساسي ولا البديل اللي عرضوه
144,The rider was rude!!!!
145,"drowning in wet sauce, horrible branch."
146,the order include Fries but didn't exist in the order
147,I paid more than the price on App My order was 229 LE and i paid 269 LE
148,"Driver delivered me a wrong order within my order , I gave him back most of the unwanted items and refunded him for minor losses , he kept demanding more money and he's still texting me about it"
149,المشروب جه مدلوق نصه ومرضتش استلمه
150,5 Stars as usual
151,tbh its the best burger i have ever had 🔥
152,the strips supposed to came with blue cheese sauce
153,Missing items
154,المشروم طعمه سئ جدا
155,البرجر جيه محروق والطعم وحش جدا. تجربة سيئة
156,الفراخ نية انا اسنتيت اكتر من ساعتين عالاوردر وطلعت نية في الاخر
157,the best burger 🍔 I love it
158,الاكل كان وحش و جي بارد اوي
159,Arrived with only 2 of 4 soft drinks
160,1 Star for Delivery ..
161,"good flash offer , packaging and taste were great"
162,الاوردر فوق العظيم بجد وده العادي من. ويليز،. والطيار اللي وصل الاوردر قمة فالادب والذوق وبشوش
163,بقيت بتستخدمو لحمة سيئة جدا واكنها لمامة اللحمة البائدة وكلها عضم وحاجات غريبة ليه كدا كنتو من احسن الناس الللي بتعمل برجر
164,Escalated
165,B
166,Burger very delicious but unfortunately very very bad fries oily and cold
167,حلو اووي
168,فيه واحس willy cola كان ناقص
169,❤️
170,"This was the most not good sandwich i ate from willy, i used to say best burger, i got disappointed"
171,"The burger itself was okay, but the fries had burnt black bits and tasted like they were fried in old or dirty oil. Really disappointing."
172,"the mushroom burger didn't taste good , the classic one is tasty tho (I don't remember what each was named tho)"
173,تحفه بجد جيه جوسي كده ومتغرق كان تحفه
174,Not seasoned well .not as expected was first time
175,الاكل وحش جدا و ديه مش اول مره تحصل معايا و البرجر محروق و البطاطس مجلده و العيش مش طازه
176,It come super cold
177,the sandwich is very good but the offer actually needs fries and a drink.
178,الطلب اخد اكثر من ساعة فوق الوقت المحدد للوصول
179,الاكل حلو وجيه بسرعة ✨
180,Got food poisoning from the food Also fries was inedible
181,Nacho sandwich wehesh awy
182,The bun was burned on the edges and the portion of the dessert is not worth the price.
183,البرجر فى سندوتش سموك هاوس باربكيو كان محرووووق جدا
184,بعتوا بعض السندوتشات بايته
185,Very bad driver attitude
186,Fries was so dry and the portion was very small
187,Perect thanks
188,شكرا ويليز الأكل تحفه
189,Tasted good but the soda exploded and burger was a bit messed up
190,zefat we 2atran ala demaghko order bared we oder magash we nasabin
191,ساندوتشات محروقه وزي الزفت
192,missing items
193,cold
194,ده تاني مره ورا بعض الساندوتش يجي متبهدل والعيش متقطع والسانتودتش تمسكه في ايدك يكون العيش مهري ومتقطع يومين ورا بعض نفس المشكله… نفس الكلام للبطاطس محروقه
195,order arrived very late
196,missing item always missing items the sauce is missing but I don't have any problems with the driver
197,Cola was missed from the order
198,التوصيل اتأخر عن الوقت الي متحدد ب ٢٠ دقيقه
199,Really delicious! Well wrapped. Fries could be slightly improved still it was crunchy and good but could be better. Best burger you can get with this price.
200,الاكل بارد والبطاطس مليانه زيت اووي وبارده
201,order took 2 hours to be delivered
202,الاوردر بيتاخر اوي
203,اتأخر نص ساعه عن معاده
204,البرجر محروق
205,order was fresh and delicious
206,الكولا مجتش مع الاوردر
207,أسوء توصيل
208,"The Fries were cold, and the postion if fries were very little."
209,Taste not good
210,worst order ever
211,took long to deliver.. but delicious
212,Slow delivery (20mins late)
213,طعم لحمه البرجر مش حلو خالص مختلف عن العادي
214,M
