,comment
0,"It is the most known Chinese takeout, yet it is the worst. I don’t recommend it"
1,النودلز مش احسن حاجة كطعم و الاكل جية بارد
2,ليه أفضل ساعة و نص مستني الاوردر؟ كان زماني رحت طلبت فالفرع و استلمت و رجعت البيت، ع الاقل مكانش هيبقي دافي. توصيل سيئ جدا. عالي الاقل الاكل نفسه كان كويس و الاوردر كان مظبوط
3,الاكل وحش اوووووي ومحطوط حاجه بلاستيك وسط البصل والطعم سي جدااااا
4,طعم اللحمة سئ
5,الكمية أقل من كل مرة بس جودة تحفة
6,noodles were over cooked
7,كمية النودلز قليلة قلت عن كل مرة و كمان سلطة الكرنب قليلة جداً جداً زى ما يكون متاكل منها و إلا هو عشان أنا معايا خصم على الأوردر و إلا ايه بالظبط اسوء تجربة ليا الصراحة و مرشحش المطعم ده لحد أو يكون فى رد و تعويض من المطعم على التجربة السيئة جداً دى
8,noodles is less than half the box
9,I ordered vegetable noodles and I got vegetable rice instead
10,سىء
11,kunafa balls oily as a pregnant whale. I got really sick from it.. never again..
12,Very cold
13,الاوردر بيتاخر جدا
14,طلبت الاوردر وجابلي انه جهز وطلع دليفري وفضلت مستنية 3 ساعات وكلمتهم مرتين يقولولي حد هيتواصل مع حضرتك في الاخر بيقولولي معلش دول نسيوا الاوردر بتاعك جوا لسة متعملش اصلا حضرتك لسة عايزاه ؟ لا يا سيدي شكرا
15,"order took 30 min more than the estimated delivery time, so it was cold, but other than that it was good"
16,اتأخر قوي في التوصيل وكمان الاكل كان بارد
17,الأكل كان بارد و طبق السويت اند سور ٣قطع فراخ و لحسه صوص و الخضار متقطع كبير كان اوردر سئ جدا والا ده علشان عرض فا اتّبعت بالطريقه السيئه دي
18,Dumplings had raw chicken
19,"The biggest scam ever, I ordered double mix offer and came without the 2 salads and the 2 appetisers and was cold and late,never ordering this again"
20,food was delivered after 2 hours and was cold and delivery kept me waiting for almost 20 minutes standing
21,الاكل حادق جدا النودلز طلبتها حراقه جت عاديه مش زي ما طلبت الاكل بارد الفراخ ناشفه و كأن الصوص كاتشب بس
22,قالك خيار على الطريقة الصينية ولا الكورية وهو خيار عادي جدًا في خلطة بصل 🤡
23,Where is the chicken
24,تجربه اكثر من سيئه و حقيقي عمري في حياتي ما هطلب من المكان ده و لا انصح اي حد بجد بيه
25,تجربه سيئه للأسف الاوردر جه في الوجبه الاساسيه غلط تواصلت مع المكان و قالولي حد هيتواصل معايا علشان يحللي المشكله و لكن للأسف لا يوجد اهتمام بالأمر و محدش تواصل معايا 😡
26,الاكل بارد وطعمه مش زى الاكل الاسيوى وخصوصا التشيكين سويت اند ساور .. وكان فيه قطعه معدن صغيره فى الاكل
27,The order is always missing items
28,Chicken so cold
29,انا طلبت الاورد 4:20 ماكنش في بيف و اتواصل معايا ان اغير بيف بتشكين و تمام الاوردر اتأخر جدا و كلمت المطعم اكتر من مره و يقولوا ان الاوردر خرج و الاوردر مكتوب يوصل بحد اقصي 5:17 وصل 5:52 و كل دا الطيار مش بيتواصل معايا نهائي
30,انت كت عايز بروتين لحم و لكن المطعم كلمنى و قالى مش موجود بالرغم أن المنيوز موضح أن اللحم موجود و قالى فى فراخ بس و طبعاً ده غش طالما اللحم مش موجود يبقى لازم الكلام ده يظهر على الابليكشن ايه القرف ده
31,الرز بايت و الطعم سئ
32,أكدت كذا مرة أني محتاجة النودلز سبايسي و مجتش سبايسي برضوا الاوردر أتأخر اكتر من ساعة و جيه بارد السويت اند سوير الصوص قليل جدا و المرة الي قبلها الاكل كان متلج و النودلز مالحة جدا جدا و مفيش اي صوص في السويت اند سوير اخر مرة اطلب منهم تاني
33,.
34,Driver’s attitude was so awful
35,الرولز جت ناقصه اربع علب واحنا طالبين اربعه خيار كوري جالنا ثلاثه كوري وثلاثه كرومب
36,النودلز مزيتة و الدجاج الصوص بتاعه فيه طعم محروق و وحش جدا جدا الكواليتي سيئة و فلوس ع الفاضي
37,The preparation take too much time
38,The dumplings tasted disgusting. I’ve tried the dumplings from here before and they were good. But this time they were just absolutely disgusting and inedible. I could only eat the noodles and chicken sweet and sour.
39,التوصيل استغرق أكثر من ساعتين والطعام لم يأتي ساخن والطعام جودته جيدة جدا ولكن محتاج الكمية تزيد أو السعر يقل وسعر التوصيل زيادة جدا
40,M
41,very bad experience
42,"My 1st and definitely last time to order ..chicken was tasteless,quantity was ridiculous (I feel robbed) ..rice has nothing to do with Chinese (tasteless ).."
43,The food came cold
44,الأكل اتأخر اوي وجاي ساقع
45,The food is not fresh and not tasty not the usual taste and it tastes old and dull so baaad !!!
46,الاوردر وصل متاخر جدا وبارد والنودلز اقل فالطعم من قبل كده بكتير
47,chicken was very very cold & driver’s attitude wasn’t nice
48,Very late delivery and food is so spicy though it was normal
49,i asked them to put the sauce outside but they did not & the noodles came very very salty it was not eatable
50,الاكل كان بارد ووحش جدا
51,very salty but other than that it was all good
52,good. food bad dilllevery
53,i received noodles instead of the rice
54,The noodles were a bit too salty but other than that it was good for it's price
55,"It came Too cold , there’s no protein only vegetables on the sides that was very disappointing, its geting bad order by order"
56,جابوا الوجبتين نودلز وانا كنت طالبة نودلز والوجبه التانيه رز
57,I ordered sweet and sour chicken noodles. the chicken was dry and not fresh at all. the sweet and sour sauce was so little that barely I could taste it. Shame!
58,حلوة النودلز بس السويت ان ساور مش مظبوطة
59,"Hello, I always used to order from wok and walk but this time the quality deteriorated a lot. The noodles are extra savory than usual and there are a lot of raw onions. Waiting to be contacted. Sahar Zanaty 01033933002"
60,الاكل بارد
61,"ok, food delivered after 2 hrs cold and spilled all over bags, but to be fair, food was good 👍"
62,2 hrs waiting and still not here. while we are located very near. very bad delivery service 😑
63,الاوردر ماجاش اصلا
64,"The worst noodles not fresh tasteless, and all the sauce was spilled …"
65,The worst noodles ever tasteless cold and not fresh
66,ألغيت الطاب بعد ٣ ساعات إنتظار. الدعم الفني: أصل الكهرباء كانت قاطعه في الفرع ، ثم الدليفري خرج وسيتصل بك ، ثم هو لسه ماجاش؟ هخليه يتصل بيك حالا ، ثم لم يتصل. وصل بعد ٣ ساعات فلغيت الطلب ورفضت الدفع.
67,الرز كان مالح جدا
68,Food is bland and cold…………delivery time is long
69,I didn't receive salads ( cucumber and Chinese cabbage)
70,الصوص كله كان مدلوق في الشنطة
71,Good but a bit cold
72,الأرز جه نودلز
73,وصل الاكل نصو مكبوب
74,Quite expensive for no good quality.
75,Food was cold
76,Last time to order Worst food ever
77,جالي حجات غلط و في حجات ناقصة
78,But the order was late
79,very very bad quality and taste I ll never order again
80,ElMenus is awful compared to talabat
81,الاوردر ماوصلش
82,alot of pasta very little chicken
83,taste extremely bad very odd taste and scent طعم سئ للغاية ورائحة الاكل منفرة وغريية كان غير قابل الاكل رميته في الزبالة
84,Too salty .. very bad taste
85,لم يصل الطلب وتم الغاءه
86,Horrible I don’t like the order at all arrived late wasn’t hot and taste not good at all
87,tastes good but doesn't matter when chicken portion is so tiny.
88,"Chicken was extremely salty, plus the taste is not like the actual Kung pao chicken"
89,بجد الاوردر بياخد كميه وقت كبيره جدا لحد ما يجي بجد ساعتين و نص كتيير اوي اوي و طريقه خدمه العملاء سيئه جدا بجد
90,النودلز كانت وحشة اوى و الفراخ كمان كان طعمها وحش
91,worst quality and food
92,مملح بشكل وحش جدا ومحروق
93,السولو اوفر كان هيبقى حلو لو فى معاه بروتين تانى مع الوجبة لأن الكمية مش كبيرة
94,noodles was bad
95,الاوردر وصل متاخر جدا و كنت قايله من غير خضار و جه بالخضار وعملت شكوي ٤ مرات محدش تواصل معايا بجد خدمه سيييئه جدا
96,The noddles lack the taste and the portions of the chicken even the sauce of the chicken was very smalll The spring rolls was wow S
97,food was so cold
98,للاسف كان سيئ جدا مش زي كل مره الفراخ جيه بدون صوص تماما الرز بالخضار ناقص خضار وناشف مش مستوي
99,الاوردر غلط و السعر مختلف لما جه و الأكل جه متأخر و ساقع
100,I got severe diarrhea from eating it.
101,Late
102,"worst chicken, first time being this bad was always good"
103,the chicken was raw
104,الاكل كان بارد جدا
105,حجم طبق البيف كان صغير جداً محتاج يكون فى تنوع برضو يكون فى مثلاً اختيار لنوع تانى من البروتين فى الوجبة . الكمية كدة كبروتين قليلة جداً
106,الاكل بارد و طعمه يقرف
107,The food was not hot at all
108,Worst restaurant I’ve ever ordered from the noodles were very salty and the portions of the chicken and beef were so small I could actually count them it was 5 or pieces and the cost is way too much for this disgusting order
109,it was good. noodles were a bit salty. and chicken Kung Pao can use more chicken. thank you
110,The order wasn’t tasty and good as usual
111,the food was a bit salty
112,اللحمة محروقة و عليها الصويا صوص كتير اوي و النودلز مفيهاش صوص و ملهاش طعم
113,النودلز كانت مستوية زيادة كانها عجنت
114,"Quality went down for all; noodles, chicken, and the beef. Only the spring rolls were very good."
115,Low quality and bad smell
116,Small proportions
117,"too salty this time, though it's always awesome"
118,قطع البروتين قليلة جدا والصوص عبارة عن ماية ملونة
119,السبرينج رول كان بشع بجد كان مقلي في زيت طعمه مزرنخ جدا و قديم جدا و الصوص كان مسكر بزياده عن اللزوم و تقيل و اللحم كان مقدد ، و النودلز و الرامن كانوا مفيش فيهم اي طعم و من غير ملح ، و حرفيا اوردر كله كان بشع و سئ
120,الاوردر غلط، جالى وجبتين بدل الوجبة اللى طلبتها، بكل الاختيارات مختلفة وكمان اتصلوا بيا ابعتلهم بقيت الفلوس أو ارجع الاوردر، دفعتلهم الفرق بانستاباى عشان ماتعاملش مع حد فيهم والأكل رميته فى الزبالة عشان طعمه وحش
121,طلبت الاكل مواصفات معينه زي ما يحطليش بصل و جالي محطوط بصل وكمية الاكل قليله عن كل مرة كنت بطلب الاوردر وجالي متأخر ف بارد
122,Cause the chicken sweet and sour has no sauce at all
123,never received my order
124,salad did not come with order
125,الاوردر ناقص الكابدج الصيني
126,كان ناقص خيار في الطلب
127,الأكل بارد وأقل من المعتاد الصوص قليل جدا والأوردر اتاخر ساعه
128,Terrible! The sweet & sour chicken tastes like a leftover panè drenched in ketchup and the noodles is also stale and overcooked! The cucumber salad looks wilted
129,النودلز حلوة وكميتها لطيفة، اللحمة كميتها قليله حدا
130,taste wasn't good at all الاكل كله بايت و مزيت
131,the food was awful! meanwhile i wrote a comment to make the noodles fresh but both the chicken and noodles were horrible
132,كرات الكنافه بالدجاج مش مستويه كويس من جوا و الدمبلينج مالحه
133,I want a refund
134,الاكل مان ملوش طعم و كميه الفراخ قليله جداا
135,forgot my cucumber salad
136,👌
137,بجد تسلم ايد كل واحد شغال ف المكان حتي دليفري علي الذوق و الحترام الي هما في بجد 🤍🤍
138,الاكل حلو جدا و الفراخ جميلة المشكله الوحيدة بس اني طلبت سلطة خيار كوري بس جالي سلطة صيني
139,الاكل فيه شعر
140,the portions became smaller
141,"The food was stone cold and tasted awful,like it had been sitting around for ages. The portions were ridiculously small for the price, and the quality was so bad I couldn’t even finish it. Everything tasted old and stale, nothing fresh. JUST AWFUL!"
142,V bad
143,no cover
144,جيد جدا
145,The order was supposed to have steamed rice and I got noodles instead. I hate noodles and I had to throw it away. The vegetables tasted very bad and had lots of fat. Spring rolls had lots of fat.
146,Sweet and sour chicken very bad smell and taste حمضانه noodles and salad portions reduced to the half Very bad experience
147,portion of the main course is too little for the price
148,الاكل بايظ
149,الاكل جي واقع
150,الفراخ كانت بايته و طعمها وحش اووووووى
151,اللحمه كانت حتتبن بس حرفيا
152,الصوص فى الفراخ كان قليل اووووى و الفراخ كانت ناشفة جدا
153,الخيار كان دبلان
154,It was delicious I ordered it a lot before in several branches but sometimes the main item gets mixed up sometimes the side is missing and one time I found a hair Otherwise it’s really a good quality for price
155,"Hoisin sauce doesnt taste anything like hoisin. Just spicy. A lot of missing items in menu. No seafood, no shantong. Got chicken konafa balls instead and was horrible. Bland boiled chicken and burnt konafa breading. Noodles were ok."
156,"The food was very cold !!! Teriyaki sauce was spilled over which lead to a mess in the packaging Dumpling were very bad , cold moreover the dough was ripped All over was unpleasant order at all."
157,Taste is so bad
158,"The rice was spoiled, it felt like its been stored for so long and tasted really bad"
159,النودلز كانت مكسره وكأنها مش طازة، طعم الفراخ بردو مش طازة والرولز كانت مليانه زيت .. اول مره تكون الكواليتي مش احسن حاجه
160,"Took too much time to deliver, got my food cold and tasteless"
161,the spring roll burnt
