,comment
0,المرة الى فاتت العاملين كانوا ممتازين المرة دي الي ماسكه الفرع اسمها اميره اسلوبها وحش جدا مع الشاب الى شغال وماسكه التلفون ومش بتعمل حاجه وبتزعق للشاب رغم ان هو الى بيعمل كل حاجه في المكان رجاء من إدارة التصرف في الموضوع dip n dip
1,the ice cream turned in to milkshake due to delivery time
2,I ordered large fettuccine crep the amount so lettel like the regular one so what is the differnce ???? regular and large the same in amount and packag just high price only !!
3,Good
4,الطيار محترم وعنده فكه ربنا يرزقه من اوسع ابوابه
5,واو
6,.
7,انى مكنش فى بف و دا اكتر حاجه بنحبها
8,Late
9,الشنطة كانت سيئة والبوكس وانا كنت هوديها هدية
10,my crepe was supposed to have strawberries in it AS DESCRIBED. but it had mangoes instead that I ended up not eating.
11,The ice cream came melted & I didn’t like it
12,too small amount
13,A
14,يعني لو هتصغرو الحجم يبقى ترخصو برده! مش معقول بجد الحجم صغير جدا غير العادة
