,comment
0,Drinks not as requested even I paid extra for specific drink
1,لقيت شعر في الاكل
2,"Late delivery, cold and not fresh fries"
3,الكورن دوج مكنش حلو خالص بس المشكله كانت في العجينه هم غيرو فيها حاجه بعدتش حلوه خالص و الدلفري اتأخر اوييي
4,The price was different from the restaurant and we had to call the restaurant so the driver makes sure that the price of the application was correct
5,little
6,juicy lucy burger came without any cheeese for the second time and the burger was very dry waste of money
7,The order delivered was not the sandwich I choose on the application. I ate it anyways but it was bad and wrong order and the order was really late
8,البطاطس كانت طريه وًمحروقه
9,الدرينك نصه مدلوق بسبب عدم تغليفه كويس
10,cold fries due to putting cola in with the fries and not full. i always leave a request which is ignored.
11,الاكل وصل متأخر وبارد وياريت كان طعمه كويس حتى
12,الطعم وحش والتغليف أوحش. العيش بايت وريحة الساندونش سبئة
13,It came very cold and the onion rings very oily
14,العيش تحفة اتغير عن زمان و الطعم تمام هما بس صغروا الساندوتش اوبي وقللوا الfillings شويتين بس الطعم خطير
15,"twist fries was bad , so much oily."
16,"The Burger was delicious… but the curly fries tasted very weird, soggy and oily (as if it was pre-fried then fried again and probably either an old batch or unchanged oil) I almost threw up from how bad it was."
17,كنت طالبة اتنين وجبة اطفال و معاهم لعبتين الاوردر كله وصل ما عدا اللعبتين
18,Very slow delivery
19,The curly fries was bad
20,البطاطس نص مليانه!!
21,Driver showed up 2 hours after order was placed. They're working on a refund as I didn't get a chance to accept the order
22,fries were cold but burger was good
23,the burger was dry but taste was good..
24,بارد جدا الاكل
25,مش فاهمة كانوا عاوزين بلغوا الاوردر ليه
26,الأكل وحش جدا ولا انصح به تماما والبطاطس مزيته والأكل بارد وسيئ للغايه
27,طلبتها بدون ومخلل وجت اكسترا مخلل
28,they listened to the comments about the order and deliver on their quality. thanks
29,البطاطس ناقصه اكلها الشيف
30,Orange and mango juices was expired
31,They didn’t deliver the order
32,الساندوتش كان مفهوش بيف بيكن والجبنة كانت قليلة اوي
33,burger was over cooked
34,"The burger had burnt bits in it which seems like the grill was not cleaned properly.. and the fries are always small pieces, oily and soggy. what's up with that?"
35,Great
36,Taco Salad was very good. A little short on meat. Chicken sandwich was very good.
37,الاكل سئ جداااااا والبطاطس مزيته وناشفه ومتتاكيلش ، اخر مرة هنطلب منه
38,"The burger tastes so bad and the smell is horrible, as if I took it out the trash. The fries are so greasy. Leaving a bad review"
39,missed item
40,👎🏻👎🏻👎🏻👎🏻
41,Taste of the corn dog was horrible !
42,The meat has an after taste
43,الساندوتشات كانت حلوة قوى والطعم كان هايل وسخن بس الفرايز كانت باردة ومجلدة وسيئة جدا لدرجة انى رميتها
44,It took over an hour and half
45,The food was cold and the wings is so bad and cold
46,Cold
47,Cold food
48,taste was good but with very small amount of filling almost 3 pcs of mushroom
49,المشروم برجر تحفة
50,Corn dogs were too salty and soggy.
51,"Came late , onion was added to salad although I wrote a note not to add onions , one coke came instead of sprite"
52,"Very late delivery 2 hrs, cold food, overcooked onion rings and curly fries to the extent they were too dry. A real shame that we don’t have any service standards."
53,The worst burger ever
54,good but the bread was a little dry the curly fries tastes so bad unfortunately the order took sooo long to arrive way more than the estimated time
55,The beef was not fresh . It tasted like it was processed and also was not cooked well . I thought mince was my favourite until this happened .
56,طعم جيد لكن حجم صغير و سعر مرتفع نسبيا
57,"The toast didn’t taste good, not enough chocolate or banana. overall it was a disappointing experience and not as good as it used to"
58,الطيار جابلي الاكل بعد ساعتين و كان بارد جدا
59,food tasted terrible i had to throw it away and it was also a bit cold
60,the order is very bad quality doesn't have all the ingredient.
61,المشروب مجاش وانا محاسبه عليه
62,very late order burger was smelling like lamb كان فيه طعم كندوز كريهه
63,البطاطس الكيرلي من أسوأ ما يكون و مليانه زيت لا طعم لها سوى الزيت و التغليف مش مكتوب على كل برجر نوعه رغم اختلاف الانواع
64,Food very oily
65,Tasted so bad the meat was very bad food was cold very bad experience
66,الاكل كان بارد
67,الاوردر موصلش عن طريق الابلكيشن والاكل جه بعد ساعه ونص وبارد ومحدش بيرد من الدعم وقلة ذوق
68,Worse burger I ever had
69,الاكل جالي بارد و بايت بقى ولا ايه و البطاطس مش مستوية و من كتر ما اتسابت في العلبه العلبة مبلولة و البطاطس كمان انا مش دافعة ٤٠٠ عشان القرف ده ياريت حد يتواصل معايا ولا نص الفلوس ترجع ولا اي حاجة عشان ده تهريج ده قلت اكبر دماغي و اكل بس قرفت مش ق...
70,Food was very bad. Meat was bad and didn’t taste good at all. Buffalo chicken wings taste bad
71,وصل الاكل بارد
72,"Worst order ever!! The buffalo chicken tenders came without buffalo sauce, and the mice burger patty came burnt!"
73,Quality is very very poor especially almaza branch is trash!
74,Good
75,"1. The sealing was a-bit teared and there was very small amount of fries left and they were burnt, i realized after receival. 2.The burger sandwich tastes awful and the bread wasn’t fresh. Very very bad experience"
76,"Very late, freezing cold food. I'll have to microwave burgers before even tasting them."
