comment,complaint_cluster
د,
باعتين تشكن بدل البيف ف ساندوتش بيف ستيك بجد والله لا تعليق,
كل حاجه تمام بس الوقت بيتاخر,
طعم وحش جداااااااااااا,جودة_المنتج
كانت وحشة جدا و بايظة,جودة_المنتج
ولا سبايسي ولا في كورن دفعت فلوس سبايسي علي الفاضي والملاحظات حتي لم ينتبهوا ليها,
لم تكن جيدة للاسف الكمية المرسلة اقل من الكميه المعتادة بشكل كبير,
الفراخ مش شاورما دي فراخ مسلوقه ومقطعنها بإديهم ولونها اسود وبشع جداااااا وباين الحاجة مش نضيفه وفيها زفاره والله ساندوتش الشاورما اترمي,
جايلي سبايسي وانا مطلبتش سبايسي,
زفت الاكل مش حلو خالص,
اسوأ منقوشة فلاديفيا,
انا بعشق المكان دة,
أسوأ مرة الفيلادالفيا شبه مفيش لحمة و العيش بايت الدجاج سببشيال نفس مشكلة العيش و البروتين تستاهلون اقل من ٠,
بعد اذن حضراتكم مستعجل.,
الاكل أتأخر ساعتين والطيار لا يرد علي الموبيل أو يقوم بالإتصال علي الرغم ان المسافة بين المنزل والمطعم لا تتجاوز ال ١٠ دقائق. تجربة سيئة للغاية,
طلبت المنقوشة سبايسي جايب فيها فلفل رومي ماحبيت الحركة,
قيمه قليلة مقابل سعر عالي اعتقد مناقيش الاغا اقل ٥٠٪ من السعر,
الجودة و الكمية قلت على الرغم من زيادة السعر,
طلبت كوكا كولاا ماجتش مدفوع,
حلو,
انا طلبت سجق جبنة اسبيشال جالى دجاج اسبيشال,
الاوردر ماوصلش و كنت دافع فيزا,
الساندويتش عباره عن مشروم بس,
مفيش فايده اشتكيتهم ميت مره وبرده فراخ ناشفه وبايته,
أحقر محل في الدنيا,
G,
ممتاز,
مافيش اسوء من كدة ساعتين علشان استلم طلب بارد ومعجن اكلم مدير الفرع يتجاهلني ولا يحاول حل المشكلة وبعدين قفل تليفونة مش قادر استوعب تانى مستوى الخدمة,
انا مستلمتش الاوردر انا عند سيتى ستارز والمندوب بيقولى انا عند نادى الجلاء كلم الدعم ولما قولتله اجعلهم قالى ماشى وعمل أنه سلم الاوردر هو ايه السرقه ديه ؟؟؟؟,
طعمه مش حلو مش زي الاول خالص,
عجينة باللحم الكمية قليلة جدا ومافيش ملح فيها ونوع االحلوم والكمية مش مقابل سعر خااااالص تجربة سيئة وأول وآخر مره,
طلبت منقوشة زعتر و لبنة . و دفعت زعتر و لبنة واللي وصل زعتر بس بدون لبنة,
بارده و اتاخرت ساعتين !!!,
الاوردر جيه بعد ساعتين و نص تقريبا,
الأوردر جه متأخر جدااا، ولأول مرة استهتار وقلة أدب.. الديلفري قافل موبايله وأخر عليا الحاجة. ما اتعودتش منكم على السلوك السيء ده..,
أسوّء مناقيش اكلتها فى حياتى المنقوشه العجين تخين زى ما تحون بيتزا مش منقوشه و مش متخمر ريحت الخميرة تشمها فى الاكل و متعبا للمعده جدااااااا و الحشو فاضييييييي و اللحم بعجين كلها بصل و مفيش لحمه و الجبنة المشكل مفهاش جبنه ولا فى طعم ل اي شيء بجد اسو...,
Not freshly baked مجلده و العجينه ناشفة والحشو قليل,
عامل التوصيل راجل قمة في الذوق و الاحترام,
نوع السبايسي الهريسه مش مناسب للسندوتش ده,المقاسات
الاوردر اتأخر اكتر من ساعتين وبيقولوا المطبخ في مشكلة,
بارد,
الاوردر كان فى منتهى السوء .. الاكل وصل بارد والسندوتشات فاضيه,
الكفته نيه,
الأوردر غير مكتمل,
اكل وحش جدا جدا و محروق و جاى بعد ساعتين مكان مش بروفيشنال و اكله بقى وحش اوى,جودة_المنتج
تأخير في حدود الساعة,
الأكل طازه وطعمه حلو جدا وفوق الممتاز أشكركم انكم محافظين علي مستواكم طول السنين دي,
صحن خضرا حاطينه مع الاكل سخن. جالي السلطة سخنة,
ممتاز جدا والتوصيل سريع جدا ومندوب التوصيل محترم جدا جدا,
.,
الاوردر ما وصلش بقاله ساعتين,
J,
كان يقرف,
السندوتشات الفلادلفيا فاضيه والعيش ناشف السندوتش عباره عن جبنه وبصل ومافيش اي لحمه حاجة سيئة,
شوكولاته موز جت من غير موز,
منقوشة الفراخ كانت ملحها كتير شويه,
الاكل مش سخن لتالت مرة,
ممتاز بصراحه و هطلبه تاني 😄,
بجد اسوء مطعم اكلت في في حياتي بجد حاجة وحش اوي عمري مهطلب تاني منكم اكل بايت و بارد وحش تغليف سيء بجد سيء,جودة_المنتج
انا طلبت اكل ده نهردة صبح من برنامج menues اعتمد عليه علي اساس كل كلام انو مطعم حلو بس ده اسوء مناقيش اكلتها في حياتي كلها ازي مكن حد يقدم لحد كده علبة بيتزا معفنة مزيت مناقيش باينه بارده طعمها وحش اوي ليه مكن حد يعمل كده بجد انا عمري مهطلب منكم تان...,جودة_المنتج
المرة الي جاية ما يتحطش السلطة في علبة البيتزا مع المعجنات السخنة!,
"تونة درجة تالتة زفرة جدا و طعمها و ريحتها صعبة جدا They use very low quality ingredients,food tastes horrible !!!",
