comment,complaint_cluster
"Too much fata in the Philadelphia sandwich, zaatar quality was not up to the required quality",
Good,
"They didn’t put the halloumi cheese, but good taste anyways.",
"Sandwiches (Manouches) were barely filled , The worst shawarma I’ve ever had, didn’t even taste like shawarma. It was more like boiled chicken with black pepper on it. The Philly cheesesteak is just acceptable, but the shawarma is horrible. I think t...",
i asked for no green peppers but it came with,
Nothing added neither mayoinnase or cheese and very few tuna. Very bad taste,
Excellent,
Not delivered,Delivery
I ordered without spicy sauce . Came with spicy sauce although I have an allergy,
"My only comment is that The muhammarah was wrapped in paper and that made the cheese stick to the paper so it became without a topping just the bread so it wasn’t edible, that’s it other than that spinach was a chef’s kiss for real",
Different from all previous times,
It was very cold,
Manoucheh cut it wrong,
"Safiha was too tiny, not worth the price.",
the bread was not good at last order,
"Food was not hot at all because the driver accepted the order but he was so far from the restaurant, worst experience! I was forced to receive it as I was so hungry",
There is no haloum at all in manoucheh just zaatar,
last time,
I ordered without spicy the order was spicy,
"terrible decision, tasteless pieces. never again.",
Order came 90 minutes late and came wrong and then the driver changed the order from the restaurant and it came cold even,
The food was cold and the driver was very rude cuz I told him I wouldn't accept the food if it was cold.,
"Very bad this time, tasteless",
The order arrived after 3 hours and it was cold the customer support was really bad,
one missing item,Missed_item
The spicy sauce was expired and exploded in the bag,
Order came a bit cold and delivery ordered super late because of the incorrect number issue which i did not provide at all,
"I really like you guys and that is why I keep coming back, but the pizza was really dry and no ketchup in the box!! Like now most of the times there is something missing!",
No cheese in the sandwich,
Not nice,
"Worst order I have ever ordered in the fast food history. Order is cold, tasteless, chicken is not clean, fries are dripping in oil and driver is very rude",
cold,
"Manouchech was practically empty. I asked for olives on my labneh, but they weren't there. Honestly, it wasn't worth it at all. This place used to be much better.",
order got confused but its okay,
Never arrived,Delivery
Tastes like freezer,
An item is missing!!,
the driver was so ruuuude,
not fresh mushrooms.. but canned not hot when arrived,
I said no tomato the sandwich came with tomatoes,
The Manoucheh’s size became WAY smaller and it’s almost empty. We used to love it but I don’t think we’ll ever order from you again.,
order came very cold. very very delayed,Delivery
small portion but great taste,
Barely any halloum and SO much zaatar and they weren’t mixed,
The worst fries I’ve ever had from them,
Burnt,
I didn’t receive the order. I want full refund,
missing drinks,
Had food poisoning,
"The delivery process was great, the food itself is horrible",
"Extremely disappointed, no filling in any of the three sandwiches! This is not what i sweared by to much family , Shame!",
order didn't deliver. no response from the restaurant very disappointed from menue application to deal with such restaurant 😕,
"The food was not warm and did not taste good. I asked for extra halloumi cheese on one of the sandwiches, but I didn’t feel like there was any cheese on any of them.",
Taste,
I asked for no tomatoes and I still got them,
Arrived very late and the guy went to a wrong address and the call center didn’t help by any mean,
"The Jebneh w Hot Dog barely had any pieces, the jebneh w Turkey was genuinely so bad that I ended up vomiting from it.",
I have ordered olives and tomatoes to be added which I have paid for and the order was received without them the food was really bad,
Nice restaurant,
The food was hella cold and the man’oucheh was dryy,
I waited 3 hours for my order and it came freezing cold.,
No mozzarella cheese was added on sabanekh,
Great,
Tooo salty and over spiced with tooo much garlic. Very disgusting,
Ridiculous service,
The djeij special was only chicken and cheese.. no pickles no tomeya,
Worst fries ever very oily and the oil is dripping from the packaging,
Kofta was too spicy and not enough chocolate.,
The order was cold,
I am addicted ❤️,
Chicken was very dry,
Late and cold,
Stuffing was very little,
"Tomatoes were soggy, smelled and tasted rotten",
contents were very little than usual.,
We ordered 7 items and only received 6,
"I added a note to not add pickles, but the sandwich had pickles !!! Packaging is not good",
Very cold and bad,
WHERE IS THE HALOUM CHEESE ?!!!,
"Very bad very very bad, late delivery, cold sandwich, why did you even put ketchup I chose tomatoes!!!!!!!!!!",Delivery
Ants in the sandwich,
Needed more flavors,
delivery awful,
Filling in sandwiches (wraps) is very little.,
PERFECT,
order was cold & not fresh,
Too much onion bs overall it was nice,
whole order not correct and pizza spilled.,
Special comments have been ignored,
Mix cheese wasn’t mix cheese! There was turkey or something included. Haloum was burnt. And this isn’t the first time.,
pizza came now with part eaten from it 😪,
the order came different,
Very good,
Ingredients was so poor so bad and tasteless this is the last time will deal with them,
Thankkk youuuu !!! Delicious food amazing service Basically everything is amazing!!!,
Kofta smelled bad and got me really sick.,
