username,date,title,text,rating,review_id,complaint_cluster
ام يزن ا.,"يناير 14, 2023",حلو,جميل,5.0,,
MOHAMED H.,"مارس 19, 2023",عديم الفائده,المي ما تطلع الا خفيييفه والمنتج لا انصح به,1.0,,
محمد ا.,"مايو 24, 2022",,جداََ ممتاز خدمني في الملحق دفع قوي,5.0,,
Ahmed M.,"مايو 13, 2025",الجودة,الجودة ليست كما توقعت. يوجد تسريب فى السماعه,4.0,,عيوب_تصنيع
Nady M.,"مارس 12, 2025",كما بالاعلان جيد جدا,جيد جدا,5.0,,
Mohamed H.,"أبريل 12, 2025",الاستخدام وطريقة التنظيف,"جميله جدا ومناسبه للسعر
والتوصيل في الموعد",5.0,,
Mohamed S.,"نوفمبر 29, 2024",حلوة وخامتها كويسه وضغط المياه فيها عالي,حلوة وخامتها كويسه وضغط المياه فيها عالي,5.0,,
Anonymous,"يونيو 30, 2025",خامه ممتازه وسعر مقابل جوده,منتج ممتاز,5.0,,
Anonymous,"مارس 19, 2025",سيئ,خامة سيئة جدا و غير عملي و غير قابل للاستخدام,1.0,,
Mohamed H.,"يوليو 15, 2025",جالي شطاف مختلف خالص,جالي شطاف مختلف,1.0,,
Amr G.,"نوفمبر 2, 2024",التاجر حاطط صورة والي بيبعته حاجه تانيه خالص,الي في الصورة شي والي اتبعت حاجه رخيصه جدااا علشان كده الماركه حاططها general,1.0,,
ABDALLAH A.,"يونيو 8, 2023",عملى جدا وسهل التركيب,كما بالوصف,5.0,,
Mahmoud A.,"مارس 1, 2025",الخامه,المنتجات مش نحاس زي مكتوب,1.0,,
عبداللة ح.,"يونيو 23, 2024",التشطيب ممتاز,الشكل والفنش جميل,4.0,,
Mahmoud M.,"مايو 13, 2025",..,مش قد كدا والخرطوم قصير والخامه ضعيفه,1.0,,جودة_المنتج
Mahmoud S.,"نوفمبر 30, 2025",خلاط ممتاز للاحواض الصغيرة,"خلاط ممتاز من ايديال ستاندرد ولكن وصلاته قصيرة نوعا ما واحتجت ازود وصلة صغيرة لكل وصله لكن لو محابس المياه قريبة من الحوض لن يكون هناك حاجة لوصلات اضافيه ويوجد
 ...المزيد",5.0,,
Ahmed M.,"مايو 13, 2025",الجودة,الجودة ليست كما توقعت. يوجد تسريب فى السماعه,4.0,,عيوب_تصنيع
Ahmed M.,"مايو 13, 2025",الجودة,الجودة ليست كما توقعت. يوجد تسريب فى السماعه,4.0,,عيوب_تصنيع
Memo H.,"ديسمبر 9, 2022",ممتاااز,اكتر من رائع,5.0,,
Ahmad E.,"أبريل 7, 2024",جودة سيئة جدا,منتج زبالة بينقط من كل حته و اتفكك من بعضه اول يوم,1.0,,
محمد ا.,"أبريل 5, 2023",منتج سئ,منتج مفيهوش مميزات ومن البلاستيك وبدون فلاتر وكمان مفيهوش تقليل استهلاك الماء,1.0,,
Abdelrahman M.,"مارس 9, 2025",سئ جدا,القطع مش مطابقة,1.0,,
Amira S.,"أبريل 5, 2024",الخامه ممتازه,ممتاز كما بالوصف,5.0,,
