comment,complaint_cluster
was missing an item,
Sandwiches seems as if soaked in water,
very oily,
The thigh piece was small.,
"Fried Chicken piece felt hard , but fully cooked",
Only 5 not 6 as ordered and it came late and cold,wrong_temperature order_delay
Was fresh and delicious 😍,
"Delicious chicken popcorn, I also felt like I was eating cordon bleu.",
I ordered juice and i got cola,
Chicken wasn’t all that.,
QUALITY WAS TERRIBLE FOOD WAS NOT CLEAN.,
the order didn't arrive,
missing cheese sauce,
gorgeous as usual🥰🥰🥰,
Order arrived late,order_delay
food delivered cold for the second time again 😞,wrong_temperature
I ordered a 3 piece strips meal and received a 2 piece chicken meal which is a completely different order just similar in price.,
Order got ready from the restaurant late and missing the drink,order_delay
Cold and not fresh fries Cold sandwich,wrong_temperature
the sandwiches were too cold,wrong_temperature
"Please note that while we're willing to pay, the price should be accurate, considering that 0.24 doesn’t exist in Egyptian currency.The delivery person’s attitude was disrespectful, which is unacceptable.If no money is to be left, we cannot leave any",
Coleslaw missing,
the miss item hasn't arrived yet,
missing/wrong order,wrong_order
Bread was so bad,
fries not fried enough,
Cold sandwiches,wrong_temperature
No packaging 😠,
"the driver was so nice,the food was good i just have one comment about the fries it was a little bit dry so it was hard in chewing other than that the food was really yummy💗",
order was late and the second sandwich wasnt even spicy like i requested,order_delay
Cold food,spoiled_food wrong_temperature
order came spicy and i order original,
The fries weren’t fried well The order came with only one packet of fries although it’s written that there is two,
Not enough ranch and cold fries but the food was good,wrong_temperature small_portion
Food is fantastic no ranch sauce at all though,
good,
the first driver i have seen in this app,
the food was very good but I wrote a request that wasn't fulfilled,
I didn’t receive the drinks with the strips meals,
sandwiches was not good the tomato's was rottens,spoiled_food
Driver was very helpful,
Tastes horible,
Everything was good except that the restaurant gave me the 2 sandwiches spicy although everything is perfect😍,
My only problem was the temperature of the food. Except for that everything was perfect♥️,
Horrible burnt chicken pieces. Not fresh and super oily,wrong_temperature
Good,
One of the sandwiches came spicy with tomatoes,
very fast delivery,
I got the snack box rather than the strips,
Last order was wrong,
Order is 2 hours late,order_delay
very fast and very good,
Small portions and cold food,spoiled_food wrong_temperature small_portion
"amazing, it was hot and delicious",
"Cold food Second time, not going to order from there anymore.",spoiled_food wrong_temperature
2 sandwiches out of 4 were cold,wrong_temperature
Msh howa dh el quality eli mt3weda 3lha Chicken really bad Even the rizo,
Will never deal with that restaurant again,
"Chicken wasn't fresh, and the rice was so salty with sauces on it",bad_taste
Chicken wasn’t well seasoned,
Taste horrible!,
Very small portions.. disappointing,small_portion
no coleslaw in order,
I found bones inside the chicken The fries are dry and taste bad,
Better than KFC which is Surprising! Wow!,
Chicken not cooked well,
There’s no sauce at all it’s like drops & it’s very spicy,
Nice and fresh,
Rizo was not spicy and all food was not warm and arrived late,order_delay
the food was good the app was not next time I will order from talabat or from the restaurant directly,
There’s no enough chicken and that was so cold,wrong_temperature
sandwich was very very bad and cold,wrong_temperature
Was bot fresh,
I ordered two times. Each time I got spicy though I ordered original 😡 This is completely an unrespectful action,
"The fries were reheated, hard as a rock, and terrible i threw them away, but the sandwich was good",
I ordered triple and got double,
There is no tissues or ketchup or spoon so the pachaging is 2 out of 10,
The order was missing things and I paid for it all,
Very cold it tasted bad,wrong_temperature
I got spicy instead of normal,
One of the worst times I have eaten from you,
Over an hour late,order_delay
The order was supposed to arrive at 11:57 and it came at 12:47 and the food was cold,wrong_temperature
I ordered ranch and it came barbecue,
"tiny pieces of chicken in sandwiches ,doesn't worth even",small_portion
It was so good but the fried not🥰,
The order was cold,wrong_temperature
something tasted bad in the sandwich. the tomato or the lettuce were bad.,
"The sandwiches were good, but the fries were completely tasteless",bad_taste
"I love it and thankyou for being honest they put in 2 pieces meal , real 2 pieces not only breast and wing so thankyouu",
fries isn't that good,
chicken was raw and so bad,
so good,
Food was good but the drink was missing,
There was no fries with my order and its a first to happen,
Food was cold and not tasty,bad_taste wrong_temperature
Food is very clean however its not tasty,bad_taste
The food was delicious and the driver was very nice and fast,
Bread was horrible and there were no sauce,
"too much salt in bbc sauce on rizo, tortilla wasn't fresh in twister",
we ordered 2 spicy and 2 regular but we had received 4 spicy,
The taste was good,
The driver was sooo rude,
Soooo delicious tasty and all love it thank you❤️,
"I don't like to leave a one star review without some text, since it's not fair for the users and the restaurant. This restaurant used to be so much better, this food is very cold, and I'm sure it as hated multiple times. Fries are so bad, and they ev...",wrong_temperature
"The rise isn’t cooked all the way, and the chicken is a little bit dry",
the food come without spoons,
the order was replaced and it was so late and i didnt get my order yet,order_delay
Excellent,
The Food was fantastic well made the thing is i had a problem with the order preparation time it wad supposed to arrive within 20/30 min's but it took an 73 min's so it was pretty late but other than that the food was awesome and made for lateness.,order_delay
Worst cheat meal you can ever have,
All is good,
I ordered the sandwich Triple and i get it double and I ordered cheese sauce didn’t come with the order,
Chicken was so good in all ways as always..coleslaw needs to be checked the rice this time was better than anytime I ordered…the only that was bad was the delivery but a big thanks for 5Roosters,
Too dry,
Delay,
it was more expensive than the original restaurant,high_price
well done 👏,
Food is good. Portions are extremely small!,
Excellent choice,
The sandwich and fries very very cold The fried chicken in the sandwich wasn’t fresh,wrong_temperature
Fried chicken wasn’t fresh,
the chicken is great but there were no utensils for the coleslaw or ketchup packets with the order. also the coleslaw and fries amount could be better,
Extremely fast delivery. Good quality. Reasonably affordable especially with a promo code.,
Twister has very bad taste,
my order was missing a piece,
Food is better than before as it wasn't good but today was delicious,
Good delivery,
"the delivery man was so helpful and food was delivered very fast , thanks a lot . and i hope you give delivery man bonus!",
I ordered spicy but the order came original.!,
I got the order without fries!,
delivery man was so nice and helpful 😊,
amazing,
Kont talba 4 supreme offer wel sandwich kan so3’ayr gdn gdnn wel akl gah msh so5n,
great,
It was a wrong order,wrong_order
late delivery not caused by the pilot but caused by the restaurant itself,order_delay
Delivery was so so late to the point where I had to go to the restaurant just to be surprised by the manager telling me that he never prepares food in advance especially when it’s elmenus employees since they’re always late and unfortunately he can’t...,order_delay
cold,wrong_temperature
It was better before,
I ordered it extra mushroom but it didn’t come with it,
"i ordered all in one, 3 pieces of chk 2 wings 2 strips the fries was too small, only 1 piece of bread, coleslaw was like 5 spoons. the chk was fried good no stinky smell, but without any spices taste .",
Wasn’t hot and fresh,
Missing items,wrong_order
very bad experiemce,
"It was all good, but I didn't get my 2 cheese sauce. they sent me ranch and hot sauce instead.",
The sauce came wrong,
That sandwich was nasty... Cold.. Not fresh,wrong_temperature
So small pieces of chicken comparing with other fried chicken brands,
Perfect,
Sandwich very small,
excellent,
Chicken Not well cooked,
Thank you,
food was not hot,wrong_temperature
"everything was horrible. cold, old, oily, the bread was at least 3 days old, disgusting... they have a big issue with quality consistency. such a shame. twister had one original piece, one spicy. it tasted funny, and was so small",bad_taste wrong_temperature
"Wrap fell apart when I opened it, but it and the rizo tasted amazing.",
I usually like 5 Roosters but the last order I got was just awful. I ordered 1 Spicy Rizo and 2 Spicy Twister without jalapeños; what I received was 1 BBQ Rizo and 2 regular twisters that tasted like they had been microwaved and the tomato in them t...,
"Wow! I received a fresh, piping hot order, made with care! The last time I got such great food from this restaurant was when I first ordered it more than a year ago - consistent quality is key, I wish every order came in like this! Perfect crispy",
"this time the chicken strips were almost full of crisp and chicken skin barley one or two strips of the two boxes had actual chicken meat in them, you were never like that!",
2nd time i order spicy and came regular,
Hot fast and delicious,
food cold,wrong_temperature
Missing buffalo sauce and not even replaced,
not hot,wrong_temperature
"one box was more fresh than the other, which was a weird thing to experience. still, both really tasty, portions are always great. wish they had biscuits instead of buns sometimes",
the food wasn't well cooked at all,
V. Good,
The food quality was good and the delivery time was excellent but the meal supposed to have 4 chicken strips and i only got 2,
"order not fresh, cold and missing.",wrong_temperature
Not bad,
trash,
The coleslaw didn’t come with the order,
food was cold due to the delivery but the restaurant sent complimentary,wrong_temperature
Coleslaw was not fresh ; chicken wasn’t good also :(,
it took 1 hr and half till i got the order and it wasnt hot,
nice,
Item was missing,
Why you r not delivery to Miami !!!!!!!! Am really disappointed I used to love 5 roosters this is very frustrating,
"Jnfortunately the delivery boy was horrible. He didn't know the address and didn't call us until he was totally lost. As a result, he was late for like an hour and we had to reheat tbe food.",order_delay
Delicious,
fries without any salt,
Very very spicy i could barely eat! I ordered everything original and NOT spicy and it all came the opposite.,
"The taste was only in the cover , there is no taste at all in the chicken itself,, it was the worst order from you 😔",bad_taste
"Late delivery, bad fries",order_delay
Very delicious,
"Took double the estimated preparation time and instead of 1 thigh, 1 breast and 1 drumsticks we got 2 drumsticks and 1 small thigh",
Amazing,
order an extra sauce paid for it and didn't get it,
Cold food and bad delivery experience,spoiled_food wrong_temperature
I have received my order as family meal And i found that 6 pcs thighs And 3 wings Its totally not accepted,
Strips not crunchy and the food quality in not the same as before,
the food was great,
food arrived hot and was so yummy,
food arrived quick and it was fresh honestly i was amazed it was my first time to eat such an amazing fried chicken in Egypt,
The snack box came in with a wing and 1 piece. Horrible value for the money.,
i received regular chicken instead of crispy,
"I ordered 4 pieces spicy white meat and 4 pieces original dark meat, but I received the order opposite",
"I asked for mix of spicy and regular fried chicken, what I got was all reg. + It was sucks the outer coat was really bad and there was alot of oil in the packet, it was disappointing. the chicken it self was tasty and good but the coat was terrible.",
The pieces are repeated and it comes cold with one loaf of bread.,wrong_temperature
"They should add more bread, some ketchup and a fork. Basics guys please pair them in mind.",
"fries were very oily, chicken was a bit overcooked but still very tasty. soda was perfectly cold.",wrong_temperature
how could you send spicy chicken in a kids meal!!!!!!!!,
"Fried chicken was disgusting, not clean, not fried well , sandwiches were good",bad_taste
very good,
i ordered spicy it came regular,
"to reheat the chicken they fried it again. it had a funny taste to it, and was burnt. fries were not bad, overcooked. but they always provide worak when requested, which I appreciate",wrong_temperature
"worst delivery service ever, my order took more than an hour and a half and no one showed WORST DELIVERY EVER",
Excellent and quick service,
Very bad quality,
it was not spicy as ordered but all is good,
the chicken wasn't really spicy,
delicious 😋,
Everything was so perfect just... الاكل كان شارب زيت That was the only negative feedback apart from that everything was amazing,
it need to be more clear from the oil,
dinner box not good by any mean don't recommend,
food was cold,wrong_temperature
"the packaging is moderate, the chicken taste is awesome but it's not special, the fries is regular, and the coleslaw salad is just awesome, a good value for money, overall it's an experience that I've enjoyed and I would repeat once or twice.",
All is perfect taste and smell very very good food i loved it very much,
Sandwich was not hot and fresh plus low quality,wrong_temperature
The order was so fresh and delicious and i highly recommend this restaurant,
"food tastes filthyy , and they are so rude when you call them to check for tue delivery i don’t recommend ordering or eating from this place.",poor_hygiene
Didnt even come,
Not as usual,
Sandwich Package was carelessly sealed (twisted) from 1 side and properly closed from the other side like it’s been opened and closed,
Order was missing V cola,
so bad,
"My order was delivered after more than 2 hours which is unacceptable, however the only driver they have is polite and respectful",
Cold sandwich,wrong_temperature
"Chicken was burnt,dry there was no sauce",wrong_temperature
"i ordered a fattoush salad that usually comes with bread, and it came no bread became a normal salad im unsatisfied",
Shawerma was poorly filled and 2 pieces out of 5 were only fries,
I said without tahini sauce,
The food was cold,wrong_temperature
Very cold,wrong_temperature
The driver was very quick fastest order i’ve received in my life,
The food wad cold,wrong_temperature
Kind of cold,wrong_temperature
the shawerma meet was not very good this is not my first time to request this order,
"The worst order ever , every thing was bad not fresh at all the hot hariç sauce was expired !!",spoiled_food
Best Turkish food in Alexandria..the mix grill dish is so delicious I like their creamy texture garlic sauce The only downside is that the portion of Biryani rice is too small 🫩they should add more. The delivery man was polite and punctual,
The driver didn't return the change,
The sandwich had little garlic and turkish sauce even though i paid for extras,
I ordered chicken fattah not bread fattah.. I barely found chicken in it. like only 4/5 pieces and its filled with bread.. thats unfair.. I want a compensation!!!,
Kubaba tasted very bad and was raw!,
best shawarma I've ate in Egypt,
They forgot to add the garlic sauce,
"I ordered extra sauce, but the sandwich barely had any in the first place.",
"Delayed delivery every time when i make an order , app technical issues are huge",order_delay
their is a cut underneath the package and the rice spill from it,
"Needs more rice, it legit had half as much rice as any competitor but the chicken,beef and sauce was soo good!",
I asked for extra sauce and there was barely enough also that’s a cheese sandwich?? I didn’t taste any cheese could ordered the original instead,
to much bones and not well grilled,
Delicious,
special request neglected,
5th piece was empty,
I ordered a chicken shawerma extra garlic and the sandwich had no garlic at all,
Taste was very bad not fresh and very cold sandwich it will be last time to order from sultan ayubagain,wrong_temperature
The sandwich wasn't even grilled & delivered cold.,wrong_temperature
Restaurant did not follow food instructions.,
The sandwich was cold it didn’t taste well as it should,wrong_temperature
Dry fattah,
Worest experience ever,
little pieces of meat and chicken and the rest is onion!,
The food is too cold,wrong_temperature
I requested extra sauce n it came without any sauces instead..plane shawerma with pickels😡🥹,
Strips weren't crispy and fries were oily.,
The driver and the food was great but the lateness of sultan ayub is unforgivable,order_delay
After accepting my order from restaurant and waiting for more than one hour i received a call that order will not be delivered as the restaurant has a problem which is not acceptable at all after waiting for more than one hour this is the worst custo...,
Crispy cheese fries was very disappointing,
The driver was extremely late and the food was cold !,wrong_temperature order_delay
cold,wrong_temperature
The chicken shawerma was burnt and the rice undercooked.. What a shame,wrong_temperature
"I received my food cold , taste was great but it was too cold",wrong_temperature
It comes cold,wrong_temperature
"the plate was half empty , tasted bad , lots of chicken tendons, didnt taste good overall",order_delay
One sandwich opened,
"The portions are not as big as they were before But for the driver, i give him 5 stars because of his professional attitude & appearance",
wrong order,wrong_order
not friendly.. very bad manner,
the spicy garlic sauce was rotten,spoiled_food
"Arrived unwrapped and cold, didn’t taste good as every time i order it",wrong_temperature
Not hot and not good iam very angry from that order,wrong_temperature
Cole slaw was spoiled,spoiled_food
Good,
brought me big fresh not big cola!,
Wasn’t good at all,
The bread is dry!! And chicken is tasteless,bad_taste
The food tasted amazing Eating from it every-time im in alexandria 🫡,
Great. You can add option for tips in the online orders,
"Very early delivery, before Iftar with 60 min , tasted cold & so bad ...",wrong_temperature
The chicken was not good AT ALL,
It was too cold,wrong_temperature
I got different item,
I did not receive the drink with my order,
The chicken is cold,wrong_temperature
I got the wrong order twice,wrong_order
Sandwich arrived open and fries all over the bag and driver came late,order_delay
I didn’t receive the order lol,
Always late,order_delay
Portions is soo small comparing to price,
over price,
missing combo,
Nice,
fries was cold,wrong_temperature
very very late delivery one hour after the expected time. the order received missing items. the worst experience,order_delay wrong_order
All good just food portion wasn’t very good,
"It was with turkey and I asked for spiro spates .. if it’s not available, the restaurant should inform me",
my order had burnt chicken shawarma pieces!,wrong_temperature
Excellent,
So good as always+ fast delivery,
Was very cold,wrong_temperature
Sandwich was very small,
the best as usual.,
food gone bad after half an hour,
Bread was very bad not hot also taste didn’t hit my expectations as always despite everything delivery was early and good anything else was very bad food texture was disgusting. I wont order again from sultan ayuub,bad_taste wrong_temperature
late dilvery more than 60 mins.,order_delay
Awesome,
keep the good work,
"fast delivery, and the food was too good as always.",
Fries missing,
"the fries were bad, but the sandwiches were great and tasty.",
Stop raising the prices plz 😂,
It took so long to recieve the food,
Didn’t arrive,
I got the wrong order,wrong_order
El akl bs bard,
Very small portions of fries,small_portion
Worst order ever !!!,
"even though i ordered extra sauces, the sandwich lacked any sauce and was so tasteless. So disappointed",bad_taste
This was the smallest large shawerma sandwich i ever ordered and definitely there were no jalapeños at all,
Great driver,
Very small size for the medium one and too much pickles.,
The food was not well cooked and it was also cold.,wrong_temperature
The food didn’t come in the first place,
Sandwiches are basically bread with scanty fillings and higher prices!,
No change of money,
I didn’t received the orderrrrrrrrrd,
Chicken was raw,
Food used to be better Bad quality for this order,
Perfect,
too much tomato sauce on sandwich and fill it with batats no shawarma and batats محروقة,
I received spicy shawerma ! I ordered it regular,
I felt sick while eating it,food_poisoning
Heat,
There was no fries with the order,
My order was without garlic dip,
Taste not as expected,
Fries didnt come,
Not fast at all,
"In general, the food was very good. I tried different dishes and they were mostly good.",
The man was very gentle❤️,
Very good,
"Wasn’t rolled probably, bread was suggy disappointing",
Gamed,
The worst food ever,
Very bad quality of food,
They sent wrong order.,wrong_order
Bad food🙃,
need more sauce,
Did not deliver,
Special request totally ignored,bad_service
Found a hair in my sandwich,poor_hygiene
Excellent driver,
The bread wasn’t fresh,
tmam good,
my driver's behaviour was shit and I'm missing an item,
I received kofta instead of kabab,
nice work,
Wrong fuckin order it wasnt meat it was chicken and i fuckin dont eat chicken,
She is so perfect,
"Accuracy and Packaging : Everything including the extras was made, packaged and delivered properly, only problem was that I got a Green fanta can instead of a coke, but it wasn't a big deal. Food : I ordered a beef shawarma sandwich and a chicken sh...",
I ordered coca and recieved fanta !!!,
No sauce in the sandwich,
The jalapeños wasn't spicy at all,
"Food was good but not yummy as always, still good👍",
Wrong Drink,
The bag was torn and the shawerma was so dry and not cheesy the chicken kebab was soggy,
the food wasn't clean at all and it didn't taste good. I also requested extra fries they charged me for it but I didn't get it,
Driver rude,
Bad one,
overpriced concerning the size and portions nice quality and taste though,high_price
I ordered medium and large and they came same size,
"Came very early, the taste was really bad.",
Order was missing drink,
very good taste .outstanding kobeba,
Driver attitude was so bad 😡,
I made an order to be delivered on iftar and the written estimated time was 6:14 but then at 6:20 I found the order was moving with the delivery but it was moving away a from my house going towards green plaza and when I called the delivery guy he sa...,
order late but food delicious 😋,order_delay
I ordered fatoush yet i got a regular green salad,
Food was so cold,wrong_temperature
"Driver couldn’t reach the location, kept calling me and took forever to arrive. To be fair though he was polite which made the whole experience bearable but I’ve never been called by a driver on any other application for directions but for some reaso...",
-the chicken itself didnt taste good -didnt like the sauce they used in Fatta -the girl from Sultan Ayub asking for feedback was rude,
"That was the worst food I ate in a long time. First of all, I asked for the removal of the turkish sauce from the fatta, yet that did not happen I opened the box and found it all covered in that turkish sauce. The shawerma pieces on top were very few...",
"thank you, the order arrived fast i was so hungry , food was great , and the delivery man was so nice and helpful.",
i ve ordered large but it seems small than usual,
The portions are small especially the fries and also the shawarma portion is small,
The best chicken sandwich I ate ever,
Didn’t receive my money back !!!! I paid 100 and the delivery guy said that he doesn’t have enough money and will leave the rest of the money with the security guard of the building !,
Sandwich fries not shawerma really so bad quality and no portions of shwerma an eating only fries,
Very bad taste Cold sandwich Overall it was a very bad order,wrong_temperature
"The food was delicious , but it was cold ☹️",wrong_temperature
shawerma taste and quality are not same as before.,
"Drivers attitude very bad , food is good",
"we order extra garlic drip but we didn't get any,and the order came late and the food was cold!! but the driver was nice",wrong_temperature order_delay
Delicious as usual,
done,
Not delicious,
High quality food as usual,
didn't follow instructions,
There were items missing … one of the arabian shawerma has no fries,
I asked for extra garlic dip and didn’t get it,
The order didn’t arrive,
Super late delivery (>2 hrs) due to an unknown person who took my order at first so choose yr runners first plz and take responsibility about who u give yr orders to,order_delay
Very bad,
Very bad taste & contents,
good not Bad,
wrong order i ordered 4 special meat shawerma i got 4 chicken instead,wrong_order
Portions are great it’s tasty and the delivery is fast,
Cold food,spoiled_food wrong_temperature
best pizza ever 🥰🥰,
"the driver was amazing , the food was good but small in portion",
"very small amount of chicken shawerma and also the pieces are cut from the crust ,Although it does not come cheap ,very bad valie vs cost",
Good h,
great,
I don’t like the taste of the bread.,
So bad,
not hot enough!,wrong_temperature
large fatta size is very small compared to its price.,
Graet food,
So good,
I ordered cola and I received sprit ! Food is too salty .,bad_taste
not as before,
it was very delicious and it arrived fast.,
The large shawerma sandwich became very small and not worth the money,
Always on point!,
good,
"food was cold , driver called 3 times for directions and he didn't have 15 pounds for change and he didn't even know how much the order costs",wrong_temperature
"-The order took more than 70 minutes to be delivered -Call center called me to apologize and inform me that order will take 10-15 mins to arrive, but it took about 30 mins Driver told me that he went to a wrong branch, then to the right branch, which...",
the picture attached with the food type is different,
I ordered fries as a add on and they didn’t put any fries but they charged me for it,
Received a different order,
my stomach hurt me and I vomited also the taste was awful,food_poisoning
The food is the worst,
The sandwitch was full of fries,
Delicious chicken shawarma,
Perfect.,
the delivery man is very professional.,
taste was perfect,
delicious food 😋😍,
thank you,
meat shawerma was tasteless chicken shawerma with cheese was delicious,bad_taste
Small portion,small_portion
Very fast delivery and delicious food.,
The special chicken is totally recommended. but the meat kebab is a truly tasteless horrible sandwich.,bad_taste
the sandwich came in a medium size while I ordered it large,
"Delivery was fast, courier was professional.. thank u",
The chicken was not well done 😔,
all wss perfect,
Tlbt 3 showerma mixed wsl fihom wa7d chicken,
very delicious 😍,
"very clean , delecious , outstanding service, very very very good food best order ever 🥰🥰",
Enta gamed wlahy 👌👌👌,
"Delivery took more time than expected, live tracking showed that the driver went into many other locations other than the delivery route.",
The food was fine but i was delivered a wrong order! 😒,wrong_order
very decent,
"One of the best ordering experiences with a quick delivery. The delivery man is really a gentle man, very respectful and professional.",
it was good but not that much,
It was cold and it tasted horrible!!!,wrong_temperature
Took so long to make the order over an hour late than the ETA and the food was so cold and bad,wrong_temperature order_delay
Rubbish shawerma sandwiches directly from the delivery driver to the rubbish bin,
bread was so bad,
Got wrong sandwich i asked for meat shwerma and got checkin without being notified and that's the second time,
Good but just in time and we need it earlier,
the cold appetisers was not good with a minimum quantity of dipping sauce,wrong_temperature
"great, Can you please add the ""Turkish bread"" to the menu ""appetizers"", so that I can order it.",
the order was extremely late,order_delay
Qty is too low,
The food was pretty good the problem is i was ordering meat kabab and it come shish tawook sandwich but it was good. Please be careful next time.,
what's called fatt shawrma is disgusting . awful experience .,bad_taste
I've just received an order and it was totally delicious well made and the delivery arrived exactly on time. I would love to thank the management of the restaurant.,
Good food and excellent for every thing,
"the food was average, they served the dish with side sauces tomya and olive oil , then when I asked for the receipt I found that they actually charged me for the tomya and olive oil witch I didn't ask for it and I was under the impression that it's ...",
